Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ABALIA01,81.37,234.46,1.88,9.46,9.23,38.1,28.1,17.3,655.09,-4.1452,-1.9518,2.03,2.01,1.88,-0.1241,-0.1186,0.1274,0.1358,2.0201,2.9924,3.1695,2.0769,29.0845,7.379,7.0061,8.4403,0.8742,0.5164,0.3844,3.0236,3.8568,1.228,1.4301,6.3914,12.4618,4.1457,4.2,4.116,10.2706,1.9934,2.0807,2.0608,2.0659,2.0698,1.346,0.3012,0.0343,0.0677,0.0624,0.0469,1.4168,1.4774,0.0773,0.0162,0.0076,0.0205,0.0104,14
ABEJEX,81.54,223.81,2.68,7.74,9.92,39.6,29.2,18.3,680.73,-4.2291,-2.0731,2,2.03,1.84,-0.1046,-0.1062,0.1359,0.0817,2.1326,3.0843,2.101,3.0413,29.0917,7.2969,8.4446,7.167,0.9804,0.4103,0.4738,3.0158,3.8465,1.3315,1.2126,6.3857,12.484,4.1665,4.1638,4.1537,10.2345,1.9832,2.0783,2.0534,2.0654,2.0542,1.4593,0.0768,0.0233,0.0118,0.0122,0.0146,1.1426,1.3911,0.298,0.0354,0.0743,0.0718,0.0379,17
ABIVUD,82.61,196.09,2.14,9.42,6.41,35.2,25.7,14.5,570.84,-3.9098,-1.9631,1.97,1.97,1.85,-0.1182,-0.097,0.2112,0.0037,2.3914,3.0657,3.2344,3.0095,29.2036,7.3034,7.1336,7.1581,0.9429,0.5234,0.6032,3.0169,3.8355,1.4106,1.1664,6.3933,12.5457,4.1805,4.1863,4.1789,10.1788,2.0523,2.0277,2.0385,2.0307,2.0296,1.3435,0.2519,0.0392,0.0466,0.0685,0.0303,1.2958,1.0758,0.2858,0.0686,0.0277,0.0612,0.0424,20
ABOSOB,81.68,232.57,1.9,8.26,10.35,37.6,27.1,17,669.56,-4.1643,-2.1092,2.04,1.99,1.86,-0.1254,-0.1061,0.129,0.1362,2.1501,3.0626,3.1655,2.0881,29.122,7.3344,7.017,8.439,0.9517,0.5227,0.4111,3.0188,3.8461,1.3096,1.2171,6.3904,12.4821,4.1242,4.2012,4.1567,10.2526,2.0187,2.068,2.0656,2.0368,2.0635,1.3759,0.3018,0.0424,0.0707,0.0622,0.0479,1.4346,1.4658,0.0781,0.0239,0.0123,0.0119,0.016,11.3
ACANAC12,83.31,208.05,2.31,5.62,6.48,40.5,28.8,14.2,496.49,-3.859,-1.3684,2,2.04,1.9,-0.1394,-0.1168,0.133,0.1274,1.9774,2.9845,2.9873,2.0441,29.1155,7.3486,7.1929,8.3931,0.8611,0.5691,0.2554,3.0265,3.8562,1.3112,1.3338,6.4094,12.4352,4.0903,4.1926,4.1523,10.2945,2.0248,2.056,2.0691,2.038,2.1067,1.2806,0.2208,0.0693,0.0358,0.0238,0.0651,1.438,1.5669,0.0755,0.0167,0.0204,0.0029,0.0319,26.1
ACETSC10,78.63,211.89,1.75,5.64,6.33,34.4,23.1,10.4,447.62,-4.2808,-0.4462,2.02,2.18,1.87,-0.1242,-0.1184,0.137,0.1005,1.9057,3.0313,3.2481,2.0636,29.1288,7.3264,7.0178,8.4412,0.9186,0.5497,0.257,3.0167,3.861,1.21,1.4161,6.4294,12.4604,4.144,4.1829,4.1335,10.2341,2.0197,2.0507,2.0425,2.0588,2.0624,1.3556,0.3072,0.0509,0.0618,0.0499,0.0721,1.48,1.4988,0.0714,0.018,0.0074,0.0174,0.0102,20.8
ACETUA,64.39,162.2,2.31,6.59,10.67,26.9,19.9,12.9,627.89,-3.9015,-2.7837,2.02,2.06,1.82,-0.0904,-0.1191,0.0828,0.0674,1.8795,3.0779,1.9737,1.9841,29.1115,7.3109,8.5022,8.4866,0.9736,0.4324,0.3564,3.0139,3.8549,1.3348,1.1965,6.444,12.4148,4.1359,4.1659,4.113,10.2312,1.9977,2.0726,2.0462,2.0442,2.0705,1.5562,0.0703,0.006,0.0184,0.0156,0.0098,1.4831,1.4324,0.0693,0.0129,0.0096,0.0216,0.0093,25.6
ACETUY,76.62,170.2,1.62,7.79,7.36,32.4,23.1,16.6,589.12,-4.1377,-0.358,2.57,1.89,1.87,-0.1597,-0.1344,0.1356,-0.1093,1.752,2.9737,2.0985,1.9176,29.1365,7.3879,8.3819,8.586,0.8345,0,0.7482,3.0249,3.8697,1.3083,1.2051,6.5148,12.4036,4.1097,4.2008,4.0931,10.2409,2.0217,2.0432,2.06,2.0745,2.0415,1.4738,0.0687,0.0203,0.0051,0.0149,0.0085,1.4816,1.6272,0.07,0.0124,0.02,0.0104,0.0162,26.5
ACLTRY,46.19,130.77,2.09,9.07,9.55,19.6,14.3,10.9,632.01,-4.3346,-0.3178,3.08,1.86,1.84,-0.0272,-0.1417,-0.0044,0.0525,1.6333,2.995,2.0003,2.0789,29.1153,7.3355,8.4862,8.4529,0.8915,0,0.6516,3.0223,3.8781,1.3131,1.1281,6.5486,12.3614,4.1627,4.1571,4.0416,10.1168,1.9657,2.027,2.0352,2.0756,2.0133,1.5319,0.0642,0.0009,0.0171,0.0159,0.0078,1.498,1.4583,0.0778,0.0157,0.0133,0.0202,0.0125,11.7
ACPENC10,91.63,237.83,1.55,5.78,7.06,47.1,32.8,16.7,511.75,-3.9735,-2.1238,2.17,1.96,1.88,-0.1415,-0.1123,0.18,0.1555,2.0066,2.9808,2.1007,2.0775,28.93,7.3749,8.3682,8.4019,0.8785,0.1987,0.3973,3.0247,3.8506,1.3229,1.3089,6.3429,12.4494,4.1522,4.1292,4.168,10.3488,2.0737,2.074,2.0816,2.0716,2.0479,1.4455,0.0733,0.0209,0.0108,0.0165,0.0105,1.4748,1.4731,0.078,0.0129,0.0102,0.0246,0.0101,7.1
ADALAS,53.33,174.62,1.67,5.19,6.61,28.6,18.8,8.8,427.82,-4.4403,-1.2156,2.82,1.9,1.82,-0.0025,-0.1271,0.0483,0.1369,1.8356,3.0413,2.0878,3.3023,29.2361,7.2739,8.4244,7.1198,0.9468,0,0.7099,3.0134,3.8715,1.3742,1.1604,6.5004,12.3975,4.178,4.1426,4.0769,10.1042,1.9967,2.0111,2.0148,2.0418,2.0398,1.4794,0.0665,0.0009,0.0174,0.016,0.0086,1.2721,1.2391,0.2268,0.0226,0.0635,0.0515,0.037,30
ADINAD,95.14,199.89,2.06,7.67,6.85,38,29.1,18.1,556.01,-3.7716,-1.7354,1.92,1.92,1.88,-0.1069,-0.0997,-0.1388,0.1462,2.2816,3.041,1.8462,2.0712,29.0636,7.2613,8.6293,8.4082,0.88,0.6757,0.3952,3.0249,3.8364,1.3419,1.3139,6.4135,12.4894,4.1186,4.175,4.1958,10.2036,2.0479,1.9986,2.013,2.0554,2.0887,1.441,0.0678,0.0168,0.007,0.0149,0.0085,1.4426,1.3,0.0862,0.0237,0.0198,0.0059,0.0296,21.1
AFAZAK,82.48,203.16,2.66,7.67,9.7,35.6,25.3,16.5,712.69,-4.2774,-2.1155,1.99,2,1.84,-0.1192,-0.1017,0.2205,0.2205,2.2963,3.0945,3.2669,3.247,29.2444,7.2566,7.1061,7.1121,0.9576,0.5645,0.5369,3.0128,3.8401,1.2965,1.1569,6.3853,12.5609,4.1876,4.2013,4.1719,10.1727,2.0132,2.0432,2.031,2.0244,2.061,1.2835,0.2526,0.0372,0.0553,0.0595,0.0406,1.1929,1.1256,0.2525,0.0528,0.0385,0.0589,0.036,24.1
AFEBOC,88.93,184.78,2.97,6.5,7.31,32.5,25.9,17.5,574.39,-4.2284,-0.3155,2.05,2.05,1.87,-0.1451,-0.1149,0.1366,0.1365,1.7492,3.0458,2.0694,2.0694,29.0037,7.3385,8.4399,8.4394,0.9608,0.3129,0.3129,3.0183,3.8536,1.2313,1.3012,6.4022,12.4565,4.1613,4.1532,4.142,10.2862,2.031,2.0311,2.079,2.0676,2.0776,1.4693,0.0762,0.0096,0.0141,0.0211,0.0097,1.5018,1.515,0.0762,0.0133,0.0112,0.0223,0.0103,19.8
AFESEJ,73.06,197.37,2.43,7.24,9.38,34.9,30.2,18.7,636.8,-4.1073,-0.7496,1.88,4.16,1.87,-0.1205,-0.1303,-0.0534,0.0777,1.7366,2.9686,1.9083,2.1266,29.1728,7.3575,8.5829,8.3955,0.8368,0.7535,0,3.0269,3.8658,1.2612,1.2612,6.5222,12.3853,4.1283,4.1541,4.1029,10.2126,2.0174,2.0287,2.0206,2.0997,2.0462,1.6193,0.0717,0.0136,0.0203,0.0118,0.0153,1.4964,1.4998,0.0663,0.0158,0.003,0.0178,0.0085,33.2
AFETOU,102.25,214.66,2.6,13.58,7.74,39,29.8,19.4,791.42,-3.8003,-2.2744,1.88,1.94,1.88,-0.1117,-0.0983,-0.1198,0.1461,2.3639,3.0449,1.8782,2.0571,29.0547,7.2998,8.6016,8.4196,0.8955,0.7424,0.3679,3.0305,3.8296,1.4118,1.2464,6.4069,12.4943,4.1117,4.1833,4.1993,10.2102,2.0521,1.989,2.0673,2.0607,2.0412,1.5459,0.0695,0.0077,0.0141,0.0223,0.0084,1.4669,1.3338,0.086,0.023,0.0164,0.0098,0.0237,20.9
AFISIS,87.27,194.01,3.15,8.1,9.58,34.6,25.3,15.7,642.91,-3.7958,-2.7046,1.88,1.91,1.83,-0.0485,-0.0615,-0.1101,0.1207,2.5069,3.155,1.8674,2.0207,29.0573,7.2119,8.6282,8.4493,0.9119,0.7657,0.4634,3.0238,3.7887,1.2998,1.2744,6.396,12.5162,4.1629,4.1745,4.1788,10.1357,2.0543,1.9986,2.0199,2.0649,1.9981,1.4157,0.0666,0.0173,0.0073,0.0134,0.0103,1.4047,1.5419,0.0823,0.015,0.0138,0.023,0.0085,16.4
AFUTDZ10,71.59,161.25,2.15,4.73,7.92,25.2,17,10.5,472.12,-4.3543,-1.9899,2.96,1.83,1.82,-0.0266,-0.1248,0.0825,-0.014,1.8517,3.0481,2.9489,3.3513,29.1997,7.2645,7.0858,7.2472,0.9363,0,0.7605,3.0161,3.867,1.3549,1.2262,6.5184,12.4308,4.1392,4.138,4.1535,10.077,2.0175,1.9907,2.0056,2.0352,2.028,1.1821,0.289,0.0271,0.0818,0.0914,0.0323,1.2859,1.2543,0.1685,0.0333,0.032,0.0238,0.0432,34.4
AFUVEE,79.84,215.45,2.57,10.78,10.4,34.8,26.7,19.2,805.28,-4.1102,-1.978,1.98,2.11,1.85,-0.1343,-0.1113,0.1275,0.155,1.9934,3.0627,2.0814,3.124,29.1145,7.3131,8.4663,7.0861,0.966,0.4298,0.4163,3.0143,3.8531,1.3352,1.1751,6.4076,12.4766,4.1379,4.1937,4.1451,10.2497,2.0132,2.0462,2.0424,2.0478,2.1002,1.4639,0.0782,0.024,0.0121,0.0124,0.0151,1.1194,1.3378,0.3054,0.0393,0.0769,0.0627,0.0501,17.4
AGADIX,79.88,215.35,1.78,8.39,10.48,34.6,26.6,19.1,739.95,-4.1221,-1.9929,1.98,2.11,1.85,-0.1331,-0.1127,0.1255,0.1554,2.0025,3.0589,2.0774,3.1141,29.1221,7.3189,8.4675,7.0758,0.9647,0.4286,0.4217,3.015,3.854,1.2014,1.4411,6.407,12.4749,4.1497,4.1784,4.1469,10.2509,2.0019,2.0604,2.0549,2.0529,2.0807,1.4664,0.0781,0.0178,0.008,0.0187,0.0112,1.124,1.3279,0.3063,0.0313,0.0763,0.061,0.0506,15.2
AGAKIE,97.61,197.18,3.02,8.06,7.84,31.6,24.6,19.1,675.62,-4.1991,-2.0942,1.95,2.03,1.85,-0.1249,-0.1133,0.1819,0.1904,1.8551,3.0296,2.1781,2.0483,29.0099,7.3333,8.3731,8.4593,0.946,0.4333,0.325,3.0134,3.8548,1.1881,1.2963,6.3817,12.4977,4.1605,4.1836,4.1536,10.2452,2.0235,2.0358,2.0488,2.0684,2.0688,1.5426,0.0809,0.0204,0.0184,0.0123,0.0162,1.402,1.5314,0.0786,0.0218,0.015,0.0128,0.0144,16.3
AGIDOM,80.98,178.47,2.07,5.57,8.76,29.8,20.8,12.7,528.76,-4.2698,-1.8478,1.92,2.2,1.84,-0.0873,-0.1169,0.1038,0.1555,1.9883,3.0575,3.3211,2.0982,29.1414,7.3199,6.9291,8.3797,0.9706,0.6324,0.2134,3.0169,3.8585,1.3653,1.1569,6.4365,12.4724,4.1894,4.1594,4.1236,10.1781,1.9892,2.0439,2.0282,2.0485,2.0682,1.1934,0.3284,0.0382,0.0802,0.0838,0.0489,1.4275,1.4546,0.0713,0.0221,0.0142,0.0067,0.0199,28.6
AHICIF01,76.51,172.11,1.64,4.58,8.59,27,16.6,9.2,456.92,-3.9924,-1.1673,2.37,1.88,1.86,-0.1735,-0.1282,0.0671,-0.2141,1.8075,2.9952,2.0463,2.8917,29.1554,7.3427,8.4547,7.4955,0.8785,0.1373,0.7001,3.0189,3.8695,1.3555,1.178,6.5032,12.4874,4.1722,4.1477,4.1675,10.1826,2.0174,2.032,2.0221,2.0722,2.0389,1.4569,0.0691,0.01,0.0194,0.0157,0.0113,1.2255,1.4015,0.1939,0.0455,0.0324,0.019,0.0571,30.6
AHPAZP10,81.64,237.72,1.79,7.58,6.3,43.1,30.5,16.9,543.87,-4.5219,-2.8741,1.94,1.97,1.81,-0.0183,-0.0407,0.1248,0.2018,2.6749,3.2224,3.1919,3.2779,29.1709,7.2171,6.9187,7.1044,0.9771,0.6682,0.6188,3.0184,3.7679,1.2399,1.3125,6.3673,12.5587,4.1589,4.2239,4.1759,10.0919,1.9845,2.0054,2.0358,2.0591,2.007,1.2182,0.3172,0.0534,0.0658,0.0678,0.0662,1.157,1.1391,0.2422,0.054,0.0293,0.0646,0.0293,23.8
AJIYEX,85.23,184.55,1.55,6.55,10.33,30.4,20.2,13,571.68,-3.8522,-1.1139,1.96,2.03,1.88,-0.1179,-0.1317,0.0643,0.125,1.8197,2.9729,2.0329,2.0566,29.0368,7.3692,8.4784,8.3928,0.8781,0.5237,0.263,3.0286,3.8666,1.2886,1.2151,6.4333,12.4239,4.2018,4.1272,4.0949,10.2604,2.0166,2.103,2.0483,2.0691,2.0234,1.5329,0.0735,0.0145,0.0144,0.0174,0.0112,1.385,1.4958,0.0752,0.0126,0.0134,0.022,0.01,18
AJIZAU,85.07,184.36,1.55,6.57,9.24,30.4,20.2,13.1,541.46,-3.8687,-1.1365,1.96,2.03,1.88,-0.1168,-0.1314,0.0671,0.1252,1.8188,2.9733,2.0346,2.0571,29.0336,7.3721,8.476,8.3928,0.8785,0.5195,0.2637,3.0285,3.8663,1.293,1.2196,6.4325,12.4238,4.2039,4.1208,4.0992,10.2601,2.0204,2.1066,2.0473,2.0612,2.0247,1.5282,0.0736,0.0143,0.0144,0.0174,0.0115,1.3941,1.489,0.0751,0.0126,0.0132,0.022,0.0097,17.9
AKAWAK,80.91,202.59,2.45,6.28,6.96,38.6,31.4,17.6,531.55,-4.179,-0.959,1.94,2.15,1.85,-0.1576,-0.113,0.1959,0.1938,2.1406,3.0448,3.1706,3.1309,29.2542,7.3049,7.1247,7.2219,0.9349,0.6183,0.3551,3.0143,3.8532,1.3182,1.1355,6.4115,12.5288,4.177,4.1907,4.161,10.217,2.0045,2.0463,2.0312,2.0619,2.0731,1.2321,0.2309,0.0337,0.0472,0.0592,0.036,1.1992,1.1133,0.2381,0.0444,0.0407,0.0526,0.0376,25.6
ALAMET01,81.28,217.33,1.98,6.85,5.72,47.1,37.1,18.3,537.1,-4.0143,0.2925,1.98,2.11,1.91,-0.2204,-0.1265,0.1751,0.0463,2.074,2.9409,3.197,1.9419,29.1533,7.3972,7.203,8.4386,0.7975,0.5701,0.3371,3.0287,3.8614,1.2703,1.2349,6.4097,12.4775,4.0986,4.1812,4.1978,10.333,2.0647,2.0279,2.0585,2.0617,2.1202,1.1294,0.2364,0.0434,0.033,0.0642,0.0311,1.4613,1.5703,0.0696,0.0111,0.0192,0.0133,0.0103,37.2
ALODAH,84.99,196.46,1.63,5.62,7.24,33,21,10.4,443.2,-4.331,-2.7338,1.92,1.97,1.82,-0.0157,-0.0654,0.2067,0.0638,2.4267,3.1938,3.3441,2.035,29.0734,7.2414,7.0725,8.428,0.9806,0.7029,0.4224,3.0196,3.7954,1.2634,1.3434,6.3726,12.5279,4.1536,4.2155,4.1588,10.1147,1.9611,2.0405,2.0558,2.0678,1.9894,1.2539,0.2597,0.0534,0.0418,0.0546,0.0547,1.4545,1.5326,0.0724,0.0176,0.0117,0.0165,0.011,19.8
ALOLIW,80.74,209.42,1.74,6.87,8.88,36.7,30.8,18.4,634.98,-4.0555,-0.927,2.18,1.95,1.86,-0.1648,-0.1166,0.1077,0.0921,1.9512,3.0131,2.031,3.1471,29.2162,7.3093,8.4563,7.1926,0.8973,0.2383,0.6248,3.0169,3.8577,1.2021,1.3145,6.4479,12.4822,4.1498,4.1499,4.1825,10.2345,2.0188,2.0102,2.0557,2.0687,2.081,1.5375,0.071,0.0108,0.0185,0.0151,0.01,1.2612,1.1697,0.2267,0.0452,0.0284,0.0618,0.0271,26
ANAGUT,81.56,240.22,2.18,11.58,9.85,37.9,28,18.2,809.36,-4.1996,-2.3573,2.02,2.01,1.87,-0.1229,-0.1079,0.1343,0.1208,2.1285,3.0321,2.0794,3.1773,29.1175,7.3623,8.4396,7.0081,0.9236,0.3936,0.5497,3.0207,3.8466,1.3088,1.1906,6.3928,12.4819,4.1428,4.1913,4.1478,10.2479,2.0095,2.0835,2.0649,2.0453,2.0448,1.4578,0.077,0.0238,0.0138,0.0103,0.0174,1.13,1.3529,0.3003,0.044,0.073,0.0616,0.0504,16.3
ANITUN,68.83,156.77,1.8,8.45,8.79,26.1,18.9,13,596.09,-4.4413,-0.7287,3.29,1.85,1.81,0.0265,-0.1295,0.0583,0.1482,1.8705,3.0472,2.1476,3.5309,29.257,7.2581,8.3907,7.0398,0.9639,0,0.795,3.0136,3.8737,1.3189,1.1446,6.5063,12.4004,4.1758,4.1805,4.0441,10.0663,1.9678,2.0156,2.014,2.0529,2.0161,1.4409,0.0666,0.0218,0.0062,0.0135,0.0102,1.2143,1.2496,0.2638,0.0351,0.061,0.0661,0.0362,30.1
ANITUO,93.91,212.24,2.27,8.13,6.54,37.6,26.2,14.5,530.18,-4.0289,-2.3644,1.93,1.96,1.84,-0.0454,-0.0908,-0.0863,0.1183,2.4067,3.0967,1.843,3.0276,28.9945,7.2829,8.5684,7.227,0.9309,0.5148,0.5849,3.0183,3.828,1.2649,1.3854,6.3603,12.5107,4.1179,4.189,4.2038,10.174,1.9602,2.0479,2.0743,2.0551,2.0365,1.5244,0.0705,0.0087,0.0124,0.0257,0.0086,1.2012,1.1983,0.2901,0.041,0.0801,0.0537,0.0536,12.2
ANOVEG,93.58,198.06,2.28,11.11,9.44,32.7,26.4,18,754.82,-3.8821,-2.3649,1.95,1.9,1.84,-0.083,-0.0889,0.0882,0.1638,2.1606,3.0873,2.0722,2.034,29.0015,7.2778,8.4777,8.4298,0.9592,0.4788,0.4563,3.0136,3.8297,1.3342,1.3017,6.379,12.5007,4.145,4.1639,4.1917,10.203,2.0123,2.0518,2.0111,2.0615,2.0662,1.4739,0.0762,0.0198,0.0142,0.0136,0.0131,1.3579,1.4953,0.0872,0.0213,0.0091,0.0243,0.0112,14
APAKUZ,93.01,203.64,1.69,7.31,8.5,32.8,24.3,16.8,618.03,-4.6275,-3.3948,1.84,1.85,1.82,0.1505,0.0242,0.1061,0.1214,2.6119,3.2825,2.101,2.0294,28.8792,7.0947,8.4433,8.4718,0.9834,0.6676,0.589,3.0294,3.6911,1.1976,1.2712,6.3368,12.516,4.1335,4.2184,4.1641,9.996,2.0571,1.9383,2.0127,2.0151,1.9728,1.4871,0.0824,0.021,0.0136,0.0154,0.014,1.4512,1.3658,0.0849,0.0238,0.0121,0.0115,0.022,33.9
APOTIJ,87.51,187.93,1.55,8.5,12.64,31.8,22.9,14.8,703.9,-3.8876,-1.2055,1.94,2.04,1.89,-0.1324,-0.1306,0.0299,0.1284,1.8452,2.9659,2.0007,2.0346,29.0575,7.3771,8.516,8.4205,0.8671,0.5797,0.2556,3.0282,3.866,1.2884,1.4605,6.4352,12.4392,4.0608,4.214,4.1644,10.2577,2.0564,2.0342,2.0673,2.0074,2.0924,1.5207,0.0732,0.0184,0.0131,0.0135,0.0142,1.5193,1.5517,0.0767,0.0237,0.0142,0.0097,0.0166,21.4
AQINAP,87.85,217.68,2.75,7.89,9.34,40.6,32.7,23.2,718.17,-4.3092,-2.8472,1.97,2.07,1.86,-0.0359,-0.0862,0.1614,0.1609,2.1217,3.1032,3.0837,2.0489,29.0306,7.2846,7.2379,8.4359,0.9455,0.613,0.271,3.0199,3.8262,1.3345,1.1414,6.38,12.4532,4.2074,4.1636,4.0822,10.2024,2.0258,2.0799,2.0484,2.0535,1.9947,1.3331,0.2824,0.0361,0.0615,0.078,0.0396,1.3828,1.5435,0.0743,0.015,0.0159,0.0185,0.0108,14.6
AQOPIG,75.87,265.5,2.18,6.41,7.44,49.8,31.7,15.9,497.52,-4.8038,-1.6554,2.11,2.11,2.08,-0.1575,0.0845,0.222,0.1489,1.9502,3.1927,3.2249,3.0894,28.9566,7.2519,7.1541,6.9294,0.4315,0.4607,0.3645,2.9639,3.6984,1.2352,1.2902,6.319,12.5092,4.1316,4.2024,4.1752,10.3291,2.1013,2.0401,2.0632,2.0343,2.0902,1.1273,0.2525,0.0543,0.052,0.0419,0.0553,1.2498,1.1858,0.3385,0.061,0.0526,0.0751,0.0601,40.6
ARADED,81.81,180.83,1.71,8.91,7.55,30,20,13.6,578.34,-4.2199,-1.6872,2.16,1.91,1.84,-0.1225,-0.1175,0.0795,0.1064,2.0422,3.0386,2.048,3.2728,29.1567,7.3255,8.4229,6.9191,0.9454,0.279,0.6373,3.0159,3.8582,1.3005,1.1425,6.4318,12.5037,4.1703,4.1927,4.1407,10.1866,1.9948,2.0449,2.0331,2.0493,2.0646,1.4731,0.0677,0.0221,0.01,0.0105,0.0113,1.1979,1.2077,0.3251,0.0433,0.0654,0.089,0.0448,26
ARANOW,85.85,196,1.68,6.41,7.32,35.5,23.6,14.4,533.77,-4.1199,-2.2068,1.97,1.96,1.84,-0.0584,-0.0906,0.0398,0.0693,2.2369,3.0821,3.0923,1.9567,29.0164,7.3075,7.0496,8.5293,0.9332,0.5855,0.4108,3.0182,3.8286,1.2868,1.2595,6.3922,12.4796,4.1989,4.1594,4.1213,10.1862,2.0167,2.0734,2.0577,2.0629,1.9754,1.3371,0.316,0.041,0.0687,0.0979,0.0395,1.4405,1.5404,0.0765,0.0113,0.0151,0.0217,0.0104,17.2
ARFIMP10,80.32,185.24,1.7,8.36,7.61,30.2,23.2,16.4,612.01,-3.919,0.7174,2.23,1.96,1.91,-0.1947,-0.1219,0.1684,-0.0907,1.8958,2.9949,3.0669,3.0352,29.1991,7.3374,7.2698,7.4131,0.8591,0.229,0.6595,3.0212,3.8624,1.3107,1.2668,6.4679,12.5034,4.2325,4.1036,4.1673,10.2232,2.0241,2.0693,2.035,2.0379,2.0569,1.1055,0.2421,0.0412,0.0603,0.0376,0.0608,1.3702,1.3599,0.1484,0.0169,0.0546,0.017,0.0294,28.8
AROJAU,82.02,218.5,2.93,7.17,6.45,45.4,37.8,22.7,625,-4.0005,-1.5339,1.96,2.01,1.85,-0.1516,-0.1025,0.2139,0.162,2.3001,3.0259,3.3282,2.9626,29.2306,7.3069,7.0671,7.2348,0.9226,0.5816,0.4685,3.0129,3.845,1.2106,1.3132,6.3842,12.5424,4.144,4.1965,4.2018,10.2248,2.0036,2.0404,2.0388,2.0489,2.0931,1.1707,0.2568,0.031,0.0627,0.0597,0.0409,1.2524,1.1545,0.2243,0.0541,0.0288,0.0567,0.0346,29.4
ASEFOU,63.26,157.61,2.13,7.3,17.57,24.2,14.1,8.4,702.72,-3.8258,-2.3267,2.11,2.04,1.83,-0.0996,-0.1307,0.0442,0.0525,1.7616,3.0327,1.9547,1.9814,29.116,7.3348,8.5028,8.4983,0.9488,0.305,0.4463,3.015,3.8688,1.3133,1.2601,6.4597,12.3847,4.1113,4.1739,4.0994,10.255,1.9971,2.0781,2.0495,2.0529,2.0773,1.4431,0.0675,0.0121,0.0067,0.0221,0.0089,1.4538,1.5883,0.0687,0.0074,0.0205,0.0144,0.0097,18.3
ASOLOL,87.93,193.77,1.55,8.12,9.59,31.6,24,16.2,631.41,-4.2675,-1.8829,2.1,1.95,1.83,-0.0239,-0.1166,0.1578,0.1576,1.9231,3.0536,2.089,2.1396,28.968,7.343,8.3777,8.3743,0.9624,0.265,0.4676,3.0214,3.8522,1.2444,1.3229,6.4016,12.406,4.1938,4.1027,4.1094,10.216,2.0665,2.0342,2.0569,2.04,2.0183,1.5009,0.0766,0.0158,0.0101,0.0234,0.0089,1.3692,1.4696,0.0808,0.0178,0.0081,0.021,0.0133,15.8
ATAWIC,87.33,196.62,2.4,5.48,6.63,36.3,28.4,14.7,495.24,-3.6812,-2.575,1.86,1.87,1.81,0.0265,-0.0382,-0.0424,-0.018,2.7127,3.2003,1.9167,1.9603,28.9713,7.185,8.6033,8.5265,0.9508,0.7198,0.6068,3.0244,3.7597,1.2982,1.1823,6.3652,12.5448,4.169,4.2275,4.1483,10.0629,2.0579,1.9929,2.0573,1.9858,1.969,1.4116,0.0715,0.0158,0.0074,0.0162,0.0101,1.6065,1.4885,0.0742,0.0078,0.0123,0.021,0.008,19.2
ATMHYD,81.84,179.34,1.55,5.47,8.21,30.7,21.5,13.7,513.49,-4.2092,-1.7434,1.9,2.17,1.85,-0.0372,-0.1292,0.17,0.1383,1.8491,3.0125,2.1454,2.0516,28.9628,7.3728,8.3363,8.4197,0.9462,0.4615,0.2053,3.0223,3.8672,1.3151,1.2162,6.4129,12.3971,4.1749,4.1379,4.0842,10.2268,2.0015,2.0856,2.0521,2.0686,2.0191,1.5161,0.083,0.0116,0.0126,0.0259,0.0109,1.4094,1.527,0.0725,0.0128,0.0126,0.022,0.0097,12.1
ATOKAX,82.12,177.96,1.69,9.4,7.64,29.3,19.4,12.3,553.26,-4.4682,-2.4781,1.88,2.36,1.81,-0.0316,-0.1033,0.1031,0.106,2.056,3.108,3.2602,2.1034,29.1271,7.2669,6.9952,8.4039,0.9986,0.7395,0.171,3.014,3.8429,1.3072,1.1467,6.4349,12.477,4.171,4.2053,4.1006,10.1193,1.9862,2.0402,2.0259,2.0238,2.0432,1.1334,0.3228,0.0414,0.0653,0.0955,0.0474,1.4149,1.4414,0.0681,0.0229,0.0073,0.0115,0.0117,25
