Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
HUFYAI,84.74,189.61,1.56,6.75,8.35,35.1,28.7,17.3,597.49,-3.8008,-1.1068,1.99,1.96,1.86,-0.1117,-0.1106,0.1112,0.0388,1.9255,3.0175,1.9383,1.9715,29.0248,7.3268,8.4853,8.5227,0.9005,0.3359,0.4996,3.0169,3.852,1.4058,1.2618,6.4179,12.4443,4.0912,4.199,4.1541,10.2492,2.0351,2.0103,2.0382,2.0348,2.1307,1.3899,0.0797,0.0224,0.0159,0.0067,0.0242,1.4638,1.5354,0.073,0.0214,0.0145,0.0092,0.0178,18.4
HUGHAV,78.69,174.33,1.73,9.55,10.08,29.6,19.6,13,614.05,-4.3567,-2.0366,1.91,2.3,1.83,-0.07,-0.1192,0.1333,0.1297,2.0065,3.0608,3.2429,2.1092,29.1787,7.3002,7.0615,8.397,0.977,0.6994,0.1806,3.0132,3.8624,1.3024,1.1542,6.4485,12.47,4.1729,4.1971,4.1,10.1511,1.9835,2.0475,2.0258,2.0475,2.0468,1.3009,0.2974,0.0394,0.074,0.0637,0.0432,1.4247,1.4443,0.0705,0.0245,0.0078,0.0105,0.0125,25.2
HUKGUP,80.72,203.53,2.22,6.52,11.24,37.8,28.1,15.3,616.82,-4.0661,-0.7388,2.05,2.01,1.9,-0.2019,-0.1181,0.1886,0.0946,2.1193,3.0048,3.1744,3.0583,29.2529,7.3483,7.1675,7.1948,0.8703,0.4633,0.5552,3.0216,3.8561,1.2641,1.2557,6.4134,12.537,4.1585,4.2048,4.1737,10.2513,2.0234,2.0237,2.052,2.0671,2.0852,1.3197,0.2479,0.0404,0.0403,0.0632,0.0397,1.2638,1.1415,0.2248,0.0525,0.0224,0.0621,0.0263,26.8
HUKHUQ,80.71,208.77,1.8,7.78,11.36,39.9,30.5,18.5,700.68,-4.07,-0.8521,2,2.05,1.89,-0.2007,-0.1169,0.1021,0.1912,2.1181,3.006,3.0657,3.1834,29.2369,7.3462,7.2304,7.1554,0.8656,0.5415,0.471,3.0208,3.8556,1.3728,1.1707,6.4078,12.5353,4.1882,4.1714,4.1758,10.2573,2.0298,2.0422,2.06,2.0551,2.0702,1.1538,0.2223,0.0483,0.0339,0.0531,0.0347,1.1774,1.2563,0.2477,0.0352,0.0528,0.064,0.0387,25.7
HUKKED,81.23,182.6,3.35,7.07,9.85,30.9,24.2,16.7,724.86,-4.147,-1.3547,1.9,2.21,1.85,-0.1268,-0.1168,0.1533,0.1141,2.0086,3.0253,3.3338,2.0155,29.2103,7.3104,7.0861,8.4706,0.9316,0.7095,0.2289,3.0153,3.8584,1.2174,1.2216,6.4463,12.4953,4.1623,4.15,4.183,10.1849,2.0232,2.0006,2.0344,2.0637,2.063,1.1494,0.2549,0.0488,0.0443,0.0578,0.0331,1.4215,1.5402,0.0687,0.011,0.0191,0.014,0.0103,25.2
HUKNIL01,99.71,262.69,1.7,6.43,7.9,42.3,27.7,14.4,495.9,-4.7015,-1.4319,1.9,1.96,2.01,-0.1121,0.0704,0.0582,0.1677,1.9287,3.242,2.0586,3.2439,29.0279,7.1653,8.5047,7.1098,0.5768,0.5995,0.5403,2.9576,3.7143,1.157,1.3097,6.3411,12.4844,4.122,4.1978,4.1646,10.2863,2.036,2.0355,2.0747,2.0606,2.0795,1.539,0.0784,0.0184,0.015,0.0156,0.0139,1.1605,1.3156,0.2518,0.0452,0.0474,0.0593,0.0433,19.4
HUKPUY,82.29,179.96,1.7,4.38,9.38,27.8,15.9,9,485.76,-4.1063,-2.1896,2.18,1.89,1.82,-0.1302,-0.1243,0.1142,0.1097,1.8249,3.0343,2.0855,2.1447,29.0574,7.3403,8.4212,8.4044,0.9365,0.2214,0.5394,3.0134,3.8625,1.3655,1.1882,6.4388,12.4695,4.1603,4.1515,4.1576,10.2215,2.014,2.0486,2.0185,2.0799,2.0606,1.4149,0.0712,0.01,0.0174,0.0169,0.012,1.4205,1.424,0.08,0.0214,0.0169,0.0095,0.0226,23.6
HUNNOU,74.1,160.72,2.3,6.34,9.1,28,23.6,17.7,582.78,-4.1598,0.1306,2.81,1.88,1.86,-0.086,-0.1415,0.1072,-0.0033,1.6959,3.0174,2.129,1.9357,29.202,7.3161,8.3471,8.5626,0.9262,0,0.7121,3.0252,3.8766,1.3038,1.2143,6.5381,12.3644,4.1696,4.141,4.0538,10.1832,1.9719,2.0661,2.044,2.0649,2.0364,1.4736,0.0666,0.0225,0.0059,0.0121,0.0098,1.5458,1.5947,0.0739,0.0076,0.0179,0.0159,0.0117,32
HUNYEV02,81.87,229.02,2.29,7.76,8.68,38.6,31.3,20.6,659,-4.2576,-2.5837,1.98,1.99,1.82,-0.0768,-0.0869,0.1375,0.1634,2.2578,3.1313,2.1119,3.1497,29.1163,7.2646,8.438,7.0436,0.9832,0.4384,0.5695,3.0148,3.8229,1.333,1.2006,6.3814,12.5052,4.1819,4.1669,4.1565,10.1898,1.9854,2.0633,2.0454,2.0494,2.0463,1.4596,0.0781,0.0233,0.0149,0.0095,0.0196,1.13,1.3279,0.308,0.0399,0.0814,0.068,0.0437,15.6
HUPNUE,81.36,231.9,1.72,8,6.55,37.7,26.8,15.3,540.96,-4.2783,-2.1382,2.01,2.06,1.86,-0.1134,-0.108,0.1288,0.1603,2.118,3.0757,3.1975,2.1344,29.1116,7.3358,7.0006,8.3882,0.963,0.5642,0.3257,3.0189,3.8484,1.3256,1.1911,6.3969,12.471,4.1561,4.174,4.1408,10.2452,2.0042,2.0714,2.0486,2.0535,2.0675,1.3373,0.2956,0.0461,0.0696,0.0595,0.0403,1.4235,1.4584,0.0773,0.0238,0.0153,0.0083,0.0198,19.1
HXOXAM10,80.51,187.54,1.66,4.28,6.19,30.7,18.4,7.6,405.49,-4.1258,-0.3961,2.12,1.99,1.88,-0.1753,-0.1225,0.1019,0.0052,1.893,2.9877,2.0669,2.9738,29.1238,7.3634,8.4219,7.1006,0.8756,0.2714,0.5747,3.0216,3.8613,1.3433,1.1648,6.4453,12.4941,4.1796,4.1311,4.1835,10.2355,2.0281,2.0473,2.037,2.0776,2.0455,1.4254,0.0721,0.0109,0.0226,0.0111,0.0145,1.2908,1.2947,0.2904,0.0368,0.0717,0.0544,0.0622,27
IBOGUE,86.94,186.88,1.67,4.46,8.18,30.6,19.4,11,477.93,-4.2323,-2.6255,2.11,1.92,1.83,-0.1192,-0.0966,0.1253,0.0771,2.1038,3.0933,2.1091,3.2221,29.129,7.3013,8.418,7.021,0.9545,0.3219,0.6357,3.0185,3.832,1.3156,1.1726,6.4136,12.522,4.1713,4.1492,4.2015,10.1833,2.031,2.0441,2.0295,2.0406,2.0382,1.4036,0.0692,0.0113,0.0202,0.0117,0.0128,1.2466,1.1784,0.3067,0.031,0.0773,0.068,0.0551,23.8
IBUMAT,85.83,185.28,1.56,6.86,7.37,30.5,21.7,12.6,492.13,-3.8093,-1.5249,2.02,1.97,1.89,-0.1241,-0.1241,0.1137,0.093,1.8127,2.9792,2.0451,2.0423,29.0253,7.3624,8.4101,8.4577,0.8833,0.2765,0.489,3.0263,3.8609,1.2471,1.3636,6.4244,12.4284,4.1729,4.1317,4.1237,10.271,2.0188,2.096,2.0544,2.0587,2.0431,1.5043,0.0761,0.0107,0.0133,0.024,0.0094,1.4296,1.5201,0.0744,0.0128,0.013,0.0202,0.01,18.9
ICAPOU,80.4,182.75,2.81,7.52,9.59,37.1,30.6,19.1,656.26,-4.0084,-0.9069,1.96,2.16,1.87,-0.1733,-0.126,-0.0693,0.1598,1.8318,3.0251,1.8037,2.0987,29.1355,7.3259,8.6511,8.3895,0.9022,0.5899,0.233,3.0206,3.863,1.2278,1.2536,6.4521,12.4449,4.1229,4.1984,4.1236,10.276,2.0251,2.0629,2.0531,2.0643,2.0706,1.6042,0.0673,0.0149,0.017,0.0056,0.023,1.4207,1.4569,0.0727,0.0227,0.0088,0.0132,0.0105,26.7
ICIGAC,81.06,180.42,2.03,7.55,9.73,29.8,19.1,14.1,606.09,-4.474,-2.2724,2.17,1.9,1.81,-0.07,-0.1012,0.1543,0.1115,2.1385,3.1189,2.1455,3.1732,29.1203,7.2799,8.3507,6.933,1.0011,0.2525,0.6974,3.0144,3.8384,1.2591,1.2714,6.4175,12.5112,4.167,4.2094,4.1349,10.1409,1.9876,2.0601,2.0195,2.0227,2.0509,1.4832,0.0696,0.0214,0.0075,0.0128,0.0103,1.2638,1.0893,0.3176,0.0561,0.0453,0.0882,0.0553,24.7
IDADEX,81.53,206.08,3.43,9.58,8.28,42.5,35.4,24.8,750.15,-4.0037,-1.2844,2.02,1.96,1.86,-0.1548,-0.104,0.1671,0.2112,2.2262,3.0167,2.9239,3.3123,29.2124,7.2969,7.2151,7.0721,0.8929,0.4827,0.5734,3.013,3.8457,1.3086,1.1665,6.3853,12.5476,4.1723,4.1949,4.1804,10.2217,2.0381,2.028,2.0423,2.0488,2.0646,1.1202,0.2275,0.0508,0.0232,0.0644,0.026,1.0688,1.3301,0.257,0.0354,0.0472,0.0711,0.0291,32.1
