Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
ACALIC,0,-15.1,6.9,24.1,-61.4,22,39.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACAMIB,0,-20.7,-1.1,20.3,-61.4,19.6,41,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACAMUN01,0,-20.9,5.6,21.9,-61.4,26.5,42.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACANAC11,0,-19.5,-2.5,19.9,-61.4,17,39.4,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
ACANAU,0,-21.4,4.3,19.5,-61.4,25.6,40.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACARBM02,0,-20.4,55.5,31,-61.4,75.9,51.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACCITR10,0,-19.5,-0.8,19.8,-61.4,18.7,39.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACDHAL,0,-18.7,30.2,27.7,-61.4,49,46.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACEGAR,0,-14.4,-3.1,20.3,-61.4,11.3,34.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACENAY,0,-20,-3.8,18.7,-61.4,16.2,38.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACENEC,0,-29.5,1.3,24.2,-61.4,30.8,53.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
ACENIG,0,-18.2,1,26,-61.4,19.2,44.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACEQIJ,0,-15.4,17,26.9,-61.4,32.4,42.3,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
ACEQIK,0,-17,11.2,19.2,-61.4,28.3,36.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACETOS,0,-20,-1.3,17.6,-61.4,18.8,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACETSC10,0,-20.6,-1.4,17.5,-61.4,19.3,38.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACETTP,0,-20.1,4.9,18.6,-61.4,25,38.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACETUA,0,-20.7,1.7,16.1,-61.4,22.5,36.8,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACGLUA11,0,-14.7,5.2,17.3,-61.4,19.9,31.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACICAS,0,-15.9,-11.2,9.2,-61.4,4.7,25.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ACICIA,0,13.3,14.9,-46.1,-61.4,14.9,-46.1,Not Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
ACICIY,0,-55.8,-38.4,-16.4,-61.4,17.3,39.4,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACIDEV,0,-17.7,1.1,25.1,-61.4,18.8,42.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACIHEB,0,-2.6,2.3,17.3,-61.4,4.9,19.8,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
ACILEF,0,-19.2,-0.1,20.5,-61.4,19.1,39.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACIWIS,0,-19.5,3.4,20.6,-61.4,22.9,40.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACIXAL01,0,-20.6,-5.4,15.8,-61.4,15.2,36.4,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACLACT,0,-25.4,11.1,24.7,-61.4,36.4,50.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACLLEU,0,-17.2,1.2,18.3,-61.4,18.5,35.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACLTRY,0,-17.5,-1.3,18.8,-61.4,16.2,36.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
ACNAQU01,0,-21.9,-9.4,12,-61.4,12.5,33.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACNPEC,0,-13.5,4.6,17,-61.4,18.1,30.5,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
ACOGAA,0,-270.7,-267.1,-246.4,-61.4,3.6,24.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ACOMUC01,0,-20.2,-3.7,18.4,-61.4,16.4,38.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACONIR,0,-20.3,-5,19,-61.4,15.3,39.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
ACOQIS,0,-26.8,-2.7,14.8,-61.4,24.2,41.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACOXAS,0,-19.8,-1,20.6,-61.4,18.8,40.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACOXOG,0,-13.4,7.3,7.5,-61.4,20.7,20.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ACOZUQ,0,-20.6,-0.7,20.4,-61.4,19.9,41,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACPENC10,0,-7.9,-4.6,19.4,-61.4,3.3,27.3,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
ACRLAC03,0,-20.4,-4.5,17.6,-61.4,15.9,38,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACSALA19,0,-20.3,2.2,17.2,-61.4,22.6,37.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACUFOT,0,-20.8,15.9,11.9,-61.4,36.7,32.7,Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
ACUGAG,0,-17.4,17.6,30,-61.4,35,47.4,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
ACUHOV,0,-19.1,16,21.9,-61.4,35.1,41,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACUWED,0,-21,-0.3,15.4,-61.4,20.7,36.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ACUZIJ,0,-15.6,10.3,7.3,-61.4,26,22.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ACUZON,0,-20.6,168.4,19.2,-61.4,189,39.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ACXTPY,0,-22.5,2.7,16.1,-61.4,25.2,38.6,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
ACYGLY12,0,-21,2.8,27,-61.4,23.8,48,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
