Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
HIVSUB,0,-6.8,-5.4,16,-61.4,1.4,22.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIVTEM,0,-18.5,1.8,19,-61.4,20.3,37.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIVVEO,0,-25.6,8,21.5,-61.4,33.7,47.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HIVYAN,0,-19.6,-5,18.7,-61.4,14.6,38.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIVYUJ,0,-20.5,3.1,16.8,-61.4,23.6,37.3,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HIVZUI,0,-15.4,2.3,18.8,-61.4,17.7,34.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HIWBAR,0,-21.9,0.1,23,-61.4,21.9,44.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIWMUW,0,-20.8,-2.7,19.3,-61.4,18.1,40.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIWNAD,0,-19.1,-2.7,19.9,-61.4,16.4,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIWNEH,0,-18.6,6.7,18.9,-61.4,25.3,37.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIWPOV,0,-16.3,8.6,9.2,-61.4,24.9,25.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HIWQOV,0,No Value,9.6,21,-61.4,No Value,No Value,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HIWREM,0,-18.6,-0.2,19.4,-61.4,18.3,38,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIWSAH,0,-17.9,6.1,20.7,-61.4,24,38.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIXCID,0,-15.7,12.1,29.8,-61.4,27.8,45.5,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
HIXPAH,0,-18.3,3.8,20.9,-61.4,22.1,39.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HIXSAI,0,-26.9,7.6,17.4,-61.4,34.6,44.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HIXVIV,0,-3230.6,-3195.9,-3206.3,-61.4,34.7,24.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HIXWUJ,0,-19.1,7.1,19.1,-61.4,26.2,38.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIXZIA,0,-18.1,-0.4,19.6,-61.4,17.8,37.8,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HIYFIE,0,-18.4,-2.4,19,-61.4,16,37.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIYFUQ,0,-19.5,8.7,19.1,-61.4,28.2,38.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HIYHII,0,-20.2,2.3,16.5,-61.4,22.6,36.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HIYHUS,0,-20.8,-7.3,18,-61.4,13.6,38.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HIYJEH,0,-19.3,4.2,20.8,-61.4,23.6,40.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIYYOG,0,-17.6,0.7,19.4,-61.4,18.3,37,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIYZEX,0,-18.7,0.3,42.9,-61.4,19,61.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIZCAX,0,-18.7,7.3,25,-61.4,26,43.7,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HIZCIE,0,-30.5,-22.6,11.6,-61.4,7.9,42.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HIZCUQ,0,-11.1,-2.3,21.7,-61.4,8.8,32.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIZDOK,0,-20.8,-6.2,18,-61.4,14.6,38.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HIZHII,0,-23.5,-4.8,15.4,-61.4,18.7,38.8,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HIZKUZ,0,-22,-3.8,16.8,-61.4,18.1,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIZMAH,0,-14.9,-5,11,-61.4,9.8,25.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIZROA,0,-19.2,8.5,18.4,-61.4,27.8,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HIZSIV,0,-21.6,6.9,16.8,-61.4,28.5,38.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HMALAC01,0,-15.5,5.2,19.8,-61.4,20.6,35.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HMAUNA20,0,-21.8,0,19.5,-61.4,21.9,41.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HMCFUR,0,-24,4.7,25.8,-61.4,28.6,49.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HMEASP,0,-19.5,3.5,24.8,-61.4,23,44.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HMGLUT,0,-16.8,-9.8,16.5,-61.4,7,33.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HMHPCX,0,-24.7,-5.9,18.9,-61.4,18.8,43.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HMITZC,0,-18.2,10,17.4,-61.4,28.2,35.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HNBOCL,0,-21.1,5.7,18.8,-61.4,26.8,39.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOBBAE,0,-13.5,10.8,21.6,-61.4,24.3,35.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOBDUY,0,-19.1,-1.9,18.6,-61.4,17.2,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOBHEN,0,-10.9,8.5,21,-61.4,19.4,31.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOBHIR,0,-17,7.7,19.7,-61.4,24.7,36.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOBLAN,0,-20.2,4.1,17.8,-61.4,24.3,38,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOBLOB,0,-20.9,3.6,17,-61.4,24.5,37.9,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOBYUT,0,-21.7,-0.3,19.7,-61.4,21.4,41.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOBZED,0,-13.9,15.2,26.5,-61.4,29.1,40.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOCFEN,0,-27.6,-11.2,17.6,-61.4,16.4,45.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOCKAN,0,-21.7,-1.6,19.6,-61.4,20.1,41.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOCLAO,0,-19.6,4.3,19.9,-61.4,23.9,39.5,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HOCMIW,0,-21.2,0.4,20.2,-61.4,21.6,41.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOCVEA,0,-25.4,-11.7,8.2,-61.4,13.7,33.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HODHOY,0,-20,0.9,14.3,-61.4,20.9,34.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODHUE,0,-17.1,4.9,23.9,-61.4,22,41,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODJEQ,0,-20.9,2.5,18.2,-61.4,23.4,39.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODMAP,0,-17.9,1.9,27.1,-61.4,19.8,45,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODNEU,0,-17.9,-0.1,20.5,-61.4,17.8,38.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HODQUP,0,-19.3,16.7,46.7,-61.4,36,66,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODSAV,0,-21.4,-3.5,13,-61.4,17.8,34.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODSEZ,0,-7.9,-8,16.9,-61.4,0,24.8,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODSOI,0,-20.6,-12.3,17.3,-61.4,8.3,37.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HODTEA,0,-18.3,13,23.8,-61.4,31.3,42.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODTUQ,0,-30.2,-16.1,9.4,-61.4,14.1,39.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODXAA,0,-20.7,4.2,15.5,-61.4,24.9,36.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HODYOP,0,-19.7,-4.5,19.3,-61.4,15.3,39.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOFBEK,0,-20.3,-5,17.5,-61.4,15.3,37.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOFDOX,0,-16.4,-0.9,19,-61.4,15.6,35.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOFDUB,0,-13.4,9.2,19.8,-61.4,22.6,33.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOFJUH,0,-33.1,-37.1,-43.1,-61.4,-4,-10,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOFLAP,0,-1563.8,-1542,-1519.1,-61.4,21.8,44.8,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOFLAQ,0,-18.6,1.1,38,-61.4,19.7,56.5,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOFLUK01,0,-22.9,-0.8,20.1,-61.4,22.1,43.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOFNAR01,0,-22,17.7,19.8,-61.4,39.7,41.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOFNEW01,0,-10.5,1.9,21.9,-61.4,12.4,32.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOFRIE,0,-17,-8,14.9,-61.4,9,31.9,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOFVAA,0,-19.9,-3.6,18.9,-61.4,16.3,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOFWEF,0,-21.5,-1.3,12.4,-61.4,20.1,33.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOFYUZ,0,-20.8,-4.8,18.5,-61.4,16,39.4,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOFZOR,0,-19,-4.5,19.6,-61.4,14.5,38.5,Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
HOGFIU01,0,-18.9,8,20.8,-61.4,26.9,39.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOGJEV,0,-20.1,3.1,12.9,-61.4,23.1,33,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOGKAS,0,-11,2.5,14.8,-61.4,13.4,25.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOGKEV,0,-21.1,9.4,18.3,-61.4,30.5,39.4,Not Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
HOGPAX,0,-37.5,-19.3,3.7,-61.4,18.2,41.3,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOGPEB,0,-19.9,2.6,19,-61.4,22.6,38.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOGPOL,0,-14.2,-2.1,14.7,-61.4,12.1,28.9,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOGVIK,0,-19,18.2,12.5,-61.4,37.2,31.5,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOGXUX,0,-21.3,-0.3,17.4,-61.4,21,38.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOGYEH,0,-20.6,4.3,13.9,-61.4,24.9,34.5,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOGZIN,0,-20.5,3.3,24.4,-61.4,23.8,44.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOHFAM,0,0.5,-1.5,-2214845.4,-61.4,-1.5,-2214845.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOHHOC,0,-18.2,0,19.3,-61.4,18.2,37.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOHHUI,0,-20,-0.5,18.9,-61.4,19.5,38.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOHJAQ,0,-19.1,-0.6,17.5,-61.4,18.5,36.6,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOHKOH,0,-20,-4.9,17.8,-61.4,15.1,37.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOHXUZ,0,-22.7,-14.5,19.4,-61.4,8.3,42.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOHYEK,0,-22.2,1.9,20.7,-61.4,24.1,43,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOJCUG,0,-21.5,3.4,15.6,-61.4,25,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOJKEY,0,-20.7,-4.2,18.3,-61.4,16.5,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOJSAB,0,-20.9,-4.7,18.5,-61.4,16.2,39.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOJSIK,0,-20.7,3.1,19.3,-61.4,23.8,40,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOJTUW,0,-20.3,3.9,19.4,-61.4,24.2,39.7,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HOJYIR,0,-29.8,-17.9,21.1,-61.4,11.9,50.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOJZEN,0,-20,-5.7,18.5,-61.4,14.3,38.5,Not Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HOJZUB,0,-10.5,-4.7,17.6,-61.4,5.8,28.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOKNON,0,-21.7,5.9,17.6,-61.4,27.6,39.2,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOKNUT,0,-17.8,8,20.8,-61.4,25.8,38.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOKPAA,0,-15.4,5.8,24.3,-61.4,21.2,39.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOKPIJ,0,-17.9,6.5,19.9,-61.4,24.4,37.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOKQUV,0,-20.6,-9.5,15.2,-61.4,11.1,35.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOKSEG,0,-19.9,-4,20.1,-61.4,15.9,40,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOKSEH,0,-6.1,-6.9,13.9,-61.4,-0.8,19.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOKTIL,0,-21,-2.9,13.9,-61.4,18.1,34.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOKVIO,0,-390,-364,-363,-61.4,26,27,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HOKVOU,0,-14.6,6.9,30.9,-61.4,21.5,45.5,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOKWEK,0,-18.6,-4,18.2,-61.4,14.6,36.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOKZUC,0,-17,-3.3,20.1,-61.4,13.7,37.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOLBEQ01,0,-20.7,-6.5,17.5,-61.4,14.2,38.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOLGEV,0,-4.7,5.4,18.4,-61.4,10.2,23.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOLNUS,0,-23.9,3.8,18.3,-61.4,27.7,42.2,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
HOLQII,0,0,-4.8,32.4,-61.4,-4.8,32.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOLQIJ,0,-19,1.7,19.3,-61.4,20.7,38.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HOLXIS,0,-16.5,5.4,25.9,-61.4,21.9,42.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOLZAL,0,-20.3,7,20.2,-61.4,27.3,40.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOMDUI,0,-21.1,-3,18.1,-61.4,18.1,39.1,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOMHAS,0,44.6,-2.8,-9.1,-61.4,-2.8,-9.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOMROQ,0,-20.5,-2.7,19.1,-61.4,17.7,39.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOMSOT,0,-20.2,13,19.2,-61.4,33.2,39.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOMTEK,0,-17.4,0.6,20.6,-61.4,18,38,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOMYEP,0,-23.7,-0.3,20.6,-61.4,23.4,44.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOMYOZ,0,3329.8,3359.8,3367.2,-61.4,3359.8,3367.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HONBAO,0,-16.5,10.6,22.9,-61.4,27.2,39.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HONBAP,0,-20,8.4,-49.4,-61.4,28.5,-29.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HONBIX,0,-21.4,5.5,26.5,-61.4,26.9,48,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HONCET,0,-13.2,-9.6,16.4,-61.4,3.6,29.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HONDAS,0,-21.2,-1.2,13.1,-61.4,20.1,34.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HONJAX,0,-20.3,-5.1,12.3,-61.4,15.2,32.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HONLON,0,-10.8,-7.8,9.2,-61.4,3.1,20,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HONLUT,0,-34.3,-23.8,5.7,-61.4,10.5,40,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HONNUT,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HONWIR,0,-19.8,2.3,23.4,-61.4,22.1,43.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HONXOA,0,-19.1,9.3,19.1,-61.4,28.4,38.2,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HONXOX,0,-27.3,11.7,18.4,-61.4,39,45.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HONYAM,0,-21.3,-1.3,22.8,-61.4,20,44,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOPCEX,0,-20.1,-5.3,18.2,-61.4,14.8,38.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOPJUR,0,-20.1,-4.8,18.1,-61.4,15.3,38.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOPKOM,0,-16,15.1,25.2,-61.4,31.2,41.2,Not Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HOQGEB,0,-17,9.9,26.9,-61.4,26.9,43.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOQMOQ,0,-20.6,1.2,18.3,-61.4,21.8,39,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HOQNAD,0,-20.7,-4.4,17.5,-61.4,16.2,38.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HORBIC,0,-21.1,-1.3,19.1,-61.4,19.8,40.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HORDEX,0,-23.3,6.4,17.9,-61.4,29.7,41.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HORDUN01,0,-20.2,-0.3,18.5,-61.4,19.8,38.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HORFEC,0,-9.54E+32,-9.54E+32,-9.54E+32,0,0,0,Not Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
HORFID,0,-24.9,3.7,14.6,-61.4,28.6,39.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HORJUW,0,-20.4,6.3,20.8,-61.4,26.7,41.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HORRIR,0,-20.7,-5.2,16.6,-61.4,15.5,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HORXAO,0,-19,2.4,20.7,-61.4,21.4,39.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HORXES,0,-18.5,-0.2,20,-61.4,18.2,38.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HORYOF,0,-15.4,10.2,30.3,-61.4,25.6,45.7,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
HOSBIB,0,-6.3,16.6,6.4,-61.4,22.9,12.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOSKUV01,0,-15.2,18.5,46,-61.4,33.7,61.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOSLAC,0,-17.3,0.6,41.7,-61.4,17.8,58.9,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOSMIM,0,-23.2,25.8,26.2,-61.4,49.1,49.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOSNOU,0,-19.1,2.8,-41.4,-61.4,21.9,-22.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HOSVES,0,-23,-4.5,19.7,-61.4,18.5,42.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HOSWAQ,0,-21.6,-2.5,11.4,-61.4,19.1,33,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOSYAS,0,-23.4,-2,16.2,-61.4,21.4,39.6,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOSZEV,0,-21.4,3.5,14.1,-61.4,24.9,35.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOTFIG,0,-20.8,-7.1,22.7,-61.4,13.6,43.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOTHUU,0,-20.3,-4.9,18.8,-61.4,15.3,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOTMOT,0,-21.2,-4.2,-20.9,-61.4,17,0.3,Minimum,Minimum,Correct TS,Calc Fail,,,,,,,,,
HOTPEM,0,-22.5,16.1,40.1,-61.4,38.6,62.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOTTEP,0,-18.5,3.9,22.2,-61.4,22.4,40.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOTTIT,0,-18,6.8,22.2,-61.4,24.7,40.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOTTOA,0,-19.3,11.7,82.2,-61.4,30.9,101.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOTZIA,0,-23.9,-7,16.7,-61.4,16.9,40.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOVBEA,0,-20.4,1.7,16.1,-61.4,22.1,36.5,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOVCAZ,0,-22.1,-6.3,20.9,-61.4,15.8,43,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HOVFON,0,-20.8,4.5,13.5,-61.4,25.3,34.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOVHUY,0,-18.6,1.9,20.2,-61.4,20.5,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOVPAL,0,-18.9,4.4,21.4,-61.4,23.3,40.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOVPEO,0,-21.5,2.4,16.8,-61.4,23.9,38.4,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HOVREP,0,-11.4,7.6,25.1,-61.4,19,36.5,Minimum,Not Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
HOVRUI,0,-22.2,-2.4,21.1,-61.4,19.8,43.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOVSOD,0,-21.7,5.3,16.6,-61.4,27.1,38.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOVZEX,0,-17.5,9.6,21.2,-61.4,27.1,38.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOWSOD,0,-15.9,-2.4,13.6,-61.4,13.5,29.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOWTEU,0,-10.6,-2.2,17.4,-61.4,8.4,28,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOWZAW,0,-10.3,-4.5,13.7,-61.4,5.8,24,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOWZIF02,0,-20.7,-4.6,16.6,-61.4,16.1,37.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOXFUX,0,-21.3,9.4,15.7,-61.4,30.8,37,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
