Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
ADAQEC,Minimum,Minimum,Correct TS,Correct TS
ADAWAF01,Minimum,Not Minimum,Correct TS,Correct TS
ADEKOK,Not Minimum,Minimum,Correct TS,Correct TS
ADENCH01,Minimum,Minimum,Correct TS,Correct TS
ADENIC,Minimum,Minimum,Correct TS,Correct TS
ADENOS01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ADERIL,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADESOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADEWOW,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ADIBAR,Minimum,Minimum,Correct TS,Correct TS
ADIHOK,Not Minimum,Minimum,Correct TS,Correct TS
ADIJAB,Minimum,Minimum,Correct TS,Correct TS
ADIMAC,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ADINAD,Minimum,Minimum,Correct TS,Correct TS
ADINEH,Not Minimum,Minimum,Correct TS,Correct TS
ADIROV,Minimum,Minimum,Correct TS,Correct TS
ADLFUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ADMHEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ADOFEG,Minimum,Minimum,Correct TS,Correct TS
ADOFIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ADOGEG01,Minimum,Minimum,Correct TS,Correct TS
ADOTUJ,Minimum,Not Minimum,Correct TS,Correct TS
ADOXAV,Minimum,Minimum,Correct TS,Correct TS
ADOXEZ,Not Minimum,Not Minimum,Correct TS,Correct TS
ADPCPY,Minimum,Not Minimum,Correct TS,Calc Fail
ADPOSM01,Minimum,Minimum,Correct TS,Correct TS
ADUPIY,Minimum,Minimum,Correct TS,Correct TS
ADUWUS01,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ADUXON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADUYUU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADUZAB,Minimum,Minimum,Incorrect TS,Correct TS
AFADEQ,Minimum,Minimum,Incorrect TS,Correct TS
AFAFIX,Minimum,Minimum,Correct TS,Correct TS
AFANAW01,Minimum,Not Minimum,Correct TS,Correct TS
AFAPIH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFAPUT,Minimum,Minimum,Correct TS,Correct TS
AFAXOV,Minimum,Not Minimum,Correct TS,Correct TS
AFAXUC,Minimum,Minimum,Correct TS,Correct TS
