Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
GUDJAR,Minimum,Not Minimum,Correct TS,Correct TS
GUDLEX,Not Minimum,Not Minimum,Calc Fail,Calc Fail
GUDRIG01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUFBUE,Minimum,Minimum,Correct TS,Correct TS
GUFDOB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUFQON02,Minimum,Not Minimum,Correct TS,Correct TS
GUFVIN,Not Minimum,Minimum,Correct TS,Correct TS
GUFVUB,Minimum,Minimum,Correct TS,Correct TS
GUFWEJ,Minimum,Minimum,Correct TS,Correct TS
GUGFEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GUGHEV,Minimum,Minimum,Correct TS,Incorrect TS
GUGHUL,Not Minimum,Minimum,Correct TS,Correct TS
GUGJEX,Minimum,Minimum,Correct TS,Correct TS
GUGKOJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUGLIE,Minimum,Minimum,Incorrect TS,Correct TS
GUGMIH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUGMUT,Minimum,Minimum,Correct TS,Correct TS
GUGRIM,Minimum,Minimum,Correct TS,Correct TS
GUGWEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUGXUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUGZIS,Not Minimum,Minimum,Incorrect TS,Correct TS
GUHCAQ,Minimum,Minimum,Correct TS,Correct TS
GUHDAP,Minimum,Minimum,Correct TS,Correct TS
GUHFAS,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GUHFIY,Minimum,Minimum,Correct TS,Correct TS
GUHJAW,Not Minimum,Minimum,Incorrect TS,Correct TS
GUHJIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUHJUQ,Minimum,Minimum,Correct TS,Correct TS
GUHPEE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUHRIK,Minimum,Minimum,Correct TS,Correct TS
GUHROQ01,Minimum,Minimum,Correct TS,Correct TS
GUHXAK,Minimum,Minimum,Correct TS,Correct TS
GUHXOZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUJKAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUJNIJ,Not Minimum,Minimum,Correct TS,Correct TS
GUJRAH,Minimum,Minimum,Correct TS,Correct TS
GUJROS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUKLIK,Minimum,Minimum,Correct TS,Correct TS
GUKNOP,Minimum,Minimum,Incorrect TS,Correct TS
GUKNUV,Minimum,Minimum,Correct TS,Correct TS
GUKVUF,Minimum,Minimum,Correct TS,Correct TS
GUKWAM,Minimum,Minimum,Correct TS,Correct TS
GULCEW,Minimum,Minimum,Correct TS,Correct TS
GULHIE,Not Minimum,Minimum,Incorrect TS,Correct TS
GULONO10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GULVEO,Minimum,Minimum,Correct TS,Correct TS
GUMFUS,Minimum,Minimum,Incorrect TS,Incorrect TS
GUMHAA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUMJIJ,Minimum,Minimum,Incorrect TS,Correct TS
GUMLIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUMMUW06,Minimum,Minimum,Correct TS,Correct TS
GUMPAI,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUMSUF,Minimum,Minimum,Correct TS,Correct TS
GUNDOI,Not Minimum,Minimum,Correct TS,Correct TS
GUNFAY,Minimum,Minimum,Correct TS,Correct TS
GUNTAK,Minimum,Minimum,Correct TS,Correct TS
GUNTEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GUOPNA10,Minimum,Minimum,Correct TS,Correct TS
GUOSBH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUPCAY,Minimum,Minimum,Correct TS,Correct TS
GUPDUS,Minimum,Minimum,Correct TS,Correct TS
GUPJEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUPLOU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUPMEL,Minimum,Minimum,Correct TS,Incorrect TS
GUPWET,Minimum,Minimum,Correct TS,Correct TS
GUQFIK,Minimum,Minimum,Correct TS,Correct TS
GUQHUW,Minimum,Not Minimum,Correct TS,Incorrect TS
GUQKAG,Minimum,Minimum,Correct TS,Correct TS
GUQLIN,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUQTAO,Minimum,Minimum,Correct TS,Correct TS
GURGAB,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GURGOP,Minimum,Minimum,Correct TS,Correct TS
GURGUX,Minimum,Minimum,Correct TS,Correct TS
GURHAC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GURHAD,Minimum,Minimum,Correct TS,Correct TS
GURHAE,Not Minimum,Minimum,Correct TS,Correct TS
GURHIL,Not Minimum,Minimum,Correct TS,Correct TS
GURLOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GURXPX10,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GUSRIV06,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUSVOH,Minimum,Minimum,Correct TS,Correct TS
GUTFIK,Minimum,Minimum,Correct TS,Correct TS
GUTHIN,Not Minimum,Minimum,Correct TS,Correct TS
GUTNOY,Minimum,Minimum,Incorrect TS,Correct TS
GUTYEB01,Minimum,Minimum,Correct TS,Correct TS
GUTYOL,Minimum,Minimum,Correct TS,Correct TS
GUTZAW,Not Minimum,Minimum,Correct TS,Correct TS
GUTZEA,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GUTZIG,Minimum,Minimum,Correct TS,Correct TS
GUTZUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUVBEG,Minimum,Minimum,Correct TS,Correct TS
GUVBII,Minimum,Minimum,Correct TS,Correct TS
GUVBIK,Minimum,Minimum,Correct TS,Correct TS
GUVFEI,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GUVFIM,Not Minimum,Minimum,Correct TS,Calc Fail
GUVREV,Minimum,Minimum,Correct TS,Correct TS
GUVSOG,Minimum,Not Minimum,Correct TS,Correct TS
GUVXUS,Minimum,Minimum,Correct TS,Correct TS
GUVZON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUWBOP,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GUWFIP,Minimum,Minimum,Correct TS,Correct TS
GUWPUK,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GUWWIG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GUXKOZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUXKUF,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GUXLOB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
GUXVIF,Not Minimum,Minimum,Correct TS,Correct TS
GUYCAH,Minimum,Minimum,Correct TS,Correct TS
GUYPOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUYTOK,Minimum,Minimum,Correct TS,Correct TS
GUZCEK,Minimum,Minimum,Correct TS,Correct TS
GUZCIO,Not Minimum,Minimum,Correct TS,Correct TS
GUZCOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUZGOZ,Minimum,Minimum,Correct TS,Correct TS
GUZKUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUZMUK,Minimum,Minimum,Correct TS,Correct TS
GUZNAR,Minimum,Minimum,Correct TS,Correct TS
GUZRUQ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GUZSAX,Minimum,Minimum,Correct TS,Correct TS
GUZSEB,Not Minimum,Minimum,Correct TS,Correct TS
GUZTAY,Minimum,Minimum,Correct TS,Correct TS
GUZZAD,Minimum,Minimum,Incorrect TS,Correct TS
GUZZUX,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HABJIE,Minimum,Minimum,Correct TS,Correct TS
HABJOK,Minimum,Minimum,Correct TS,Correct TS
HABVAJ,Minimum,Minimum,Correct TS,Correct TS
HABVEN,Minimum,Minimum,Correct TS,Correct TS
HABVIR,Minimum,Minimum,Correct TS,Correct TS
HABVOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HABWUE,Minimum,Minimum,Correct TS,Correct TS
HABXEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HABXEO,Minimum,Minimum,Correct TS,Correct TS
HABXOX,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HABYAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HABYEQ,Minimum,Not Minimum,Correct TS,Correct TS
HACBAO,Minimum,Not Minimum,Correct TS,Correct TS
HACGIE,Minimum,Minimum,Correct TS,Correct TS
HACGOH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HACMAC,Minimum,Minimum,Incorrect TS,Correct TS
HACMUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HACNUV,Minimum,Minimum,Correct TS,Correct TS
HACPAD,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HACSIQ,Not Minimum,Not Minimum,Correct TS,Calc Fail
HACTAJ,Not Minimum,Minimum,Correct TS,Incorrect TS
HACYUH,Minimum,Not Minimum,Correct TS,Correct TS
HACZUG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HADRIP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HADYIU,Minimum,Minimum,Correct TS,Correct TS
HADYUG,Minimum,Not Minimum,Correct TS,Correct TS
HAFKEG,Minimum,Minimum,Incorrect TS,Correct TS
HAFKUU,Minimum,Minimum,Correct TS,Correct TS
HAFZET,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HAGGAY,Minimum,Minimum,Correct TS,Correct TS
HAGGIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HAGGIG,Minimum,Minimum,Correct TS,Correct TS
HAGGOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAGNEL,Minimum,Not Minimum,Incorrect TS,Correct TS
HAGPOV,Minimum,Minimum,Correct TS,Correct TS
HAGQEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAGQIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAGSUF,Minimum,Minimum,Correct TS,Correct TS
HAGXES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAGZAT,Minimum,Minimum,Correct TS,Correct TS
HAGZEX,Minimum,Minimum,Incorrect TS,Correct TS
HAGZOF,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAGZOH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAHCOJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAHFAX,Not Minimum,Minimum,Correct TS,Correct TS
HAHGAA,Minimum,Minimum,Correct TS,Correct TS
HAHGEE,Minimum,Minimum,Correct TS,Correct TS
HAHHIK,Minimum,Minimum,Correct TS,Correct TS
HAHJAC,Minimum,Minimum,Correct TS,Correct TS
HAHJOP,Minimum,Minimum,Correct TS,Correct TS
HAHPAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAHQOZ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HAHSIT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HAHVAO,Minimum,Minimum,Correct TS,Correct TS
HAHVIY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAHZEV,Minimum,Not Minimum,Incorrect TS,Incorrect TS
HAJBEZ,Minimum,Minimum,Correct TS,Correct TS
HAJMOU,Minimum,Minimum,Correct TS,Correct TS
HAJSAO01,Minimum,Minimum,Incorrect TS,Correct TS
HAKCON,Minimum,Not Minimum,Correct TS,Correct TS
HALDII01,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HALFAD,Minimum,Minimum,Correct TS,Correct TS
HALJUB,Minimum,Not Minimum,Correct TS,Correct TS
HALKUC,Minimum,Not Minimum,Correct TS,Correct TS
HALLOV,Minimum,Minimum,Correct TS,Correct TS
HALNEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HALQOB,Minimum,Not Minimum,Correct TS,Correct TS
HALROB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HALTIY,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HALVEX,Minimum,Minimum,Correct TS,Correct TS
HALWEZ,Minimum,Not Minimum,Correct TS,Correct TS
HAMBAB,Minimum,Minimum,Incorrect TS,Correct TS
HAMBOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMBUA,Minimum,Minimum,Incorrect TS,Correct TS
HAMCOP,Not Minimum,Minimum,Correct TS,Correct TS
HAMCUW,Minimum,Minimum,Incorrect TS,Correct TS
HAMDAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMFAD,Not Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
HAMHUZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMLEO01,Not Minimum,Not Minimum,Correct TS,Correct TS
HAMLIQ,Minimum,Minimum,Correct TS,Incorrect TS
HAMPAM,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HAMQUI,Minimum,Minimum,Correct TS,Correct TS
HAMRAP,Minimum,Minimum,Correct TS,Correct TS
HAMRAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMVAL,Minimum,Minimum,Incorrect TS,Correct TS
HAMVEX,Minimum,Minimum,Correct TS,Correct TS
HAMWAU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMXEA,Minimum,Minimum,Incorrect TS,Incorrect TS
HAMXOL,Minimum,Minimum,Correct TS,Correct TS
HAMYAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANCEG,Not Minimum,Minimum,Correct TS,Correct TS
HANCIK,Minimum,Minimum,Incorrect TS,Correct TS
HANCIL,Minimum,Minimum,Correct TS,Correct TS
HANDAE,Minimum,Minimum,Correct TS,Correct TS
HANDEI,Minimum,Minimum,Correct TS,Correct TS
HANDOS,Minimum,Minimum,Correct TS,Correct TS
HANDUY,Minimum,Minimum,Correct TS,Correct TS
HANGAF,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HANHAI,Minimum,Minimum,Correct TS,Correct TS
HANJIR,Minimum,Minimum,Correct TS,Correct TS
HANJOX,Minimum,Minimum,Correct TS,Correct TS
HANJUD,Minimum,Minimum,Incorrect TS,Correct TS
HANMAM,Minimum,Minimum,Correct TS,Correct TS
HANNOZ,Minimum,Not Minimum,Correct TS,Correct TS
HANNUF,Minimum,Minimum,Incorrect TS,Correct TS
HANPAN,Minimum,Minimum,Incorrect TS,Incorrect TS
HAPLOC10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAQBIK,Minimum,Minimum,Correct TS,Correct TS
HARFEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HARLEU01,Minimum,Minimum,Correct TS,Correct TS
HARMIZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HARMUL,Minimum,Minimum,Correct TS,Correct TS
HARPOI,Minimum,Minimum,Correct TS,Correct TS
HARRUP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HARXOQ,Minimum,Minimum,Correct TS,Correct TS
HARZUY,Minimum,Minimum,Correct TS,Correct TS
HASBAH,Minimum,Minimum,Incorrect TS,Incorrect TS
HASBUY,Minimum,Minimum,Correct TS,Correct TS
HASCOT,Not Minimum,Minimum,Correct TS,Correct TS
HASDAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HASDOU,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HASWAC,Minimum,Minimum,Incorrect TS,Correct TS
HATDAK,Minimum,Not Minimum,Correct TS,Correct TS
HATDEO,Not Minimum,Minimum,Correct TS,Correct TS
HATPIC,Minimum,Minimum,Correct TS,Correct TS
HATWUX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HATZAD,Minimum,Minimum,Correct TS,Correct TS
HAVBIR,Minimum,Minimum,Correct TS,Correct TS
HAVCAL,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HAVJIX,Minimum,Minimum,Correct TS,Correct TS
HAVLOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAVPOM,Minimum,Minimum,Correct TS,Correct TS
HAVVOP,Minimum,Minimum,Correct TS,Correct TS
HAWKUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAWYAG,Minimum,Minimum,Correct TS,Correct TS
HAXKEW,Minimum,Minimum,Incorrect TS,Correct TS
HAXLOJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXLUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXPAX,Minimum,Minimum,Correct TS,Correct TS
HAXRII,Minimum,Minimum,Correct TS,Correct TS
HAXTAD01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXVAF,Minimum,Minimum,Correct TS,Correct TS
HAXXIQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXXOW,Minimum,Minimum,Incorrect TS,Correct TS
HAXXUC,Minimum,Minimum,Correct TS,Correct TS
HAYCAM,Minimum,Minimum,Correct TS,Correct TS
HAYREF,Minimum,Minimum,Correct TS,Correct TS
HAYVIN,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HAYWEK,Not Minimum,Not Minimum,Correct TS,Correct TS
HAYZAJ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HAZFNO,Minimum,Minimum,Correct TS,Correct TS
HAZGOE,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
HBOTRY,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HBPIIQ10,Minimum,Minimum,Correct TS,Correct TS
HBUGOL,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HBZTHP,Minimum,Minimum,Correct TS,Correct TS
HCPZBO,Minimum,Minimum,Correct TS,Correct TS
HDOPAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HDOPAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HDTURD10,Not Minimum,Minimum,Correct TS,Correct TS
HEBGEA,Minimum,Minimum,Correct TS,Correct TS
HEBKEF,Minimum,Minimum,Incorrect TS,Correct TS
HECCAT,Minimum,Minimum,Correct TS,Correct TS
HECDEY,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HECHAY01,Minimum,Minimum,Correct TS,Correct TS
HECKOS,Minimum,Minimum,Correct TS,Correct TS
HECMAG,Minimum,Minimum,Correct TS,Correct TS
HECNAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
HECPAJ02,Minimum,Not Minimum,Correct TS,Correct TS
HECRIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEDSEQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HEFTOE,Minimum,Minimum,Correct TS,Correct TS
HEFTUI,Minimum,Minimum,Incorrect TS,Correct TS
HEFYOH,Minimum,Minimum,Correct TS,Correct TS
HEFZOK,Minimum,Minimum,Correct TS,Correct TS
HEGBAY,Minimum,Minimum,Incorrect TS,Correct TS
HEGBEC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEGFOP,Minimum,Minimum,Correct TS,Correct TS
HEGHEH,Minimum,Minimum,Correct TS,Correct TS
HEGJUA,Minimum,Minimum,Correct TS,Correct TS
HEGKEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HEGKUB,Minimum,Minimum,Correct TS,Correct TS
HEGLOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEGMAI,Minimum,Minimum,Correct TS,Correct TS
HEGNIS,Minimum,Minimum,Correct TS,Correct TS
HEGREQ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HEGSOD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEGXUM,Minimum,Minimum,Correct TS,Correct TS
HEHLFB10,Minimum,Minimum,Correct TS,Correct TS
HEJBIH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEJDEH,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HEJFOT,Not Minimum,Minimum,Correct TS,Correct TS
HEJGEK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HEJGOU01,Minimum,Minimum,Correct TS,Correct TS
HEJSUN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEJZON,Minimum,Minimum,Correct TS,Correct TS
HEKKEQ,Minimum,Minimum,Calc Fail,Correct TS
HEKSIC,Minimum,Minimum,Correct TS,Correct TS
HEKTOG,Minimum,Minimum,Correct TS,Correct TS
HEKTUM01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HEKVOI,Minimum,Minimum,Correct TS,Correct TS
HEKVUO,Minimum,Minimum,Correct TS,Correct TS
HEKWAV01,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HEKWOJ,Minimum,Minimum,Correct TS,Correct TS
HEKWOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HELCUW,Minimum,Minimum,Correct TS,Correct TS
HELHUD,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HELLIW,Minimum,Minimum,Correct TS,Correct TS
HELLOC,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HEMWAX,Minimum,Not Minimum,Correct TS,Correct TS
HEMXEC,Minimum,Minimum,Correct TS,Correct TS
HENBUY,Not Minimum,Not Minimum,Incorrect TS,Correct TS
HENGIT,Minimum,Minimum,Incorrect TS,Correct TS
HEPFUD,Minimum,Minimum,Correct TS,Correct TS
HEPHIU,Not Minimum,Minimum,Correct TS,Correct TS
HEPNAR01,Minimum,Minimum,Correct TS,Correct TS
HEPRAY,Not Minimum,Minimum,Incorrect TS,Incorrect TS
HEQWUY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEQXIN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEQYUX,Minimum,Minimum,Correct TS,Correct TS
HEQZEK,Minimum,Minimum,Correct TS,Correct TS
HERCAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
HERHIW,Minimum,Minimum,Correct TS,Correct TS
HERJIY,Not Minimum,Minimum,Correct TS,Correct TS
HERLOG,Minimum,Minimum,Correct TS,Correct TS
HERMAT,Minimum,Minimum,Correct TS,Correct TS
HERMOH01,Not Minimum,Minimum,Correct TS,Correct TS
HERPUS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HESCOY,Minimum,Not Minimum,Correct TS,Correct TS
HESNEB,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HESPIE,Minimum,Minimum,Correct TS,Correct TS
HESREF,Minimum,Minimum,Correct TS,Correct TS
HESRUS10,Minimum,Minimum,Correct TS,Correct TS
HESTOP,Minimum,Minimum,Incorrect TS,Incorrect TS
HESXOS01,Minimum,Minimum,Correct TS,Correct TS
HETJEV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HETYAJ,Minimum,Minimum,Correct TS,Correct TS
HEVDIW,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HEVKEY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEVLOJ,Minimum,Minimum,Correct TS,Correct TS
HEVTUX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEVXAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEVZAL,Minimum,Minimum,Correct TS,Correct TS
HEWCEU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEWFOF,Minimum,Not Minimum,Correct TS,Correct TS
HEWFOG,Minimum,Minimum,Correct TS,Correct TS
HEWJUP,Minimum,Minimum,Incorrect TS,Correct TS
HEWLOL01,Minimum,Minimum,Correct TS,Correct TS
HEWLUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEWMAY,Minimum,Not Minimum,Correct TS,Correct TS
HEWMAZ,Minimum,Minimum,Correct TS,Correct TS
HEWPUV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEWRAD01,Minimum,Minimum,Correct TS,Correct TS
HEXBEU,Minimum,Minimum,Correct TS,Correct TS
HEXJEC,Not Minimum,Minimum,Incorrect TS,Correct TS
HEXJOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEXMAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEXVEL,Minimum,Minimum,Correct TS,Correct TS
HEXVIP,Minimum,Minimum,Correct TS,Correct TS
HEXVIQ,Minimum,Minimum,Correct TS,Correct TS
HEYBUI,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HEYGIE,Minimum,Minimum,Correct TS,Correct TS
HEYHUP,Minimum,Minimum,Correct TS,Correct TS
HEYJAX,Minimum,Minimum,Correct TS,Correct TS
HEYJIE,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
HEYREI,Minimum,Minimum,Correct TS,Correct TS
HEZHOL,Minimum,Minimum,Correct TS,Correct TS
HEZNAE,Minimum,Minimum,Correct TS,Correct TS
HEZSAJ,Minimum,Minimum,Correct TS,Correct TS
HEZTUD,Not Minimum,Minimum,Correct TS,Correct TS
HEZVIS,Minimum,Minimum,Incorrect TS,Correct TS
HEZWIT,Minimum,Minimum,Correct TS,Correct TS
HEZXOA,Minimum,Minimum,Correct TS,Correct TS
HEZYUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIBBIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HIBISC10,Minimum,Minimum,Correct TS,Correct TS
HIBJEH,Minimum,Minimum,Correct TS,Correct TS
HIBJIM,Minimum,Minimum,Correct TS,Correct TS
HIBKAE,Minimum,Minimum,Correct TS,Correct TS
HIBKUA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIBLEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIBPOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIBROA,Minimum,Minimum,Correct TS,Correct TS
HIBYEW,Not Minimum,Minimum,Correct TS,Correct TS
HIBZOH,Minimum,Minimum,Incorrect TS,Correct TS
HICCIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HICHIN,Minimum,Minimum,Correct TS,Correct TS
HICVUL01,Not Minimum,Minimum,Correct TS,Correct TS
HICWAS,Minimum,Minimum,Incorrect TS,Correct TS
HICYAW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIDMUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIDNAJ,Minimum,Minimum,Correct TS,Correct TS
HIDQOD,Minimum,Minimum,Correct TS,Correct TS
HIDSES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIDSOC,Not Minimum,Minimum,Correct TS,Correct TS
