Ligand,Cone Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-N (A),Lowdin Charge (N),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge Cu(d),Orbital Charge Cu(dxy),Orbital Charge L1(dxy),Orbital Charge L2(py),Ea
PARLOK,189.33,32.7,-2.3397,-1.686,1.87,-0.42,2.8561,28.823,7.3171,0.8327,9.7527,1.9736,0.1108,1.6246,11.7
KUYXOS,232.42,37.8,-3.1725,-2.4932,1.86,-0.4131,2.8412,28.824,7.3507,0.816,9.7829,1.9678,0.0236,1.6502,16.2
LAPCOW,189.32,28.9,-2.4587,-2.4535,1.86,-0.4059,2.8372,28.7305,7.3403,0.7556,9.7154,1.9785,0.0769,1.5981,21.6
RICGAL,183.03,33.9,-2.2935,-1.4524,1.87,-0.4531,2.7425,28.8619,7.3695,0.7474,9.7788,1.9846,0.0709,1.5013,17.2
GLYGLY21,217.9,36.7,-2.4496,-0.4522,1.92,-0.4685,2.7378,28.8261,7.3762,0.7238,9.8367,1.9706,0.0667,1.2069,16
CUTJUY,204.43,34.6,-2.2825,-0.6066,1.91,-0.4854,2.756,28.9843,7.3835,0.7118,9.8438,1.9835,0.0174,1.3147,23.3
SAKFUG,183.43,31.7,-1.9653,0.1895,1.91,-0.4727,2.7266,28.9664,7.3643,0.6807,9.7972,1.9637,0.1128,1.6823,23.2
OMIJEZ,187.73,36.1,-1.7435,0.0763,1.95,-0.4905,2.7193,28.8816,7.4388,0.7513,9.8217,1.9614,0.0456,1.639,23.5
MALXOQ,158.89,24.3,-2.9363,-2.2314,1.82,-0.4336,2.8129,28.8866,7.3692,0.8264,9.78,1.9446,0.0665,1.5307,20.1
MOJWAJ,198.85,30.8,-3.459,-3.1576,1.84,-0.3382,2.9458,28.6627,7.2929,0.8072,9.724,1.9428,0.082,1.5441,20.2
CUKGUL,196.85,34.7,-2.3936,-1.3509,1.92,-0.4668,2.7393,28.8029,7.3727,0.7119,9.8194,1.9847,0.08,1.6027,19.2
EYOCOK,191.13,31.3,-2.3355,-1.4244,1.9,-0.4636,2.7569,28.8237,7.3711,0.7179,9.8137,1.9688,0.1256,1.6329,17.3
UTOHAN,157.82,24.2,-2.8187,-1.7002,1.83,-0.4485,2.7899,28.9169,7.3764,0.8288,9.7946,1.975,0.0756,1.6384,19.5
ACIHEB,194.87,33.7,-2.9518,-1.8637,1.86,-0.4433,2.8095,28.8657,7.3682,0.8006,9.8057,1.9783,0.0295,1.2019,17.3
HASCEJ,253,40.4,-2.8745,-1.0011,1.98,-0.3054,2.8464,28.7786,7.4065,0.4906,9.8386,1.9891,0.0855,1.2098,30.3
AFIDOK,182.7,30,-2.1306,0.0145,1.91,-0.4729,2.7305,28.9377,7.3646,0.6915,9.8077,1.9699,0.0959,1.6832,22.6
RUZMOO,215.76,35.2,-2.1902,-0.6949,1.95,-0.4834,2.7255,28.817,7.363,0.6534,9.8649,1.9839,0.0231,1.2273,14.9
URELIO,159.79,24.4,-2.9216,-2.3022,1.82,-0.4313,2.8188,28.8899,7.3722,0.8229,9.7749,1.9829,0.0728,1.6462,20.7
EJATIT,188.03,30.3,-2.4649,-1.6551,1.89,-0.4576,2.7562,28.8363,7.3902,0.7839,9.7778,1.9783,0.0944,1.6592,14.8
MIFWOQ,180.18,28,-3.2738,-2.7612,1.81,-0.3881,2.8833,28.7301,7.3422,0.831,9.7683,1.9546,0.0804,1.6614,18.7
XECLUP,225.46,32.8,-2.7518,-1.9487,1.87,-0.4558,2.7834,28.87,7.3767,0.7865,9.825,1.9654,0.024,1.4393,17.2
YIGPUA,166.2,29.4,-2.9899,-1.4622,1.84,-0.4534,2.8008,28.7166,7.3662,0.8236,9.8133,1.9733,0.0093,1.535,16.5
WARCID,261.39,47.6,-3.6014,-2.43,2.06,-0.2927,2.8804,28.7108,7.4562,0.4247,9.8294,1.9716,0.0226,1.5994,48.4
AGODOR,180.83,28.2,-3.5659,-3.0489,1.8,-0.3567,2.9363,28.6489,7.3136,0.8369,9.7479,1.9339,0.0892,1.5409,19.9
POFYEP,190.27,33.4,-3.2928,-3.2847,1.85,-0.3903,2.8734,28.7808,7.3498,0.7887,9.8083,1.972,0.0239,1.3379,15.8
NUSRID,191.23,34.8,-2.6707,-2.1929,1.86,-0.4261,2.7895,28.7876,7.3477,0.7368,9.7658,1.9707,0.0852,1.4942,16.2
FAKNIS,195.3,33.2,-2.6488,-1.6644,1.88,-0.446,2.792,28.83,7.3669,0.7908,9.7536,1.9236,0.0806,1.7746,14.4
RETJEG,234.34,41.4,-3.0208,-1.8348,1.87,-0.4311,2.8344,28.804,7.3321,0.7976,9.7756,1.9574,0.03,1.5299,11.8
ROCKUS,249.53,43,-2.9251,-2.2021,1.88,-0.3887,2.8449,28.9759,7.331,0.7156,9.709,1.956,0.0201,1.5097,14.7
AJUJOF,209.9,35.5,-2.4227,-0.4532,1.91,-0.4832,2.7601,28.9392,7.3729,0.7228,9.844,1.9775,0.0194,1.3231,25.4
HUBCUF,192.65,33,-2.9253,-1.9668,1.85,-0.4391,2.8212,28.851,7.3702,0.8025,9.8005,1.9531,0.0178,1.4472,21.5
LAPCAJ,217.3,35.6,-3.2555,-2.6526,1.84,-0.398,2.8786,28.7827,7.3258,0.8177,9.7565,1.9769,0.0262,1.6539,17.3
BODLEN,159.45,24.3,-3.0246,-2.4516,1.82,-0.4219,2.8365,28.8878,7.3674,0.8251,9.7661,1.9504,0.061,1.597,20.6
MOCNUN,180.53,36.1,-2.3162,-1.4227,1.88,-0.4546,2.7592,28.86,7.3752,0.7534,9.7717,1.9749,0.0691,1.4728,17.4
QAZYAR,199.43,37.1,-2.7048,-1.9383,1.89,-0.4683,2.757,28.9087,7.3789,0.7745,9.8413,1.9764,0.0245,1.3782,17.5
AVAJIR,217.31,44.7,-2.7392,-1.8806,1.92,-0.4581,2.7523,28.8855,7.3832,0.7998,9.821,1.9808,0.0534,1.339,16
REXHUZ,202.41,35.2,-3.1499,-3.167,1.85,-0.3838,2.8807,28.708,7.3451,0.7484,9.7824,1.967,0.023,1.3414,14.1
KOLREK,185.27,31.1,-3.2149,-2.5827,1.83,-0.3981,2.8727,28.7486,7.3539,0.8446,9.7286,1.933,0.0626,1.5295,17.5
EQACAC,234.4,40.8,-3.6811,-2.084,2.07,-0.159,2.6978,28.7324,7.0969,0.4571,9.8754,1.9762,0.0813,1.1618,34.8
REFZOT,182.04,32.9,-2.4377,-1.2296,1.89,-0.4632,2.739,28.8789,7.3846,0.7489,9.7884,1.9372,0.1035,1.5601,15.1
CIVVEK,234.36,40.7,-3.7114,-2.1722,2.07,-0.1588,2.7055,28.7342,7.1,0.4554,9.8762,1.9805,0.0892,1.1441,39.5
XUQPAC,185.83,31.1,-2.5674,-1.4955,1.89,-0.4523,2.7716,28.8397,7.3784,0.7835,9.7676,1.9632,0.0966,1.5664,15.3
ALODAH,196.46,33,-3.5018,-3.0454,1.82,-0.3428,2.964,28.7161,7.3153,0.8464,9.7024,1.9794,0.0194,1.5923,20.8
VAHBIQ,199.45,35.1,-3.03,-2.3022,1.86,-0.4003,2.8301,28.7582,7.3251,0.7644,9.7296,1.9677,0.0944,1.6312,12
QUGTAO,268.34,50.8,-3.4599,-2.0098,2.1,-0.3001,2.8425,28.6957,7.4314,0.3687,9.8323,1.9346,0.0191,1.1752,39.7
FOJNAT,256.13,46,-3.6475,-1.047,2.02,-0.283,2.9173,28.7423,7.4695,0.4902,9.8639,1.969,0.0407,1.5976,59.6
QUJZAX,198.1,36.8,-2.9682,-2.2268,1.88,-0.4293,2.8366,28.7631,7.3559,0.773,9.7695,1.9819,0.0394,1.1905,18.8
RIZZEH,168.51,27.9,-2.9598,-0.6894,1.86,-0.4587,2.7866,28.7453,7.3652,0.8154,9.8206,1.9623,0.0305,1.5314,18.3
HOFNEW01,217.59,39.7,-3.4105,-3.1625,1.84,-0.3917,2.8782,28.7594,7.328,0.8407,9.7495,1.9725,0.027,1.6709,27.2
SUVWEN,180.34,29.2,-3.545,-3.15,1.82,-0.3718,2.9178,28.7613,7.3286,0.8316,9.7715,1.9599,0.0598,1.0743,20.3
DEFNIL,153.48,23.7,-2.7309,-2.2476,1.86,-0.4646,2.7556,28.9395,7.3967,0.8097,9.8095,1.9836,0.0534,1.5511,21
KUFNIL,188.92,31.3,-3.7579,-3.4477,1.81,-0.3214,2.971,28.7417,7.3004,0.8217,9.7471,1.9678,0.0823,1.3014,21.4
HONDAS,203.2,35.5,-3.1871,-3.1308,1.85,-0.397,2.8659,28.7393,7.3532,0.7831,9.7797,1.9616,0.0267,1.2066,15.7
CEKHEF,157.98,24.3,-2.8033,-2.0615,1.83,-0.4483,2.7891,28.9329,7.3832,0.8194,9.7883,1.9475,0.0645,1.531,12.6
KIFMUH,160.96,25.1,-3.3329,-3.3929,1.82,-0.3385,2.9603,28.7821,7.3123,0.8195,9.7203,1.9574,0.082,1.6546,20.4
XITCOS,219.53,36.7,-2.6308,-2.188,1.86,-0.4364,2.8209,28.7927,7.3429,0.7668,9.7908,1.9549,0.092,1.3822,13
CAKFAV01,182.72,30,-2.0976,0.0087,1.91,-0.4721,2.7315,28.9352,7.3659,0.6896,9.8081,1.9712,0.0986,1.6805,22.6
ESERUP,186.53,30.1,-2.9463,-1.7464,1.85,-0.4424,2.7934,28.7507,7.3708,0.8357,9.7946,1.951,0.0653,1.5947,26.2
LEBSUG,197.39,30.7,-3.1896,-2.8479,1.85,-0.3968,2.8469,28.7478,7.3391,0.8121,9.7759,1.9514,0.0554,1.659,17
EVEMAU,211.58,38.2,-3.3712,-2.7756,1.82,-0.3898,2.9101,28.7071,7.3459,0.8504,9.748,1.9637,0.0689,1.2889,28.1
CEGQEM,221.78,39.4,-3.1537,-2.3547,1.85,-0.4204,2.8441,28.7818,7.3495,0.8315,9.7665,1.9727,0.0362,1.6879,17.1
NIBYAY,183.26,28.6,-2.1685,-0.691,1.89,-0.4652,2.7401,28.8832,7.3509,0.71,9.7972,1.9719,0.1006,1.5732,24.1
MAQWIM18,213.87,34.3,-2.9659,-2.1569,1.85,-0.4351,2.8098,28.799,7.3607,0.7999,9.796,1.9728,0.1034,1.1393,15.9
GISCIV,187.9,30.9,-2.5663,-2.0465,1.87,-0.4389,2.7854,28.8123,7.3785,0.7873,9.7568,1.9539,0.0608,1.5891,13.9
OLALOC,187.47,30.6,-2.8887,-2.3674,1.86,-0.4214,2.8189,28.7267,7.3606,0.7989,9.7713,1.9369,0.0639,1.4965,17.1
XITCIM,192,32,-2.6135,-2.0823,1.86,-0.4517,2.7895,28.8041,7.382,0.7817,9.7976,1.9738,0.1061,1.4201,11.1
TUSZEN,208.37,34,-3.0549,-2.3349,1.83,-0.4159,2.8411,28.7673,7.3344,0.8138,9.7838,1.9798,0.083,1.1475,17.8
AYUFEG,182.86,30.5,-1.7904,-0.7361,1.92,-0.4766,2.7155,28.9572,7.4173,0.718,9.8052,1.9833,0.0986,1.6836,24
LIBNUH,199.5,31.3,-1.9976,-1.2375,1.93,-0.4626,2.7337,29.0595,7.3633,0.7025,9.7644,1.9865,0.0147,1.6855,-0.3
VIMKEH,182.23,31.3,-2.5716,-0.7035,1.9,-0.4761,2.7505,28.9022,7.394,0.753,9.8437,1.9695,0.0186,1.4674,19.1
KABSOZ,192.98,32.6,-2.4328,-2.3348,1.9,-0.4675,2.742,28.878,7.3962,0.7751,9.8083,1.9564,0.029,1.5952,18
KESMUQ,199.42,36.6,-2.5529,-1.6663,1.9,-0.4547,2.7585,28.7707,7.3533,0.7241,9.8134,1.9829,0.0377,1.1967,18.2
CABXAH,216.26,39.5,-3.2382,-2.4914,1.85,-0.4128,2.8592,28.7766,7.3438,0.8359,9.7583,1.9748,0.0364,1.6869,24.3
YADJES,190.96,33,-2.773,-2.1871,1.86,-0.4384,2.7977,28.8031,7.3639,0.7834,9.8029,1.9659,0.0744,1.313,18.4
YOWJOK,192.12,30.4,-3.4871,-3.2438,1.84,-0.341,2.9507,28.6293,7.3014,0.8085,9.735,1.9721,0.0859,1.6342,19
DOWZIB,188.98,37.5,-2.7094,-1.9196,1.9,-0.4602,2.7426,28.8327,7.3957,0.7841,9.8035,1.9736,0.0868,1.5823,12.7
WIRSAR,186.2,31.4,-2.5195,-1.7349,1.88,-0.4532,2.7618,28.8236,7.3848,0.7852,9.7701,1.9731,0.1165,1.6595,15
BUKHOE,170.35,28.4,-2.7482,-2.7867,1.84,-0.4001,2.882,28.814,7.3642,0.7817,9.7605,1.9647,0.0892,1.221,13.6
LUSRUM,221.33,39.3,-3.2672,-2.6757,1.83,-0.3855,2.892,28.7371,7.3134,0.8217,9.7552,1.9577,0.0871,1.0684,25.5
POJYIX,200.66,43.6,-1.8748,0.544,1.96,-0.4632,2.7298,28.9331,7.3609,0.6593,9.8022,1.9434,0.0897,1.6678,30.8
AKOTOL,182.95,31.2,-2.507,-1.4586,1.89,-0.4588,2.75,28.8304,7.3903,0.7816,9.7946,1.9768,0.1093,1.6242,13.6
XUGMUK,194.09,41.4,-1.9641,0.9005,1.98,-0.4812,2.7019,28.8809,7.4309,0.709,9.8291,1.9879,0.0915,1.4694,25.5
JAYMIG,188.37,33.1,-2.7488,-1.8832,1.87,-0.4403,2.7939,28.7798,7.3808,0.8014,9.7434,1.9873,0.114,1.5855,13.2
QUCKOP,231.43,37.4,-3.0885,-2.4149,1.87,-0.4213,2.8232,28.8325,7.3564,0.8113,9.7894,1.9734,0.0241,1.6632,16.7
VISJOY,216.56,39.5,-3.2904,-2.5874,1.84,-0.4035,2.8706,28.7625,7.335,0.8366,9.7547,1.9751,0.0188,1.6131,23.8
JACJAB,216.27,39.5,-3.2886,-2.5867,1.84,-0.4029,2.8651,28.7577,7.3292,0.8364,9.7532,1.9687,0.0272,1.6457,26
NOKLAB,204.56,38.5,-2.4627,-1.4598,1.9,-0.4491,2.7554,28.89,7.3838,0.7706,9.7819,1.962,0.09,1.4348,15.2
OYAPAH02,204.65,33.8,-2.456,-1.0064,1.92,-0.4754,2.7305,28.8674,7.3935,0.7469,9.8194,1.9786,0.044,1.6407,15.3
GUFVUB,185.99,30.8,-2.5012,-1.6742,1.88,-0.4511,2.7654,28.8255,7.3885,0.7809,9.7694,1.9538,0.0593,1.5776,15.1
LIXMEN,189.08,30.5,-2.7092,-2.2777,1.87,-0.4248,2.8127,28.7999,7.3656,0.8055,9.744,1.9625,0.0585,1.5997,17.9
KOYYUV,180.11,28.2,-3.2285,-2.7433,1.81,-0.3967,2.8627,28.7843,7.3535,0.8436,9.7876,1.9584,0.0691,1.6743,19.7
ELABEZ,244.43,50,-3.0213,-0.2737,1.95,-0.3956,2.6727,28.7645,7.4656,0.677,9.836,1.9602,0.0683,1.561,32.4
TERVUH,159.5,24.4,-2.9672,-2.4605,1.82,-0.4223,2.8291,28.8674,7.3663,0.8186,9.7725,1.9876,0.0727,1.5023,21.2
LIFXIK,233.29,37.7,-3.2518,-2.5952,1.86,-0.4025,2.8592,28.806,7.349,0.8164,9.7743,1.9888,0.0277,1.6566,17.5
FIHSAT,161.22,24.5,-3.1519,-3.1541,1.82,-0.3607,2.9237,28.782,7.3336,0.8114,9.725,1.9637,0.0796,1.6415,20.2
PAWSAJ,236.99,37.7,-3.294,-2.6378,1.86,-0.3939,2.8791,28.8136,7.3258,0.8268,9.7702,1.9673,0.0241,1.6649,16.7
QAJKET,217.67,35.9,-2.322,0.0862,1.94,-0.4801,2.7285,28.8619,7.3816,0.7184,9.8361,1.9662,0.0764,1.3635,19.3
REYHUB,234.07,39.9,-2.4076,-1.3764,1.91,-0.4348,2.7534,28.8428,7.3517,0.7712,9.7914,1.9777,0.0888,1.5354,12.2
JONZUJ,186.14,30.5,-2.5228,-1.4811,1.87,-0.4425,2.7691,28.803,7.3571,0.7409,9.7636,1.9296,0.0807,1.758,15.2
JESYEO,205.84,47.9,-2.9977,-1.9496,1.88,-0.4436,2.7922,28.8118,7.3522,0.8359,9.7729,1.9209,0.0654,1.6512,18.1
HEBGEA,184.39,31.7,-3.7551,-3.0789,1.81,-0.3435,2.9689,28.685,7.3171,0.8747,9.7071,1.9803,0.0923,1.621,21.5
VUHHEN,200.91,35.2,-2.6257,-1.7998,1.87,-0.4477,2.7833,28.8234,7.3724,0.7917,9.757,1.9748,0.118,1.6469,15.6
GENPEX,195.38,40.2,-2.3326,-1.6382,1.86,-0.4212,2.7988,28.906,7.3181,0.7598,9.7259,1.8763,0.0914,1.703,15
ADOKIN,264.04,49.4,-3.5515,-2.3615,2.08,-0.2996,2.8445,28.6643,7.4327,0.3789,9.858,1.9325,0.0304,1.3069,33.1
SOFTAJ,224.51,39.7,-3.3221,-2.645,1.84,-0.397,2.8774,28.75,7.3329,0.8392,9.7543,1.9668,0.036,1.682,24.5
PCEICO,212.96,36.6,-3.4136,-2.5021,1.84,-0.3739,2.8597,28.6859,7.2924,0.7932,9.7365,1.9753,0.0997,1.5065,14.6
POYLAT,255.44,39.4,-3.7537,-2.0709,1.94,-0.3341,2.9201,28.7419,7.4221,0.5701,9.854,1.9759,0.0835,1.1379,35.8
ACEQIK,185.55,32,-2.5578,-1.5379,1.88,-0.4662,2.7609,28.8746,7.3811,0.7617,9.8229,1.9846,0.0277,1.4104,18.4
MUVNAS,195.73,40,-2.1131,-0.8721,1.94,-0.4678,2.7444,28.929,7.3578,0.707,9.8248,1.9654,0.0863,1.6809,18.3
JALQAR,193.6,30.7,-2.8377,-2.4884,1.88,-0.4101,2.8304,28.724,7.3531,0.7852,9.7535,1.9794,0.0765,1.6511,19.3
RAVFOK,180,27.9,-3.1912,-2.6654,1.81,-0.3972,2.8658,28.7713,7.3521,0.8351,9.7754,1.9703,0.0675,1.7168,18.2
ROKKEI,209.61,40,-2.4867,-1.446,1.89,-0.4646,2.7533,28.845,7.3821,0.7612,9.7843,1.9776,0.1062,1.1965,17
GAHTUG,255.76,43,-2.994,-2.7325,1.9,-0.3838,2.8265,28.825,7.3531,0.7744,9.7656,1.9763,0.0159,1.5827,13
DOTRUZ,185.06,30.6,-2.5861,-1.612,1.87,-0.4467,2.773,28.7975,7.379,0.775,9.773,1.9815,0.1062,1.6156,14.9
AGOROF,223.53,39.3,-2.3314,-1.2825,1.94,-0.457,2.7505,28.8539,7.3448,0.7057,9.8243,1.9856,0.107,1.1533,13.8
ZAPHIJ,236.44,37.8,-3.3038,-2.6697,1.85,-0.392,2.8814,28.7958,7.3361,0.8187,9.7673,1.9653,0.0246,1.6731,14.9
MAVDOD,239.53,43.4,-2.1652,-1.257,1.94,-0.4356,2.7359,28.8304,7.3039,0.6549,9.7127,1.9783,0.0188,1.5665,11.8
BINKOB,183.35,31.5,-2.4265,-1.3058,1.88,-0.4567,2.7278,28.8757,7.3693,0.7125,9.791,1.9805,0.0964,1.5898,14.6
YAGTIL,218.23,39.5,-3.3828,-3.3046,1.85,-0.3738,2.9011,28.7466,7.3151,0.8197,9.7599,1.981,0.0327,1.6788,25
TAPDAS01,190.71,36.2,-2.7785,-2.4504,1.88,-0.4161,2.832,28.8299,7.357,0.7912,9.7604,1.9776,0.0444,1.4641,15.4
VUNFER,208.93,31.7,-2.5415,-1.6218,1.88,-0.4416,2.8248,28.873,7.3319,0.7843,9.7532,1.9568,0.0972,1.6458,13.1
ICOPUN,211.14,38.5,-2.6353,-1.74,1.86,-0.4422,2.7927,28.8219,7.3464,0.7629,9.7984,1.9876,0.0231,1.4967,12.8
PEVXAS,211.5,37.3,-2.6022,-1.9255,1.9,-0.4458,2.7829,28.8695,7.3636,0.7905,9.7747,1.9813,0.032,1.6135,15.4
VAXQUI,194.22,30.4,-2.9007,-2.5373,1.87,-0.4043,2.8456,28.7072,7.3538,0.7863,9.7535,1.9749,0.0653,1.5351,20.2
TUHYIE01,192.44,33.3,-2.5672,-1.9689,1.86,-0.4312,2.8,28.7895,7.3689,0.7769,9.7567,1.9411,0.0759,1.5924,14.9
RABXEA,228.64,42.8,-2.5601,-1.964,1.89,-0.454,2.7908,28.8265,7.3646,0.7508,9.8059,1.9783,0.0264,1.352,35.2
DETTOO,183.73,30.4,-2.4935,-1.3842,1.87,-0.448,2.7593,28.8271,7.3638,0.7397,9.7699,1.968,0.0971,1.5984,14.2
NIVSAO,230.84,39.5,-3.0163,-2.5319,1.88,-0.4253,2.8108,28.6671,7.3447,0.7777,9.814,1.9411,0.0246,1.6728,10.2
GIRSEF10,184.31,30.8,-2.8859,-0.9561,1.86,-0.446,2.7847,28.8175,7.3628,0.8198,9.8084,1.9795,0.0883,1.583,16.8
PACWUL,193.36,40.4,-2.6441,-0.2271,1.92,-0.4512,2.7545,28.8546,7.3626,0.773,9.8151,1.9383,0.0422,1.5575,18.7
GULMUY,218.8,40,-3.214,-2.4344,1.84,-0.4141,2.8614,28.764,7.3359,0.8305,9.7656,1.9607,0.038,1.6881,15.6
AJISOD,219.79,35.2,-2.5564,-1.4376,1.91,-0.4796,2.7593,28.8716,7.3667,0.7562,9.8515,1.9571,0.0182,1.2456,14.4
PUKPIV,249.19,39.8,-2.4008,-1.8339,1.91,-0.4308,2.7998,28.9086,7.2927,0.7745,9.7867,1.9337,0.0366,1.5162,15.5
SUMCAF,184.04,30.4,-2.5376,-1.702,1.88,-0.4584,2.7471,28.8136,7.3962,0.7832,9.7846,1.9747,0.1022,1.6114,14.8
RIRRAO,188.34,33.1,-3.0496,-2.3203,1.85,-0.4142,2.8455,28.7547,7.3587,0.8294,9.7222,1.9847,0.1179,1.5904,14.5
FERYEH,184.28,30.7,-2.5757,-1.4638,1.88,-0.4591,2.7554,28.8166,7.3922,0.7866,9.7702,1.9812,0.1098,1.6181,15
IJUGUP,188.86,33.2,-2.7203,-1.6877,1.87,-0.4358,2.8052,28.7956,7.3383,0.7539,9.7476,1.941,0.1029,1.5584,15.9
FIHPES,194.3,33.5,-2.5323,-1.2463,1.91,-0.4516,2.768,28.8967,7.3621,0.7679,9.7509,1.9382,0.0645,1.5578,29.1
FAKWEV,217.51,36.9,-2.3896,0.0487,1.94,-0.4774,2.7309,28.8675,7.3798,0.7254,9.8354,1.9704,0.059,1.3979,16.1
QIMFIE,205.8,40,-2.8608,-2.2905,1.88,-0.4235,2.8152,28.782,7.3581,0.801,9.7516,1.98,0.1095,1.7387,13.2
AZUYUR,183.67,29.8,-2.5109,-1.6614,1.89,-0.463,2.7439,28.8199,7.4,0.7826,9.7967,1.956,0.063,1.7305,15.1
JOMCOF,257.14,37.8,-3.9965,-2.1317,2,-0.2946,2.9329,28.7181,7.4605,0.5219,9.8671,1.9744,0.023,1.6501,48
VAKBAN,217.24,39.5,-3.3164,-2.6465,1.84,-0.3995,2.8752,28.7586,7.3347,0.8373,9.7531,1.9805,0.0325,1.6768,24.8
CERDIM,239.54,38,-3.9058,-3.5108,1.81,-0.2607,3.0659,28.6785,7.2776,0.8318,9.7173,1.9837,0.0288,1.6415,20.7
QIKNIH,213.34,48.8,-2.9273,-0.7727,1.93,-0.4469,2.6725,28.9457,7.4066,0.7599,9.8531,1.9387,0.0157,1.3909,12.3
CORYOZ,199.71,34.7,-3.2644,-2.4589,1.84,-0.4091,2.863,28.7863,7.3562,0.8146,9.7743,1.9646,0.0211,1.0983,16.9
JOQMIO,206.89,35.7,-3.1836,-2.6539,1.83,-0.3737,2.8739,28.5953,7.3066,0.7675,9.7437,1.9807,0.0895,1.2432,16.1
XUPPON,182.38,30.5,-2.6087,-1.9013,1.86,-0.4446,2.7773,28.7775,7.3658,0.7768,9.7781,1.9754,0.1053,1.7271,12.8
BOCJOS,186.98,32.4,-3.3655,-2.6099,1.84,-0.4025,2.8573,28.736,7.3529,0.8503,9.7667,1.9053,0.0495,1.6793,15.7
PUNGAI,155.53,23.9,-2.7881,-2.3062,1.84,-0.4562,2.7759,28.9145,7.3874,0.8201,9.7995,1.9691,0.0662,1.5297,20.2
SUWGOG,193.55,34.1,-3.1741,-2.2979,1.84,-0.4307,2.8308,28.8371,7.3671,0.8265,9.8066,1.9655,0.0201,1.1981,16.6
BUNXUF,210.67,35.5,-2.9112,-2.1592,1.86,-0.4361,2.8112,28.8755,7.3605,0.7897,9.8105,1.957,0.0203,1.2113,17.4
GUGFAS,195.62,32.7,-2.5037,-1.2024,1.89,-0.4503,2.7497,28.9206,7.3358,0.7138,9.7584,1.9473,0.0767,1.6221,16.9
IQICOB,186.91,30.2,-3.2259,-2.9217,1.85,-0.3797,2.8835,28.6576,7.3357,0.8008,9.7555,1.9448,0.058,1.5069,18.4
PEJYEJ,156.54,24.1,-2.8822,-1.9212,1.83,-0.4468,2.7934,28.8985,7.3771,0.8237,9.7926,1.9798,0.0751,1.639,19.1
UROJIW,242.67,35.1,-3.0857,-2.4271,1.85,-0.4041,2.8585,28.7897,7.3042,0.822,9.7808,1.9323,0.0234,1.6202,15
YAVSUL,187.92,32.8,-2.7957,-1.9956,1.87,-0.4343,2.8016,28.7817,7.3738,0.8045,9.7378,1.9657,0.0645,1.5978,15.3
YUXBUQ,229.47,37.8,-3.3849,-2.8292,1.85,-0.3853,2.8972,28.7908,7.3179,0.824,9.758,1.9674,0.0242,1.6824,14.9
UNUCEM,221.81,36.9,-2.4119,-1.049,1.93,-0.469,2.745,28.8172,7.3489,0.7071,9.8512,1.9663,0.0319,1.47,16.8
WOJHOV,183.16,33.9,-2.0415,-0.3614,1.94,-0.4773,2.7194,28.941,7.4201,0.7123,9.8048,1.9855,0.1024,1.7005,23.3
RAKKUL,184.23,30.6,-1.8041,-0.42,1.92,-0.4757,2.7277,28.9831,7.3617,0.6855,9.8023,1.9867,0.0829,1.6812,24.2
XOGWEX,234.4,42.2,-3.0267,-2.9035,1.84,-0.335,2.9088,28.6552,7.2886,0.7242,9.7479,1.9885,0.0845,1.1217,19.9
ZAZSAX,197.19,36.8,-2.6547,-2.0936,1.9,-0.4263,2.8002,28.7788,7.344,0.7555,9.7315,1.9851,0.0627,1.6126,17.8
LEWSEN,237.41,37.7,-3.3302,-3.0949,1.84,-0.3545,2.9066,28.719,7.3347,0.7986,9.7674,1.9593,0.0237,1.6568,18.3
WUXGIF,222.41,36.4,-2.6383,-1.7336,1.89,-0.4362,2.7927,28.8461,7.344,0.7907,9.7632,1.9654,0.1129,1.64,13.6
LILMEZ,201.46,35.1,-2.9282,-2.0889,1.86,-0.4405,2.8136,28.8856,7.3632,0.8025,9.806,1.9473,0.0174,1.2334,18.2
WOKXAX,206.05,40,-3.0172,-2.6941,1.87,-0.4122,2.8359,28.7599,7.347,0.8137,9.7404,1.8776,0.1036,1.5417,14.8
JOSGIH,233.9,43.9,-2.6255,-2.0013,1.89,-0.4098,2.8171,28.8042,7.3366,0.7477,9.7579,1.9816,0.0166,1.7425,8.7
KERWIO,264.13,49.2,-2.202,-1.1031,2.09,-0.3206,2.8034,28.7066,7.4449,0.3557,9.8587,2.0076,0.0243,1.3943,12.4
LOFQUV,189.42,32.7,-2.0078,0.4118,1.94,-0.4706,2.7368,28.899,7.3622,0.6779,9.8138,1.987,0.1342,1.6654,19.9
GOQKIJ,218.06,37.7,-2.678,-1.6267,1.89,-0.4552,2.7948,28.858,7.3539,0.7824,9.8122,1.9817,0.043,1.3316,19.4
ROKNAJ,216.73,46.5,-2.5979,-2.0101,1.89,-0.4254,2.8058,28.8273,7.2916,0.7135,9.783,1.9812,0.0197,1.6921,11.3
NUQTUO,199.78,31.4,-3.6553,-3.317,1.85,-0.3129,2.9792,28.6743,7.2719,0.8436,9.6921,1.8763,0.0712,1.6864,21.6
GUZSAX,191.78,30.4,-2.6035,-2.2193,1.87,-0.4273,2.8,28.7799,7.3638,0.7819,9.7492,1.9441,0.0748,1.6169,17.1
