Ligand,Cone Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-N (A),Lowdin Charge (N),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge Cu(d),Orbital Charge Cu(dxy),Orbital Charge L1(dxy),Orbital Charge L2(py),Ea
TUTVIO,175.4,33.4,-2.5658,-0.6913,1.9,-0.4713,2.7368,28.898,7.3981,0.7842,9.8077,1.9513,0.1027,1.5324,20.2
IQEFUH,265.05,49.7,-3.7978,-2.4038,2.08,-0.2984,2.8567,28.6337,7.4378,0.3885,9.8621,1.9932,0.0335,1.1834,43.1
RELHUO,229.71,37.5,-3.1432,-2.5867,1.86,-0.4318,2.8257,28.8456,7.3546,0.8338,9.8023,1.9702,0.0233,1.6235,17.2
PEBWOI,182.56,30.8,-3.8989,-3.2446,1.8,-0.345,2.964,28.7538,7.3092,0.8637,9.7328,1.9794,0.0219,1.7082,26
EFAJOM,190.84,30.2,-3.1044,-2.6682,1.84,-0.4056,2.866,28.706,7.3324,0.8144,9.7592,1.9733,0.0956,1.5737,27.2
TUFDAC,176.42,32.7,-2.6689,-1.1021,1.88,-0.4618,2.7465,28.8796,7.3571,0.7423,9.7946,1.9822,0.0958,1.6558,19.6
GOFGIT,216.54,37.8,-3.6396,-3.2756,1.83,-0.3543,2.969,28.6864,7.3017,0.813,9.7419,1.9638,0.0229,1.3557,20.5
NOLCOG,191.32,35,-2.6237,-0.3498,1.9,-0.4576,2.7639,28.8402,7.3846,0.7796,9.792,1.9862,0.1125,1.5013,16.7
IPOYUH,198.05,32.5,-3.6766,-3.001,1.82,-0.3881,2.9147,28.7817,7.3442,0.8587,9.7624,1.9761,0.0428,1.3155,19.9
POFNOO,182.8,30.4,-2.9634,-1.7911,1.84,-0.4434,2.8084,28.8601,7.3682,0.8239,9.7744,1.9513,0.0298,1.5988,19.8
CALXES20,206.08,36.5,-2.2884,-0.5215,1.93,-0.4833,2.7237,28.8959,7.3972,0.7257,9.8182,1.9567,0.0195,1.5744,24.2
MEKWOR,192.8,31.2,-3.2051,-2.9074,1.85,-0.3945,2.8822,28.7642,7.3371,0.8432,9.7501,1.9738,0.0787,1.6175,15.2
OZAZEV,216.87,37.1,-3.0578,-2.9163,1.88,-0.4095,2.8658,28.6806,7.3456,0.7541,9.8243,1.9705,0.0249,1.5134,17.1
DABTAB,264.07,48.4,-2.8936,-2.2055,1.9,-0.407,2.7614,28.8513,7.3464,0.8016,9.7936,1.9453,0.022,1.5508,6
PIWMOZ,194.17,43.3,-2.8342,-0.9849,1.89,-0.4434,2.7509,28.8565,7.318,0.7388,9.7851,1.9614,0.1004,1.4412,19.4
MECXFP,183.6,31.1,-3.7019,-2.7975,1.8,-0.3716,2.9131,28.7444,7.3231,0.8559,9.7289,1.9497,0.0293,1.5864,24
TEXJAJ,169.81,31.7,-2.841,0.0128,1.89,-0.4693,2.7526,28.752,7.3635,0.7645,9.8592,1.9758,0.008,1.6033,15.3
AFLATC,194.07,30,-3.2099,-2.8591,1.84,-0.3924,2.8658,28.7488,7.3209,0.822,9.7649,1.9503,0.0691,1.5723,17.8
PADJEM,200.39,34.4,-3.1205,-2.3697,1.84,-0.4087,2.8514,28.6491,7.3496,0.7987,9.7774,1.9346,0.0761,1.5089,12.4
NIZPEU,179.94,30.3,-3.2967,-2.736,1.82,-0.4159,2.8467,28.8198,7.3594,0.8461,9.7865,1.9558,0.0197,1.5763,22.2
KOPFON,189.02,32,-3.4139,-2.62,1.82,-0.4018,2.8754,28.8144,7.3382,0.8513,9.7536,1.9552,0.0225,1.6466,19.8
XESVAU,190.02,33.4,-3.3314,-2.5354,1.83,-0.4164,2.8623,28.8396,7.3521,0.8393,9.7915,1.9715,0.0228,1.3852,18.3
NULMOY,198.73,33.5,-2.9692,-1.7682,1.85,-0.4517,2.794,28.927,7.3623,0.821,9.7876,1.9637,0.015,1.5486,21.1
BUKNEA,181.67,30.1,-3.779,-3.1278,1.83,-0.3629,2.9476,28.7704,7.3259,0.8676,9.7329,1.977,0.0285,1.5619,23.1
