Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
QIWLAM,82.03,-3.39,0.3469,2.1992,6.3893,12.5189,9.7449,1.9334,1.3873,0.0163,16
QIWLEQ,82.34,-3.3755,0.3628,2.1746,6.3781,12.5062,9.7529,1.9031,1.338,0.0105,14.7
QIXMIU,81.83,-3.2883,0.3694,2.1091,6.3771,12.499,9.7544,1.921,1.3381,0.0121,13.7
QOGCEU,84.47,-2.8322,0.0272,2.068,6.5088,12.6257,9.8383,1.9519,1.4008,0.0199,30.3
QOJPEM,86.88,-2.8198,0.4455,2.1268,6.368,12.4578,9.7287,1.9601,1.5489,0.0999,18.4
QONYIC,87.76,-3.2338,0.1975,2.0294,6.4341,12.5598,9.8085,1.9298,1.2121,0.0203,19.9
QOQNEQ,95.51,-2.0974,0.2898,1.9829,6.3936,12.5069,9.8096,1.9459,1.2059,0.0193,30
QOQVAT,80.92,-3.244,0.2633,1.946,6.4431,12.5138,9.7798,1.9023,1.3508,0.0117,24.1
QOWGUH,83,-3.6219,0.4157,1.9945,6.3605,12.4768,9.747,1.9192,1.4645,0.0743,15.5
QOYGOB,90.01,-2.628,0.3544,2.0971,6.3896,12.4807,9.7753,1.9625,1.5396,0.0865,17.3
QUBFEZ,82.19,-3.3676,0.3445,2.1611,6.3815,12.5077,9.7663,1.9284,1.4287,0.0174,13.4
QUCKEF,78.45,-3.2909,0.3962,1.8622,6.3903,12.4438,9.7697,1.9468,1.2498,0.0082,12
QUDPOW,90,-2.7906,0.2135,1.8742,6.4769,12.5065,9.803,1.9174,1.3406,0.0116,25.3
QUGTAO,77.59,-3.4599,0.2308,2.0324,6.3615,12.5754,9.8323,1.9646,1.34,0.0191,13.2
QUJXUQ,80.08,-3.1098,0.1502,2.0865,6.4485,12.6059,9.7953,1.9114,1.3346,0.0141,25.1
QUKPIW,63.96,-3.4039,0.4828,2.127,6.4018,12.394,9.7215,1.9275,1.4627,0.0869,24.2
QUOLSA,85.35,-2.8928,0.2265,2.0709,6.4336,12.5768,9.7631,1.9522,1.2299,0.0223,28.3
QUQYIM,86.1,-2.5778,0.4185,2.0165,6.3829,12.4413,9.7573,1.9057,1.5784,0.0763,15.8
QUSKIA,101.34,-2.7985,0.3734,1.9396,6.3523,12.496,9.7782,1.9201,1.5612,0.0905,16.3
QUYDUK,96.1,-2.6319,0.2311,1.9715,6.4133,12.5622,9.7934,1.9136,1.6341,0.0957,24.3
