Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
GEQXEI,84.5,180.39,3.48,7.34,10.33,28.2,20.3,16.8,693.08,-3.1979,-2.6867,2.13,1.97,1.81,0.371,-0.4002,-0.5463,-0.561,1.8365,2.864,2.0353,2.1162,28.7588,7.3466,8.5305,8.5459,0.8419,0.327,0.4707,3.1942,4.1282,1.5214,1.3234,1.2835,6.39,12.4596,4.1656,4.1561,4.1379,9.7795,1.9295,1.9499,1.9592,1.9447,1.9962,3.5385,4.6732,1.4884,1.6326,1.5522,0.3345,0.0579,0.0746,0.0666,0.0684,0.067,3.5191,4.6674,1.5291,1.4886,1.6497,0.3745,0.0779,0.0665,0.0803,0.0713,0.0784,18.9
GEQXOS,84.75,180.77,3.4,8.08,9.62,28.2,19.8,16.4,707.08,-3.342,-2.8862,2.13,1.97,1.81,0.3876,-0.3823,-0.5427,-0.5523,1.8744,2.8898,2.0227,2.1279,28.7366,7.3361,8.5376,8.5258,0.8397,0.3312,0.4822,3.1953,4.1089,1.5034,1.3406,1.2649,6.3816,12.4606,4.1635,4.1576,4.1394,9.7703,1.9356,1.947,1.96,1.9307,1.997,3.5406,4.6719,1.4825,1.6452,1.5441,0.3302,0.0566,0.0735,0.0669,0.0655,0.0676,3.5197,4.6647,1.5292,1.49,1.6454,0.3679,0.0773,0.0638,0.0796,0.0697,0.0776,20.1
GESGIW,47.58,134.07,1.65,5,8.79,20,13.4,8,457.22,-2.9694,-1.7157,1.83,3.02,1.82,0.3058,-0.4594,-0.6267,-0.5472,1.591,2.7914,2.0506,2.0155,28.739,7.3314,8.5735,8.449,0.8211,0.5587,0,3.1979,4.1866,1.4386,1.4756,1.2725,6.5524,12.3886,4.1491,4.1616,4.078,9.7532,1.8932,1.9518,1.9492,1.9812,1.9776,3.4824,4.7519,1.4752,1.5952,1.6815,0.3924,0.0957,0.0911,0.0575,0.091,0.0572,3.5509,4.7306,1.6692,1.5797,1.4817,0.2658,0.0303,0.0655,0.0639,0.0467,0.0594,27.2
GESKEU,88.61,184.69,3.22,9.09,12.18,38.2,32.3,23.6,807.6,-2.6414,-0.5725,2.05,2.04,1.91,0.3451,-0.4669,-0.6254,-0.5951,1.7833,2.7446,2.0057,1.945,28.8582,7.3998,8.4307,8.458,0.8008,0.361,0.4011,3.2172,4.1755,1.3257,1.4738,1.3761,6.3861,12.446,4.1823,4.1042,4.1594,9.8227,1.9757,1.9062,1.9909,1.9726,1.9773,3.5033,4.6873,1.5201,1.6804,1.4868,0.4348,0.0483,0.0951,0.117,0.057,0.1173,3.5099,4.7136,1.7046,1.4967,1.5123,0.3717,0.0726,0.0814,0.0846,0.0632,0.0699,16.2
GESREC,92.78,197.25,1.94,12.33,8.63,32.8,23.5,17.1,727.97,-2.8916,-2.2393,1.93,1.92,1.86,0.4592,-0.3925,-0.662,-0.7162,2.2016,2.8404,1.9883,2.0585,28.6975,7.3218,8.4648,8.5564,0.7509,0.4999,0.5366,3.2063,4.1115,1.3324,1.2754,1.5036,6.3496,12.4817,4.1646,4.1255,4.1916,9.7095,1.9427,1.9177,1.9017,1.9903,1.957,3.522,4.7116,1.588,1.518,1.6056,0.4284,0.1014,0.0558,0.1118,0.0541,0.1053,3.5143,4.7965,1.5583,1.5395,1.6986,0.4054,0.0787,0.0765,0.085,0.077,0.0882,18.9
GEVBIT,81.31,233.04,1.72,8.46,8.51,37.5,27.1,16.5,597.02,-3.3341,-2.8033,2.06,1.97,1.85,0.3513,-0.386,-0.0639,-0.6413,2.1189,2.8861,3.1284,2.0748,28.8037,7.3466,7.0131,8.5298,0.8198,0.4795,0.488,3.2101,4.1012,1.2597,1.3055,1.5361,6.3833,12.4986,4.1555,4.1947,4.1483,9.7669,1.913,1.9552,1.9733,1.9831,1.9423,3.1606,3.7878,1.262,1.4002,1.1256,0.1154,0.0125,0.0293,0.0228,0.0175,0.0333,3.5157,4.7053,1.5133,1.5355,1.6564,0.4203,0.0815,0.0694,0.1063,0.0653,0.0979,15.8
GEWBUF,47.89,133.24,2.31,6.22,9.37,22.6,19.1,14.9,588.94,-2.9324,0.0205,2.99,1.86,1.84,0.3015,-0.4673,-0.5677,-0.6622,1.5602,2.773,2.0386,2.0569,28.7787,7.3406,8.4226,8.5393,0.8078,0,0.5485,3.2042,4.1883,1.4011,1.3014,1.4858,6.5619,12.372,4.1283,4.1446,4.099,9.7646,1.9004,1.9567,1.9514,1.9898,1.9663,3.543,4.7263,1.514,1.7176,1.4947,0.2983,0.0565,0.0704,0.0655,0.0498,0.0562,3.4841,4.7482,1.661,1.4331,1.6541,0.43,0.1024,0.0554,0.1048,0.0669,0.1005,25.6
GEXKID,101.12,259.69,1.9,7.03,7.85,43.5,28.9,15.3,510.93,-3.231,-1.5996,1.9,2,1.99,0.3129,-0.3376,-0.7171,-0.077,1.8267,2.8643,2.0263,3.0959,28.7516,7.4243,8.5716,6.9915,0.4947,0.5908,0.491,3.1828,4.072,1.2478,1.2886,1.5356,6.3476,12.4941,4.082,4.19,4.2221,9.8453,1.9577,1.9634,1.9821,1.9493,1.9928,3.5091,4.79,1.6006,1.5952,1.5941,0.4179,0.0541,0.0689,0.1105,0.0552,0.1293,3.1606,3.7954,1.256,1.4274,1.112,0.121,0.0102,0.0299,0.0453,0.0123,0.0232,33.8
GEXMAA01,82.23,186.82,1.92,6.15,8.6,29,20.1,13.6,562.74,-3.7926,-3.3425,1.92,1.92,1.78,0.4969,-0.3001,-0.6332,-0.6289,2.252,3.0194,2.1154,2.107,28.6113,7.2672,8.5204,8.496,0.8665,0.5132,0.5161,3.2042,4.0154,1.3703,1.4021,1.2431,6.3329,12.503,4.1566,4.1963,4.1501,9.6672,1.9337,1.9328,1.9873,1.9169,1.8965,3.5134,4.6836,1.4659,1.6647,1.553,0.4363,0.0814,0.0751,0.1048,0.079,0.096,3.5146,4.6783,1.5442,1.5305,1.6036,0.436,0.0976,0.0867,0.0879,0.0884,0.0754,22.1
GEXTEK,47.92,134.37,1.65,5.89,11.22,20.1,13.5,8.2,528.4,-2.9669,-1.9029,3,1.83,1.82,0.307,-0.4598,-0.5563,-0.6337,1.5877,2.797,2.0207,2.0537,28.7435,7.3311,8.4516,8.5744,0.8181,0,0.5553,3.1995,4.1855,1.5216,1.4462,1.2176,6.5538,12.386,4.1574,4.169,4.0595,9.7533,1.8792,1.9641,1.9576,1.9821,1.9703,3.5502,4.736,1.6422,1.6159,1.4779,0.2701,0.0266,0.0672,0.0681,0.0379,0.0703,3.4844,4.7544,1.5209,1.5635,1.6701,0.3948,0.0924,0.0806,0.0695,0.0766,0.0757,27.3
