Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
ABEJEX,81.54,223.81,2.68,7.74,9.92,39.6,29.2,18.3,680.73,-3.2721,-2.5463,2,2.03,1.84,0.3699,-0.4039,-0.6355,-0.0937,2.093,2.8682,2.0821,3.0352,28.7557,7.3418,8.5341,7.2118,0.8375,0.434,0.4963,3.2033,4.1259,1.3917,1.4353,1.2989,6.3777,12.4966,4.1708,4.1716,4.1542,9.7558,1.8919,1.9642,1.9793,1.9849,1.9354,3.5187,4.7095,1.5034,1.5362,1.6699,0.4074,0.082,0.0769,0.0805,0.078,0.09,3.175,3.8058,1.2593,1.4467,1.0997,0.1129,0.0148,0.0275,0.0306,0.014,0.0261,24.6
ABIVAL,86.5,187.43,1.56,8.54,8.8,31.2,23,17.4,648.43,-3.6038,-3.1022,1.92,2.03,1.83,0.5107,-0.3511,-0.5863,-0.6135,2.1751,2.9584,2.0442,1.9676,28.7362,7.3108,8.5077,8.4975,0.8779,0.5367,0.4141,3.2142,4.061,1.4006,1.3649,1.2955,6.3466,12.435,4.1926,4.1499,4.0925,9.7077,1.9034,1.9588,1.9798,1.961,1.9047,3.5061,4.707,1.5296,1.61,1.5674,0.3732,0.0731,0.0588,0.1012,0.0565,0.0835,3.5213,4.6875,1.4775,1.5918,1.6182,0.4047,0.0663,0.0797,0.1047,0.0677,0.0864,20.5
ABIWIT,46.8,131.51,2.41,10.85,9.88,19.5,15,13.3,731.62,-2.9414,-1.4183,1.86,3.05,1.85,0.3087,-0.4732,-0.5911,-0.5456,1.5348,2.7639,2.0847,1.9787,28.7796,7.3584,8.5543,8.4409,0.8042,0.563,0,3.2088,4.1903,1.3881,1.3895,1.4127,6.5619,12.3612,4.1286,4.1601,4.0725,9.7682,1.8795,1.9723,1.9597,1.9807,1.976,3.4836,4.7436,1.5868,1.6762,1.4806,0.3639,0.059,0.086,0.0875,0.0476,0.0838,3.5417,4.7187,1.5742,1.5561,1.5884,0.2851,0.0445,0.0511,0.076,0.042,0.0715,27.4
ABOCOM,47.11,134,3.26,7.67,11.3,21,15.7,12.5,724.83,-2.9612,-1.1259,3.04,1.86,1.84,0.3047,-0.4705,-0.556,-0.6098,1.5682,2.7686,1.9547,2.0436,28.7969,7.3567,8.4573,8.5412,0.8176,0,0.5864,3.2071,4.1889,1.5004,1.4111,1.2774,6.5625,12.3669,4.1364,4.1733,4.0573,9.7659,1.8778,1.9743,1.9603,1.987,1.9666,3.5474,4.737,1.5798,1.5718,1.5854,0.2716,0.0412,0.0557,0.0678,0.0395,0.0673,3.4897,4.7505,1.6006,1.6628,1.4871,0.3696,0.0652,0.0851,0.0867,0.0482,0.0844,25.3
ABOMOW,79.71,185.45,2.91,7.93,9.83,35.9,27.5,20.1,716.55,-2.637,-1.2619,1.96,2.21,1.88,0.3048,-0.463,-0.8279,-0.6222,1.7612,2.7375,1.8227,2.064,28.9208,7.3551,8.5501,8.5004,0.7248,0.6151,0.2583,3.2078,4.1795,1.5655,1.3084,1.3057,6.4606,12.4429,4.101,4.1834,4.1585,9.7918,1.9684,1.9692,1.9233,1.9504,1.9805,3.5566,4.8587,1.6401,1.5277,1.691,0.4126,0.0887,0.0632,0.0991,0.0799,0.0817,3.5357,4.6954,1.5079,1.606,1.5815,0.3911,0.0757,0.0674,0.0974,0.0675,0.0832,21.2
ABOQOA,60.21,185.84,1.99,7.12,6.35,31.2,25.6,13.4,509.08,-2.9549,-0.8957,3.53,1.88,1.87,0.2214,-0.4755,-0.4659,-0.2371,1.7399,2.7782,2.1461,2.9974,28.9169,7.3532,8.4294,7.2685,0.8088,0,0.6803,3.2045,4.1987,1.6284,1.3992,1.1712,6.5902,12.4148,4.1506,4.2302,4.0339,9.7737,1.8986,1.9838,1.9782,1.9937,1.9194,3.5311,4.6516,1.4658,1.6703,1.5154,0.2833,0.0521,0.0745,0.0493,0.0492,0.0581,3.1625,3.9937,1.3489,1.3542,1.2905,0.081,0.0134,0.0157,0.0168,0.0134,0.0217,24.4
ABORUE,84.58,258.97,2.3,9.57,8.05,42.9,31.1,21.1,670.29,-3.3787,-1.605,1.91,2.11,1.97,0.2161,-0.3475,-0.1487,-0.1479,1.7739,2.8585,3.2473,3.1021,28.7764,7.4184,7.0191,7.1565,0.516,0.6033,0.3573,3.1822,4.082,1.3916,1.294,1.3963,6.4261,12.4986,4.1517,4.1742,4.1728,9.8592,1.972,1.9389,1.9822,1.9698,1.9964,3.1607,3.8643,1.3712,1.1837,1.3094,0.1237,0.0299,0.0161,0.0306,0.0147,0.0323,3.1626,3.8991,1.2442,1.4481,1.2068,0.0862,0.0132,0.0172,0.025,0.0122,0.0185,34.4
ABUJUC,85.58,185.26,2.12,9.33,7.71,33.8,26.2,17.5,633.08,-1.8228,0.4088,2.03,2.05,1.94,0.2685,-0.4793,-0.886,-0.8864,1.8306,2.7143,1.6927,1.8942,28.9245,7.4131,8.5748,8.5316,0.7009,0.4794,0.4683,3.2285,4.1754,1.538,1.2883,1.3491,6.4498,12.4807,4.1685,4.1629,4.1493,9.801,1.8823,1.9668,1.9861,1.9881,1.9777,3.5654,4.8791,1.7042,1.4578,1.717,0.4416,0.1103,0.0617,0.0969,0.0693,0.1034,3.5713,4.9041,1.5798,1.6641,1.6602,0.411,0.071,0.0814,0.0706,0.108,0.08,22.1
ABULIT,86.92,197.04,1.62,6.79,7.25,34.3,22.4,12.7,495.99,-2.5542,-1.4199,2,2,1.91,0.3349,-0.4629,0.1119,-0.6829,1.9972,2.7552,3.0711,1.9379,28.8536,7.3834,7.0151,8.5285,0.7649,0.5033,0.4433,3.2172,4.1728,1.2393,1.4197,1.5138,6.4146,12.4662,4.0884,4.199,4.1787,9.7843,1.9522,1.9581,1.946,1.9563,1.9717,3.1757,3.5938,1.2491,1.2149,1.1298,0.1186,0.026,0.02,0.0263,0.0294,0.0169,3.5231,4.7479,1.5046,1.6978,1.5454,0.4119,0.0971,0.0936,0.0667,0.0895,0.065,19.1
ACACOY,48.46,134.95,1.65,6.59,8.8,20.2,13.6,9.1,498.48,-2.9848,-1.4331,2.97,1.84,1.83,0.3121,-0.4621,-0.5623,-0.615,1.583,2.7961,1.9258,2.1257,28.7519,7.335,8.569,8.5792,0.8235,0,0.5441,3.2,4.1873,1.5438,1.4489,1.1945,6.5496,12.3801,4.1642,4.1634,4.0525,9.7581,1.877,1.9635,1.9625,1.9816,1.9735,3.5412,4.7231,1.5891,1.5804,1.5535,0.2979,0.0456,0.0745,0.0725,0.0407,0.0646,3.4796,4.7429,1.6284,1.637,1.4774,0.3925,0.0643,0.091,0.0897,0.0595,0.0879,27
ACANAC12,83.31,208.05,2.31,5.62,6.48,40.5,28.8,14.2,496.49,-2.7247,-1.871,2,2.04,1.9,0.3479,-0.4459,-0.1855,-0.555,1.9969,2.7898,2.8991,1.9835,28.8388,7.358,7.2212,8.4705,0.7607,0.4805,0.3591,3.2177,4.1557,1.2891,1.4114,1.4552,6.4082,12.4549,4.0954,4.1988,4.1607,9.7889,1.9276,1.9577,1.9623,1.9756,1.9657,3.1376,3.9683,1.2204,1.3367,1.4112,0.0797,0.0234,0.0117,0.0086,0.0252,0.0108,3.5174,4.6575,1.4488,1.6953,1.5134,0.3801,0.0833,0.099,0.0505,0.1033,0.044,18.7
ACARBM02,46.54,132.95,1.65,3.03,5.79,20.6,11.7,4.6,371.98,-2.7022,0.5005,3.1,1.85,1.88,0.109,-0.4919,-0.7119,-0.4932,1.6346,2.7563,1.8605,2.6456,28.9473,7.3495,8.5502,7.7143,0.7201,0,0.7311,3.212,4.2068,1.2577,1.5787,1.3704,6.6675,12.4522,4.1691,4.1625,4.1206,9.7713,1.8887,1.9467,1.9499,1.9963,1.9898,3.5699,4.8712,1.643,1.7284,1.4998,0.2708,0.0311,0.0647,0.0706,0.0444,0.06,3.2368,4.1984,1.5275,1.3618,1.309,0.0579,0.0101,0.0111,0.0107,0.0068,0.0192,35.5
ACENEC,40.27,127.5,2.85,6.15,13.07,20.4,16,11.2,663.04,-2.863,-0.9416,1.88,4.7,1.87,0.164,-0.48,-0.4084,-0.5805,1.6375,2.7778,3.0021,2.1143,28.907,7.3643,7.61,8.4432,0.7938,0.6681,0,3.2067,4.2005,1.3461,1.3024,1.552,6.6352,12.4189,4.1949,4.1355,4.0885,9.7819,1.876,1.9885,1.9829,1.9509,1.9837,3.2141,4.1323,1.3956,1.4166,1.3201,0.0621,0.0073,0.0179,0.0141,0.0122,0.0105,3.5482,4.7452,1.4976,1.6705,1.5771,0.2871,0.0503,0.0588,0.0607,0.0498,0.0675,31.4
ACEQIJ,86.46,183.36,2.15,6.2,9.31,32.2,21,12.5,550.85,-1.7188,-0.2461,2.03,2.03,1.92,0.2401,-0.4749,-0.8955,-0.8902,1.8557,2.7225,1.8137,1.8921,28.9675,7.3661,8.5413,8.5265,0.6698,0.525,0.4918,3.2192,4.1796,1.4753,1.3509,1.3534,6.4595,12.4988,4.1319,4.2004,4.1665,9.8016,1.9425,1.9334,1.9592,1.972,1.9946,3.5767,4.906,1.7453,1.6655,1.4951,0.4129,0.0654,0.0935,0.1009,0.0467,0.1065,3.5705,4.9015,1.6866,1.5106,1.7042,0.4183,0.0939,0.068,0.0909,0.0678,0.0978,23.1
ACEQIK,83.29,185.55,1.59,9.54,7,32,20.5,11.7,543.5,-2.5578,-1.5379,1.95,2.03,1.88,0.1206,-0.4662,-0.1353,-0.4268,2.0076,2.7609,3.2305,2.8792,28.8746,7.3811,7.0858,7.5776,0.7617,0.5018,0.4332,3.2082,4.1829,1.4768,1.491,1.2152,6.4552,12.6012,4.1973,4.1922,4.2117,9.8229,1.9329,1.9694,1.9846,1.9681,1.9679,3.1671,3.8661,1.2703,1.383,1.2127,0.1022,0.0145,0.0229,0.0277,0.0138,0.0233,3.2495,4.1184,1.42,1.288,1.4104,0.0589,0.0139,0.0069,0.0181,0.0124,0.0076,18.4
ACETOS,83.93,194.16,1.85,5.92,13.77,32.4,21.2,12,624.41,-2.9684,-2.0458,2.02,1.94,1.84,0.245,-0.4272,-0.7103,-0.109,2.0551,2.8181,2.0279,3.2196,28.8527,7.3516,8.5386,7.0919,0.8083,0.4614,0.4983,3.2005,4.15,1.5362,1.4254,1.1883,6.4203,12.561,4.1811,4.1994,4.1805,9.7738,1.9014,1.9806,1.9783,1.9358,1.9776,3.5413,4.775,1.5244,1.5143,1.7362,0.394,0.0802,0.0711,0.0818,0.0768,0.0841,3.1481,3.8661,1.3148,1.3481,1.2032,0.0948,0.0082,0.0258,0.0283,0.0124,0.0202,19.3
ACETSC10,78.63,211.89,1.75,5.64,6.33,34.4,23.1,10.4,447.62,-3.0244,-1.2577,2.02,2.18,1.87,0.2494,-0.4537,-0.0575,-0.6322,1.8317,2.7957,3.2562,2.023,28.8635,7.3572,7.1048,8.5404,0.8315,0.5176,0.2802,3.2014,4.1781,1.3177,1.2762,1.5842,6.4556,12.4831,4.1533,4.1874,4.1424,9.8119,1.9299,1.9657,1.9559,1.9821,1.9784,3.1566,3.7829,1.1913,1.411,1.1805,0.118,0.0179,0.0267,0.0194,0.0265,0.0276,3.5331,4.7412,1.5897,1.5484,1.6031,0.3578,0.079,0.0566,0.0753,0.066,0.0808,19
ACETUA,64.39,162.2,2.31,6.59,10.67,26.9,19.9,12.9,627.89,-3.133,-2.9061,2.02,2.06,1.82,0.4339,-0.3825,-0.5609,-0.5634,2.0379,2.8934,1.9165,1.9928,28.8047,7.3443,8.5316,8.517,0.8145,0.4734,0.4581,3.2035,4.1016,1.4054,1.4235,1.2726,6.4121,12.418,4.1383,4.1679,4.1118,9.736,1.9096,1.9592,1.98,1.9484,1.9388,3.5171,4.6571,1.5425,1.6349,1.4797,0.3867,0.0687,0.0795,0.0848,0.0538,0.1,3.5317,4.6933,1.5913,1.4774,1.6245,0.3384,0.0652,0.0662,0.0799,0.0508,0.0764,23.4
ACIHEB,82.64,194.87,1.74,8.69,8.17,33.7,23.8,13.8,574.69,-2.9518,-1.8637,1.96,2.04,1.86,0.1445,-0.4433,-0.1337,-0.1501,2.0875,2.8095,3.209,3.1296,28.8657,7.3682,7.0394,7.0986,0.8006,0.5426,0.4204,3.2071,4.1608,1.4149,1.506,1.2398,6.4509,12.599,4.1795,4.2052,4.2143,9.8057,1.9559,1.9422,1.9783,1.9429,1.9863,3.1829,3.8291,1.3382,1.2107,1.2802,0.1217,0.0237,0.0174,0.0295,0.0138,0.0373,3.1731,3.8868,1.227,1.4579,1.2019,0.0903,0.012,0.0169,0.0315,0.0104,0.0196,17.3
ACIWIS,53.13,176.81,3.13,7.79,10.71,22.1,20.4,18.6,683.05,-3.197,-2.1892,2.79,1.79,1.79,0.3633,-0.4391,-0.7327,-0.5241,1.7337,2.8503,1.9892,2.2859,28.7363,7.3236,8.4599,8.572,0.8655,0,0.6262,3.193,4.1705,1.279,1.3497,1.5418,6.5078,12.3976,4.0998,4.1949,4.1029,9.7313,1.8956,1.9791,1.9511,1.9775,1.928,3.5166,4.6606,1.5533,1.5341,1.5732,0.5554,0.1136,0.1126,0.0953,0.1207,0.1132,3.4627,4.6834,1.4592,1.7184,1.5058,0.378,0.0977,0.0783,0.0596,0.0845,0.0578,22.1
ACIXAL,49.36,145.92,2.34,7.22,12.23,20.5,16.6,14.3,685.51,-2.9696,-1.684,2.94,1.83,1.81,0.3136,-0.458,-0.6965,-0.6069,1.6148,2.8006,1.8785,2.14,28.7525,7.3317,8.4891,8.5804,0.8265,0,0.5687,3.1962,4.1866,1.3949,1.2729,1.5188,6.5447,12.389,4.1271,4.1431,4.1188,9.7526,1.9099,1.9534,1.9356,1.9831,1.9706,3.5504,4.7294,1.5222,1.6945,1.5127,0.4167,0.0816,0.0717,0.071,0.078,0.1144,3.4777,4.7403,1.668,1.432,1.6403,0.3889,0.1063,0.0429,0.096,0.0544,0.0893,27.7
ACLTRY,46.19,130.77,2.09,9.07,9.55,19.6,14.3,10.9,632.01,-2.9745,-0.954,3.08,1.86,1.84,0.2993,-0.4669,-0.5547,-0.6079,1.5552,2.7747,2.0059,2.0328,28.7747,7.3433,8.4705,8.5558,0.8215,0,0.5496,3.2041,4.1882,1.5962,1.4061,1.1859,6.5624,12.3718,4.1664,4.1626,4.0428,9.7666,1.8656,1.9719,1.9714,1.9926,1.9651,3.5483,4.7339,1.6119,1.6378,1.4841,0.2725,0.031,0.07,0.0646,0.0357,0.0712,3.4825,4.748,1.5838,1.522,1.6422,0.3773,0.0924,0.058,0.0776,0.0659,0.0834,27.4
ACONIR,47.37,132.39,2.02,5.69,7.59,20.2,15.2,9.6,483.55,-2.9214,0.2187,1.86,3.02,1.84,0.2952,-0.4686,-0.638,-0.5436,1.5351,2.7683,1.9997,2.0423,28.7739,7.3483,8.5567,8.4487,0.81,0.5522,0,3.2048,4.1893,1.2732,1.2736,1.6425,6.5665,12.3718,4.1185,4.1281,4.1253,9.7665,1.9071,1.947,1.9402,1.9856,1.9867,3.4855,4.7573,1.7171,1.4746,1.5655,0.3952,0.1042,0.063,0.0891,0.0633,0.0756,3.5506,4.7401,1.5073,1.6702,1.5626,0.2529,0.0678,0.0515,0.0249,0.0871,0.0215,25.7
ACPENC10,91.63,237.83,1.55,5.78,7.06,47.1,32.8,16.7,511.75,-3.0585,-2.521,2.17,1.96,1.88,0.5187,-0.394,-0.5085,-0.5248,2.2119,2.8417,1.9849,2.0423,28.7951,7.3193,8.4197,8.4915,0.8311,0.2698,0.4443,3.2144,4.1058,1.2876,1.4199,1.3983,6.2889,12.4425,4.1496,4.1234,4.1695,9.7498,1.9599,1.9125,1.9687,1.9742,1.9345,3.526,4.6511,1.4671,1.5135,1.6705,0.3314,0.0812,0.0534,0.0704,0.0541,0.0722,3.4901,4.6478,1.5823,1.5288,1.5368,0.3869,0.0683,0.0642,0.09,0.0703,0.0941,11
ADAGAQ,80.67,189.95,3.37,9.33,10.06,31.7,24.1,17.6,750.74,-3.3381,-2.8713,2.01,2.04,1.84,0.3075,-0.399,-0.0547,-0.632,2.0266,2.8824,3.1906,2.0831,28.7817,7.3344,7.0535,8.5265,0.8299,0.5211,0.3934,3.2038,4.1197,1.5101,1.4145,1.1951,6.4092,12.5145,4.184,4.1981,4.1324,9.7687,1.92,1.9892,1.9666,1.9301,1.9627,3.1657,3.77,1.1957,1.4274,1.1468,0.1191,0.018,0.0299,0.0235,0.0219,0.0257,3.5211,4.7039,1.537,1.5383,1.6286,0.407,0.0911,0.076,0.0786,0.0808,0.0805,19
ADEHXL10,83.26,212.02,2.23,5.32,9.76,35.6,24.5,13,529.97,-2.7134,-1.6907,2.2,2.01,1.89,0.2338,-0.4664,-0.489,-0.2003,1.7419,2.7636,2.0647,2.9905,28.9224,7.3839,8.4547,7.276,0.7981,0.253,0.4997,3.2113,4.1814,1.5589,1.4323,1.1902,6.4717,12.4686,4.173,4.1743,4.1212,9.826,1.8875,1.9725,1.9711,1.993,2.0019,3.5256,4.6413,1.4683,1.5072,1.6657,0.3221,0.0744,0.0698,0.0539,0.0661,0.0579,3.1491,3.9706,1.407,1.3824,1.1812,0.0806,0.0075,0.024,0.0199,0.0112,0.018,20
ADESOS,77.33,175.95,1.55,7.75,8.1,28.8,20.1,13.3,555.66,-2.8257,-2.2291,2.13,1.94,1.86,0.2599,-0.4355,-0.671,-0.3763,1.9188,2.7908,1.9882,2.7918,28.8043,7.3681,8.5242,7.5985,0.749,0.3199,0.6329,3.1995,4.1621,1.3233,1.3108,1.528,6.4678,12.5028,4.188,4.1457,4.1691,9.7695,1.9496,1.9183,1.9756,1.9803,1.9457,3.5454,4.7176,1.5292,1.657,1.5314,0.408,0.0825,0.0656,0.1089,0.0538,0.0971,3.2733,4.0197,1.5103,1.0677,1.4417,0.0833,0.0166,0.0053,0.0212,0.0122,0.028,19
ADINAD,95.14,199.89,2.06,7.67,6.85,38,29.1,18.1,556.01,-2.8398,-2.1232,1.92,1.92,1.88,0.451,-0.3972,-0.8768,-0.6088,2.2948,2.8159,1.8886,2.0908,28.7938,7.3043,8.5546,8.4299,0.7478,0.613,0.5294,3.2133,4.1103,1.2442,1.4495,1.4166,6.3619,12.4864,4.1179,4.173,4.1955,9.7006,1.9609,1.8993,1.9139,1.9712,1.9554,3.5518,4.8828,1.7114,1.4873,1.6841,0.4423,0.1016,0.0737,0.1005,0.0606,0.1059,3.5188,4.6572,1.4762,1.3993,1.7817,0.4329,0.1038,0.0953,0.0528,0.1184,0.0625,19.2
ADLFUC,86.09,181.39,2.08,5.03,7.51,33.4,22.3,11.9,482.17,-1.8346,0.5825,2.11,2.01,1.93,0.2679,-0.4791,-0.791,-0.8633,1.7893,2.7313,1.9161,1.8318,28.9484,7.3738,8.4919,8.6085,0.6884,0.3775,0.5643,3.2215,4.1824,1.3716,1.3419,1.4689,6.4586,12.468,4.1573,4.182,4.1287,9.8056,1.9477,1.9114,1.9645,1.9863,1.9956,3.5533,4.8414,1.6021,1.6232,1.6161,0.3964,0.081,0.0846,0.061,0.081,0.0888,3.5698,4.8745,1.6193,1.501,1.7543,0.419,0.1122,0.0773,0.0794,0.0659,0.0843,17.8
ADOKIN,75.68,264.04,2.14,6.42,6.39,49.4,31.5,15,482.07,-3.5515,-2.3615,2.13,2.12,2.08,0.2437,-0.2996,-0.0581,-0.1494,1.8722,2.8445,3.1913,3.1871,28.6643,7.4327,6.9963,7.1381,0.3789,0.3285,0.4326,3.1908,4.0274,1.2719,1.3246,1.4309,6.3625,12.5359,4.1435,4.2136,4.1788,9.858,1.9877,1.9644,1.9325,1.9779,1.9955,3.1368,3.7903,1.3934,1.254,1.143,0.131,0.0207,0.0205,0.0304,0.0254,0.0338,3.1689,3.8918,1.3354,1.2495,1.3069,0.0887,0.018,0.0149,0.0174,0.0245,0.0139,33.1
ADUPIY,75.28,167.53,1.87,8.47,10,28.4,20.4,13.8,691.83,-3.3095,-2.1916,1.85,2.61,1.81,0.2562,-0.4444,-0.0914,-0.571,1.9192,2.8462,3.2575,2.0239,28.8637,7.3535,7.0822,8.5049,0.8823,0.7149,0,3.1928,4.1779,1.4799,1.3396,1.3584,6.5177,12.4733,4.1612,4.2085,4.1035,9.7528,1.903,1.9799,1.9527,1.9646,1.9526,3.1689,3.8045,1.2734,1.3689,1.1622,0.1181,0.0163,0.0288,0.0198,0.0201,0.0331,3.5469,4.6924,1.5471,1.5055,1.6398,0.3317,0.079,0.0492,0.0664,0.053,0.0841,22.1
AFABIT,90.31,259.8,3.06,7.57,6.96,43.9,35.9,24,658.3,-3.8725,-1.8677,2.05,1.98,2.02,0.3651,-0.2967,-0.601,-0.1714,1.6134,2.9371,2.0758,3.2085,28.6888,7.4486,8.4563,7.2453,0.4873,0.3652,0.4769,3.1819,4.0321,1.2994,1.3433,1.3894,6.3477,12.4232,4.0844,4.1765,4.1623,9.864,1.9438,1.9603,1.9746,1.972,2.0133,3.5018,4.6798,1.482,1.551,1.6468,0.4194,0.0709,0.0712,0.107,0.0603,0.11,3.159,3.926,1.3435,1.3938,1.1886,0.0864,0.0118,0.0155,0.0284,0.0121,0.0187,44.6
AFAPIH,89.7,194.38,2.08,5.3,7.25,32.9,23,12.5,492.75,-2.0205,-1.352,1.89,1.96,1.88,0.3366,-0.4485,-0.8612,-0.8457,2.2624,2.7619,1.9073,1.7935,28.9239,7.3248,8.5485,8.4671,0.7114,0.6674,0.4805,3.2227,4.1505,1.2455,1.2833,1.6218,6.4201,12.5221,4.1212,4.1975,4.2034,9.7212,1.8723,1.9759,1.9677,1.978,1.9273,3.5628,4.8786,1.7653,1.6698,1.4436,0.4198,0.0661,0.0859,0.1138,0.0489,0.1051,3.5788,4.839,1.6402,1.6153,1.5835,0.4279,0.0777,0.0596,0.0925,0.0995,0.0986,21.4
AFAPUT,89.67,193.73,2.1,5.74,6.51,33.8,23.7,12.6,488.66,-2.2215,-1.5706,1.96,1.9,1.88,0.345,-0.4522,-0.8525,-0.8639,2.2743,2.7758,1.8272,1.8998,28.9012,7.3475,8.476,8.5588,0.7188,0.4963,0.6548,3.2195,4.1567,1.5773,1.3549,1.2245,6.4065,12.5248,4.1928,4.2081,4.124,9.7236,1.8649,1.9622,1.9782,1.9961,1.9222,3.5846,4.8452,1.5691,1.5363,1.7399,0.4228,0.0998,0.0649,0.095,0.0902,0.0728,3.563,4.8752,1.4328,1.6994,1.743,0.4256,0.1026,0.1005,0.0586,0.1104,0.0535,21.7
AFEBOC,88.93,184.78,2.97,6.5,7.31,32.5,25.9,17.5,574.39,-2.8928,-1.0669,2.05,2.05,1.87,0.3501,-0.4449,-0.6269,-0.6269,1.7495,2.7835,2.1166,2.1184,28.7921,7.3774,8.5117,8.5141,0.8157,0.3709,0.3704,3.2033,4.1661,1.4274,1.3186,1.4202,6.3886,12.4478,4.158,4.1502,4.1396,9.8135,1.9317,1.9327,1.9793,1.9685,2.0014,3.5075,4.7134,1.5761,1.5509,1.5864,0.406,0.073,0.0639,0.1006,0.0591,0.1094,3.5074,4.7136,1.6229,1.5864,1.5043,0.4059,0.0712,0.0769,0.0971,0.0647,0.096,16.8
AFEQEJ,46.43,131.93,1.97,5.35,8.42,20,14.5,9.1,482.75,-2.9765,-1.256,1.84,3.07,1.82,0.3021,-0.4635,-0.5946,-0.5099,1.5976,2.7856,2.0399,2.0101,28.7801,7.3424,8.5392,8.4355,0.8284,0.5823,0,3.2002,4.1885,1.3554,1.4556,1.3775,6.556,12.3808,4.1327,4.1565,4.0917,9.761,1.8966,1.9542,1.9462,1.9816,1.9824,3.4838,4.7355,1.4602,1.5978,1.6775,0.3754,0.0995,0.0951,0.0462,0.0854,0.0491,3.5508,4.7097,1.6539,1.57,1.4858,0.2495,0.0268,0.062,0.0598,0.0469,0.054,25.6
AFEQIN,47.74,134.5,1.65,6.27,8.76,20.2,13.6,8.8,481.81,-2.9444,-1.6816,1.82,3.01,1.81,0.3024,-0.459,-0.6347,-0.5379,1.5865,2.7918,2.0463,2.027,28.7384,7.3314,8.5748,8.4322,0.8212,0.557,0,3.1961,4.1879,1.4438,1.4803,1.2638,6.552,12.3919,4.1556,4.1645,4.0718,9.7537,1.8857,1.9565,1.9542,1.9791,1.9781,3.4811,4.7553,1.4916,1.5877,1.676,0.3983,0.0954,0.0921,0.0593,0.0859,0.0656,3.5509,4.7203,1.661,1.5834,1.4759,0.2667,0.0315,0.0657,0.0643,0.0399,0.0652,27.2
AFEQOT,46.82,133.48,1.65,6.23,8.77,20.4,14.2,8.7,480.67,-2.9608,-1.6279,1.82,3.05,1.81,0.3025,-0.4588,-0.6223,-0.5486,1.5909,2.7927,2.0528,2.016,28.7276,7.3291,8.5653,8.4512,0.8205,0.5507,0,3.1968,4.1871,1.4484,1.4768,1.262,6.5539,12.3924,4.1544,4.165,4.0731,9.7512,1.8867,1.9557,1.9534,1.9786,1.9767,3.4805,4.7445,1.4859,1.5742,1.6844,0.3972,0.0949,0.0887,0.0579,0.0856,0.0701,3.5493,4.7294,1.6569,1.5931,1.4795,0.2699,0.0303,0.0668,0.0645,0.0408,0.0674,27.1
AFEREJ,45.46,149.24,1.81,7.14,6.2,27.8,23.4,13,501.71,-3.0094,-0.1245,1.85,3.1,1.84,0.3305,-0.4673,-0.6283,-0.5167,1.5821,2.7734,2.0111,2.0754,28.7337,7.343,8.5347,8.4145,0.8078,0.507,0,3.2054,4.1873,1.4386,1.2949,1.4538,6.5367,12.3671,4.1205,4.1375,4.1091,9.7656,1.9247,1.9511,1.9321,1.9848,1.9729,3.4651,4.6928,1.6352,1.4284,1.6292,0.4703,0.1188,0.0636,0.11,0.0638,0.1142,3.544,4.7282,1.5262,1.6945,1.5075,0.2445,0.0435,0.06,0.0479,0.0396,0.0535,27.7
