Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
WOLJUF,83.93,187.8,1.68,6.33,8.6,32.1,20.9,11.9,488.71,-3.5776,-2.7342,1.89,2.22,1.81,0.3082,-0.389,-0.0933,-0.6042,2.0924,2.907,3.3001,2.0564,28.7913,7.3297,7.1058,8.4927,0.8675,0.6708,0.2594,3.1999,1.4764,1.4492,1.1871,6.4327,12.5271,4.2089,4.1919,4.1263,9.732,1.9029,1.9858,1.9771,1.9021,1.964,1.3223,1.327,0.0092,0.0287,0.0265,0.0138,0.0205,1.4884,1.5119,1.7107,0.3499,0.0788,0.072,0.0606,0.0741,0.0643,18.8
WOMHUD,65.41,234.72,2.39,7.37,5.62,47.5,33.9,18.7,564.33,-2.6262,-1.8373,2.01,1.97,1.9,0.3486,-0.4131,-0.2212,-0.1685,2.6219,2.7926,2.9424,2.9662,28.8534,7.2992,7.2043,7.1556,0.72,0.4278,0.4701,3.2147,1.4496,1.4415,1.2333,6.3468,12.5923,4.1481,4.2149,4.2293,9.7123,1.9588,1.8907,1.8905,1.9626,2.0096,1.3923,1.3556,0.0083,0.0207,0.0215,0.0143,0.0153,1.4355,1.2509,1.2565,0.0822,0.0165,0.0198,0.0202,0.0115,0.0143,32.5
WOQCUC,85.09,187.46,3.02,6.14,8.81,31.2,25.1,17.3,589.38,-2.7694,-2.4249,1.97,1.93,1.84,0.4384,-0.4022,-0.7736,-0.5776,2.1768,2.8417,1.6658,2.1719,28.7509,7.3477,8.5908,8.5012,0.7868,0.5061,0.5483,3.2085,1.4087,1.4295,1.279,6.3668,12.4772,4.174,4.1717,4.1316,9.7176,1.9232,1.9662,1.9837,1.9625,1.8821,1.5401,1.526,0.0871,0.0691,0.0871,0.0911,0.0758,1.4451,1.6972,1.5168,0.4094,0.0747,0.0747,0.1012,0.0662,0.0925,19.9
WOQXIL,93.5,210.3,1.73,6.3,9.36,35,23.5,12.9,519.4,-2.9928,-2.8527,1.92,1.96,1.87,0.3557,-0.4005,-0.6225,0.1453,2.1975,2.8648,2.043,3.2336,28.7938,7.3407,8.478,6.9639,0.7937,0.4723,0.5518,3.211,1.3904,1.4216,1.3035,6.3724,12.5278,4.1593,4.1912,4.1772,9.7442,1.9153,1.9656,1.9757,1.9654,1.9222,1.4706,1.6445,0.0889,0.1011,0.0938,0.0947,0.0829,1.2027,1.2956,1.0849,0.1288,0.0199,0.0231,0.0414,0.0221,0.0222,16.5
WOTZUD,84.22,204.71,1.74,5.75,8.76,36.1,25.6,15.9,572.42,-3.6245,-3.1997,1.98,1.97,1.81,0.2571,-0.3422,-0.1537,-0.1542,2.2877,2.9484,3.1634,3.1672,28.7388,7.316,7.148,7.1373,0.8178,0.5266,0.5374,3.2078,1.3961,1.4199,1.2402,6.4031,12.6091,4.1914,4.2189,4.1988,9.7307,1.9431,1.947,1.982,1.9153,1.9433,1.2695,1.4238,0.0119,0.0201,0.027,0.0139,0.0184,1.3655,1.2165,1.325,0.0914,0.0215,0.0124,0.0216,0.0147,0.0212,18.5
WOVXIO,57.24,145.36,1.78,9.85,8.55,27,18.5,10.3,572.42,-3.3311,-3.0736,3.29,1.97,1.85,0.2419,-0.4644,-0.4405,-0.3758,1.5656,2.807,2.9361,3.0791,28.7699,7.3658,7.6174,7.7557,0.8615,0,0.5083,3.2009,1.2392,1.5196,1.4328,6.562,12.398,4.0383,4.1521,4.2076,9.7981,1.9858,1.9814,1.9053,1.9583,1.9672,1.3916,1.3265,0.013,0.0096,0.0144,0.0158,0.0044,1.2587,1.3589,1.4871,0.0636,0.0219,0.0077,0.0122,0.0142,0.0076,17.9
WUKQIC,82.16,227.68,2,7.73,8.63,38.5,28.8,17.7,599.65,-3.3331,-2.712,2.03,1.97,1.86,0.3674,-0.3845,-0.0691,-0.6373,2.1545,2.9021,3.1088,2.0633,28.7909,7.3191,7.0678,8.5327,0.8078,0.5116,0.4903,3.212,1.3588,1.3953,1.344,6.3745,12.4964,4.1486,4.1835,4.1643,9.7617,1.916,1.9635,1.984,1.9717,1.9265,1.2295,1.4288,0.0184,0.0282,0.0235,0.0156,0.027,1.5055,1.5666,1.6334,0.4149,0.091,0.0892,0.0764,0.0899,0.0684,12
WUKXUV,95.86,238.17,3.04,11.18,12.17,43.8,32.1,20.3,884.04,-2.3936,-1.4892,2,1.95,1.96,0.3056,-0.4419,-0.15,-0.7208,1.9132,2.6938,3.118,2.0197,28.7995,7.3935,7.1561,8.5655,0.6591,0.466,0.5109,3.2359,1.4837,1.4662,1.1839,6.3856,12.4898,4.2201,4.1916,4.0781,9.819,1.9586,1.9634,1.9622,1.9578,1.9769,1.2638,1.3303,0.0251,0.0201,0.0112,0.0266,0.0097,1.4644,1.7163,1.6076,0.4161,0.1179,0.1023,0.0334,0.127,0.0355,25.3
WURQAC,82.08,233.52,1.93,10.25,8.45,37.9,27.1,16.4,651.4,-3.4643,-2.937,1.99,2.01,1.85,0.3586,-0.3791,-0.6315,-0.0597,2.1594,2.9005,2.0774,3.1631,28.7903,7.3305,8.5267,7.0158,0.8245,0.4434,0.5444,3.2132,1.2409,1.3269,1.5234,6.3781,12.5059,4.1484,4.2161,4.1414,9.7575,1.9087,1.9641,1.966,1.9877,1.9311,1.5219,1.5184,0.087,0.0677,0.1002,0.0623,0.0952,1.2588,1.3859,1.1347,0.115,0.0127,0.0288,0.0242,0.0193,0.0301,12.5
WUTDUL,79.79,186.83,2.54,12.22,8.06,30.5,25,19.4,828.79,-3.3514,-2.2419,2.35,1.86,1.81,0.2622,-0.4241,-0.5061,-0.0576,1.9696,2.8564,2.0178,3.2862,28.8179,7.3433,8.4618,6.8611,0.8653,0.161,0.6662,3.1949,1.5256,1.3133,1.3156,6.4776,12.509,4.1481,4.2222,4.1387,9.7512,1.9198,1.9765,1.9328,1.9488,1.9733,1.4869,1.5374,0.0658,0.0518,0.0764,0.0484,0.0944,1.2765,1.2812,1.2166,0.1266,0.0205,0.0196,0.0314,0.0167,0.0384,28.2
XABCUZ,96.21,219.19,2.17,7.68,9.3,39.3,29.2,17.6,591.32,-2.8366,-2.4286,1.92,1.97,1.88,0.2782,-0.4211,-0.6692,-0.1401,2.1111,2.8179,2.0639,2.9547,28.7971,7.3385,8.5346,7.0551,0.7681,0.5009,0.5048,3.208,1.5322,1.3878,1.218,6.3807,12.5642,4.1796,4.1992,4.1853,9.777,1.9278,1.9433,1.9719,1.9699,1.9641,1.4833,1.5969,0.1019,0.0813,0.0754,0.0925,0.0726,1.3408,1.217,1.3228,0.088,0.0186,0.015,0.02,0.022,0.0125,20.1
XACSOL,87.35,193.36,2.46,6.56,9.03,32.5,23.2,15.1,545.2,-3.4405,-3.0226,1.9,1.91,1.84,0.5215,-0.3242,-0.7564,-0.6219,2.4559,2.964,1.9746,2.0098,28.7533,7.2778,8.5917,8.4494,0.8536,0.6172,0.5867,3.2242,1.2934,1.3286,1.4018,6.3363,12.4924,4.1651,4.1316,4.1958,9.6498,1.9429,1.8651,1.9177,1.9876,1.9365,1.5785,1.5559,0.0798,0.0705,0.0944,0.0935,0.0788,1.4836,1.6043,1.581,0.4273,0.0891,0.0666,0.1109,0.0593,0.1014,24.6
XAFSIG,83.08,225.56,2.38,7.77,8.67,38.2,28.9,19.9,657.1,-3.7819,-3.2633,1.97,1.95,1.84,0.4176,-0.3382,-0.64,-0.0647,2.3358,2.9787,2.0645,3.0951,28.7684,7.284,8.542,7.0482,0.8473,0.5077,0.6348,3.216,1.3485,1.3801,1.3181,6.3568,12.5178,4.1766,4.1753,4.1659,9.7079,1.8854,1.9669,1.9886,1.9778,1.8892,1.4977,1.5719,0.0886,0.0935,0.0707,0.0944,0.0696,1.2274,1.4241,1.136,0.1131,0.0186,0.0291,0.0252,0.016,0.0242,16.4
XALNEF,85.45,216.09,1.84,7.94,7.94,46.1,34.7,22.8,603.15,-4.6914,-3.797,1.86,2.43,1.81,0.6451,-0.2114,-0.6513,-0.5046,2.7553,3.1026,1.99,1.9589,28.736,7.1723,8.4537,8.4285,1.0016,0.6331,0.1118,3.2219,1.4024,1.2643,1.243,6.2578,12.5141,4.1939,4.2046,4.1156,9.5829,1.6505,1.9741,1.9871,2.0002,1.9711,1.6299,1.5893,0.0772,0.0882,0.085,0.0708,0.0972,1.5132,1.6123,1.5083,0.3581,0.0557,0.0782,0.0924,0.0429,0.089,5.2
XAMMEF,100.95,258.25,2.01,9.31,7.55,42.7,30.7,19.7,626.3,-3.1982,-1.8326,1.99,1.89,2,0.3315,-0.3185,-0.156,-0.7377,1.8837,2.8914,3.1477,2.0492,28.7669,7.4135,7.2,8.565,0.4887,0.4513,0.6407,3.1782,1.4077,1.2724,1.3769,6.3496,12.486,4.1635,4.2002,4.1222,9.8329,1.9743,1.9315,1.9601,1.9706,1.9963,1.2932,1.3302,0.0178,0.0162,0.0169,0.0225,0.0172,1.5836,1.5945,1.6328,0.414,0.0862,0.0807,0.0836,0.0742,0.0892,13.2
XAPKOQ,81.68,218.56,1.98,5.98,8.65,36,24.3,12.5,512.99,-2.8562,-2.0123,2,1.96,1.85,0.3204,-0.429,-0.6185,0.1853,2.1238,2.8284,1.9341,3.1201,28.8067,7.3622,8.4785,7.081,0.7979,0.4078,0.5725,3.2072,1.2305,1.3394,1.5772,6.4015,12.5196,4.1445,4.2054,4.1698,9.7585,1.9293,1.9551,1.9491,1.9865,1.9384,1.5382,1.5726,0.0692,0.0677,0.0784,0.0628,0.0902,1.2722,1.1436,1.1294,0.1278,0.0206,0.0202,0.0308,0.0283,0.0279,20.8
XAPMAC,63.51,158.49,1.69,3.71,9.27,24.2,14.4,8.2,456.57,-3.0365,-2.3603,1.98,2.16,1.82,0.3548,-0.4289,-0.5308,-0.5943,1.8806,2.8247,2.0602,1.8999,28.8983,7.365,8.5208,8.6155,0.8389,0.5311,0.3783,3.199,1.4421,1.4684,1.2425,6.449,12.4234,4.182,4.1385,4.1029,9.7728,1.8921,1.9701,1.9793,1.9608,1.9705,1.6509,1.5412,0.0522,0.0803,0.0683,0.0651,0.0739,1.5022,1.5872,1.6074,0.3606,0.0592,0.0899,0.0684,0.0814,0.0618,21.6
XAPTOY,85.58,203.77,2.26,5.96,5.78,38.9,27.4,13.1,480.62,-2.5441,-1.4306,2.01,2.06,1.9,0.2215,-0.4683,-0.1933,-0.2196,1.9096,2.7565,3.123,2.9321,28.7891,7.3653,7.2118,7.1442,0.7486,0.4159,0.3884,3.208,1.2531,1.3346,1.6,6.4454,12.5071,4.1367,4.1861,4.1843,9.826,1.9277,1.9315,1.9761,1.9828,2.0079,1.2607,1.3102,0.0182,0.0154,0.014,0.0299,0.0119,1.3563,1.2382,1.3127,0.1068,0.0195,0.0171,0.0211,0.0307,0.0184,22.8
XAPVES,101.14,245.76,2.26,8.44,7.85,43.6,32.3,19.3,566.6,-3.2017,-1.3325,1.88,1.99,2.09,0.3489,-0.193,-0.7308,-0.0624,1.8536,2.7075,2.0448,3.1415,28.7682,7.0852,8.582,7.1158,0.4318,0.6547,0.4609,3.1581,1.3782,1.2085,1.3504,6.3594,12.4557,4.1489,4.1877,4.1191,9.8359,1.9708,1.9276,1.9624,1.9734,2.0018,1.5463,1.6195,0.0967,0.0903,0.0625,0.0963,0.0634,1.2416,1.3115,1.2397,0.1252,0.0306,0.029,0.0171,0.0296,0.019,43.6
XASLOS,62,154.23,2.31,6.1,11.64,23.8,14,9.1,615.86,-2.7753,-2.7766,2.05,2.17,1.84,0.3735,-0.436,-0.568,-0.5811,1.7919,2.8026,1.9655,1.8446,28.8673,7.382,8.5196,8.5319,0.8044,0.4633,0.3287,3.2048,1.2539,1.3763,1.5252,6.4619,12.3797,4.0874,4.189,4.1033,9.7849,1.9361,1.9723,1.9522,1.9759,1.9485,1.5076,1.6943,0.0636,0.0717,0.0671,0.0567,0.0607,1.6254,1.4745,1.6159,0.3252,0.0706,0.0488,0.0717,0.0494,0.0847,17.2
XATWUK,71.75,157.63,1.62,9.25,9.63,28,19.6,12.4,630.79,-2.7128,-0.3636,1.87,2.92,1.86,0.301,-0.4806,-0.7994,-0.4315,1.6542,2.7581,2.0188,2.125,28.9173,7.3555,8.5461,8.3969,0.7971,0.7199,0,3.2121,1.2045,1.3502,1.6391,6.5548,12.3793,4.0738,4.1953,4.1102,9.7648,1.9208,1.9762,1.944,1.9723,1.9515,1.5461,1.7005,0.0767,0.0869,0.0851,0.0972,0.0608,1.4581,1.4738,1.7031,0.2664,0.0645,0.0396,0.064,0.0401,0.0583,27.6
