Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
ABALIA01,81.37,234.46,1.88,9.46,9.23,38.1,28.1,17.3,655.09,-3.0857,-2.4538,2.03,2.01,1.88,0.3334,-0.4189,-0.0662,-0.6442,2.0611,2.8236,3.1432,2.0514,28.8563,7.3564,7.0158,8.528,0.8244,0.5137,0.4267,3.217,1.2646,1.2975,1.5661,6.3921,12.4848,4.1535,4.2049,4.1264,9.7896,1.9,1.9706,1.9733,1.9868,1.959,1.2638,1.4072,0.0124,0.0288,0.0249,0.0171,0.0321,1.5276,1.521,1.6606,0.4138,0.0839,0.067,0.1032,0.0615,0.0983,13
ABEJEX,81.54,223.81,2.68,7.74,9.92,39.6,29.2,18.3,680.73,-3.2721,-2.5463,2,2.03,1.84,0.3699,-0.4039,-0.6355,-0.0937,2.093,2.8682,2.0821,3.0352,28.7557,7.3418,8.5341,7.2118,0.8375,0.434,0.4963,3.2033,1.3917,1.4353,1.2989,6.3777,12.4966,4.1708,4.1716,4.1542,9.7558,1.8919,1.9642,1.9793,1.9849,1.9354,1.5034,1.5362,0.082,0.0769,0.0805,0.078,0.09,1.2593,1.4467,1.0997,0.1129,0.0148,0.0275,0.0306,0.014,0.0261,17.1
ABIVUD,82.61,196.09,2.14,9.42,6.41,35.2,25.7,14.5,570.84,-2.9835,-2.4858,1.97,1.97,1.85,0.2307,-0.4134,-0.1509,-0.2176,2.2701,2.8571,3.1869,2.9926,28.801,7.3545,7.1065,7.2362,0.7931,0.5402,0.5285,3.2074,1.3463,1.5474,1.2375,6.4278,12.5866,4.1939,4.2053,4.1875,9.7549,1.9621,1.9467,1.9836,1.9482,1.9144,1.2097,1.4477,0.0157,0.0154,0.0292,0.0106,0.0209,1.3966,1.1226,1.4,0.1109,0.0304,0.011,0.0248,0.0148,0.0299,17.4
ABOSOB,81.68,232.57,1.9,8.26,10.35,37.6,27.1,17,669.56,-3.2271,-2.5816,2.04,1.99,1.86,0.3349,-0.4022,-0.0612,-0.6477,2.0962,2.8537,3.114,2.0749,28.8141,7.3491,7.009,8.5343,0.8152,0.5166,0.4436,3.2107,1.4162,1.4013,1.2996,6.388,12.5024,4.1309,4.2076,4.1639,9.7748,1.9355,1.9721,1.9811,1.9602,1.9258,1.2216,1.4412,0.0167,0.0288,0.0256,0.0168,0.0276,1.518,1.5486,1.6443,0.4188,0.0855,0.0772,0.0835,0.0866,0.086,12.1
ACANAC12,83.31,208.05,2.31,5.62,6.48,40.5,28.8,14.2,496.49,-2.7247,-1.871,2,2.04,1.9,0.3479,-0.4459,-0.1855,-0.555,1.9969,2.7898,2.8991,1.9835,28.8388,7.358,7.2212,8.4705,0.7607,0.4805,0.3591,3.2177,1.2891,1.4114,1.4552,6.4082,12.4549,4.0954,4.1988,4.1607,9.7889,1.9276,1.9577,1.9623,1.9756,1.9657,1.2204,1.3367,0.0234,0.0117,0.0086,0.0252,0.0108,1.4488,1.6953,1.5134,0.3801,0.0833,0.099,0.0505,0.1033,0.044,25
ACETSC10,78.63,211.89,1.75,5.64,6.33,34.4,23.1,10.4,447.62,-3.0244,-1.2577,2.02,2.18,1.87,0.2494,-0.4537,-0.0575,-0.6322,1.8317,2.7957,3.2562,2.023,28.8635,7.3572,7.1048,8.5404,0.8315,0.5176,0.2802,3.2014,1.3177,1.2762,1.5842,6.4556,12.4831,4.1533,4.1874,4.1424,9.8119,1.9299,1.9657,1.9559,1.9821,1.9784,1.1913,1.411,0.0179,0.0267,0.0194,0.0265,0.0276,1.5897,1.5484,1.6031,0.3578,0.079,0.0566,0.0753,0.066,0.0808,19.9
ACETUA,64.39,162.2,2.31,6.59,10.67,26.9,19.9,12.9,627.89,-3.133,-2.9061,2.02,2.06,1.82,0.4339,-0.3825,-0.5609,-0.5634,2.0379,2.8934,1.9165,1.9928,28.8047,7.3443,8.5316,8.517,0.8145,0.4734,0.4581,3.2035,1.4054,1.4235,1.2726,6.4121,12.418,4.1383,4.1679,4.1118,9.736,1.9096,1.9592,1.98,1.9484,1.9388,1.5425,1.6349,0.0687,0.0795,0.0848,0.0538,0.1,1.5913,1.4774,1.6245,0.3384,0.0652,0.0662,0.0799,0.0508,0.0764,26.6
ACETUY,76.62,170.2,1.62,7.79,7.36,32.4,23.1,16.6,589.12,-2.6807,-1.0654,2.57,1.89,1.87,0.303,-0.4668,-0.4661,-0.817,1.725,2.7683,2.0329,1.8655,28.9538,7.3513,8.4272,8.5403,0.7739,0,0.7125,3.2116,1.4894,1.3978,1.2931,6.5153,12.4102,4.1111,4.2068,4.0923,9.7715,1.9308,1.9734,1.9572,1.9743,1.9356,1.4749,1.495,0.0658,0.049,0.0668,0.0456,0.0861,1.5486,1.7011,1.6273,0.3976,0.0725,0.0818,0.0824,0.0986,0.0623,25.9
ACLTRY,46.19,130.77,2.09,9.07,9.55,19.6,14.3,10.9,632.01,-2.9745,-0.954,3.08,1.86,1.84,0.2993,-0.4669,-0.5547,-0.6079,1.5552,2.7747,2.0059,2.0328,28.7747,7.3433,8.4705,8.5558,0.8215,0,0.5496,3.2041,1.5962,1.4061,1.1859,6.5624,12.3718,4.1664,4.1626,4.0428,9.7666,1.8656,1.9719,1.9714,1.9926,1.9651,1.6119,1.6378,0.031,0.07,0.0646,0.0357,0.0712,1.5838,1.522,1.6422,0.3773,0.0924,0.058,0.0776,0.0659,0.0834,4.7
ACPENC10,91.63,237.83,1.55,5.78,7.06,47.1,32.8,16.7,511.75,-3.0585,-2.521,2.17,1.96,1.88,0.5187,-0.394,-0.5085,-0.5248,2.2119,2.8417,1.9849,2.0423,28.7951,7.3193,8.4197,8.4915,0.8311,0.2698,0.4443,3.2144,1.2876,1.4199,1.3983,6.2889,12.4425,4.1496,4.1234,4.1695,9.7498,1.9599,1.9125,1.9687,1.9742,1.9345,1.4671,1.5135,0.0812,0.0534,0.0704,0.0541,0.0722,1.5823,1.5288,1.5368,0.3869,0.0683,0.0642,0.09,0.0703,0.0941,10.2
ADALAS,53.33,174.62,1.67,5.19,6.61,28.6,18.8,8.8,427.82,-3.2494,-1.8901,2.82,1.9,1.82,0.2545,-0.4579,-0.5842,-0.1822,1.7867,2.8245,2.0365,3.2569,28.8524,7.3488,8.4931,7.3341,0.8741,0,0.6396,3.194,1.45,1.5154,1.2251,6.5473,12.4358,4.1925,4.1573,4.086,9.7623,1.9178,1.9406,1.9648,1.9578,1.9813,1.6648,1.6034,0.0232,0.0767,0.0692,0.0399,0.0706,1.3951,1.3779,1.1891,0.0824,0.0092,0.0226,0.0173,0.0134,0.0199,29.5
ADINAD,95.14,199.89,2.06,7.67,6.85,38,29.1,18.1,556.01,-2.8398,-2.1232,1.92,1.92,1.88,0.451,-0.3972,-0.8768,-0.6088,2.2948,2.8159,1.8886,2.0908,28.7938,7.3043,8.5546,8.4299,0.7478,0.613,0.5294,3.2133,1.2442,1.4495,1.4166,6.3619,12.4864,4.1179,4.173,4.1955,9.7006,1.9609,1.8993,1.9139,1.9712,1.9554,1.7114,1.4873,0.1016,0.0737,0.1005,0.0606,0.1059,1.4762,1.3993,1.7817,0.4329,0.1038,0.0953,0.0528,0.1184,0.0625,20.6
AFAZAK,82.48,203.16,2.66,7.67,9.7,35.6,25.3,16.5,712.69,-3.3576,-2.6043,1.99,2,1.84,0.1858,-0.4057,-0.1387,-0.138,2.1357,2.872,3.1391,3.1419,28.8037,7.3462,7.132,7.1216,0.8244,0.4845,0.4766,3.2031,1.5039,1.3939,1.2281,6.4273,12.6084,4.2045,4.2183,4.1856,9.7785,1.938,1.9745,1.9667,1.911,1.9881,1.2659,1.4104,0.0134,0.0201,0.0256,0.0151,0.0181,1.336,1.2105,1.3399,0.0925,0.0222,0.0122,0.0218,0.0135,0.0227,19.1
AFEBOC,88.93,184.78,2.97,6.5,7.31,32.5,25.9,17.5,574.39,-2.8928,-1.0669,2.05,2.05,1.87,0.3501,-0.4449,-0.6269,-0.6269,1.7495,2.7835,2.1166,2.1184,28.7921,7.3774,8.5117,8.5141,0.8157,0.3709,0.3704,3.2033,1.4274,1.3186,1.4202,6.3886,12.4478,4.158,4.1502,4.1396,9.8135,1.9317,1.9327,1.9793,1.9685,2.0014,1.5761,1.5509,0.073,0.0639,0.1006,0.0591,0.1094,1.6229,1.5864,1.5043,0.4059,0.0712,0.0769,0.0971,0.0647,0.096,17.4
AFESEJ,73.06,197.37,2.43,7.24,9.38,34.9,30.2,18.7,636.8,-2.5823,-1.5228,1.88,4.16,1.87,0.331,-0.4466,-0.7575,-0.4478,1.7047,2.794,2.0101,2.0848,28.9469,7.308,8.5332,8.3868,0.7871,0.6862,0,3.2119,1.4603,1.336,1.3647,6.5141,12.3858,4.1277,4.1543,4.1038,9.7691,1.9273,1.9536,1.9219,1.9994,1.9669,1.5431,1.7009,0.0969,0.0963,0.0796,0.0783,0.0602,1.5899,1.5131,1.5414,0.2761,0.0626,0.0369,0.0593,0.043,0.0742,31.8
AFETOU,102.25,214.66,2.6,13.58,7.74,39,29.8,19.4,791.42,-3.0356,-3.0053,1.88,1.94,1.88,0.4652,-0.3807,-0.8667,-0.6212,2.3452,2.8685,1.802,1.9837,28.7875,7.3194,8.5982,8.4714,0.7943,0.6624,0.4772,3.2231,1.2357,1.5233,1.3245,6.3518,12.4913,4.1097,4.1803,4.2014,9.6917,1.9736,1.888,1.9597,1.9675,1.9029,1.7625,1.6214,0.0532,0.1057,0.117,0.0483,0.1095,1.5275,1.4233,1.7245,0.4297,0.0962,0.0725,0.0677,0.1069,0.0864,21.7
AFISIS,87.27,194.01,3.15,8.1,9.58,34.6,25.3,15.7,642.91,-2.853,-3.1168,1.88,1.91,1.83,0.4627,-0.3382,-0.8117,-0.6231,2.3918,2.9222,1.9036,2.0188,28.756,7.2839,8.5638,8.5123,0.7571,0.638,0.5486,3.2104,1.2834,1.4102,1.3573,6.3462,12.5185,4.1604,4.1824,4.1756,9.6726,1.933,1.8109,1.9801,1.9823,1.9663,1.6763,1.4745,0.093,0.0678,0.1015,0.0787,0.0913,1.5316,1.5733,1.5955,0.4033,0.0756,0.0636,0.1029,0.0628,0.0984,13.7
AFUTDZ10,71.59,161.25,2.15,4.73,7.92,25.2,17,10.5,472.12,-3.2885,-2.4703,2.96,1.83,1.82,0.2316,-0.4365,0.1345,-0.3776,1.8365,2.8671,2.7887,3.2392,28.7797,7.346,7.05,7.552,0.8516,0,0.6997,3.1992,1.3864,1.4764,1.3014,6.5635,12.4661,4.1506,4.1526,4.1629,9.7388,1.9567,1.9065,1.9367,1.9698,1.9692,1.2006,1.2272,0.0146,0.0338,0.0386,0.0137,0.0219,1.3676,1.3673,1.3556,0.0677,0.0156,0.0084,0.0065,0.0194,0.0178,32.8
AFUVEE,79.84,215.45,2.57,10.78,10.4,34.8,26.7,19.2,805.28,-3.0561,-2.4676,1.98,2.11,1.85,0.3146,-0.4194,-0.6457,-0.0503,1.9528,2.8369,2.0938,3.1673,28.7801,7.3495,8.5497,7.1051,0.8,0.4739,0.4093,3.2017,1.4532,1.4417,1.2477,6.4085,12.4883,4.1438,4.1937,4.1508,9.7887,1.931,1.9469,1.9641,1.9598,1.9869,1.5272,1.5398,0.0891,0.0772,0.0851,0.084,0.0763,1.227,1.4196,1.1294,0.1194,0.0158,0.0322,0.0263,0.0182,0.0269,16
AGADIX,79.88,215.35,1.78,8.39,10.48,34.6,26.6,19.1,739.95,-3.0647,-2.484,1.98,2.11,1.85,0.3182,-0.4207,-0.6491,-0.0502,1.9558,2.8334,2.0932,3.1415,28.7802,7.35,8.5439,7.0946,0.8026,0.4639,0.4099,3.203,1.2845,1.272,1.5864,6.4068,12.4867,4.1541,4.1778,4.1548,9.7882,1.9221,1.9601,1.9722,1.9707,1.9631,1.5278,1.5097,0.083,0.0667,0.1023,0.0665,0.095,1.2399,1.4057,1.1304,0.1198,0.012,0.0322,0.0252,0.0187,0.0318,14.5
AGAKIE,97.61,197.18,3.02,8.06,7.84,31.6,24.6,19.1,675.62,-3.1626,-2.6665,1.95,2.03,1.85,0.3869,-0.4058,-0.5543,-0.5722,1.9316,2.8362,2.1978,2.1153,28.7542,7.3354,8.4595,8.5212,0.8174,0.4806,0.3913,3.1993,1.4787,1.2552,1.3968,6.3547,12.4857,4.1583,4.1803,4.1471,9.7727,1.9266,1.9531,1.9506,1.9675,1.975,1.4735,1.6316,0.0974,0.0742,0.0694,0.0763,0.0747,1.4745,1.6126,1.5554,0.417,0.0941,0.0817,0.0707,0.0828,0.0878,14.7
AGIDOM,80.98,178.47,2.07,5.57,8.76,29.8,20.8,12.7,528.76,-3.1289,-2.5642,1.92,2.2,1.84,0.2631,-0.4348,-0.0575,-0.5141,1.9136,2.8253,3.1866,2.0305,28.8201,7.368,6.9399,8.4734,0.8474,0.5894,0.2375,3.2009,1.4422,1.4923,1.2254,6.4544,12.502,4.2001,4.1699,4.132,9.7805,1.901,1.968,1.9684,1.9583,1.9849,1.3034,1.2945,0.016,0.0322,0.0316,0.0185,0.0294,1.4694,1.5467,1.6199,0.3564,0.0754,0.0786,0.0552,0.0821,0.0652,28.2
AHICIF01,76.51,172.11,1.64,4.58,8.59,27,16.6,9.2,456.92,-2.7515,-1.7093,2.37,1.88,1.86,0.1774,-0.4592,-0.6292,-0.3795,1.8311,2.7851,1.9936,2.8281,28.921,7.3594,8.5299,7.6261,0.8029,0.1729,0.7105,3.2017,1.4545,1.4866,1.2428,6.5353,12.5101,4.1818,4.1559,4.1725,9.7772,1.94,1.933,1.9435,1.9846,1.9762,1.5821,1.5616,0.057,0.0818,0.0589,0.0712,0.0652,1.2734,1.4679,1.3121,0.0824,0.0232,0.0097,0.0062,0.0249,0.0184,28.8
AHPAZP10,81.64,237.72,1.79,7.58,6.3,43.1,30.5,16.9,543.87,-3.7375,-3.2313,1.94,1.97,1.81,0.2865,-0.337,-0.0941,-0.1751,2.3995,2.9736,3.1724,3.2341,28.7349,7.3259,7.0278,7.244,0.8263,0.6197,0.5048,3.2083,1.291,1.3291,1.4309,6.4031,12.6055,4.1712,4.2443,4.1901,9.7049,1.9194,1.9246,1.9625,1.9898,1.9086,1.3035,1.3074,0.0183,0.0265,0.0283,0.0272,0.0199,1.3154,1.2062,1.4104,0.0879,0.0195,0.0099,0.026,0.0113,0.0212,23.3
AJIYEX,85.23,184.55,1.55,6.55,10.33,30.4,20.2,13,571.68,-2.6969,-1.6712,1.96,2.03,1.88,0.4015,-0.4529,-0.6654,-0.5156,1.93,2.7812,2.055,2.0311,28.8479,7.3786,8.5119,8.4534,0.8095,0.5273,0.3564,3.2164,1.4621,1.3888,1.312,6.4051,12.4233,4.2003,4.13,4.093,9.77,1.9053,1.988,1.9751,1.9531,1.9485,1.5222,1.6138,0.0832,0.0633,0.089,0.0723,0.0875,1.4743,1.5491,1.6115,0.3718,0.0619,0.0725,0.0858,0.0622,0.0894,18.4
AJIZAU,85.07,184.36,1.55,6.57,9.24,30.4,20.2,13.1,541.46,-2.7173,-1.699,1.96,2.03,1.88,0.4036,-0.452,-0.6621,-0.5144,1.9335,2.7823,2.0545,2.0323,28.8447,7.3791,8.5114,8.4516,0.8103,0.5262,0.3573,3.2162,1.4477,1.3967,1.3178,6.404,12.4231,4.2026,4.1233,4.0972,9.7694,1.9099,1.9891,1.9745,1.9454,1.9504,1.5179,1.6105,0.0827,0.0636,0.0881,0.074,0.0867,1.4854,1.5414,1.6077,0.371,0.0614,0.0724,0.0866,0.06,0.0906,18.2
AKAWAK,80.91,202.59,2.45,6.28,6.96,38.6,31.4,17.6,531.55,-2.9388,-1.6152,1.94,2.15,1.85,0.1557,-0.452,-0.1729,-0.1679,1.986,2.8031,2.9954,3.1025,28.8716,7.37,7.0626,7.1169,0.8098,0.5602,0.3185,3.2019,1.5468,1.4315,1.196,6.4608,12.5667,4.1925,4.2074,4.1668,9.8168,1.9139,1.974,1.9735,1.9656,1.9898,1.3528,1.3571,0.0105,0.0194,0.0253,0.0155,0.0175,1.3359,1.2076,1.3387,0.0922,0.0206,0.0134,0.0199,0.0152,0.0231,24.2
ALAMET01,81.28,217.33,1.98,6.85,5.72,47.1,37.1,18.3,537.1,-2.5418,-0.493,1.98,2.11,1.91,0.2649,-0.4593,-0.1095,-0.6204,1.9216,2.7569,3.1438,1.8754,28.8752,7.3575,7.207,8.4502,0.7662,0.4675,0.3221,3.2229,1.4882,1.3704,1.3036,6.4237,12.4944,4.1044,4.1879,4.202,9.817,1.9749,1.9423,1.9382,1.9505,2.0112,1.3285,1.2067,0.0175,0.0115,0.0239,0.0107,0.0232,1.5346,1.6478,1.5488,0.3637,0.0659,0.0711,0.0811,0.0582,0.0873,36.9
ALODAH,84.99,196.46,1.63,5.62,7.24,33,21,10.4,443.2,-3.5018,-3.0454,1.92,1.97,1.82,0.3776,-0.3428,-0.1181,-0.5963,2.2735,2.964,3.2311,1.9708,28.7161,7.3153,7.127,8.472,0.8464,0.6264,0.4238,3.2092,1.2568,1.3507,1.4489,6.3704,12.5496,4.1593,4.2266,4.1637,9.7024,1.8912,1.9515,1.9794,1.9921,1.8881,1.3132,1.3309,0.0153,0.0167,0.0194,0.0223,0.0188,1.5273,1.5933,1.5923,0.3672,0.0749,0.0711,0.0709,0.0674,0.0828,17
ALOLIW,80.74,209.42,1.74,6.87,8.88,36.7,30.8,18.4,634.98,-2.6996,-1.6592,2.18,1.95,1.86,0.2214,-0.453,-0.6423,-0.1883,1.8463,2.7836,2.0347,2.9374,28.9032,7.3644,8.5255,7.1983,0.7951,0.2734,0.5489,3.2025,1.4648,1.2727,1.438,6.4748,12.5016,4.1566,4.1579,4.1871,9.8023,1.9395,1.9267,1.9581,1.9797,1.9982,1.5067,1.6387,0.0642,0.0706,0.0908,0.0613,0.0941,1.3863,1.213,1.3434,0.0798,0.0178,0.0084,0.0208,0.0101,0.0227,24.8
ANAGUT,81.56,240.22,2.18,11.58,9.85,37.9,28,18.2,809.36,-3.2888,-2.7621,2.02,2.01,1.87,0.3331,-0.399,-0.6436,-0.0692,2.1005,2.8521,2.06,3.1528,28.8256,7.3577,8.5348,7.0145,0.8243,0.4162,0.5465,3.2144,1.4423,1.4009,1.267,6.3912,12.5031,4.1504,4.1982,4.1546,9.7726,1.9223,1.9865,1.9834,1.9607,1.9197,1.5088,1.5473,0.0863,0.0832,0.0729,0.0904,0.0786,1.2331,1.4267,1.1356,0.1143,0.0162,0.0301,0.0254,0.0178,0.0248,16.5
ANITUN,68.83,156.77,1.8,8.45,8.79,26.1,18.9,13,596.09,-3.2128,-1.4764,3.29,1.85,1.81,0.2407,-0.4647,-0.5497,-0.156,1.8116,2.8216,2.114,3.4322,28.8426,7.3583,8.444,7.1353,0.8698,0,0.7263,3.1927,1.5604,1.4246,1.2137,6.5558,12.44,4.1933,4.1971,4.0496,9.7635,1.8842,1.9748,1.9683,1.9741,1.9621,1.5178,1.4837,0.0691,0.0368,0.0619,0.046,0.052,1.3493,1.3524,1.2086,0.0984,0.0124,0.0244,0.0236,0.0135,0.0246,31.6
ANITUO,93.91,212.24,2.27,8.13,6.54,37.6,26.2,14.5,530.18,-3.2863,-2.7437,1.93,1.96,1.84,0.4101,-0.3781,-0.7661,-0.0994,2.3159,2.8933,1.7959,2.9504,28.6986,7.3228,8.5486,7.1937,0.8075,0.5067,0.593,3.2104,1.2476,1.3576,1.4873,6.3514,12.5311,4.1219,4.1972,4.212,9.7075,1.8929,1.9611,1.9669,1.9802,1.9064,1.7595,1.5896,0.074,0.0738,0.1131,0.0486,0.0998,1.2988,1.2954,1.1938,0.1144,0.014,0.0347,0.021,0.0237,0.0211,13.5
ANOVEG,93.58,198.06,2.28,11.11,9.44,32.7,26.4,18,754.82,-3.1611,-2.7644,1.95,1.9,1.84,0.476,-0.36,-0.6385,-0.6475,2.1696,2.8903,2.0746,2.1137,28.6216,7.3205,8.517,8.4544,0.7572,0.474,0.5162,3.2016,1.2649,1.4176,1.4004,6.3276,12.4888,4.1409,4.1622,4.1857,9.7077,1.9287,1.9386,1.9246,1.9854,1.9304,1.5122,1.5566,0.0756,0.0815,0.0795,0.0726,0.0861,1.4756,1.5537,1.6407,0.4746,0.0974,0.0708,0.1072,0.0765,0.1226,18.5
APAKUZ,93.01,203.64,1.69,7.31,8.5,32.8,24.3,16.8,618.03,-3.9891,-3.6514,1.84,1.85,1.82,0.5898,-0.253,-0.6159,-0.632,2.3888,3.0317,2.2114,2.0381,28.5063,7.1989,8.5373,8.4612,0.8378,0.4721,0.6021,3.2159,1.2859,1.3252,1.3481,6.2829,12.5015,4.131,4.2116,4.1588,9.6258,1.984,1.8814,1.9475,1.9376,1.8752,1.5371,1.5381,0.0973,0.0859,0.1047,0.0812,0.0879,1.509,1.4315,1.7444,0.4472,0.1061,0.0668,0.0865,0.0998,0.0881,27.4
AQINAP,87.85,217.68,2.75,7.89,9.34,40.6,32.7,23.2,718.17,-3.5609,-3.1451,1.97,2.07,1.86,0.4099,-0.3666,-0.0761,-0.5587,2.1184,2.9381,2.9374,2.0432,28.7445,7.3055,7.1849,8.477,0.8439,0.6102,0.3081,3.2113,1.4377,1.4313,1.2127,6.3759,12.4733,4.2137,4.1717,4.0879,9.7408,1.9154,1.9885,1.9828,1.9398,1.9144,1.2819,1.4087,0.015,0.0227,0.0371,0.0155,0.0205,1.4679,1.6293,1.558,0.4019,0.0812,0.0849,0.0897,0.0633,0.0828,13
AQOPIG,75.87,265.5,2.18,6.41,7.44,49.8,31.7,15.9,497.52,-3.5241,-2.2438,2.11,2.11,2.08,0.2402,-0.3,-0.1424,-0.064,1.9035,2.8452,3.2255,3.2062,28.6732,7.4295,7.1506,7.0099,0.3777,0.4355,0.3557,3.1906,1.2566,1.3384,1.4329,6.3614,12.5445,4.1418,4.2161,4.1866,9.8538,1.9881,1.9644,1.9345,1.9748,1.9921,1.3276,1.2457,0.0183,0.0154,0.0178,0.0239,0.0159,1.3408,1.3,1.1544,0.1292,0.02,0.0208,0.0316,0.0243,0.0324,36.8
ARADED,81.81,180.83,1.71,8.91,7.55,30,20,13.6,578.34,-3.0448,-2.3867,2.16,1.91,1.84,0.2316,-0.4399,-0.5665,-0.0548,1.9537,2.8028,1.9841,3.1798,28.8436,7.3633,8.4801,6.9171,0.8328,0.2831,0.5878,3.1989,1.5611,1.4,1.2052,6.4513,12.5324,4.1811,4.2022,4.1491,9.7847,1.9061,1.9781,1.967,1.9493,1.9842,1.4934,1.5339,0.0742,0.0647,0.0686,0.0614,0.0723,1.3032,1.2913,1.1713,0.1274,0.0159,0.0278,0.0356,0.0174,0.0307,26.2
ARANOW,85.85,196,1.68,6.41,7.32,35.5,23.6,14.4,533.77,-3.2362,-2.5484,1.97,1.96,1.84,0.4214,-0.3858,0.1182,-0.7297,2.263,2.888,3.09,1.9636,28.7678,7.3352,7.0041,8.5229,0.8122,0.5689,0.5012,3.206,1.363,1.3834,1.3588,6.3775,12.4876,4.2021,4.1596,4.1258,9.7136,1.9136,1.9556,1.9815,1.964,1.8989,1.2037,1.3308,0.0156,0.0258,0.0432,0.0153,0.0207,1.5477,1.6201,1.6016,0.4402,0.0592,0.0895,0.1185,0.0708,0.1022,19
ARFIMP10,80.32,185.24,1.7,8.36,7.61,30.2,23.2,16.4,612.01,-2.4493,0.0113,2.23,1.96,1.91,0.1076,-0.48,-0.174,-0.4276,1.7398,2.7592,3.1186,2.9409,28.9157,7.3539,7.1179,7.5864,0.7126,0.2565,0.5548,3.2098,1.3771,1.4309,1.3884,6.5315,12.5285,4.2436,4.1115,4.1735,9.8323,1.9336,1.9837,1.9849,1.9264,2.0037,1.2755,1.2464,0.0152,0.0175,0.0147,0.0274,0.02,1.442,1.4973,1.1965,0.0599,0.0064,0.027,0.007,0.0084,0.0111,26.5
AROJAU,82.02,218.5,2.93,7.17,6.45,45.4,37.8,22.7,625,-2.9019,-2.0515,1.96,2.01,1.85,0.2178,-0.4323,-0.1389,-0.1833,2.1873,2.8299,3.2214,2.948,28.8094,7.3489,7.09,7.2054,0.7829,0.5358,0.4179,3.1994,1.4381,1.2846,1.4355,6.4241,12.5852,4.1588,4.2107,4.2156,9.7729,1.9171,1.9601,1.952,1.9627,1.981,1.374,1.2957,0.0101,0.0248,0.0232,0.0161,0.0198,1.3769,1.2254,1.3649,0.0824,0.02,0.0084,0.0225,0.0145,0.017,28.7
ASEFOU,63.26,157.61,2.13,7.3,17.57,24.2,14.1,8.4,702.72,-2.8703,-2.8327,2.11,2.04,1.83,0.4031,-0.4109,-0.5765,-0.5852,1.9066,2.8466,1.924,1.9435,28.8309,7.3637,8.5224,8.5382,0.8017,0.3814,0.4775,3.2044,1.3805,1.4024,1.3471,6.439,12.3931,4.1151,4.1795,4.0985,9.7649,1.9133,1.9732,1.9754,1.9581,1.945,1.6172,1.4735,0.0652,0.0553,0.0817,0.0448,0.0815,1.5307,1.6845,1.4996,0.3393,0.0604,0.074,0.0734,0.0514,0.0801,17.4
ASOLOL,87.93,193.77,1.55,8.12,9.59,31.6,24,16.2,631.41,-3.3394,-2.4477,2.1,1.95,1.83,0.4727,-0.4063,-0.542,-0.5298,2.0097,2.8719,2.0301,2.1355,28.7286,7.3524,8.4462,8.474,0.8685,0.3474,0.4752,3.2068,1.3528,1.3361,1.4356,6.3667,12.4144,4.1986,4.104,4.1118,9.7462,1.9627,1.9151,1.9789,1.9396,1.95,1.5378,1.5595,0.0716,0.0517,0.0907,0.0501,0.0892,1.4779,1.5123,1.6788,0.3542,0.0781,0.0492,0.0878,0.062,0.0771,15.2
ATMHYD,81.84,179.34,1.55,5.47,8.21,30.7,21.5,13.7,513.49,-3.166,-2.399,1.9,2.17,1.85,0.4571,-0.4382,-0.5555,-0.5654,1.9462,2.8237,2.142,2.0125,28.7339,7.3817,8.4605,8.4975,0.8545,0.5032,0.261,3.2067,1.4326,1.4159,1.3091,6.3789,12.4035,4.1754,4.1455,4.0825,9.7605,1.8921,1.9828,1.9814,1.9674,1.9369,1.5358,1.5958,0.0649,0.0632,0.1066,0.0536,0.0937,1.5154,1.5992,1.5689,0.3603,0.0548,0.0709,0.098,0.0583,0.0782,12
