Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
ESUQEO,81.61,4,206.32,2.54,12.58,7.11,34.5,25.5,17.2,767.4,-3.1008,-1.8883,2.49,1.93,-0.25,-0.02,2.6,2.36,2,1.31,1.24,58.17,69.95,116.49,132.1,111.39,51.88,126.13,-0.3693,-0.3116,0.0916,0.5159,0.1737,-0.1295,-0.5244,-0.033,2.7127,3.6302,3.0027,1.3576,3.0163,1.9173,4.155,1.9913,29.1206,5.6914,7.2953,25.1731,7.0939,8.5341,5.7674,8.5329,0.5169,0.1775,0.6911,0.6504,0.1513,0.7297,0.1066,1.7638,1.3347,2.7818,0.9281,0.9598,1.0685,2.9969,1.2626,1.2425,1.1667,3.5579,3.2555,3.684,3.7648,10.1944,2.0709,2.0395,2.0158,2.0546,2.0136,6.3665,12.5575,4.2543,4.172,4.1312,10.4449,2.1413,2.0995,2.0752,2.0789,2.0501,1.1197,1.2792,0.2915,0.0523,0.0541,0.065,1.6698,1.4167,1.5717,0.0718,0.014,0.0065,0.0245,0.0082,2.7402,2.7319,0.9657,0.8281,0.9381,1.5792,1.4636,1.5131,-130.19,18.5
FETZAG,69.95,10.51,186.73,2.37,8.05,8.43,30,24.3,16.1,655.53,-4.258,-2.6406,2.04,2.59,-0.06,-0.48,2.55,2,1.99,1.3,1.26,48.11,71.76,92.6,155.84,111.35,60.13,121.57,-0.376,-0.2753,0.1095,0.4669,0.1792,0.1182,-0.5037,0.0395,2.9765,3.5785,2.9203,1.3269,2.1127,2.8984,4.0539,1.9451,29.153,5.5029,7.1776,25.1845,8.3456,7.1324,5.7624,8.4785,0.6998,0.3811,0.5751,0.4638,0.4144,0.1157,0.2948,1.572,1.3488,2.7724,0.9181,0.9461,1.0645,2.9964,1.2454,1.2342,1.1739,3.5969,3.4175,3.5856,3.7642,10.1479,2.0508,2.0258,2.0192,2.0369,2.0152,6.3244,12.5819,4.2402,4.1931,4.1486,10.4693,2.0105,2.1378,2.1145,2.1728,2.0338,1.426,1.4352,0.0761,0.0198,0.016,0.0126,1.2494,1.1118,1.1718,0.2808,0.0386,0.0591,0.0774,0.0308,2.7278,2.7096,0.9606,0.7933,0.9557,1.4911,1.4627,1.5538,-101.46,18.5
HIWNEH,81.27,14.79,181.85,1.96,7.52,7.86,34.4,27.2,18.3,638.97,-3.2258,-1.6297,2.02,2.1,-0.07,-0.17,2.68,2.25,2.11,1.3,1.26,54.32,74.71,90.18,157.13,110.8,50.97,122.41,-0.3974,-0.3275,0.1011,0.5311,0.0791,0.1668,-0.513,0.0377,2.6872,3.6378,2.7659,1.3312,1.9646,2.0208,4.0125,1.9377,29.0658,5.6336,7.3463,25.1246,8.4742,8.4113,5.7241,8.488,0.4631,0.2403,0.4415,0.7007,0.447,0.3395,0.3213,1.5061,1.3366,2.7738,0.9697,0.9635,1.0381,3.0095,1.2237,1.2067,1.2249,3.562,3.3335,3.7564,3.6198,10.1711,2.0462,2.0463,2.018,2.0392,2.0213,6.3105,12.5347,4.2102,4.171,4.1536,10.5519,2.1677,2.1274,2.076,2.1091,2.0717,1.4816,1.3973,0.0733,0.0179,0.0192,0.0105,1.3858,1.415,1.5978,0.0751,0.0196,0.0072,0.0203,0.0096,2.7312,2.7187,0.9546,0.8053,0.9588,1.465,1.4713,1.5717,-116.53,18.5
JIGPIY,79.99,13.67,184.1,1.91,10.88,7.02,31.9,24.3,19.1,723.21,-3.9985,-2.8827,2.13,1.97,-0.23,-0.05,2.54,1.98,2.13,1.3,1.26,47.48,71.42,89.07,158.63,110.91,61.1,121.57,-0.3979,-0.2694,0.1191,0.4193,0.1623,0.1169,-0.5072,0.0492,3.1578,3.4507,2.6773,1.255,2.0553,2.0486,4.0782,1.952,29.1558,5.458,7.3048,25.2453,8.361,8.3928,5.7636,8.4714,0.7264,0.3548,0.3885,0.3347,0.3216,0.5303,0.3333,1.5227,1.3475,2.7709,0.9541,0.9648,1.0072,3.0085,1.2615,1.2037,1.1744,3.5994,3.4552,3.7303,3.6282,10.1468,2.0298,2.0444,2.0171,2.0275,2.0279,6.3133,12.6067,4.2072,4.2207,4.1788,10.4775,2.1575,2.1617,2.0102,2.0702,2.0779,1.3546,1.4226,0.0735,0.0197,0.0198,0.0089,1.4626,1.3919,1.6067,0.0743,0.0176,0.0042,0.0231,0.0084,2.7293,2.7156,0.9456,0.8292,0.9408,1.4955,1.4639,1.5387,-133.2,18.5
KOFZOW,60.19,2.18,148.52,2.11,5.23,11.42,23.5,17,10.7,634.53,-3.261,-2.3105,2.09,2.29,0.12,-0.29,2.65,2.19,2.05,1.3,1.26,53,74.85,89.82,158.92,111.05,52.15,121.56,-0.3577,-0.3251,0.1033,0.5277,0.1469,0.085,-0.5069,0.0356,2.6,3.6525,2.858,1.3551,1.9737,1.9906,3.9358,1.9547,29.1361,5.6182,7.2946,25.1327,8.4367,8.4648,5.6996,8.4994,0.4899,0.2707,0.5307,0.6993,0.4036,0.2492,0.3524,1.5096,1.3367,2.7718,0.9292,0.9563,1.0803,3.0049,1.2228,1.2191,1.2118,3.5653,3.3936,3.5363,3.777,10.1739,2.064,2.0301,2.0194,2.0457,2.0147,6.3086,12.5256,4.2113,4.1725,4.1418,10.5232,2.0441,2.1111,2.0936,2.1986,2.0758,1.4389,1.524,0.0711,0.0039,0.0183,0.0087,1.4223,1.4738,1.5658,0.0672,0.0098,0.0067,0.0239,0.0082,2.7297,2.7134,0.941,0.8026,0.9699,1.4608,1.471,1.5802,-104.41,18.5
LIMZUC,60.83,0.81,150.28,2.43,6.36,9.06,23.5,16,12.6,677.78,-3.0441,-1.7239,2.24,2.08,-0.26,0.17,2.63,2.32,2.05,1.3,1.26,56.82,71.73,91.94,156.71,111.21,51.45,121.98,-0.3718,-0.3134,0.0995,0.536,0.0747,0.0934,-0.5138,0.0272,2.4969,3.702,2.8749,1.3776,1.986,1.9946,3.9734,1.9481,29.0964,5.6794,7.3012,25.1316,8.4707,8.4641,5.7112,8.5035,0.5008,0.209,0.5319,0.7031,0.2768,0.4299,0.3071,1.5373,1.3391,2.7776,0.9313,0.9529,1.076,3.0047,1.2043,1.2255,1.2278,3.5615,3.3364,3.588,3.7715,10.1797,2.0709,2.0332,2.018,2.0457,2.012,6.3188,12.52,4.2211,4.1667,4.1322,10.5328,2.0998,2.0958,2.0864,2.1601,2.0908,1.4229,1.4642,0.0677,0.0096,0.0241,0.0084,1.4364,1.5648,1.4634,0.071,0.003,0.0146,0.0196,0.0085,2.7313,2.7178,0.9453,0.8009,0.9716,1.4578,1.4712,1.5877,-116.69,18.5
LUCIDS,82.67,14.66,176.08,1.7,10.94,6.72,31,22.3,15.1,685.74,-3.8332,-2.404,2.19,2,-0.27,-0.03,2.55,2,2.11,1.3,1.26,48.51,72.97,90.62,156.97,110.85,58.52,121.74,-0.3968,-0.296,0.1137,0.4741,0.1635,0.1413,-0.5118,0.0391,2.9798,3.4978,2.7041,1.3158,2.0665,2.0527,4.0962,1.9503,29.1197,5.4688,7.3037,25.1958,8.3707,8.3928,5.7654,8.4799,0.692,0.3531,0.4081,0.4267,0.2764,0.4653,0.293,1.5694,1.3368,2.7678,0.9266,0.9662,1.0496,3.0075,1.2311,1.2121,1.202,3.581,3.2962,3.7484,3.7199,10.157,2.0401,2.0399,2.0148,2.0444,2.0179,6.3093,12.5834,4.2162,4.2064,4.1608,10.5037,2.163,2.1511,2.0545,2.0679,2.0673,1.3681,1.4247,0.0721,0.0193,0.02,0.0091,1.4206,1.4015,1.6174,0.0744,0.0194,0.0054,0.0206,0.0088,2.7302,2.7176,0.935,0.8179,0.9647,1.4714,1.4643,1.5708,-84.48,18.5
MEQPIH,63.85,-0.53,158.34,1.8,5.45,7.93,24.7,14.8,8.8,550.57,-3.3908,-1.5459,2.11,2.03,-0.09,0.09,2.54,2.44,1.99,1.32,1.24,61.64,66.31,116.83,128.56,111.25,52.05,125.47,-0.3994,-0.2932,0.0819,0.5943,0.0695,0.086,-0.528,-0.04,2.5402,3.5623,2.9043,1.4825,1.9513,1.9958,4.195,2.0069,29.1293,5.6329,7.3133,25.103,8.4678,8.4386,5.775,8.5256,0.6418,0.1145,0.6558,0.6535,0.3638,0.4609,0,1.8171,1.2886,2.7813,0.9615,0.9224,1.0604,3.0028,1.2799,1.2473,1.1494,3.5395,3.4021,3.5889,3.659,10.1871,2.0546,2.0396,2.0306,2.0438,2.0185,6.3506,12.571,4.2544,4.1765,4.1402,10.4775,2.1236,2.1113,2.0789,2.0962,2.0675,1.4329,1.4623,0.0693,0.01,0.0246,0.0083,1.4454,1.5531,1.4737,0.0716,0.0035,0.0138,0.0198,0.0087,2.7418,2.733,0.9706,0.8019,0.9604,1.5947,1.4458,1.5213,-99.13,18.5
PAZYEV,89.55,4.43,186.99,2.9,9.17,8.55,38,36.2,27.8,766.76,-3.4666,-1.7018,2.14,1.94,-0.13,-0.05,2.66,2.18,1.99,1.32,1.24,52.35,74.83,115.69,133.07,111.06,52.83,125.83,-0.3379,-0.3218,0.094,0.475,0.2027,-0.0452,-0.5265,-0.0317,2.9038,3.6116,2.9318,1.3134,1.9961,1.8892,4.0836,2.0012,29.1362,5.5716,7.3416,25.1716,8.4034,8.5652,5.7287,8.532,0.4975,0.2388,0.6944,0.6079,0.3017,0.6396,0.1048,1.7594,1.2764,2.7769,0.9453,0.9603,1.0582,2.9963,1.2768,1.2542,1.1378,3.5785,3.3725,3.6937,3.6803,10.1752,2.059,2.038,2.0255,2.0368,2.0159,6.3414,12.5822,4.2384,4.1963,4.1475,10.4139,2.1196,2.1314,2.0664,2.0702,2.0263,1.3713,1.4599,0.078,0.0173,0.025,0.0084,1.641,1.3835,1.5706,0.072,0.016,0.0046,0.0232,0.0085,2.7398,2.7325,0.9621,0.8077,0.9626,1.6017,1.448,1.5047,-141.73,18.5
RAXDAW,71.25,10.1,186.9,1.83,8.44,7.84,29.3,23,15.1,643.89,-4.2585,-2.6608,2.05,2.61,-0.08,-0.5,2.55,2.01,1.99,1.3,1.26,48.24,71.54,92.11,156.4,111.28,60.22,121.37,-0.378,-0.2723,0.1083,0.4711,0.192,0.1144,-0.5021,0.0419,2.9865,3.5712,2.9221,1.3305,2.153,2.8708,4.0442,1.9462,29.1666,5.5051,7.1699,25.1802,8.3105,7.1331,5.7564,8.4795,0.708,0.3747,0.5713,0.4608,0.428,0.1052,0.3107,1.5587,1.3532,2.7721,0.9123,0.9469,1.0679,2.9977,1.2446,1.2345,1.1749,3.5964,3.3949,3.594,3.7754,10.1471,2.0519,2.0268,2.0174,2.0373,2.0138,6.3261,12.5793,4.2427,4.1873,4.1493,10.4722,2.0186,2.13,2.1166,2.1781,2.029,1.4083,1.436,0.0759,0.0179,0.018,0.0115,1.2392,1.1273,1.17,0.2784,0.0368,0.0597,0.0806,0.0301,2.7277,2.7084,0.9627,0.7914,0.9543,1.4861,1.4648,1.5549,-99.71,18.5
