Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
XUBMEM,82.79,1.95,179.66,4.1,7,11.62,31.4,27.2,21.2,805.27,-3.612,-3.0715,2.01,2.06,0.07,-0.2,2.58,2.13,2.01,1.32,1.24,52.16,73.18,119.26,128.71,111.46,54.66,125.39,-0.3891,-0.3147,0.0919,0.5333,0.0304,0.2095,-0.5283,-0.0403,2.8587,3.506,2.9203,1.3578,1.8739,2.0746,4.2096,2.0065,29.211,5.511,7.2848,25.1523,8.5872,8.3333,5.786,8.5292,0.5828,0.2328,0.6718,0.5868,0.4941,0.3906,0,1.8114,1.3108,2.7677,0.9239,0.9539,1.0741,3.0021,1.2432,1.2431,1.1834,3.5592,3.2126,3.7196,3.7768,10.1722,2.0588,2.0352,2.0141,2.0523,2.0118,6.3238,12.5987,4.2517,4.1812,4.1658,10.4664,2.1526,2.1006,2.0774,2.0917,2.044,1.5791,1.3742,0.0712,0.0143,0.0218,0.009,1.3657,1.4467,1.5553,0.0777,0.0134,0.0085,0.0267,0.009,2.741,2.7338,0.9657,0.8065,0.9615,1.5595,1.4448,1.558,-123.92,-26.2
VUWYER,85.96,4.78,180.22,1.73,6.94,7.41,29.8,21.6,13.5,585.21,-4.7947,-2.9467,1.93,2.25,0.1,-0.29,2.52,1.95,3.09,1.34,1.23,46.91,70.47,65.93,161.4,112.31,62.63,127.4,-0.3043,-0.2762,0.2765,0.4654,0.0755,0.1936,-0.374,0.1747,2.8642,3.4269,3.2942,1.3273,1.9313,2.0916,4.2069,2.0958,29.1347,5.4606,7.0389,25.1741,8.4752,8.3577,5.7684,8.3622,0.8509,0.362,0,0.2937,0.6746,0.2133,0.377,1.6416,1.2594,2.7699,0.8983,0.9689,1.0697,2.8781,1.0976,1.1471,1.2939,3.6044,3.2915,3.6554,3.8255,10.1371,2.0589,2.023,2.0066,2.0352,2.0134,6.3263,12.573,4.226,4.197,4.1501,10.4045,2.0833,2.1421,2.0246,2.1131,2.0416,1.4641,1.4876,0.0759,0.0229,0.0125,0.0188,1.3382,1.4488,1.5884,0.0728,0.016,0.0015,0.0227,0.0082,2.7194,2.6443,0.9803,0.9163,0.7476,1.4724,1.5361,1.3978,-79.44,-21.1
CEDKIH,72.45,9.11,232.55,2.65,10.07,13.94,41.2,27,14.5,824.08,-4.7228,-3.0787,2.07,2.39,0.12,-0.51,2.54,1.94,3.31,1.32,1.24,44.75,67.25,63.82,171.11,114.68,68.01,126.61,-0.3968,-0.2159,0.2013,0.3274,0.1809,0.175,-0.4147,0.1588,3.1035,3.455,3.2684,1.1773,3.149,2.0984,4.1806,2.0588,29.1518,5.46,7.1578,25.2779,6.8298,8.3527,5.7685,8.3837,0.847,0.4436,0,0.1941,0.4403,0.191,0.3564,1.5909,1.3781,2.7734,0.8585,0.9847,1.0563,2.9213,1.1349,1.2896,1.2085,3.6455,3.2618,3.7948,3.8403,10.1151,2.0348,2.0258,2.0079,2.0397,2.007,6.3202,12.628,4.2279,4.2283,4.1718,10.4483,2.1299,2.1458,2.0279,2.0719,2.0726,1.0961,1.2077,0.3105,0.0333,0.1002,0.0415,1.3847,1.426,1.5751,0.0707,0.0175,0.0067,0.0199,0.0089,2.7225,2.6688,0.9611,0.8082,0.8995,1.4243,1.4596,1.5359,-110.7,-19.5
XIKLOU,74.33,3.04,161.02,2.38,4.76,7.35,27.5,17,9.7,538.96,-5.2565,-3.3461,2.34,2.15,-0.5,0.29,2.53,1.96,1.96,1.31,1.25,45.08,66.03,123.89,125.43,110.66,68.89,125.89,-0.2896,-0.2063,0.1089,0.3395,0.2271,0.0005,-0.4703,0.0015,3.0402,3.41,3.1613,1.2208,2.1642,2.9033,4.2468,1.9898,29.3252,5.42,7.0785,25.223,8.273,7.3712,5.8198,8.5056,0.8898,0.385,0.7107,0.163,0.1901,0.3505,0,1.5902,1.4526,2.7755,0.8782,0.9553,1.0614,2.9914,1.2648,1.1693,1.2235,3.6524,3.2944,3.7775,3.8152,10.1073,2.0445,2.0206,2.0085,2.0288,2.0048,6.3629,12.6187,4.29,4.2152,4.1136,10.3077,2.1111,2.1052,2.0574,2.0473,1.9866,1.3261,1.4446,0.0725,0.0157,0.0231,0.0084,1.249,1.3091,1.1747,0.1879,0.0255,0.0472,0.0432,0.0367,2.7326,2.6991,0.9864,0.8951,0.8175,1.5417,1.4889,1.4985,-138.98,-17.4
QIKTUZ,77.11,7.08,168.14,4.42,9.26,9.73,26.5,21.8,20.4,772.77,-4.4233,-3.3096,2.04,2.24,0.01,-0.24,2.55,2.01,1.95,1.32,1.24,48.24,71.34,113.27,134.71,111.87,60.42,124.11,-0.325,-0.2717,0.0919,0.4593,0.182,0.2659,-0.5176,-0.0113,3.0116,3.6214,3.0462,1.3292,2.0901,2.1304,4.1574,2.012,29.2217,5.5304,7.201,25.1792,8.3761,8.3067,5.7757,8.5078,0.7105,0.366,0.7527,0.4393,0.4412,0.2468,0.1211,1.7832,1.3019,2.772,0.9075,0.9576,1.0601,2.9938,1.2499,1.2715,1.1515,3.6048,3.3897,3.6375,3.7467,10.1419,2.0506,2.0265,2.0195,2.0351,2.0102,6.337,12.5839,4.2699,4.1956,4.1184,10.4038,2.0121,2.0924,2.0974,2.1655,2.0364,1.3988,1.4521,0.0768,0.0138,0.0253,0.0085,1.2623,1.4532,1.5862,0.0747,0.0135,0.0022,0.0264,0.0084,2.7369,2.7234,0.9518,0.8232,0.9483,1.5511,1.4694,1.5188,-141.54,-16
VICVOS,76.86,0.9,174.65,2.37,5.26,7.06,30.7,20.2,9.8,539.19,-4.9069,-2.9534,2.28,2.15,-0.39,0.22,2.53,1.97,1.98,1.31,1.25,46.35,68.13,123.29,126.06,110.53,65.52,126.2,-0.3086,-0.2336,0.1038,0.3932,0.1643,0.0437,-0.4849,-0.0132,3.071,3.4401,3.1307,1.2624,2.1035,3.0154,4.2816,1.9716,29.3398,5.4584,7.0902,25.2182,8.3627,7.0469,5.8366,8.5212,0.854,0.3657,0.694,0.2276,0.2391,0.3927,0,1.6154,1.4613,2.7743,0.8792,0.9597,1.0695,2.995,1.2717,1.1547,1.2356,3.6313,3.2775,3.7268,3.8289,10.1261,2.0555,2.0228,2.0082,2.0326,2.007,6.3541,12.6262,4.2818,4.2147,4.1297,10.328,2.0892,2.1077,2.0511,2.0791,2.0009,1.3799,1.4351,0.0724,0.0167,0.0216,0.0087,1.2396,1.3147,1.0961,0.274,0.0295,0.0623,0.0735,0.0614,2.7346,2.7068,0.9806,0.9153,0.8109,1.5677,1.4821,1.4905,-132.36,-15.3
POBDAL,86.82,0.61,183.38,3.23,6.42,6.8,34.1,27.1,16,565.06,-4.7702,-2.9215,2.01,2.13,0.32,-0.3,2.55,1.93,2.06,1.28,1.3,45.1,69.42,121.26,126.71,111.15,65.48,125.11,-0.3288,-0.2396,0.1662,0.3834,0.184,-0.0357,-0.4059,0.1711,3.1148,3.335,3.023,1.2178,2.1187,1.7118,3.9743,2.1201,29.2266,5.3999,7.1802,25.2391,8.316,8.7125,5.7347,8.366,0.7991,0.3757,0.5604,0.2824,0.5017,0.4227,0,1.2799,1.4532,2.7696,0.8781,0.9597,1.0692,2.9928,1.2643,1.186,1.1501,3.639,3.2961,3.7391,3.8082,10.1182,2.0476,2.024,2.0101,2.0309,2.0057,6.3229,12.6156,4.2654,4.1977,4.1524,10.39,2.0786,2.1073,2.063,2.127,2.0141,1.4742,1.4017,0.0781,0.0118,0.0267,0.0093,1.6164,1.3583,1.5989,0.0671,0.0161,0.0037,0.0208,0.008,2.7261,2.6928,0.9653,0.8166,0.9109,1.4339,1.4914,1.5128,-123.08,-14.5
ILAZAX,85.26,1.24,202.05,3.57,11.67,7.13,39.2,30.9,19.9,741.19,-4.7453,-2.9276,2.03,2.02,-0.13,0.06,2.55,1.97,3.4,1.32,1.24,46.34,69.79,63.59,177.12,114.28,63.87,126.4,-0.3594,-0.2502,0.1888,0.3985,0.1998,0.0989,-0.428,0.1395,3.076,3.42,3.2264,1.2833,2.1297,3.0932,4.1171,2.0775,29.2173,5.4193,7.149,25.1897,8.2984,7.0018,5.7516,8.4004,0.762,0.3284,0,0.3655,0.3877,0.5789,0.4476,1.5683,1.3846,2.7736,1.0693,0.9493,0.8981,2.926,1.1435,1.3177,1.1799,3.6398,3.778,3.6535,3.3907,10.1226,2.0169,2.0198,2.0262,2.0142,2.0455,6.3253,12.6309,4.1648,4.2507,4.2153,10.4029,2.1186,2.1226,1.9721,2.0997,2.0898,1.4298,1.3849,0.0756,0.021,0.0071,0.0248,1.1821,1.1855,1.1938,0.2986,0.0439,0.0763,0.0472,0.079,2.7239,2.6733,0.9527,0.7748,0.9457,1.4337,1.4285,1.578,-144.23,-14
JUJPIQ,77.32,2.36,205.13,2.87,6.81,8.5,37.6,28.8,15.5,645.04,-4.5878,-2.9543,2.27,2.01,-0.11,0.02,2.55,1.99,3.33,1.32,1.24,46.81,68.78,61.67,173.33,114.14,64.41,127.66,-0.3364,-0.2334,0.2044,0.3892,0.1993,0.1273,-0.4107,0.1617,3.0878,3.399,3.278,1.2449,2.9984,3.0406,4.1233,2.0809,29.2682,5.4466,7.1501,25.2124,7.2513,7.0404,5.7427,8.3848,0.7807,0.4007,0,0.3021,0.347,0.5862,0.446,1.5388,1.4018,2.778,0.8711,0.95,1.0915,2.9231,1.1523,1.3042,1.1726,3.6405,3.2287,3.7414,3.8562,10.1273,2.06,2.0202,2.006,2.0346,2.0066,6.3273,12.637,4.2443,4.2384,4.1542,10.3717,2.1117,2.1184,2.0822,2.0857,1.9737,1.1572,1.2293,0.2065,0.0296,0.0578,0.0222,1.2727,1.2134,1.0748,0.2734,0.0288,0.0569,0.099,0.0231,2.7212,2.6679,0.9507,0.7748,0.9424,1.443,1.434,1.5471,-126.32,-13.4
TATFID,85.57,-1.57,179.31,2.47,6.82,9.94,31.3,24.8,18.4,681.22,-4.7446,-2.5781,2.29,1.92,-0.51,0.49,2.51,1.93,3.14,1.33,1.24,46.46,70.41,67.6,177.75,113.25,63.13,126.56,-0.2952,-0.2793,0.278,0.4737,0.1753,0.0519,-0.3827,0.1625,2.8733,3.3077,3.2215,1.3284,2.0648,1.9356,4.294,2.0936,29.1641,5.381,7.0144,25.1839,8.3713,8.4957,5.8285,8.3722,0.8779,0.33,0,0.2408,0.2179,0.697,0.3449,1.6596,1.3113,2.7685,0.8817,0.9708,1.0855,2.8919,1.0937,1.1547,1.2823,3.6003,3.2407,3.697,3.8276,10.1397,2.0612,2.0244,2.0075,2.038,2.0085,6.3231,12.564,4.2351,4.2041,4.1248,10.4077,2.1034,2.1063,2.0672,2.1347,1.9961,1.3837,1.4596,0.0719,0.0152,0.0235,0.0084,1.5376,1.4692,1.5059,0.0741,0.0121,0.0166,0.0177,0.0115,2.7176,2.6501,0.9791,0.9213,0.7497,1.4826,1.5188,1.4123,-80.64,-12.8
LIVHUU,74.24,8.39,231.55,2.34,6.21,7.06,41.8,27.5,14.1,603.85,-4.7016,-3.3227,2.39,2.07,-0.55,0.21,2.53,1.93,3.23,1.32,1.24,43.84,65.03,65.21,171.34,114.65,71.13,125.87,-0.4226,-0.1873,0.2011,0.2902,0.1688,0.1753,-0.4116,0.1688,3.1393,3.4198,3.2622,1.1307,2.0876,3.2508,4.149,2.079,29.1925,5.4522,7.1458,25.3005,8.3493,6.7838,5.7485,8.3856,0.8711,0.4309,0,0.1344,0.1859,0.4375,0.3947,1.5632,1.3886,2.7746,0.8661,0.9488,1.0686,2.9228,1.1315,1.3315,1.1682,3.6569,3.3297,3.7904,3.8164,10.1035,2.0326,2.0195,2.0102,2.0332,2.008,6.3301,12.6456,4.2204,4.2455,4.1797,10.4465,2.0733,2.1841,2.0843,2.0662,2.0386,1.3813,1.4585,0.0699,0.0174,0.018,0.0082,1.0647,1.3313,1.0858,0.341,0.0281,0.088,0.0885,0.0433,2.7218,2.6656,0.9578,0.7498,0.9581,1.4157,1.4255,1.5703,-112.36,-12.2
HARPOI,76.35,10.66,180.22,3.7,7.85,10.64,32.6,28.9,20.6,686.18,-4.5229,-2.9133,2.36,2.3,-0.66,0.39,2.52,1.99,1.94,1.3,1.26,46.58,66.85,92.61,155.38,111.48,66.56,120.53,-0.3874,-0.2026,0.1269,0.3735,0.2306,0.2194,-0.4948,0.0519,3.1567,3.5382,2.9176,1.276,2.082,3.0953,3.9295,1.9155,29.2556,5.4708,7.1834,25.2383,8.3228,7.2794,5.6976,8.4905,0.8647,0.4224,0.5833,0.2201,0.1759,0.3125,0.3423,1.4655,1.305,2.7744,0.8883,0.9566,1.0396,2.9871,1.2316,1.233,1.1747,3.6236,3.3386,3.7612,3.7605,10.1262,2.0418,2.0328,2.0135,2.0305,2.0077,6.3321,12.6114,4.2601,4.1893,4.162,10.4435,2.1403,2.1416,2.0581,2.0603,2.0432,1.2872,1.4724,0.0738,0.0131,0.0259,0.008,1.186,1.2562,1.1596,0.2133,0.0442,0.0508,0.0505,0.0331,2.7252,2.7015,0.9743,0.7849,0.9422,1.4833,1.4652,1.55,-145.37,-12.1
MAPCIQ03,84.37,1.46,176.78,2.04,4.29,7.53,28.4,17.2,9.4,532.95,-4.6881,-2.554,2.34,1.93,-0.03,-0.14,2.52,1.94,3.13,1.33,1.24,46.52,70.86,67.03,173.66,113.04,62.62,127,-0.2853,-0.2823,0.2777,0.4502,0.16,0.0188,-0.3808,0.1621,2.8664,3.3971,3.2069,1.3162,2.0902,1.9582,4.2938,2.0952,29.1411,5.4489,7.0218,25.1852,8.3579,8.4936,5.8213,8.3693,0.8388,0.3587,0,0.2876,0.1987,0.725,0.3595,1.6572,1.3272,2.7697,0.888,0.9644,1.0886,2.8911,1.0945,1.1568,1.2783,3.6053,3.2793,3.6662,3.8396,10.1387,2.0631,2.0221,2.007,2.0367,2.0098,6.3256,12.5576,4.2363,4.2055,4.1158,10.4017,2.0667,2.1057,2.0713,2.1578,2.0001,1.3942,1.467,0.0711,0.0164,0.0215,0.0084,1.5364,1.5059,1.495,0.073,0.011,0.0181,0.0149,0.0113,2.7177,2.6501,0.9729,0.9216,0.7556,1.468,1.5319,1.4152,-73.84,-11.1
DOMZIQ,75.8,18.83,193.63,4.28,9.37,7.39,37.3,36,24.5,744.42,-4.5727,-2.6014,2.09,2.29,0.19,-0.53,2.53,1.97,1.96,1.32,1.24,47.06,70.45,121.7,127.16,111.06,62.49,125.83,-0.2964,-0.2639,0.0912,0.4637,0.1361,0.1547,-0.5161,0.0212,2.957,3.3925,3.0832,1.296,1.8425,1.9623,4.1306,1.9826,29.1364,5.3794,7.1983,25.2082,8.542,8.4441,5.7547,8.5191,0.7836,0.3617,0.7063,0.2942,0.2956,0.186,0,1.6741,1.3397,2.7698,0.9319,1.0256,0.9622,2.9952,1.2759,1.2496,1.1482,3.6054,3.4535,3.7846,3.5343,10.1394,2.0274,2.0416,2.0177,2.0292,2.0234,6.3422,12.5752,4.2544,4.1695,4.1513,10.3786,2.1322,2.0609,2.0192,2.0896,2.0767,1.4631,1.4928,0.0731,0.0168,0.0147,0.0147,1.5873,1.3938,1.4348,0.0715,0.011,0.0102,0.0246,0.0094,2.7373,2.7209,0.9785,0.8071,0.9352,1.6121,1.433,1.4655,-127.09,-11
JOFHOB,92.37,10.48,190.61,3.76,7.48,7.57,36.2,34.1,23.9,664.95,-4.4814,-2.5489,2.24,2.03,-0.46,0.25,2.55,1.97,1.97,1.32,1.24,47.08,71.12,122.56,125.92,111.25,61.8,126.19,-0.3377,-0.2675,0.0899,0.4303,0.1495,0.1837,-0.5127,0.0096,2.9666,3.4639,2.9888,1.2837,2.003,1.9912,4.1781,1.9932,29.1699,5.4472,7.2222,25.2078,8.4325,8.4429,5.7888,8.4998,0.7716,0.3601,0.6498,0.3191,0.2465,0.3735,0,1.7476,1.3169,2.771,0.8752,0.9616,1.087,2.9963,1.2447,1.231,1.1984,3.6106,3.1895,3.7668,3.8419,10.142,2.0515,2.0209,2.0102,2.0512,2.0082,6.3376,12.6008,4.2662,4.2061,4.1284,10.399,2.159,2.1122,2.0759,2.0237,2.0282,1.4957,1.48,0.0721,0.0218,0.0162,0.0103,1.4473,1.4319,1.5396,0.0759,0.019,0.0044,0.0232,0.0093,2.7379,2.72,0.9721,0.8365,0.9114,1.5672,1.4485,1.5046,-130.65,-10.4
HIQMEZ,84.73,1.31,177.72,2.03,10.48,7.64,28.6,19.6,13.6,687.52,-4.6685,-2.519,2.32,1.93,-0.01,-0.13,2.52,1.94,3.14,1.33,1.24,46.64,71.05,67.05,172.09,112.9,62.31,127.04,-0.2888,-0.2851,0.2802,0.4574,0.1603,0.032,-0.3822,0.1624,2.8539,3.3748,3.2333,1.3224,2.0893,1.9235,4.3076,2.0901,29.1678,5.4359,7.0139,25.1863,8.3632,8.517,5.8326,8.373,0.8592,0.3473,0,0.2791,0.221,0.7215,0.3508,1.66,1.3193,2.7692,0.8818,0.9726,1.0879,2.8935,1.0918,1.1551,1.2799,3.6023,3.2363,3.7026,3.8397,10.1406,2.0642,2.023,2.0064,2.0393,2.0077,6.3233,12.5604,4.2328,4.2049,4.1228,10.4047,2.1022,2.1081,2.0616,2.1327,2.0001,1.3722,1.4619,0.0711,0.0145,0.0236,0.0082,1.5259,1.4827,1.5204,0.0736,0.0133,0.0169,0.0156,0.0121,2.718,2.6506,0.978,0.922,0.7506,1.4814,1.5204,1.4128,-68.1,-10
GIRSOR,88.65,10.25,184.59,2.87,10.46,8.71,37.3,32.3,24.1,829.17,-4.4045,-2.5166,2.07,2.28,-0.15,-0.26,2.56,2.02,1.94,1.32,1.24,48.14,70.52,125.21,122.81,111.55,61.34,126.13,-0.3299,-0.2529,0.0975,0.4252,0.1286,0.2071,-0.5194,-0.0076,3.0358,3.49,3.0055,1.3082,3.1042,2.1106,3.9587,1.9982,29.2796,5.4601,7.2665,25.2047,6.8721,8.3464,5.6745,8.5211,0.7602,0.3708,0.7605,0.3613,0.4369,0.2072,0,1.7535,1.1817,2.7741,0.8894,0.9774,1.0482,2.9904,1.2623,1.2594,1.1471,3.6127,3.305,3.7297,3.7651,10.1434,2.0528,2.0325,2.0141,2.036,2.0079,6.348,12.6071,4.2754,4.1995,4.1321,10.3745,2.0833,2.1021,2.0438,2.0982,2.0471,1.1032,1.2323,0.3105,0.0502,0.0748,0.0588,1.4243,1.4504,1.4954,0.0722,0.0183,0.0014,0.0207,0.0084,2.7386,2.726,0.9515,0.8221,0.9524,1.6017,1.4316,1.4973,-139.91,-9.7
RIWBUW,80.82,17.06,172.04,1.35,10.03,9.3,27.3,21.5,17.6,752.41,-4.1894,-2.8764,2.37,2.11,-0.42,-0.1,2.52,1.98,2.01,1.3,1.26,47.93,70.94,91.97,156.48,111.36,61.12,121.19,-0.382,-0.2754,0.1104,0.5129,0.1884,0.2101,-0.5032,0.0394,2.9958,3.609,2.8975,1.3945,2.0774,2.1352,4.0372,1.9504,29.1494,5.5,7.1691,25.1662,8.3445,8.2657,5.7607,8.479,0.7309,0.4166,0.5593,0.4237,0.1445,0.333,0.3205,1.5541,1.3459,2.7684,0.9212,0.9323,1.072,2.9988,1.2238,1.2407,1.1869,3.5811,3.5241,3.4364,3.7671,10.1561,2.0396,2.0246,2.0234,2.0451,2.0235,6.3147,12.5771,4.2461,4.1806,4.1504,10.4899,1.9651,2.0979,2.1237,2.2109,2.0922,1.3396,1.4531,0.07,0.0161,0.0197,0.0084,1.3796,1.4124,1.5766,0.0729,0.0209,0.006,0.0188,0.0093,2.7284,2.7089,0.9193,0.8314,0.9583,1.4673,1.4744,1.5658,-99.43,-9.5
VINVOG,75.75,2.68,192.02,2.61,8.09,9.28,35.4,27.4,17.1,671.85,-4.7143,-2.8813,2.23,2.12,-0.44,0.26,2.54,1.97,1.99,1.32,1.25,46.37,69.27,122.67,126.61,110.56,64.37,126.31,-0.3208,-0.2503,0.1041,0.422,0.2372,0.1714,-0.4924,-0.0197,3.1509,3.4707,3.1269,1.2983,2.1141,3.0614,4.2537,1.9623,29.3281,5.4799,7.1284,25.198,8.3009,7.1783,5.8188,8.5297,0.8484,0.3653,0.6787,0.246,0.261,0.4244,0,1.629,1.4327,2.7738,0.8981,0.9507,1.0696,2.9972,1.273,1.138,1.2505,3.622,3.3629,3.6309,3.8096,10.1352,2.0523,2.0217,2.0131,2.0342,2.0139,6.3418,12.6201,4.2748,4.2169,4.1284,10.3586,2.0032,2.1054,2.0702,2.1521,2.0276,1.2762,1.4566,0.0743,0.0138,0.027,0.008,1.2063,1.2913,1.1482,0.2283,0.0203,0.0374,0.062,0.0536,2.7364,2.7109,0.9859,0.9429,0.7822,1.6072,1.469,1.469,-132.19,-9.3
OLUPES01,80.34,5.81,197.49,1.75,9.87,10.07,32.2,24.6,17.9,743.15,-4.6774,-3.9198,2.02,2.23,0.1,-0.39,2.55,2,1.95,1.31,1.25,47.19,69.79,119.85,127.29,111.8,63.01,125.17,-0.323,-0.2442,0.1137,0.402,0.2176,0.22,-0.4938,-0.0183,3.1555,3.4945,3.082,1.2827,3.1562,2.1089,4.0681,1.9409,29.3665,5.4749,7.1704,25.2093,7.0052,8.3492,5.7339,8.5585,0.7621,0.3325,0.7356,0.3279,0.5008,0.3081,0,1.5917,1.3494,2.7745,0.8877,0.9654,1.0585,2.9899,1.2419,1.2504,1.1587,3.6283,3.2895,3.7529,3.7795,10.1304,2.0505,2.0276,2.0119,2.0342,2.0061,6.3316,12.6328,4.28,4.2175,4.1352,10.3582,2.1013,2.1013,2.0513,2.0815,2.0227,1.1483,1.2851,0.2419,0.0234,0.0806,0.0219,1.3077,1.436,1.5991,0.072,0.0146,0.0027,0.0245,0.008,2.7331,2.711,0.9594,0.8018,0.9497,1.5575,1.4653,1.5294,-162.81,-9.2
JEVPOP,81.3,10.92,174.04,2.93,8.15,10.99,31.2,23.6,16.3,685.88,-4.8806,-4.6493,2.3,1.98,-0.49,-0.1,2.51,1.97,1.93,1.33,1.23,46.47,67.43,117.58,129.93,112.38,66.1,125.08,-0.306,-0.2182,0.1226,0.4501,0.2688,0.1044,-0.5004,0.031,3.206,3.458,3.0868,1.3367,2.1763,1.9745,4.0033,2.0735,29.296,5.4562,7.1967,25.1692,8.2462,8.4374,5.674,8.4748,0.8398,0.3316,0.7526,0.2547,0.2261,0.5302,0,1.8166,1.1502,2.7728,0.8526,0.9525,1.0894,2.9927,1.2379,1.2353,1.1686,3.629,3.2225,3.7207,3.8472,10.1145,2.0407,2.0161,2.0061,2.0449,2.0067,6.3523,12.5993,4.2797,4.2158,4.1038,10.354,2.1004,2.1067,2.0901,2.0292,2.0275,1.352,1.3812,0.0743,0.0209,0.0195,0.0115,1.5872,1.3962,1.4774,0.0737,0.0102,0.0071,0.0258,0.0089,2.7361,2.7133,0.9754,0.7947,0.9432,1.5723,1.3993,1.5275,-171.52,-8.7
ATUWAN,76.23,7.78,164.48,2.11,5.96,8.75,26,16.5,10.5,572.43,-4.6048,-3.2187,2.38,2.03,-0.37,0.02,2.5,1.94,2.04,1.31,1.26,45.96,67.9,92.9,155.61,111.3,66.14,120.58,-0.3913,-0.2305,0.1137,0.3968,0.2141,0.2501,-0.5018,0.0436,3.0579,3.5276,2.8319,1.2596,2.1583,2.2232,4.0992,1.9671,29.2016,5.4746,7.2176,25.2232,8.2616,8.1995,5.7713,8.4651,0.8506,0.4054,0.4889,0.2267,0.1484,0.4121,0.3069,1.588,1.3419,2.7703,0.9056,0.9637,1.0315,3.0029,1.2623,1.2279,1.1577,3.6172,3.3505,3.777,3.7167,10.1241,2.037,2.0349,2.0138,2.0291,2.0092,6.3318,12.5987,4.2366,4.1992,4.1629,10.4603,2.1566,2.1654,2.0568,2.0653,2.0161,1.3408,1.4562,0.0702,0.0152,0.0227,0.0084,1.3501,1.4504,1.5295,0.0777,0.012,0.0078,0.0283,0.0087,2.7297,2.7094,0.9821,0.786,0.9414,1.5048,1.4581,1.5387,-144.06,-8.6
SANRAD,74.24,2.67,173.29,1.7,7.26,8.65,32.3,25.6,18,684.52,-4.7678,-2.9306,2.27,2.08,-0.41,0.25,2.55,1.96,1.98,1.31,1.25,46.17,69.49,120.53,127.89,111.39,64.35,124.96,-0.3048,-0.2466,0.1125,0.4019,0.1847,0.1068,-0.4879,-0.0431,3.091,3.4283,3.1557,1.3124,2.0582,3.2058,4.1189,1.8695,29.2767,5.468,7.1915,25.2048,8.3733,7.3225,5.7452,8.5862,0.8465,0.3337,0.7049,0.275,0.2505,0.3898,0,1.499,1.4411,2.7733,0.8877,0.9569,1.0702,2.9925,1.2318,1.2104,1.2117,3.6327,3.3165,3.6598,3.8455,10.1266,2.0547,2.0196,2.0075,2.0328,2.012,6.3364,12.6135,4.2611,4.2213,4.1311,10.3545,2.0347,2.1044,2.0578,2.1344,2.0232,1.3581,1.413,0.0707,0.0189,0.0205,0.0089,1.1873,1.3578,1.1998,0.166,0.03,0.0409,0.0196,0.0402,2.7336,2.7063,0.9099,0.8507,0.9456,1.5421,1.4547,1.5759,-148.6,-8.6
