Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
YUPROS,83.73,13.59,187.35,2.6,6.03,12.22,32,23.1,13,705.63,-4.8187,-1.0221,1.97,2.24,-0.05,-0.28,2.65,2.25,1.97,1.31,1.24,54.37,73.18,117.79,130,111.57,52.45,125.87,-0.4074,-0.2998,0.0854,0.5521,0.0689,0.0598,-0.5187,-0.051,2.4829,3.6831,2.9363,1.321,1.984,2.9472,4.1723,1.9862,29.0589,5.5983,7.2735,25.1084,8.4828,7.0367,5.7583,8.5448,0.4305,0.6885,0.7502,0.4864,0.2643,0,1.8123,1.32,2.7723,0.9492,0.9426,1.06,2.988,1.2908,1.2527,1.1425,3.37,3.6598,3.6653,10.1585,2.0528,2.0344,2.0238,2.035,2.0125,6.3117,12.5676,4.2356,4.1899,4.1422,10.5278,2.1227,2.0998,2.1139,2.1298,2.0617,1.4461,1.432,0.0732,0.0218,0.0107,0.0179,1.3194,1.1591,1.0268,0.2992,0.039,0.0571,0.0727,0.056,2.7374,2.7134,0.9726,0.7813,0.9595,1.6107,1.4604,1.5074,-130.14,30.5
ZAXVAY,77.41,2.13,162.94,2.08,11.94,10.04,26.7,20.5,15.1,819.64,-5.677,-1.8817,2.45,2.1,-0.53,0.19,2.52,1.97,2.03,1.3,1.26,47.28,70.15,90.67,157.99,111.3,62.57,120.88,-0.4223,-0.2387,0.1005,0.4828,0.1099,0.2144,-0.4941,0.022,2.8101,3.6728,2.8077,1.3155,2.9103,2.1524,4.0968,1.9268,29.0644,5.5242,7.2134,25.162,7.0969,8.3054,5.7586,8.5101,0.7433,0.4673,0.4403,0.123,0.3237,0.3241,1.5711,1.4035,2.7607,0.8721,0.9785,1.053,2.997,1.2109,1.2215,1.2346,3.1946,3.7512,3.8255,10.1326,2.0492,2.0286,2.0069,2.0407,2.0073,6.2996,12.5669,4.2455,4.1676,4.1539,10.5554,2.1335,2.131,2.0798,2.1341,2.077,1.1821,1.2368,0.2965,0.0305,0.08,0.0332,1.363,1.4536,1.5506,0.0739,0.0115,0.0058,0.0275,0.0088,2.726,2.6926,0.9573,0.7882,0.9471,1.4543,1.4923,1.5865,-110.99,30.5
BAGSAD,72.33,9.23,180.17,1.7,6.83,8.45,29.9,22.1,12.1,590.38,-5.3413,-1.8955,2.46,2.04,-0.45,-0.04,2.57,2.02,2.03,1.3,1.26,48.72,72.69,89.95,157.99,111.07,58.59,121.53,-0.4243,-0.2693,0.0986,0.516,0.1314,0.1237,-0.4963,0.0262,2.7872,3.6528,2.8364,1.3214,2.8054,2.0771,4.0828,1.9297,29.0628,5.4969,7.2183,25.146,7.0144,8.3374,5.7469,8.5056,0.5882,0.4899,0.5803,0.1118,0.4264,0.3054,1.5768,1.4103,2.7636,0.9146,0.9273,1.0849,2.9976,1.2454,1.2331,1.1898,3.467,3.4622,3.8044,10.1459,2.045,2.0212,2.0159,2.0418,2.022,6.2925,12.5626,4.2294,4.1893,4.144,10.5688,2.0106,2.134,2.1333,2.2223,2.0685,1.2413,1.2017,0.3185,0.0491,0.0815,0.0351,1.4536,1.4783,1.5226,0.0712,0.0138,0.0096,0.0219,0.0083,2.7252,2.693,0.9423,0.7844,0.9663,1.4842,1.4767,1.5691,-101.86,30.6
HIHMUG03,71.39,8.73,190.32,2.03,11.11,8.27,31,24.8,16.4,701.68,-5.4094,-2.0702,1.99,2.55,0.06,-0.46,2.5,1.94,2.05,1.3,1.26,46.68,69.41,92.35,156.48,111.03,63.92,121.28,-0.4077,-0.2401,0.1073,0.4678,0.1787,0.1077,-0.5025,0.0245,2.832,3.6,2.7239,1.2795,2.1544,2.855,4.1487,1.9335,29.065,5.5044,7.252,25.2037,8.3377,7.15,5.7805,8.4966,0.8091,0.4289,0.3373,0.4428,0.1079,0.2646,1.6098,1.3598,2.7609,0.892,0.9944,1.019,2.9957,1.2091,1.2557,1.1981,3.3143,3.6918,3.7814,10.132,2.0424,2.0352,2.0138,2.0334,2.0073,6.3091,12.5759,4.2541,4.1565,4.1653,10.5223,2.0902,2.1037,2.0507,2.1806,2.0972,1.4326,1.3906,0.0766,0.0223,0.0108,0.0199,1.3234,1.1542,1.0744,0.2761,0.0188,0.0918,0.0703,0.0388,2.7263,2.6978,0.9513,0.8549,0.8915,1.464,1.526,1.538,-118.09,30.6
HISSEK,94.64,-18.58,193.76,4.96,8,10.99,41.2,35.5,25.1,834.87,-5.6013,-2.0107,1.91,2.2,0.24,-0.02,2.52,1.93,2.19,1.28,1.31,46.28,70.6,115.31,134.58,109.99,63.12,129.37,-0.4136,-0.2585,0.1649,0.4528,0.0717,0.2003,-0.367,0.3126,2.9282,3.4458,2.998,1.2758,1.9188,2.0227,4.1979,2.1429,29.1131,5.4035,7.1304,25.1929,8.4922,8.3724,5.8438,8.2518,0.8035,0.4179,0.3511,0.6086,0.217,0,1.1988,1.7113,2.7611,0.9455,1.0126,0.965,3.0035,1.3205,1.1362,1.1426,3.5169,3.7998,3.4766,10.1384,2.0263,2.0377,2.0261,2.0255,2.0228,6.2961,12.5921,4.2193,4.2034,4.1694,10.5249,2.1555,2.1545,2.031,2.1316,2.0523,1.5169,1.4595,0.076,0.0216,0.0173,0.0128,1.3531,1.4554,1.5717,0.072,0.0149,0.0021,0.0202,0.0087,2.7192,2.6725,0.9897,0.898,0.7848,1.3911,1.4026,1.5458,-97.9,30.6
HUKDEZ,56.78,-9.02,142.11,2.53,7.63,8.92,23.4,18.5,13.3,613.18,-5.538,-1.7819,2.5,2.1,0.52,-0.21,2.54,1.96,2,1.3,1.26,46.85,71.39,91.5,157.15,111.31,61.77,121.15,-0.3553,-0.2536,0.1052,0.4577,0.0706,0.0612,-0.4946,0.0172,2.7624,3.647,2.8511,1.2897,2.0223,1.8869,4.0004,1.9315,29.0447,5.5015,7.2452,25.181,8.4454,8.5163,5.7041,8.5201,0.6982,0.537,0.4527,0.1231,0.3486,0.3283,1.5554,1.3706,2.7624,0.8996,0.9355,1.0764,2.9917,1.2353,1.2314,1.198,3.3815,3.6053,3.8021,10.136,2.0499,2.0217,2.0141,2.0362,2.0141,6.2966,12.5531,4.2453,4.1815,4.1264,10.5053,2.0076,2.1252,2.0894,2.2076,2.0755,1.4288,1.4889,0.0665,0.0077,0.0247,0.0083,1.4896,1.5452,1.4638,0.0716,0.0038,0.0153,0.0198,0.0082,2.7257,2.6905,0.9473,0.7753,0.968,1.4783,1.4769,1.5807,-112.63,30.6
ITOBIE,83.78,-0.57,212.27,2.91,11.6,6.39,42.3,37.1,24.6,756.81,-4.7139,-1.0713,2.13,2.03,-0.13,-0.01,2.59,2.21,2.02,1.32,1.24,54.31,71.89,111.98,125.66,110.21,53.8,126.05,-0.4658,-0.2922,0.0705,0.5754,0.1963,0.0785,-0.5106,-0.0544,2.6336,3.4788,2.8355,1.3521,3.0276,1.9271,4.217,1.981,29.0874,5.4295,7.3401,25.0975,7.2515,8.435,5.7611,8.5464,0.4933,0.5224,0.6509,0.3863,0.4374,0,1.7894,1.362,2.7661,1.0085,0.936,1.0056,3.001,1.2512,1.2438,1.2007,3.4692,3.6886,3.5207,10.1676,2.0404,2.0409,2.0365,2.0291,2.0206,6.3001,12.5861,4.2338,4.1786,4.1737,10.5792,2.1427,2.1315,2.1247,2.1249,2.0554,1.1306,1.2281,0.2219,0.0267,0.0674,0.0212,1.4659,1.4507,1.5784,0.0718,0.0123,0.0051,0.0268,0.0086,2.7381,2.7088,0.8995,0.8385,0.9708,1.5342,1.4764,1.571,-114,30.6
TAKNIC,79.09,1.59,206.09,3.71,7.58,7.55,40.3,33.1,19.7,654.87,-5.2837,-1.7658,2.06,2.17,-0.08,0.02,2.58,1.97,1.99,1.32,1.24,46.87,72.27,117.73,130.27,111.06,60.86,125.65,-0.4115,-0.253,0.0876,0.4361,0.1263,0.1811,-0.5189,-0.0481,3.0641,3.5596,2.9617,1.2856,2.8358,2.0664,4.3099,1.9959,29.1545,5.4559,7.2038,25.1686,7.4754,8.3097,5.8331,8.5268,0.5931,0.6474,0.5235,0.5748,0.2666,0,1.8181,1.4011,2.7633,1.0092,0.9485,0.9514,2.9913,1.2768,1.2525,1.1552,3.6314,3.7432,3.4203,10.1429,2.0233,2.033,2.0425,2.0249,2.0193,6.3065,12.63,4.2482,4.1953,4.1864,10.4747,2.0939,2.1731,2.14,2.0921,1.9756,1.2562,1.1682,0.2065,0.0289,0.0572,0.0241,1.3972,1.4399,1.5542,0.0732,0.0167,0.016,0.0156,0.0108,2.7368,2.7129,0.9715,0.777,0.9644,1.5974,1.4501,1.5278,-127.89,30.6
UREGII,70.64,8.83,187.33,2.41,9.9,8.16,30.5,24.6,16.4,729.05,-5.5544,-1.9032,2.58,1.99,-0.48,0.06,2.5,1.95,2.06,1.3,1.26,46.88,69.76,91.57,157.38,110.96,63.35,121.26,-0.4072,-0.245,0.1066,0.4751,0.1202,0.1759,-0.5006,0.0267,2.8185,3.5913,2.7217,1.2882,2.8825,2.1486,4.1533,1.9328,29.0624,5.4975,7.2523,25.1993,7.1311,8.3457,5.7801,8.4971,0.802,0.4183,0.358,0,0.4501,0.2761,1.6049,1.3702,2.7608,0.9041,1.0155,0.989,2.9966,1.1948,1.2632,1.2049,3.339,3.6839,3.7567,10.1348,2.0382,2.04,2.0169,2.0322,2.0075,6.3079,12.5762,4.2483,4.1477,4.1802,10.5226,2.1,2.0907,2.0463,2.1808,2.1048,1.3462,1.1353,0.283,0.0233,0.0673,0.0396,1.4323,1.4126,1.5736,0.0765,0.0217,0.0157,0.0093,0.0217,2.7258,2.6967,0.9459,0.9011,0.8497,1.4547,1.5538,1.5185,-112.33,30.6
XABGIS,83.79,-5.84,233.56,2.5,9.2,6.97,39.7,30.1,17.7,652.64,-5.6176,-1.8569,2.01,2.07,0,0.18,2.54,1.95,2.07,1.28,1.29,46.6,71.13,119.23,130.16,110.53,62.27,128.78,-0.4225,-0.2552,0.1637,0.4646,0.2843,0.0504,-0.3837,0.2472,3.0457,3.5112,3.0677,1.2541,3.2755,1.939,4.2673,2.1,29.2288,5.4186,7.1234,25.2072,6.9767,8.5086,5.8378,8.2802,0.7141,0.4733,0.4067,0.507,0.4274,0,1.3474,1.639,2.7613,0.912,0.9696,1.0346,2.9895,1.2619,1.1631,1.1833,3.3135,3.7806,3.688,10.1376,2.0427,2.0401,2.0148,2.0286,2.0113,6.2939,12.6259,4.2415,4.2128,4.1716,10.5022,2.1446,2.1176,2.064,2.12,2.0561,1.0476,1.3059,0.252,0.0205,0.0823,0.0184,1.5286,1.4235,1.5693,0.0706,0.019,0.0052,0.0192,0.0089,2.719,2.6718,0.95,0.8981,0.8237,1.3249,1.5051,1.5368,-96.58,30.6
