Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
XUBMEM,82.79,1.95,179.66,4.1,7,11.62,31.4,27.2,21.2,805.27,-4.8167,-2.4206,2.01,2.06,0.07,-0.2,2.58,2.13,2.01,1.32,1.24,52.16,73.18,119.26,128.71,111.46,54.66,125.39,-0.4318,-0.2999,0.0874,0.5591,0.0113,0.1997,-0.5237,-0.0576,2.5838,3.5523,2.8552,1.3231,1.8844,2.0735,4.2522,1.9904,29.1138,5.4883,7.2844,25.1324,8.5827,8.3467,5.7971,8.5469,0.5224,0.6209,0.6407,0.4573,0.3408,0,1.8391,1.3358,2.7603,0.9229,0.9466,1.0754,2.9966,1.2518,1.2464,1.1834,3.1948,3.7294,3.7776,10.1598,2.0555,2.0325,2.0127,2.0484,2.0107,6.2988,12.5767,4.2453,4.1747,4.1567,10.556,2.1595,2.108,2.1012,2.1278,2.0594,1.5918,1.3758,0.0706,0.014,0.0215,0.0091,1.3686,1.4538,1.5607,0.0766,0.0129,0.0083,0.0268,0.0088,2.7389,2.7176,0.967,0.7845,0.9661,1.5654,1.4569,1.5617,-123.92,-33.7
POBDAL,86.82,0.61,183.38,3.23,6.42,6.8,34.1,27.1,16,565.06,-5.9338,-2.2591,2.01,2.13,0.32,-0.3,2.55,1.93,2.06,1.28,1.3,45.1,69.42,121.26,126.71,111.15,65.48,125.11,-0.3494,-0.2236,0.1619,0.4046,0.17,-0.0537,-0.4008,0.1584,2.9606,3.3756,2.981,1.2128,2.1153,1.7149,4.0303,2.0963,29.1241,5.3682,7.1758,25.2186,8.3437,8.7058,5.7606,8.3755,0.7655,0.5319,0.3345,0.4659,0.3919,0,1.2934,1.5034,2.7616,0.8771,0.9491,1.0704,2.988,1.275,1.1875,1.1486,3.2813,3.7433,3.8101,10.1115,2.0453,2.0214,2.0094,2.0301,2.0053,6.3031,12.5981,4.2626,4.1916,4.1439,10.4477,2.0916,2.1124,2.0771,2.1472,2.0194,1.483,1.4085,0.0767,0.0113,0.0269,0.0093,1.6273,1.3612,1.61,0.0664,0.0157,0.0035,0.0207,0.008,2.7236,2.6787,0.9637,0.7988,0.9162,1.4408,1.503,1.5139,-123.08,-17
TATFID,85.57,-1.57,179.31,2.47,6.82,9.94,31.3,24.8,18.4,681.22,-5.7927,-1.9158,2.29,1.92,-0.51,0.49,2.51,1.93,3.14,1.33,1.24,46.46,70.41,67.6,177.75,113.25,63.13,126.56,-0.3173,-0.2628,0.2736,0.4971,0.162,0.0327,-0.3748,0.1464,2.7066,3.392,3.1913,1.3159,2.0647,1.9492,4.2851,2.0684,29.0625,5.3771,7.0102,25.1609,8.3947,8.5149,5.8081,8.4054,0.8242,0,0.3122,0.1945,0.6611,0.3078,1.6999,1.3058,2.7604,0.8804,0.9594,1.0883,2.8832,1.0941,1.1547,1.2967,3.2237,3.7022,3.8299,10.1314,2.0582,2.0215,2.007,2.0367,2.0081,6.3021,12.5452,4.2289,4.1994,4.1169,10.4696,2.1132,2.112,2.0786,2.1597,2.006,1.3891,1.4629,0.0712,0.0147,0.0234,0.0083,1.5449,1.4823,1.5116,0.0732,0.0118,0.0168,0.0175,0.0113,2.7152,2.631,0.9823,0.927,0.7217,1.4958,1.5212,1.4184,-80.64,-16.6
CEDKIH,72.45,9.11,232.55,2.65,10.07,13.94,41.2,27,14.5,824.08,-6.0994,-2.4387,2.07,2.39,0.12,-0.51,2.54,1.94,3.31,1.32,1.24,44.75,67.25,63.82,171.11,114.68,68.01,126.61,-0.4125,-0.1996,0.1941,0.3514,0.1822,0.1609,-0.4083,0.1425,2.9645,3.4537,3.2219,1.1721,3.1244,2.0888,4.199,2.0422,29.0543,5.4123,7.1577,25.2575,6.8644,8.3746,5.7642,8.4104,0.8228,0,0.2334,0.4294,0.1755,0.3336,1.6278,1.3798,2.7653,0.8555,0.9772,1.0561,2.9151,1.1362,1.2987,1.2133,3.2405,3.802,3.843,10.1079,2.0338,2.0234,2.0068,2.0375,2.0063,6.3023,12.6091,4.2216,4.2237,4.1638,10.5007,2.1401,2.1539,2.0393,2.0812,2.0863,1.0928,1.214,0.3098,0.0334,0.0992,0.0423,1.392,1.4295,1.5832,0.0701,0.0174,0.0065,0.02,0.0086,2.7203,2.6501,0.9656,0.7899,0.8945,1.4309,1.4672,1.544,-110.7,-15.7
EDECUL,84.56,2.67,177.07,1.9,5.89,8.2,28.5,20.2,14,604.3,-5.8372,-1.9899,2.34,1.93,-0.52,0.32,2.51,1.93,3.15,1.33,1.24,46.28,70.25,66.81,171.16,112.82,63.47,126.94,-0.3053,-0.2577,0.2763,0.4719,0.158,0.0202,-0.3701,0.1497,2.7001,3.4596,3.2112,1.2993,2.0868,1.9439,4.2909,2.0734,29.0641,5.4332,7.0079,25.1638,8.3862,8.525,5.8073,8.4014,0.8224,0,0.3245,0.1841,0.6876,0.3178,1.701,1.3046,2.7618,0.8764,0.9585,1.0911,2.8851,1.0889,1.1561,1.2961,3.2179,3.7156,3.8445,10.1265,2.0584,2.019,2.0055,2.0366,2.0069,6.3044,12.5405,4.2304,4.2016,4.1086,10.46,2.1136,2.1127,2.075,2.1543,2.0044,1.3749,1.4647,0.0704,0.0142,0.0232,0.0083,1.5441,1.4898,1.5134,0.0727,0.0121,0.0169,0.0163,0.0111,2.7158,2.6282,0.9811,0.9253,0.7218,1.4953,1.5209,1.4176,-87.96,-15.5
MAPCIQ03,84.37,1.46,176.78,2.04,4.29,7.53,28.4,17.2,9.4,532.95,-5.7454,-1.8902,2.34,1.93,-0.03,-0.14,2.52,1.94,3.13,1.33,1.24,46.52,70.86,67.03,173.66,113.04,62.62,127,-0.3069,-0.2652,0.2733,0.4765,0.1464,-0.0012,-0.3729,0.1461,2.6922,3.4761,3.1514,1.3047,2.0852,1.9535,4.286,2.0686,29.0413,5.4412,7.0043,25.1596,8.3883,8.5192,5.8001,8.4037,0.7856,0,0.3608,0.1775,0.6868,0.3209,1.6979,1.3219,2.7614,0.8871,0.9518,1.0918,2.8825,1.0952,1.157,1.2919,3.2639,3.667,3.842,10.1301,2.0591,2.0192,2.0065,2.0359,2.0094,6.3037,12.5387,4.2308,4.2003,4.1076,10.464,2.0811,2.1115,2.0813,2.1806,2.0096,1.4004,1.47,0.0705,0.0161,0.0213,0.0083,1.5428,1.5208,1.5005,0.0722,0.0107,0.0184,0.0148,0.0111,2.7153,2.6308,0.9758,0.9267,0.7283,1.4803,1.5358,1.4209,-73.84,-15.2
WELYAN,83.84,2.86,177.13,2.75,8.16,13.08,28.4,20.9,15.8,814.69,-5.7934,-2.6491,2.3,1.93,-0.09,-0.12,2.51,1.93,3.14,1.33,1.24,46.3,70.39,66.94,171.69,112.86,63.3,127.01,-0.31,-0.2596,0.2763,0.4689,0.1703,0.019,-0.3728,0.1487,2.7245,3.4589,3.2272,1.2964,2.0504,1.9375,4.2975,2.0703,29.0762,5.432,7.0091,25.1693,8.4011,8.5311,5.8126,8.4027,0.8212,0,0.3277,0.1993,0.7058,0.3163,1.7026,1.3067,2.7617,0.8738,0.9878,1.0654,2.8851,1.0923,1.1521,1.297,3.2016,3.7517,3.8271,10.1278,2.0506,2.0272,2.0058,2.0383,2.0059,6.3038,12.5466,4.2269,4.1757,4.144,10.4592,2.1224,2.1222,2.0191,2.1367,2.0588,1.3648,1.4797,0.0714,0.0102,0.0261,0.0084,1.532,1.4585,1.5593,0.0729,0.0183,0.0121,0.0182,0.0119,2.7158,2.63,0.9816,0.9184,0.73,1.5002,1.5161,1.4184,-86.79,-15.2
VUWYER,85.96,4.78,180.22,1.73,6.94,7.41,29.8,21.6,13.5,585.21,-5.8276,-2.1709,1.93,2.25,0.1,-0.29,2.52,1.95,3.09,1.34,1.23,46.91,70.47,65.93,161.4,112.31,62.63,127.4,-0.3294,-0.2596,0.2727,0.4883,0.0573,0.1815,-0.3657,0.1596,2.6747,3.5027,3.2107,1.3118,1.9353,2.0737,4.2139,2.0729,29.0359,5.4537,7.0126,25.1529,8.4999,8.3843,5.7657,8.3948,0.7955,0,0.3649,0.6353,0.1874,0.3369,1.688,1.2524,2.7617,0.8975,0.9582,1.0712,2.8698,1.0982,1.1468,1.3077,3.277,3.6555,3.8306,10.1291,2.0552,2.0216,2.0061,2.0335,2.0126,6.305,12.554,4.22,4.1908,4.1431,10.4701,2.094,2.148,2.044,2.1355,2.0486,1.4664,1.4983,0.0749,0.0231,0.0122,0.0186,1.3449,1.4496,1.598,0.0718,0.0151,0.0014,0.0222,0.0083,2.7169,2.6251,0.9836,0.9219,0.7196,1.4835,1.5401,1.4034,-79.44,-14.2
HIQMEZ,84.73,1.31,177.72,2.03,10.48,7.64,28.6,19.6,13.6,687.52,-5.7274,-1.8538,2.32,1.93,-0.01,-0.13,2.52,1.94,3.14,1.33,1.24,46.64,71.05,67.05,172.09,112.9,62.31,127.04,-0.311,-0.2683,0.2759,0.4838,0.1468,0.0133,-0.3743,0.1463,2.6846,3.4619,3.1887,1.3095,2.0857,1.9274,4.298,2.0645,29.0663,5.4345,6.9916,25.1604,8.3923,8.5343,5.8119,8.4069,0.8034,0,0.354,0.1977,0.6869,0.3122,1.7019,1.3127,2.761,0.8805,0.9611,1.0909,2.8847,1.0923,1.1552,1.2939,3.2174,3.7066,3.8425,10.1318,2.0606,2.0202,2.0058,2.0379,2.0073,6.3018,12.5411,4.2268,4.2,4.1143,10.4677,2.1116,2.1134,2.0737,2.1588,2.0103,1.3785,1.4649,0.0705,0.014,0.0236,0.0082,1.5318,1.496,1.5269,0.0728,0.013,0.0172,0.0154,0.0118,2.7156,2.6315,0.9812,0.9277,0.7226,1.4946,1.523,1.4187,-68.1,-13.9
LIVDUS,72.26,9.49,231.95,2.97,6.3,10.51,41.1,27,14.5,688.48,-6.1419,-2.8219,2.07,2.41,0.18,-0.56,2.53,1.94,3.31,1.32,1.24,44.61,66.65,63.72,171.35,114.68,68.74,126.63,-0.4142,-0.1941,0.1947,0.3458,0.1821,0.1661,-0.407,0.1442,2.9746,3.4702,3.2273,1.1657,3.1172,2.097,4.1893,2.0461,29.0528,5.4225,7.1593,25.2597,6.8673,8.3676,5.758,8.4089,0.8319,0,0.2206,0.4249,0.1669,0.3441,1.618,1.3822,2.7658,0.8598,0.9611,1.0649,2.915,1.1382,1.3173,1.1923,3.2552,3.8025,3.8345,10.1055,2.0365,2.0217,2.0072,2.0342,2.0058,6.3041,12.6116,4.2239,4.23,4.1577,10.498,2.138,2.1687,2.0477,2.0762,2.0675,1.0919,1.2537,0.3077,0.0298,0.0957,0.0435,1.388,1.4312,1.5798,0.0703,0.0183,0.0048,0.0194,0.0085,2.7201,2.6493,0.9622,0.7635,0.9237,1.426,1.4514,1.5639,-113.24,-12.7
DAFKIF,80.76,4.34,185.1,3.28,11.07,10.24,34.4,30.9,22.6,803.81,-4.9002,-1.1625,2.16,2.03,-0.27,-0.15,2.6,2.19,1.97,1.32,1.24,53.56,72.37,120.72,127.67,111.61,54.07,125.49,-0.3999,-0.2888,0.0941,0.558,0.2022,0.0818,-0.5271,-0.0554,2.5161,3.6313,2.9273,1.3406,2.0784,1.876,4.0367,1.9923,29.0828,5.534,7.3064,25.1172,8.3853,8.4702,5.7251,8.5506,0.5226,0.6993,0.6576,0.2741,0.4049,0,1.766,1.263,2.7667,0.9428,0.9449,1.0547,2.9871,1.2884,1.2599,1.1297,3.4428,3.6086,3.6446,10.158,2.0495,2.0322,2.0284,2.0342,2.0137,6.3189,12.5529,4.2407,4.1811,4.1311,10.5277,2.0988,2.1258,2.1041,2.1426,2.0564,1.317,1.4515,0.0745,0.0121,0.027,0.0085,1.5279,1.3856,1.5348,0.0711,0.0125,0.0082,0.021,0.0098,2.7388,2.7219,0.9509,0.8038,0.9672,1.6019,1.4856,1.4936,-131.4,-11.2
JODKUJ,94.79,-6.72,259.73,3.69,7.77,8.09,42.4,36.6,25.6,794.49,-5.6824,-2.0101,1.93,2.3,-0.08,-0.55,2.53,1.94,2.08,1.28,1.32,45.97,70.08,125.88,121.1,109.93,63.95,122.19,-0.4022,-0.2483,0.1896,0.4398,0.0674,0.2094,-0.3666,0.1698,2.9115,3.4711,3.0912,1.2361,1.9073,2.0608,4.1278,2.1042,29.0553,5.4153,7.1173,25.2118,8.4406,8.3827,5.7903,8.3828,0.756,0.4889,0.3461,0.5199,0.1637,0,1.2174,1.6571,2.7627,0.9267,0.926,1.0616,2.9889,1.3081,1.1422,1.1339,3.4277,3.609,3.7718,10.1284,2.0463,2.0213,2.0147,2.0278,2.0183,6.3073,12.5748,4.2405,4.2124,4.1218,10.5197,2.0375,2.1733,2.0894,2.1574,2.062,1.6435,1.4217,0.0721,0.0101,0.0224,0.0094,1.2946,1.5678,1.5125,0.0708,0.0057,0.008,0.0239,0.0077,2.7261,2.6696,1.0185,0.7836,0.8675,1.4788,1.6069,1.3673,-116.5,-10.3
XIKLOU,74.33,3.04,161.02,2.38,4.76,7.35,27.5,17,9.7,538.96,-6.2448,-2.7064,2.34,2.15,-0.5,0.29,2.53,1.96,1.96,1.31,1.25,45.08,66.03,123.89,125.43,110.66,68.89,125.89,-0.3048,-0.1913,0.1025,0.3566,0.2133,-0.0074,-0.465,-0.0166,2.9462,3.4389,3.1225,1.2132,2.1463,2.8744,4.251,1.9567,29.214,5.3792,7.0959,25.2103,8.306,7.4052,5.8022,8.5313,0.8611,0.6977,0.2104,0.1684,0.335,0,1.6046,1.4745,2.7676,0.8778,0.9442,1.0625,2.9852,1.2764,1.1692,1.2272,3.2788,3.783,3.8182,10.1025,2.0431,2.0185,2.0081,2.0283,2.0045,6.3425,12.6065,4.2909,4.2098,4.1059,10.3554,2.1191,2.113,2.0659,2.064,1.9934,1.3319,1.4482,0.072,0.0152,0.023,0.0085,1.2546,1.3186,1.1776,0.1849,0.0256,0.0467,0.0428,0.0355,2.7304,2.682,0.9896,0.8922,0.8002,1.5517,1.4926,1.5081,-138.98,-9.9
ILAZAX,85.26,1.24,202.05,3.57,11.67,7.13,39.2,30.9,19.9,741.19,-5.7853,-2.2895,2.03,2.02,-0.13,0.06,2.55,1.97,3.4,1.32,1.24,46.34,69.79,63.59,177.12,114.28,63.87,126.4,-0.3881,-0.2326,0.1816,0.425,0.1903,0.0945,-0.421,0.1257,2.8861,3.4571,3.1742,1.2717,2.1102,3.0404,4.1285,2.0617,29.1271,5.3839,7.1482,25.1668,8.3244,6.9876,5.7361,8.4255,0.7242,0,0.421,0.3649,0.5409,0.4148,1.6122,1.3816,2.7652,1.0717,0.9458,0.8883,2.9197,1.1452,1.3293,1.1819,3.7776,3.6584,3.3727,10.115,2.0151,2.0188,2.0243,2.0131,2.0437,6.3036,12.6097,4.1547,4.2476,4.2075,10.4744,2.1258,2.1347,2.0025,2.1101,2.1013,1.4298,1.3891,0.0743,0.0209,0.0069,0.0245,1.1832,1.1913,1.2005,0.295,0.0431,0.0757,0.0454,0.0791,2.7218,2.6542,0.9562,0.7509,0.9471,1.4389,1.435,1.5852,-144.23,-9.3
TASQEK,85.12,1.34,176.62,2.7,7.95,9.59,28.3,20.3,17.1,711.61,-5.9568,-2.2315,2.34,1.96,-0.54,0.35,2.53,1.92,2.06,1.28,1.31,45.51,69.74,119.04,130.7,110.23,64.74,127.51,-0.3064,-0.2477,0.1763,0.4427,0.1877,0.0684,-0.3498,0.2813,2.8672,3.4928,3.1294,1.2538,2.083,2.0182,4.305,2.104,29.161,5.4686,7.0656,25.1851,8.3614,8.4733,5.8743,8.2803,0.8287,0.4962,0.2725,0.169,0.6182,0,1.2308,1.7167,2.7622,0.8688,0.9825,1.0658,2.9881,1.2858,1.1589,1.1509,3.1904,3.782,3.8314,10.1176,2.0463,2.0249,2.0055,2.0362,2.0046,6.3138,12.5676,4.2605,4.1756,4.1315,10.4246,2.1282,2.1112,2.0299,2.1088,2.0465,1.3498,1.4789,0.0713,0.0101,0.0267,0.0085,1.5436,1.4272,1.5369,0.0745,0.0154,0.0098,0.0236,0.0091,2.7176,2.6596,0.975,0.9151,0.7695,1.3067,1.4811,1.5608,-116.5,-8.9
JEVPOP,81.3,10.92,174.04,2.93,8.15,10.99,31.2,23.6,16.3,685.88,-5.6647,-4.5517,2.3,1.98,-0.49,-0.1,2.51,1.97,1.93,1.33,1.23,46.47,67.43,117.58,129.93,112.38,66.1,125.08,-0.3467,-0.2109,0.0969,0.4138,0.277,0.0772,-0.5081,-0.0053,3.02,3.5426,2.9845,1.2706,2.1707,1.9497,4.0766,2.0452,29.1948,5.4619,7.2141,25.2067,8.2469,8.461,5.6981,8.511,0.8204,0.731,0.2865,0.1747,0.4871,0,1.8668,1.1912,2.7656,0.8573,0.9412,1.091,2.9839,1.2571,1.2585,1.1637,3.225,3.7595,3.8502,10.1137,2.043,2.0146,2.0055,2.0443,2.0063,6.3344,12.5861,4.2802,4.2105,4.0954,10.4257,2.1433,2.1137,2.0987,2.0384,2.0316,1.3252,1.3743,0.074,0.0213,0.0193,0.0106,1.5879,1.4126,1.4947,0.0726,0.0097,0.0068,0.0263,0.0091,2.7336,2.7028,0.9756,0.7771,0.9502,1.5784,1.4288,1.5341,-171.52,-8.5
OLUPES01,80.34,5.81,197.49,1.75,9.87,10.07,32.2,24.6,17.9,743.15,-5.6405,-3.3846,2.02,2.23,0.1,-0.39,2.55,2,1.95,1.31,1.25,47.19,69.79,119.85,127.29,111.8,63.01,125.17,-0.3537,-0.2288,0.1069,0.4212,0.2135,0.2116,-0.4894,-0.0358,3.011,3.5141,3.0266,1.2649,3.1384,2.1107,4.1054,1.9222,29.2684,5.4423,7.1786,25.1965,7.0265,8.3638,5.7346,8.5751,0.7263,0.7128,0.3771,0.4859,0.2712,0,1.6187,1.3747,2.7664,0.8862,0.9557,1.0593,2.9839,1.2538,1.2549,1.1574,3.2744,3.7606,3.7801,10.1235,2.049,2.0253,2.0112,2.0323,2.0057,6.3127,12.6169,4.2786,4.2126,4.1258,10.4236,2.1191,2.1095,2.0642,2.1008,2.0301,1.1552,1.292,0.2388,0.0229,0.0803,0.0221,1.3093,1.4381,1.6083,0.0713,0.0139,0.0027,0.0243,0.008,2.731,2.6949,0.9594,0.7799,0.9556,1.5645,1.4789,1.5313,-162.81,-8.2
AGISAN,84.5,2.93,222.74,2.74,10.49,7.74,40.9,32.8,22,764.52,-5.6303,-2.4558,2.19,2.35,-0.37,-0.01,2.54,1.98,1.94,1.32,1.24,46.47,68.25,121.82,125.58,111.48,65.28,125.46,-0.4182,-0.2042,0.1062,0.3923,0.2637,0.0611,-0.4976,-0.0254,3.0291,3.5734,3.0362,1.2445,3.0494,3.0459,4.135,1.9457,29.1587,5.4274,7.1292,25.2061,7.1734,7.4087,5.768,8.5497,0.7503,0.6648,0.3333,0.2832,0.2409,0,1.7074,1.3342,2.7647,0.9021,0.9275,1.0564,2.9816,1.2377,1.2505,1.182,3.3062,3.7794,3.7632,10.1215,2.0442,2.0264,2.0123,2.03,2.0085,6.3141,12.6037,4.2559,4.2091,4.1388,10.5001,2.147,2.1459,2.1326,2.0465,2.028,1.0961,1.2011,0.2293,0.0422,0.0569,0.0387,1.1983,1.1893,1.4104,0.1464,0.0348,0.0078,0.0408,0.0399,2.7318,2.7016,0.9756,0.7659,0.9601,1.5487,1.4492,1.5607,-141.03,-7.6
VICVOS,76.86,0.9,174.65,2.37,5.26,7.06,30.7,20.2,9.8,539.19,-5.9128,-2.3102,2.28,2.15,-0.39,0.22,2.53,1.97,1.98,1.31,1.25,46.35,68.13,123.29,126.06,110.53,65.52,126.2,-0.3271,-0.2179,0.0974,0.4148,0.1521,0.0378,-0.4796,-0.0313,2.9496,3.465,3.0903,1.2502,2.0879,2.9828,4.2869,1.9425,29.2277,5.4144,7.105,25.2022,8.388,7.0805,5.8231,8.545,0.8172,0.6781,0.2823,0.2115,0.3816,0,1.632,1.4818,2.7662,0.8783,0.949,1.0706,2.989,1.283,1.1537,1.24,3.2608,3.7304,3.8321,10.1197,2.0533,2.02,2.0078,2.032,2.0066,6.3329,12.6108,4.2815,4.2089,4.1204,10.383,2.0972,2.1157,2.0615,2.0989,2.0096,1.3853,1.4378,0.0717,0.016,0.0215,0.0087,1.2436,1.3246,1.0965,0.2732,0.0294,0.0624,0.0735,0.0608,2.7325,2.6898,0.983,0.9157,0.791,1.5775,1.4846,1.5012,-132.36,-7.6
LAJNEP,80.92,5.61,169.88,4.51,7.65,12.57,26.8,21.1,19.2,842.42,-5.4612,-2.7658,2.03,2.34,0.22,-0.57,2.54,2,1.96,1.32,1.24,48.17,71.18,113.36,134.74,111.83,60.65,124.05,-0.3512,-0.2603,0.085,0.5015,0.1908,0.2518,-0.5108,-0.025,2.7529,3.6213,2.981,1.3228,2.1527,2.1481,4.2253,1.9923,29.1225,5.4836,7.2266,25.1537,8.3303,8.3059,5.7861,8.5294,0.6867,0.6876,0.4753,0.4228,0.1658,0,1.8167,1.3404,2.7622,0.9028,0.9404,1.0759,2.9887,1.2778,1.2702,1.1406,3.315,3.6589,3.7762,10.1351,2.0547,2.0239,2.0141,2.0333,2.0091,6.3185,12.5483,4.2655,4.1805,4.1022,10.484,2.0846,2.1204,2.102,2.1522,2.0248,1.387,1.4744,0.0759,0.0098,0.0263,0.0086,1.2544,1.4685,1.5864,0.0723,0.0133,0.0022,0.0248,0.0082,2.7347,2.7055,0.9695,0.782,0.954,1.5919,1.4604,1.5056,-125.55,-6.9
JOFHOB,92.37,10.48,190.61,3.76,7.48,7.57,36.2,34.1,23.9,664.95,-5.5184,-1.8873,2.24,2.03,-0.46,0.25,2.55,1.97,1.97,1.32,1.24,47.08,71.12,122.56,125.92,111.25,61.8,126.19,-0.3617,-0.2512,0.083,0.4532,0.1373,0.1721,-0.508,-0.0077,2.8017,3.4775,2.9331,1.26,1.9988,1.9917,4.2158,1.9922,29.0682,5.3995,7.2304,25.1922,8.4438,8.4497,5.7962,8.5116,0.7332,0.626,0.3735,0.2232,0.3491,0,1.7975,1.3315,2.7629,0.8725,0.9514,1.0896,2.9901,1.2549,1.2353,1.1995,3.1654,3.7773,3.8457,10.1347,2.0505,2.0188,2.0092,2.0487,2.0075,6.3165,12.5846,4.2644,4.1999,4.1203,10.4602,2.1674,2.1196,2.0871,2.0473,2.0388,1.5016,1.4823,0.0711,0.0219,0.0154,0.01,1.4541,1.4333,1.5485,0.0745,0.0184,0.0042,0.023,0.0091,2.7358,2.7035,0.9743,0.8204,0.9088,1.574,1.4577,1.5103,-130.65,-5.9
WOQGUH,76.32,8.54,187.56,1.7,9.51,11.71,27.7,24.4,20.6,850.12,-5.7971,-2.3253,2.36,2.11,-0.62,0.29,2.5,1.96,1.99,1.3,1.26,46.65,67.96,92.16,156.14,111.54,65.39,120.86,-0.4239,-0.2147,0.1076,0.4768,0.1825,0.0508,-0.4943,0.0219,2.9661,3.7116,2.8976,1.3331,2.089,1.8899,4.108,1.9488,29.0653,5.5012,7.1559,25.1691,8.3427,8.328,5.7662,8.4894,0.7491,0.5669,0.387,0.1358,0.317,0.3078,1.5963,1.3801,2.7634,0.9213,0.9055,1.0608,2.9891,1.2299,1.2511,1.183,3.5838,3.4304,3.7632,10.1275,2.0268,2.017,2.0226,2.038,2.0232,6.308,12.5855,4.2493,4.1906,4.1457,10.5299,1.9854,2.1006,2.1444,2.1943,2.1053,1.3665,1.4443,0.0698,0.0164,0.0186,0.0086,1.5003,1.2494,1.6553,0.1061,0.0324,0.0038,0.0226,0.0145,2.7249,2.6904,0.8879,0.8416,0.9608,1.4764,1.4865,1.5687,-139.41,-5.5
VAYSAP,81.06,4.47,169.94,3.96,7.44,11.31,27.9,21.8,17.1,697.54,-5.4194,-2.5945,2.04,2.33,0.23,-0.56,2.54,2,1.96,1.32,1.24,48.29,71.55,115.67,132.5,111.79,60.17,124.51,-0.3473,-0.2653,0.0848,0.51,0.1838,0.2421,-0.5123,-0.0293,2.7167,3.6236,2.9795,1.3185,2.1451,2.1251,4.2407,1.9938,29.1112,5.4847,7.2237,25.1565,8.3385,8.3295,5.797,8.5317,0.6682,0.6903,0.4933,0.4187,0.1741,0,1.825,1.3422,2.7617,0.8917,0.9543,1.0761,2.9893,1.2767,1.2555,1.1566,3.2385,3.7084,3.7959,10.1363,2.056,2.0253,2.0106,2.0374,2.007,6.3186,12.5462,4.2693,4.1771,4.0998,10.4821,2.1276,2.1066,2.0953,2.1265,2.026,1.387,1.466,0.0754,0.0104,0.0271,0.0086,1.2491,1.472,1.5994,0.0726,0.0119,0.0028,0.026,0.0083,2.7355,2.7071,0.9783,0.7909,0.9379,1.5951,1.4583,1.5073,-116.33,-5.2
