Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_3-5A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,C-I,I-C-Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_C,Bond_Order_C_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_px,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge_L1_dx2y2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dz2,ImgFre,Ea
USUNED,78.14,2.38,169.52,1.7,4.94,7.7,29.2,20.5,10.4,556.79,-4.651,-3.3287,2.49,1.94,-0.32,0.03,2.54,1.99,2.42,69.58,-0.3631,-0.2424,0.4084,0.0956,0.138,2.9141,3.4248,1.2374,2.8863,3.2477,29.2093,5.4003,7.071,6.8445,0.7271,0.3223,0.3304,0.1292,0.5474,2.7696,0.884,0.9669,1.0581,3.6118,3.2747,3.7777,3.7797,10.1302,2.0427,2.0295,2.0099,2.0403,2.0079,6.3357,12.6035,4.2745,4.2155,4.1135,10.4234,2.1692,2.1264,2.0586,2.0363,2.0329,1.3396,0.2816,0.026,0.083,0.0289,0.0894,1.1157,1.3206,0.3075,0.0329,0.0299,-160.99,16.7
UVEKEM,83.75,1.39,202.82,1.92,5.85,7.8,35.1,24.8,13.4,580.81,-3.8445,-0.8862,2.05,2.04,-0.07,-0.01,2.59,2.35,2.18,69.64,-0.475,-0.2914,0.5873,0.0378,0.2271,2.4777,3.499,1.3516,2.0037,3.1411,29.1106,5.5258,8.5063,7.1433,0.4832,0.1099,0.6945,0.4048,0.4105,2.7714,0.9893,0.9338,1.0229,3.5448,3.4401,3.7212,3.5102,10.1701,2.0377,2.0442,2.0285,2.0339,2.0258,6.3116,12.5962,4.2618,4.1716,4.1628,10.5669,2.1635,2.1301,2.0972,2.0889,2.0873,1.4023,0.0713,0.0165,0.0211,0.0081,0.0223,1.1163,1.3002,0.2495,0.0232,0.0218,-126.83,26.3
UWATES,82.51,13.41,179.21,1.7,12.33,7.28,31.5,22.4,15.2,725.5,-3.8886,-1.0083,2.1,2,-0.18,-0.09,2.58,2.32,2.19,69.66,-0.4511,-0.2896,0.5681,0.0605,0.1622,2.3706,3.3596,1.3321,1.9787,2.1003,29.0477,5.4577,8.4872,8.3369,0.5093,0.1352,0.6574,0.3323,0.3547,2.7703,0.9646,0.9298,1.0511,3.5511,3.3156,3.7352,3.6398,10.1642,2.0395,2.0403,2.0209,2.0423,2.0212,6.3231,12.5643,4.2565,4.1718,4.136,10.5634,2.1508,2.1238,2.0956,2.0951,2.0981,1.431,0.0696,0.017,0.0189,0.0083,0.0205,1.3892,1.4411,0.0752,0.018,0.009,-162.59,17
UXAMOX02,78.47,1.38,193.44,1.98,14.72,6.94,31.3,23.8,16.5,855.94,-4.6647,-2.1304,2.18,2.05,-0.13,0.02,2.54,1.99,2.38,70.27,-0.4034,-0.2455,0.4379,0.1551,0.1411,2.9151,3.4559,1.2705,2.0998,3.1365,29.1623,5.4125,8.4018,6.9336,0.7114,0.3348,0.3807,0.292,0.4217,2.7655,0.9824,0.9357,0.9895,3.6019,3.559,3.7165,3.5339,10.1321,2.0207,2.043,2.0213,2.02,2.0271,6.3206,12.6178,4.23,4.2376,4.1502,10.4646,2.0471,2.1389,2.1079,2.1004,2.0702,1.4439,0.073,0.0192,0.0184,0.0094,0.0213,1.0916,1.3482,0.3001,0.0411,0.0565,-149.22,24.1
UXEYIG,81.79,2.43,195.56,2.92,8.57,5.52,38.3,30.1,16.8,624.98,-3.9943,-1.1103,2.07,1.98,-0.08,-0.02,2.61,2.22,2.18,72.78,-0.4625,-0.2966,0.5738,0.1598,0.2236,2.792,3.6385,1.3438,2.8257,3.1681,29.2306,5.5595,7.1995,7.0732,0.4712,0.1707,0.6972,0.4617,0.4859,2.7666,0.9231,0.947,1.0732,3.5503,3.1978,3.7216,3.7642,10.1672,2.0546,2.0326,2.0144,2.0525,2.013,6.3036,12.6236,4.255,4.1865,4.1821,10.535,2.1888,2.1142,2.0848,2.0915,2.0558,1.2531,0.2189,0.0281,0.0655,0.0204,0.0688,1.1079,1.24,0.2564,0.0287,0.0235,-136.59,25
UYILEV,60.24,-1.36,150.92,2.31,6.03,10.03,24.4,19.2,13.5,655.83,-3.9949,-1.844,2.18,2.17,0.22,-0.22,2.59,2.27,2.18,70.98,-0.3714,-0.2977,0.6004,0.0585,0.0966,2.2457,3.4772,1.3749,1.8442,1.9963,29.062,5.4997,8.5393,8.4671,0.4942,0.1775,0.7158,0.2492,0.2824,2.7684,0.9689,0.932,1.0469,3.5515,3.5315,3.527,3.6015,10.1623,2.0411,2.0328,2.0352,2.0335,2.0198,6.3318,12.5212,4.2456,4.154,4.1216,10.5181,2.1198,2.1475,2.0816,2.1059,2.0634,1.5961,0.0722,0.0058,0.018,0.0088,0.0207,1.4246,1.4566,0.0686,0.0103,0.0085,-137.66,25.1
VACDEK,88.33,1.52,185.15,3.67,7.27,7.78,35.5,27.7,18,633.54,-4.0425,-2.1177,2,2.06,-0.06,-0.12,2.61,2.17,2.28,71.83,-0.4008,-0.264,0.4667,-0.0474,0.1662,2.9618,3.4292,1.285,1.8815,2.0206,29.1423,5.4531,8.5728,8.3637,0.5556,0.2418,0.5326,0.6095,0.3065,2.772,0.9157,0.9635,1.0471,3.5919,3.3607,3.7186,3.684,10.1572,2.051,2.0368,2.0204,2.0376,2.0114,6.3096,12.5943,4.2521,4.1922,4.1501,10.4965,2.1721,2.1198,2.0918,2.0543,2.0585,1.4477,0.0645,0.0105,0.021,0.0083,0.0151,1.5199,1.3637,0.0762,0.019,0.0182,-192.66,19.8
VAKNOL,91.8,6.18,184.35,1.55,10.58,7.82,30.9,25.1,20.8,753.14,-4.242,-1.8973,2.27,2.03,-0.25,-0.06,2.57,2.08,2.26,72.43,-0.368,-0.284,0.5726,0.177,0.1892,2.693,3.5553,1.3979,2.0663,2.0966,29.0998,5.428,8.3684,8.3294,0.638,0.3175,0.5446,0.1859,0.3115,2.7641,0.9286,0.958,1.0426,3.5635,3.3294,3.5562,3.7975,10.1581,2.0647,2.0267,2.0118,2.0362,2.0186,6.3206,12.5482,4.2191,4.1789,4.1501,10.4988,2.0773,2.1185,2.0868,2.1407,2.0755,1.4244,0.0707,0.0222,0.0164,0.0099,0.0163,1.4219,1.3934,0.0757,0.0258,0.0151,-120.8,12.2
VANCET,82.16,14.06,189.13,1.7,8,8.11,32.9,24.5,17.8,671.76,-3.9097,-1.8967,2.01,2.05,-0.11,-0.16,2.61,2.26,2.22,71.22,-0.4192,-0.2845,0.5297,0.0671,0.1256,2.4952,3.4272,1.3017,1.9895,1.9451,29.0385,5.4469,8.4621,8.4968,0.5048,0.1982,0.6348,0.4262,0.273,2.7718,0.9417,0.924,1.0741,3.5683,3.2459,3.7445,3.7311,10.1567,2.0423,2.0348,2.0147,2.0493,2.0156,6.3221,12.5643,4.2587,4.1756,4.13,10.5325,2.1576,2.122,2.084,2.0891,2.0798,1.403,0.0718,0.0169,0.0223,0.0081,0.0214,1.4159,1.4165,0.0753,0.0172,0.009,-172.55,19.7
VANCIY,79.68,1.59,175.52,1.84,10.86,9.29,30.1,20.6,12.2,682.35,-4.0848,-1.0735,2.2,2.05,-0.14,-0.02,2.63,2.23,2.21,72.85,-0.4205,-0.295,0.5195,0.1998,0.0319,2.548,3.4032,1.3189,3.1285,3.1672,29.127,5.4442,7.2217,7.3255,0.4656,0.1815,0.6755,0.3009,0.4549,2.7708,0.9806,0.9379,1.0295,3.5739,3.4045,3.7448,3.5721,10.1616,2.038,2.0435,2.0242,2.0327,2.0233,6.3241,12.6049,4.2576,4.1868,4.1605,10.4912,2.1652,2.1242,2.0876,2.0645,2.0497,1.2431,0.2423,0.0326,0.0625,0.0216,0.0728,1.2809,1.3384,0.1487,0.0241,0.0212,-119.45,23.1
