Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
GIMYAC,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GINCAI01,Minimum,Minimum,Correct TS,Correct TS
GINCOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GINHIV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GINKOE,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
GINQAX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GINXEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GINXUZ,Minimum,Minimum,Incorrect TS,Correct TS
GINZIN,Minimum,Not Minimum,Correct TS,Correct TS
GIPBIQ,Not Minimum,Minimum,Correct TS,Correct TS
GIPGIV,Minimum,Not Minimum,Correct TS,Correct TS
GIPLUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIPWIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIQCIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIQHUM,Minimum,Minimum,Correct TS,Correct TS
GIQJEY,Minimum,Minimum,Correct TS,Correct TS
GIQKUM,Not Minimum,Not Minimum,Incorrect TS,Correct TS
GIQLEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIQMIC,Not Minimum,Not Minimum,Incorrect TS,Correct TS
GIQMUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GIQNUQ,Minimum,Minimum,Correct TS,Correct TS
GIQQUS,Minimum,Minimum,Correct TS,Correct TS
GIQYEK,Not Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
GIRFIX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GIRFOD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIRKOI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GIRLEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIRQOQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GIRSEF10,Minimum,Minimum,Correct TS,Correct TS
GIRSOR,Minimum,Minimum,Correct TS,Correct TS
GIRWAG,Minimum,Not Minimum,Correct TS,Correct TS
GIRWAH,Not Minimum,Minimum,Correct TS,Correct TS
GIRWOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GIRYEM01,Minimum,Minimum,Correct TS,Correct TS
GIRZUD,Minimum,Minimum,Correct TS,Correct TS
GISCIV,Minimum,Minimum,Incorrect TS,Correct TS
GISPEE01,Not Minimum,Minimum,Correct TS,Calc Fail
GISROQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GISYIR,Minimum,Not Minimum,Correct TS,Correct TS
GITBER,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GITGIA,Not Minimum,Minimum,Correct TS,Correct TS
GITHEZ,Minimum,Not Minimum,Incorrect TS,Correct TS
GITTEK,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
GIVFOJ,Minimum,Minimum,Correct TS,Correct TS
GIVFUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIVJEB01,Not Minimum,Minimum,Incorrect TS,Correct TS
GIVTEM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIVWOA,Minimum,Minimum,Correct TS,Correct TS
GIVXUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIVYES,Minimum,Minimum,Correct TS,Correct TS
GIVYOC,Minimum,Minimum,Incorrect TS,Correct TS
GIWFAW,Minimum,Minimum,Correct TS,Correct TS
GIWGOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIXMIL,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIXNUZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GIXQIQ,Minimum,Minimum,Correct TS,Correct TS
GIXYEU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GIYMIN,Minimum,Minimum,Correct TS,Correct TS
GIYMOT,Minimum,Minimum,Correct TS,Correct TS
GIZJIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GIZQAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GIZSOY,Minimum,Minimum,Correct TS,Correct TS
GIZYIY01,Minimum,Minimum,Correct TS,Correct TS
GLCROL01,Minimum,Minimum,Incorrect TS,Correct TS
GLCTSM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GLFUIZ10,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GLHPRA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GLHPRC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GLPMAC10,Not Minimum,Minimum,Incorrect TS,Correct TS
GLTLYR10,Minimum,Minimum,Correct TS,Correct TS
GLTYCH,Minimum,Minimum,Incorrect TS,Correct TS
GLUAMC12,Minimum,Minimum,Incorrect TS,Correct TS
GLUGLY,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GLUTAS02,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GLYALB25,Minimum,Not Minimum,Incorrect TS,Correct TS
GLYGLY21,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GLYPHE10,Minimum,Minimum,Incorrect TS,Correct TS
GLYTRE05,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
GOBMIV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOBTIA,Minimum,Not Minimum,Correct TS,Correct TS
GOBVEA01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GOCGUC,Minimum,Minimum,Incorrect TS,Correct TS
GOCHUC,Minimum,Minimum,Correct TS,Correct TS
GOCJIR,Minimum,Minimum,Correct TS,Correct TS
GOCJUG,Minimum,Minimum,Correct TS,Correct TS
GOCKAN,Not Minimum,Minimum,Correct TS,Correct TS
GOCKER,Minimum,Minimum,Correct TS,Correct TS
GOCKIV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOCMAN,Minimum,Minimum,Correct TS,Correct TS
GODDAG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GODDUZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GODPIY,Not Minimum,Minimum,Incorrect TS,Correct TS
GODPOE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GODSUN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GODVOK,Minimum,Minimum,Correct TS,Correct TS
GODYUT01,Minimum,Minimum,Incorrect TS,Correct TS
GODZOO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOFBOU,Minimum,Minimum,Incorrect TS,Correct TS
GOFGIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOFHEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOFJUJ,Minimum,Minimum,Correct TS,Correct TS
GOFSIE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GOGCAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOGCEN,Minimum,Not Minimum,Correct TS,Correct TS
GOGPIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOGVIJ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOGWEG,Minimum,Minimum,Correct TS,Correct TS
GOGYAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GOHHER,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOHHIV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GOHHOA,Minimum,Minimum,Incorrect TS,Correct TS
GOHJET,Minimum,Minimum,Incorrect TS,Correct TS
GOHLOH,Minimum,Minimum,Incorrect TS,Correct TS
GOHVUU,Minimum,Minimum,Correct TS,Correct TS
GOHYEK,Minimum,Minimum,Correct TS,Correct TS
GOHYOT,Minimum,Minimum,Correct TS,Correct TS
GOJBOY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOJBUC,Minimum,Minimum,Correct TS,Correct TS
GOJCOX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOJDEQ,Minimum,Minimum,Incorrect TS,Correct TS
GOJHAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOJMEX,Minimum,Not Minimum,Correct TS,Correct TS
GOJROM01,Minimum,Minimum,Correct TS,Correct TS
GOJZEL,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GOKBAL01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOKDAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOKDEQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOKFUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GOKPIF,Minimum,Minimum,Correct TS,Correct TS
GOKSAC,Minimum,Minimum,Correct TS,Correct TS
GOKWIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOLDOA,Minimum,Minimum,Correct TS,Correct TS
GOLFIX,Minimum,Not Minimum,Incorrect TS,Correct TS
GOLFUI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOLLUR,Minimum,Not Minimum,Incorrect TS,Correct TS
GOLNAW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOLNUQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GOLWUZ,Minimum,Minimum,Correct TS,Correct TS
GOLZUD,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GOMMUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOMSAC,Minimum,Minimum,Correct TS,Correct TS
GOMWIP02,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOMWOV,Minimum,Not Minimum,Incorrect TS,Correct TS
GOMXOX,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GONYEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOPGEX,Not Minimum,Not Minimum,Correct TS,Correct TS
GOPLAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOPLUU,Minimum,Minimum,Correct TS,Correct TS
GOPTAI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GOQDEX,Minimum,Minimum,Incorrect TS,Correct TS
GOQKIJ,Minimum,Minimum,Incorrect TS,Correct TS
GOQLIK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOQQOU,Minimum,Minimum,Correct TS,Correct TS
GOQQOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOQQUA,Minimum,Minimum,Correct TS,Correct TS
GORPOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GORZAO,Not Minimum,Minimum,Correct TS,Correct TS
GOSFIG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOSLIJ,Not Minimum,Not Minimum,Incorrect TS,Correct TS
GOTFAY,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GOTRUC,Minimum,Minimum,Incorrect TS,Correct TS
GOTSEN,Minimum,Minimum,Incorrect TS,Correct TS
GOTSOX,Minimum,Minimum,Correct TS,Correct TS
GOVKEH,Minimum,Minimum,Incorrect TS,Correct TS
GOVQEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOVTAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOWBIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GOWBIG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GOWJUZ,Minimum,Minimum,Correct TS,Correct TS
GOWKAG,Minimum,Not Minimum,Correct TS,Correct TS
GOWKOU,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GOWMOX,Minimum,Minimum,Incorrect TS,Correct TS
GOWRES,Not Minimum,Minimum,Correct TS,Correct TS
GOXCAZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GOXNIT,Minimum,Minimum,Correct TS,Correct TS
GOXQER,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GOYFIM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GOYTUL,Minimum,Minimum,Correct TS,Correct TS
GOZDAA,Minimum,Minimum,Correct TS,Correct TS
GOZJUA,Not Minimum,Minimum,Incorrect TS,Correct TS
GOZKIP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GOZQIX01,Minimum,Minimum,Correct TS,Correct TS
GOZZAZ,Minimum,Not Minimum,Correct TS,Correct TS
GPHXAM,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GRIFON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUACET,Minimum,Minimum,Correct TS,Correct TS
GUANSH10,Minimum,Minimum,Correct TS,Correct TS
GUBDEP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUBHIX,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GUBHOA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUBHOD,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
GUBPIF,Minimum,Minimum,Correct TS,Correct TS
GUBXEJ,Minimum,Minimum,Correct TS,Correct TS
GUCMAT,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUCTED,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUCYIP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUDJAR,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
GUDLEX,Not Minimum,Minimum,Calc Fail,Calc Fail
GUDQEC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUDQUR,Minimum,Minimum,Correct TS,Correct TS
GUDWUZ,Minimum,Minimum,Correct TS,Correct TS
GUFBUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUFDOB,Minimum,Minimum,Correct TS,Correct TS
GUFFIX,Minimum,Minimum,Correct TS,Correct TS
GUFVUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUFWEJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUGFAS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUGFEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GUGHEV,Minimum,Not Minimum,Incorrect TS,Correct TS
GUGHUL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GUGKOJ,Minimum,Minimum,Correct TS,Correct TS
GUGLIE,Minimum,Minimum,Incorrect TS,Incorrect TS
GUGMIH,Minimum,Not Minimum,Correct TS,Correct TS
GUGMON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUGWEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUGZEO,Minimum,Not Minimum,Correct TS,Correct TS
GUHCAQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUHFAS,Minimum,Not Minimum,Incorrect TS,Correct TS
GUHFIY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUHFUL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
GUHJAW,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUHJIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GUHLIG,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GUHPEE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUHRIK,Minimum,Minimum,Correct TS,Correct TS
GUHROQ01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUHTUY,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GUHXAK,Minimum,Minimum,Incorrect TS,Correct TS
GUHXOZ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GUHYAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUJJUR,Minimum,Not Minimum,Correct TS,Correct TS
GUJKAY,Minimum,Minimum,Correct TS,Correct TS
GUJRAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUKLIK,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
GUKNOP,Minimum,Minimum,Incorrect TS,Correct TS
GUKNUV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUKVUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUKWAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GULHIE,Not Minimum,Minimum,Correct TS,Correct TS
GULKAZ,Minimum,Minimum,Incorrect TS,Correct TS
GULMUY,Minimum,Minimum,Correct TS,Correct TS
GULTAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GULTIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GULVEO,Minimum,Minimum,Incorrect TS,Correct TS
GUMJIJ,Minimum,Minimum,Correct TS,Correct TS
GUMLIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUMMUW06,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GUMPAI,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUMSUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUNDOI,Minimum,Minimum,Correct TS,Correct TS
GUNTEO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUOPNA10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUOSBH,Minimum,Minimum,Correct TS,Correct TS
GUPCAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUPDUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUPLOU,Minimum,Not Minimum,Correct TS,Calc Fail
GUQBUR,Minimum,Minimum,Correct TS,Correct TS
GUQFIK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUQJUZ,Minimum,Minimum,Correct TS,Correct TS
GUQKAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUQLIN,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
GURGAB,Minimum,Minimum,Correct TS,Correct TS
GURGUX01,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
GURHAC,Minimum,Minimum,Incorrect TS,Correct TS
GURHAD,Minimum,Minimum,Correct TS,Correct TS
GURHAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GURHIL,Not Minimum,Minimum,Correct TS,Correct TS
GURLOV,Minimum,Minimum,Correct TS,Correct TS
GURXPX10,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GUSRIV02,Minimum,Minimum,Incorrect TS,Correct TS
GUSVOH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUTFIK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUTHIN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUTNIS,Minimum,Minimum,Correct TS,Correct TS
GUTYEB01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUTZAW,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUTZEA01,Not Minimum,Minimum,Incorrect TS,Correct TS
GUTZUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUVBEG,Minimum,Minimum,Correct TS,Correct TS
GUVBII,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUVBIK,Minimum,Minimum,Correct TS,Correct TS
GUVFEI,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUVHOW,Minimum,Minimum,Correct TS,Correct TS
GUVQOE,Minimum,Minimum,Correct TS,Correct TS
GUVZON,Minimum,Minimum,Correct TS,Correct TS
GUWCIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUWFIP,Minimum,Minimum,Incorrect TS,Correct TS
GUWPUK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUXKOZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUXLOB,Not Minimum,Not Minimum,Correct TS,Correct TS
GUXVIF,Minimum,Minimum,Correct TS,Correct TS
GUYBUX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUYCAH,Minimum,Not Minimum,Correct TS,Correct TS
GUYJUG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUZCEK,Minimum,Minimum,Incorrect TS,Correct TS
GUZCIO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUZCOU,Minimum,Minimum,Incorrect TS,Correct TS
GUZFUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUZMUK,Minimum,Minimum,Correct TS,Correct TS
GUZRUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GUZRUQ,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
GUZSAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
GUZSEB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
GUZZAD,Minimum,Minimum,Correct TS,Correct TS
GUZZUX,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HABVAJ,Minimum,Minimum,Correct TS,Correct TS
HABVAK,Minimum,Minimum,Incorrect TS,Correct TS
HABVEN,Minimum,Minimum,Correct TS,Correct TS
HABVIR,Minimum,Not Minimum,Correct TS,Correct TS
HABWUE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HABXEO,Minimum,Minimum,Correct TS,Correct TS
HABXOX,Minimum,Minimum,Incorrect TS,Correct TS
HABYEQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HACBAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HACFEW,Minimum,Minimum,Correct TS,Correct TS
HACMAC,Minimum,Minimum,Incorrect TS,Correct TS
HACMUT,Minimum,Minimum,Correct TS,Correct TS
HACNUV,Minimum,Minimum,Correct TS,Correct TS
HACPAD,Minimum,Minimum,Incorrect TS,Correct TS
HACSIQ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HACTAJ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HACYUH,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HACZUG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HADDOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HADRIP,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HADYIU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAFKUU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HAFZET,Minimum,Not Minimum,Incorrect TS,Correct TS
HAGGAY,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HAGGIF,Minimum,Minimum,Incorrect TS,Correct TS
HAGGIG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HAGPOV,Minimum,Minimum,Correct TS,Correct TS
HAGQIQ,Minimum,Minimum,Correct TS,Correct TS
HAGXES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAGZAT,Not Minimum,Minimum,Correct TS,Correct TS
HAGZEX,Minimum,Minimum,Correct TS,Correct TS
HAGZOH01,Minimum,Minimum,Correct TS,Correct TS
HAHFAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAHGAA,Minimum,Minimum,Correct TS,Correct TS
HAHHED01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAHHIK,Minimum,Minimum,Correct TS,Correct TS
HAHJAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAHJEG,Not Minimum,Minimum,Correct TS,Correct TS
HAHPAK,Minimum,Not Minimum,Correct TS,Correct TS
HAHQOZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAHSIT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HAHXOD,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HAHZEV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAJMOU,Minimum,Minimum,Correct TS,Correct TS
HAKCON,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HAKYEY,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HAKZEA,Minimum,Not Minimum,Correct TS,Correct TS
HALDII01,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HALJUB,Minimum,Minimum,Correct TS,Correct TS
HALLOV,Minimum,Minimum,Correct TS,Correct TS
HALTIY,Minimum,Not Minimum,Incorrect TS,Incorrect TS
HALVEX,Minimum,Minimum,Correct TS,Correct TS
HALWEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMBAB,Minimum,Minimum,Incorrect TS,Correct TS
HAMBUA,Minimum,Minimum,Correct TS,Correct TS
HAMCUW,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMDAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMGIO,Minimum,Not Minimum,Correct TS,Correct TS
HAMHUZ,Minimum,Minimum,Correct TS,Correct TS
HAMLEO01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMLIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMRAR,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HAMXEA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAMXOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANCEG,Minimum,Minimum,Incorrect TS,Correct TS
HANCIK,Minimum,Not Minimum,Correct TS,Correct TS
HANCIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANDAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANDEI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANDOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANDUY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANGAF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANGOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANHAI,Not Minimum,Minimum,Correct TS,Correct TS
HANJOX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANJUD,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HANMAM,Minimum,Minimum,Correct TS,Correct TS
HANNOZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HANPAN,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HAPLOC10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAPQUN,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAQBIK,Minimum,Minimum,Correct TS,Correct TS
