Ligand,Old Indexes,New Indexes,Deprotonation Type
GUKNUV,"[7, 8]","[7, 8]",Single Deprotonation
GUKVUF,"[34, 39]","[34, 39]",No Deprotonation
GUKWAM,"[36, 37]","[36, 37]",No Deprotonation
ZAHSIN,"[3, 8]","[3, 8]",No Deprotonation
ZAHYUG,"[1, 9]","[1, 9]",Single Deprotonation
ZAJGUM03,"[1, 3]","[1, 2]",Single Deprotonation
ZAJTUC,"[28, 30]","[28, 30]",No Deprotonation
ZAJWIT,"[0, 4]","[0, 4]",No Deprotonation
ZAJZAL,"[16, 17]","[16, 17]",Single Deprotonation
ZAKDOH,"[49, 50]","[49, 50]",No Deprotonation
ZAKMEG,"[2, 14]","[2, 14]",No Deprotonation
ZAKMOQ,"[11, 12]","[11, 12]",No Deprotonation
ZAKTIO,"[4, 10]","[4, 10]",No Deprotonation
ZALYOA,"[10, 11]","[10, 11]",No Deprotonation
ZAMKIH,"[19, 23]","[19, 23]",No Deprotonation
ZAMLUU,"[14, 15]","[14, 15]",Double Deprotonation
ZAMMAB,"[15, 16]","[15, 16]",Double Deprotonation
ZAMRUA,"[18, 19]","[18, 19]",Single Deprotonation
ZAMXOA,"[0, 3]","[0, 3]",No Deprotonation
ZANHOO,"[2, 13]","[2, 13]",Single Deprotonation
ZANREO15,"[1, 1]",No Value,No Value
ZAPDUR,"[0, 8]","[0, 8]",No Deprotonation
ZAPGUU,"[0, 5]","[0, 5]",No Deprotonation
ZAPHAZ,"[2, 3]","[2, 3]",Single Deprotonation
ZAPHIJ,"[2, 6]","[2, 6]",No Deprotonation
ZAPKEJ,"[20, 21]","[20, 21]",No Deprotonation
ZAPNOV,"[2, 5]","[2, 5]",No Deprotonation
ZAPVUJ,"[1, 2]","[0, 1]",Single Deprotonation
ZAPWUK01,"[1, 5]","[1, 5]",No Deprotonation
ZAPYEU,"[0, 11]","[0, 11]",No Deprotonation
ZAQCEB,"[4, 10]","[4, 10]",No Deprotonation
ZAQHIK01,"[1, 3]","[1, 2]",Single Deprotonation
ZAQREQ,"[0, 2]","[0, 1]",Double Deprotonation
ZAQSIV,"[1, 5]","[1, 5]",Single Deprotonation
YURMUV,"[0, 22]","[0, 22]",Single Deprotonation
YURTEL,"[0, 1]","[0, 1]",No Deprotonation
YUSMIJ,"[2, 3]","[2, 3]",No Deprotonation
YUSQIO,"[19, 22]","[19, 21]",Double Deprotonation
YUSQOU,"[5, 10]","[5, 9]",Single Deprotonation
YUSQUA,"[10, 14]","[10, 14]",Single Deprotonation
YUSZIV,"[0, 6]","[0, 6]",No Deprotonation
YUTCOF,"[0, 1]","[0, 1]",Double Deprotonation
YUTKOP,"[6, 14]","[6, 14]",No Deprotonation
YUVBEY,"[2, 4]","[2, 4]",Double Deprotonation
YUWJOS,"[0, 1]","[0, 1]",Single Deprotonation
YUWLUA,"[4, 7]","[4, 7]",No Deprotonation
YUWZAT,"[3, 11]","[3, 11]",Single Deprotonation
YUXBUQ,"[1, 3]","[1, 3]",No Deprotonation
YUXCOK,"[6, 11]","[6, 10]",Double Deprotonation
YUXCOM,"[3, 4]","[3, 4]",No Deprotonation
YUXCUP,"[4, 6]","[4, 6]",Double Deprotonation
YUXPAJ,"[29, 34]","[29, 34]",No Deprotonation
YUYHAB,"[2, 3]","[2, 3]",Double Deprotonation
YUYHAD,"[0, 1]","[0, 1]",Single Deprotonation
YUYHEH,"[2, 10]","[2, 10]",No Deprotonation
YUYLIN,"[2, 19]","[2, 19]",Single Deprotonation
YUYYUM,"[3, 5]","[3, 5]",Single Deprotonation
YUYZAT,"[0, 1]","[0, 1]",No Deprotonation
YUZHUX,"[1, 8]","[1, 8]",No Deprotonation
YUZPAK,"[1, 2]","[1, 2]",Single Deprotonation
YUZRAN,"[2, 3]","[2, 3]",No Deprotonation
FOVWIX,"[17, 19]","[17, 18]",Single Deprotonation
FOVWOD,"[0, 2]","[0, 2]",Single Deprotonation
FOVXIY,"[0, 4]","[0, 4]",Single Deprotonation
FOVYOF,"[0, 3]","[0, 3]",Single Deprotonation
FOWFII,"[8, 11]","[8, 11]",Single Deprotonation
FOWQUD,"[3, 4]","[3, 4]",No Deprotonation
FOWQUF,"[2, 3]","[2, 3]",Single Deprotonation
FOWVIX,"[0, 3]","[0, 3]",No Deprotonation
FOXBIE,"[0, 4]","[0, 4]",Single Deprotonation
FOXGEE,"[3, 18]","[3, 18]",No Deprotonation
FOXGUV,"[3, 4]","[3, 4]",Single Deprotonation
FOXJIN,"[5, 7]","[5, 7]",No Deprotonation
FOXJOT,"[5, 10]","[5, 10]",No Deprotonation
FOXWOH,"[1, 3]","[1, 2]",Double Deprotonation
FOYGIL02,"[0, 6]","[0, 6]",Single Deprotonation
