Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
MIVLUZ,78.02,1.2,166.5,1.95,-4.7658,-2.921,0.2937,-0.1624,1.3179,2.0089,5.7737,7.5611,0.3283,0.9972,10.1302,6.3413,12.6314,9.7335,1.4644,1.4819,1.709,0.3541,1.4039,0.014,3
WABBOU,79.35,17.81,194.72,1.7,-3.7879,-2.6026,0.4298,-0.1895,1.3151,2.0047,5.9839,8.4316,0.3284,1.0561,10.1557,6.2525,12.566,9.7517,1.5821,1.4211,1.7071,0.4508,1.4851,0.0688,26.9
BEJTAL,82.4,15.8,168.3,2.95,-3.9471,-2.3344,0.418,-0.1553,1.352,1.9538,5.874,8.2475,0.3285,1.0012,10.1526,6.2717,12.5467,9.7635,1.6064,1.4788,1.638,0.4107,1.519,0.1485,43.1
FAPGUB,83.55,5.83,181.12,3.51,-4.5988,-2.9737,0.4038,-0.127,1.3129,2.0014,5.7354,8.3717,0.3286,0.9826,10.116,6.2968,12.5873,9.7121,1.5952,1.4626,1.5898,0.4639,1.4297,0.0635,4.9
WADLIY,62.11,2.56,167.04,2.22,-3.5541,-3.4846,0.4075,-0.2035,1.3388,1.9268,5.9537,8.4649,0.3286,1.0868,10.1668,6.2672,12.5562,9.769,1.5157,1.6778,1.4949,0.3994,1.4776,0.0557,23.9
RUYYIV,78.96,17.76,182.6,1.91,-3.4842,-1.71,0.3411,-0.2229,1.359,1.9967,5.9717,6.9688,0.3286,1.0479,10.1767,6.3063,12.5437,9.8089,1.5917,1.4418,1.7378,0.4274,1.2036,0.0154,34.4
DEJMOX,61.37,1.23,151.66,2.23,-3.5431,-1.6431,0.3529,-0.208,1.3982,1.9185,6.0159,8.5001,0.3287,1.0504,10.1786,6.3116,12.5201,9.8155,1.5408,1.6831,1.4849,0.3494,1.5152,0.0452,15.2
WADWIJ,74.38,3.82,164.7,2.88,-4.5755,-2.7431,0.3148,-0.1767,1.3486,1.9525,5.8332,7.7275,0.3288,1.003,10.1379,6.3329,12.6122,9.7401,1.4853,1.4602,1.7128,0.3947,1.4688,0.0099,-7
POMTUI,79.3,17.06,183.58,1.7,-3.3161,-1.6697,0.4318,-0.2171,1.3298,1.9736,6.0646,8.4143,0.3288,1.0506,10.1721,6.2435,12.5217,9.8031,1.5803,1.4323,1.7191,0.4112,1.4659,0.07,28
YOHMOZ,79.43,3.81,187.48,2.77,-3.8757,-2.3486,0.2007,-0.1811,1.3073,3.0203,5.8584,7.0327,0.3291,0.9868,10.1561,6.3386,12.6995,9.7613,1.3532,1.3567,1.1521,0.1125,1.3461,0.0091,23.2
SOGHUS,75.28,5.41,179.35,2.76,-4.2129,-2.6181,0.4003,-0.1469,1.3238,2.0114,5.838,8.5068,0.3292,1.0066,10.1349,6.2812,12.5746,9.7439,1.5019,1.4577,1.7107,0.3852,1.5149,0.0556,5.1
TECDEL,79.43,14.33,198.9,4.5,-3.8676,-2.5794,0.3594,-0.1687,1.2963,1.9198,5.8245,7.3877,0.3294,1.0887,10.1433,6.2931,12.596,9.7515,1.4535,1.52,1.6275,0.5358,1.3732,0.0254,36.3
UGEKID,63.01,1.5,156.18,1.7,-3.1236,-3.0108,0.3859,-0.2126,1.3919,1.9243,6.0072,8.4675,0.3294,1.056,10.1823,6.2605,12.5286,9.8249,1.5445,1.6678,1.476,0.3519,1.5184,0.0471,27.8
PAZFEC,92.89,3.8,191.92,2.85,-3.3952,-2.2683,0.4013,-0.2134,1.3472,1.8439,5.9156,8.4034,0.3295,1.0251,10.1817,6.278,12.5734,9.7473,1.7197,1.4811,1.6629,0.4524,1.5134,0.0829,23.2
GAXSUV,74.23,4.33,164.65,1.86,-4.5913,-2.7457,0.3151,-0.1775,1.3488,1.9213,5.839,7.7352,0.3296,1.0052,10.1383,6.3343,12.6098,9.7408,1.4878,1.4589,1.7091,0.387,1.4539,0.0088,-6.8
YIVNEZ,85.9,12.88,202.39,2.14,-3.4069,-1.7498,0.3073,-0.2226,1.3551,1.98,6.0133,6.9828,0.3297,1.0295,10.1769,6.305,12.5706,9.817,1.5881,1.5215,1.6701,0.4209,1.4304,0.0155,26.8
KACKII,93,8.16,208.06,2.62,-4.3349,-2.7984,0.4054,-0.1585,1.3521,1.9654,5.8753,8.5703,0.3298,1.0024,10.1424,6.2966,12.5663,9.7317,1.6621,1.5108,1.4747,0.4234,1.5213,0.0986,8.5
XIRHUD,74.14,4.43,164.4,2.16,-4.6211,-2.7987,0.3144,-0.1747,1.3467,1.935,5.8441,7.7411,0.3302,1.005,10.1359,6.3361,12.6119,9.7376,1.4892,1.4558,1.7133,0.3638,1.4592,0.0086,-5
YAPNOT,62.11,1.09,186.69,1.7,-3.5733,-2.1385,0.3466,-0.2119,1.4291,1.9424,5.9771,8.5088,0.3303,1.1002,10.1822,6.3106,12.5249,9.8178,1.5297,1.6869,1.4903,0.3571,1.488,0.0534,18.1
MELBUB,61.73,1,154.92,3.73,-3.4957,-1.5943,0.3524,-0.2119,1.417,1.9241,5.977,8.4959,0.3303,1.0451,10.1845,6.3114,12.5197,9.8166,1.5449,1.6743,1.4805,0.384,1.5114,0.0618,15.1
ZAXVAY,77.41,3.47,162.94,2.08,-4.3209,-2.6252,0.3495,-0.1564,1.3577,2.8078,5.8546,8.4196,0.3305,0.9813,10.1413,6.2926,12.5872,9.7707,1.2889,1.3161,1.127,0.1227,1.4789,0.0518,27.2
NBZOAO03,61.81,2.74,152.75,2.11,-3.4731,-2.9694,0.4033,-0.2038,1.3359,1.9684,5.9806,8.4792,0.3306,1.0175,10.1673,6.2662,12.5418,9.7888,1.5421,1.642,1.4762,0.3496,1.5226,0.0501,23.2
LEFPUI,61.31,1.24,151.72,1.79,-3.5268,-1.6126,0.3583,-0.2099,1.3867,1.9146,6.0066,8.5165,0.3307,1.0404,10.1788,6.3132,12.516,9.8125,1.549,1.6764,1.4912,0.3404,1.5316,0.0521,15.5
CIRXIN,81.53,15.57,181.27,1.68,-3.5444,-1.8834,0.3901,-0.2149,1.3675,1.9585,6.0895,8.4123,0.3307,1.0693,10.1687,6.2772,12.5376,9.7951,1.5615,1.4382,1.7394,0.4048,1.4626,0.0616,17.8
CIYDOF,82.26,-12.38,206.3,3.64,-4.4879,-2.825,0.2477,-0.1565,1.3342,2.9562,5.7663,6.8738,0.3308,1.0032,10.136,6.3587,12.6427,9.7509,1.2956,1.4194,1.1796,0.0813,1.4563,0.012,11.6
BEXTUW,73.96,4.18,165.05,2.16,-4.5762,-2.788,0.3141,-0.1738,1.3385,1.9571,5.8386,7.7289,0.3309,1.0105,10.1373,6.3309,12.6215,9.7336,1.4708,1.4776,1.7397,0.4113,1.4341,0.0082,-3.6
BELWAS,88.35,4.47,185.91,1.86,-3.4697,-1.599,0.3876,-0.2138,1.3167,1.9213,5.9851,8.4755,0.3312,1.0597,10.1715,6.2793,12.5433,9.7898,1.6414,1.4142,1.7302,0.4179,1.5846,0.065,18.9
BELWEW,87.74,4.31,185.96,2.26,-3.4393,-1.5909,0.3895,-0.2135,1.3191,1.9165,5.9906,8.471,0.3314,1.0634,10.1719,6.2783,12.5438,9.7885,1.6189,1.4158,1.7111,0.4237,1.5934,0.0635,19.6
DAJWIU10,73.78,8.37,190.54,2.55,-4.4629,-2.8059,0.3632,-0.1491,1.328,2.9583,5.7395,8.408,0.3315,1.0123,10.1322,6.2968,12.5899,9.7501,1.2701,1.3374,1.2372,0.091,1.4951,0.0555,28
REGLUL,77.72,1.31,166.25,2.48,-4.784,-2.9687,0.2959,-0.1617,1.2992,1.9853,5.7502,7.5549,0.3318,0.9949,10.1285,6.3424,12.6335,9.7283,1.4718,1.478,1.711,0.3551,1.407,0.0152,3.1
SANPIJ,86.27,18.63,171.96,3.89,-4.4425,-2.7398,0.4118,-0.1337,1.3387,2.0086,5.8344,8.3163,0.332,0.9743,10.1352,6.2904,12.5639,9.734,1.5363,1.5794,1.5376,0.4397,1.4256,0.0597,9.7
SOMFOR,75.52,7.43,194.84,3.55,-4.626,-2.982,0.3131,-0.1338,1.3364,3.0736,5.7365,7.0308,0.3321,1.0069,10.1401,6.3052,12.6306,9.751,1.2119,1.3909,1.2565,0.0886,1.255,0.0152,29.6
EFUQIH,75.59,9.41,164.39,1.19,-4.4994,-3.3789,0.404,-0.1197,1.3441,1.9849,5.7308,8.3391,0.3322,0.9988,10.124,6.2802,12.5941,9.7216,1.494,1.4549,1.6588,0.3848,1.4532,0.0644,12.2
BIWNUO,90.49,10,184.75,1.85,-3.5308,-1.7698,0.3692,-0.2135,1.3886,1.9816,6.0156,8.3978,0.3322,1.0678,10.1735,6.2805,12.5412,9.8091,1.5733,1.457,1.7086,0.3889,1.475,0.0507,16.7
KAPNIZ,80.96,16.74,178.06,1.8,-3.9144,-3.3921,0.2073,-0.1797,1.3307,2.1986,5.8709,8.4231,0.3322,0.9991,10.1518,6.3544,12.6869,9.7513,3.41,3.2644,3.6065,0.0746,1.4796,0.0785,18.2
BANVIY,61.41,1.4,200.75,2.42,-3.4393,-1.5143,0.366,-0.2142,1.4224,1.8903,5.9823,8.4957,0.333,1.0511,10.1886,6.3017,12.5147,9.8176,1.5489,1.6552,1.4921,0.3988,1.5368,0.0526,14.2
YILJIP,79.48,6.83,177.46,2.05,-3.3745,-2.3536,0.3934,-0.216,1.333,1.8035,5.9461,8.3984,0.3331,1.0681,10.1795,6.2866,12.5516,9.7683,1.7611,1.4918,1.5705,0.5092,1.4752,0.0532,16.7
QUCKEF,73.27,5.26,163.48,2.16,-4.6841,-2.901,0.3189,-0.1733,1.3482,1.9313,5.8301,7.7346,0.3332,1.0137,10.1347,6.3382,12.6069,9.736,1.4942,1.4677,1.6909,0.3853,1.4168,0.0069,-6.1
TAKQIG,61.2,1.2,151.31,1.93,-3.5697,-1.6293,0.3551,-0.2099,1.3962,1.9066,6.0088,8.5118,0.3332,1.0653,10.1781,6.312,12.5184,9.8145,1.5445,1.6884,1.4878,0.3446,1.5021,0.0491,14.5
ROPQUL,80.01,3.68,218.51,3.07,-3.5609,-2.1709,0.2336,-0.2275,1.3532,2.9736,5.9831,7.0028,0.3336,1.0312,10.1818,6.3284,12.6156,9.8224,1.4219,1.3391,1.1986,0.0809,1.2637,0.013,26.5
FIJBAD,89.76,6.26,191.82,1.33,-3.4837,-1.6549,0.3091,-0.2252,1.3225,1.9479,6.0372,7.0107,0.3336,1.0805,10.1732,6.3053,12.5694,9.8162,1.6122,1.473,1.7021,0.4168,1.202,0.0139,19.7
XIXLAT,83.23,2.85,179,3.01,-3.6505,-2.9024,0.389,-0.2079,1.3346,1.8444,5.9646,8.4283,0.3339,1.0186,10.1716,6.2854,12.5581,9.7675,1.7476,1.4659,1.5673,0.4135,1.4532,0.0557,16.5
SANRAD,74.24,4.05,173.29,1.7,-4.7721,-3.0139,0.3211,-0.1618,1.3216,1.9941,5.8067,7.6563,0.334,0.9959,10.1265,6.3313,12.6248,9.7228,1.46,1.4572,1.7522,0.4258,1.4613,0.0139,-8
XIJMIM,61.04,1.76,151.28,3.44,-2.9399,-1.4504,0.3998,-0.2188,1.3216,1.852,6.0604,8.5044,0.334,1.033,10.1811,6.274,12.4891,9.8371,1.544,1.67,1.4914,0.385,1.5236,0.0555,22.7
TBMOXL,75.65,4.83,162.46,4.86,-4.3615,-2.8595,0.3928,-0.1494,1.3399,2.0131,5.8663,8.3592,0.3341,0.9888,10.1342,6.2869,12.5716,9.7486,1.4431,1.4633,1.6761,0.3581,1.4966,0.0535,1.6
DEGDOL,91.4,5.93,189.52,3.45,-3.0938,-1.5665,0.396,-0.2149,1.3371,1.8014,5.9084,8.3617,0.3343,1.0368,10.1877,6.2788,12.567,9.7582,1.6918,1.4702,1.6744,0.4414,1.4923,0.0536,20
HOXMAJ,82.34,-2.64,176.16,3.25,-4.4224,-2.6415,0.3183,-0.1675,1.3179,1.9733,5.8996,7.6999,0.3344,0.9794,10.1388,6.3263,12.6245,9.7308,1.6077,1.4624,1.6483,0.4324,1.4291,0.0206,8.4
FEPMUL,78.51,17.68,174.88,1.7,-3.9253,-2.8109,0.4264,-0.1677,1.3004,2.0078,5.8388,8.4069,0.3344,1.0462,10.1454,6.2605,12.5875,9.7256,1.5556,1.4317,1.7265,0.4361,1.4776,0.0665,26.5
CACTIL,73.69,4.71,171.89,1.93,-4.6037,-2.743,0.3158,-0.1787,1.3582,1.9493,5.8356,7.7261,0.3349,1.0128,10.1403,6.3346,12.607,9.7426,1.493,1.4552,1.7131,0.3978,1.4,0.0098,-6.7
YOLNUK,80.99,11.76,170.08,3.73,-4.4371,-2.7652,0.4016,-0.1337,1.3325,1.952,5.8329,8.3022,0.3352,1.0029,10.128,6.2848,12.5769,9.7367,1.4186,1.5981,1.5991,0.4317,1.4415,0.0466,1
YOCBAW,88.14,0.62,178.98,2.13,-4.1001,-2.5165,0.2898,-0.1527,1.3464,2.6656,5.9065,7.0765,0.3354,0.9995,10.1476,6.3216,12.609,9.7795,1.1978,1.3336,1.0457,0.1195,1.3573,0.0237,32.3
FOSMUV,77.63,17.03,184.37,1.4,-4.0851,-3.3658,0.4365,-0.1577,1.3771,1.9502,5.7474,8.4023,0.3355,1.0337,10.1644,6.2541,12.5892,9.7202,1.5239,1.4492,1.7326,0.4223,1.4897,0.0568,34.6
QITWAS,73.98,7.62,206.02,2.7,-4.4001,-3.2408,0.3657,-0.1533,1.3363,2.9609,5.7876,8.3652,0.3356,1.0365,10.1282,6.3028,12.5864,9.7452,1.2459,1.3142,1.2546,0.0859,1.5198,0.0524,27.1
ZABKIZ,78.53,2.56,170.4,2.04,-4.7835,-4.1078,0.38,-0.1225,1.3258,2.0425,5.8139,8.3408,0.3357,1.0192,10.1097,6.3085,12.6117,9.6998,1.4143,1.4514,1.7357,0.4026,1.5149,0.047,-0.4
KAQFAK,76.61,8.76,182.01,2.72,-4.5164,-3.0417,0.4094,-0.1378,1.3385,1.9563,5.7781,8.4283,0.3358,1.0049,10.1341,6.289,12.5751,9.7265,1.4858,1.4612,1.6545,0.3827,1.4115,0.0756,12.8
RAKRAY,80.53,14.44,183.79,1.78,-3.8278,-2.6101,0.3917,-0.2077,1.3441,1.9877,5.9799,8.5771,0.3363,1.0419,10.1597,6.2791,12.5662,9.763,1.5624,1.4355,1.7296,0.4249,1.4523,0.0651,17.4
EWOJIL,71.82,8.69,188.17,2.14,-4.3842,-3.5064,0.3567,-0.1511,1.3237,2.8061,5.8102,8.4276,0.3365,1.0188,10.1344,6.3005,12.5906,9.7522,1.2877,1.2015,1.2224,0.1099,1.5129,0.0605,27.5
SAWNEL,74.57,6.14,171.25,1.7,-4.704,-4.0023,0.3566,-0.1206,1.3125,2.7456,5.799,8.3646,0.3366,1.0124,10.1137,6.3021,12.6144,9.7269,1.104,1.314,1.0411,0.132,1.5547,0.0566,13.4
VAJLAW01,76.87,2.39,206.36,2.02,-4.4023,-2.7003,0.2885,-0.1666,1.324,3.1319,5.9718,8.4549,0.3367,1.0015,10.1404,6.3302,12.6477,9.7336,1.2401,1.3145,1.2023,0.1164,1.4703,0.0624,15.6
EDIQOA,80.57,15.24,182.77,3.17,-3.3393,-1.8659,0.3064,-0.2188,1.3432,1.9193,5.977,6.9158,0.3367,1.0362,10.1761,6.305,12.5736,9.815,1.5844,1.4852,1.6991,0.4554,1.2649,0.0207,23.7
CEZMUQ,85.05,12.47,179.84,2.13,-3.5742,-1.8188,0.3834,-0.2064,1.3506,1.9569,5.9298,8.4362,0.3368,1.0199,10.1754,6.284,12.5439,9.7887,1.5597,1.4536,1.7306,0.4057,1.4583,0.0526,14.3
CUDTUT,61.63,1.42,152.36,1.73,-3.636,-1.6568,0.3567,-0.209,1.396,1.9388,6.0084,8.5153,0.3369,1.0548,10.176,6.308,12.5225,9.8127,1.5442,1.6823,1.4848,0.3508,1.5149,0.046,14.8
UFAMAS,78.79,18.26,174.48,1.7,-3.9609,-2.8026,0.4308,-0.1471,1.2846,2.0141,5.8398,8.4109,0.337,1.0131,10.1379,6.261,12.5932,9.715,1.5368,1.421,1.6983,0.438,1.4736,0.0712,26.2
GEFCUP,76.18,5.41,187.65,3.15,-4.3658,-2.842,0.3565,-0.1456,1.314,2.9611,5.647,8.4088,0.3371,1.0328,10.1269,6.2971,12.6038,9.7426,1.2899,1.3474,1.2672,0.0879,1.5037,0.0499,35.6
CIDJUV01,84.53,13.72,204.6,1.65,-3.4294,-1.8743,0.3285,-0.2324,1.3189,1.9639,6.0434,7.0473,0.3373,1.0424,10.1717,6.2988,12.5654,9.8073,1.5793,1.4502,1.7491,0.42,1.2578,0.0187,30
GODZOO,83.89,0.81,180.68,1.76,-3.4952,-1.6319,0.1934,-0.223,1.3415,3.1869,6.0009,7.0688,0.3377,1.0432,10.1805,6.3375,12.6342,9.8349,1.3006,1.4135,1.1979,0.0935,1.3499,0.009,17.4
XEMBOI,79.98,1.04,208.35,2.89,-4.9701,-3.1708,0.1878,-0.1706,1.3333,3.1476,5.9446,7.1496,0.3377,0.9848,10.1261,6.353,12.7085,9.7507,1.3342,1.2598,1.2095,0.1159,1.2528,0.0118,27.5
HUKMEI,77.22,6.96,165.35,1.7,-4.5667,-3.9567,0.3808,-0.1287,1.3675,2.078,5.7516,8.4039,0.3379,1.0231,10.1365,6.2936,12.5945,9.731,1.4079,1.4989,1.6755,0.3342,1.5345,0.0545,4.9
BIURSR,76.33,10.2,163.65,1.98,-4.0306,-2.3643,0.4012,-0.166,1.3357,1.9604,5.884,8.4587,0.338,1.0094,10.1509,6.2759,12.5562,9.7667,1.5477,1.4831,1.6786,0.3733,1.4631,0.0733,12.5
HUQJOU,79.3,16.91,186.3,1.7,-3.3727,-2.114,0.4318,-0.2207,1.3345,1.9857,6.0802,8.397,0.3381,1.0409,10.1699,6.2446,12.5268,9.7967,1.5379,1.4361,1.7558,0.4173,1.469,0.0625,28.1
EQUSUE,89.9,8.64,188.4,5.07,-3.7835,-2.7105,0.4037,-0.2005,1.3067,1.6993,5.8523,8.4209,0.3381,1.0064,10.1683,6.2798,12.5788,9.7377,1.7545,1.393,1.6868,0.4997,1.4758,0.0728,23.6
CACRYD,61.8,1.27,152.82,1.7,-3.5606,-1.6304,0.3561,-0.2091,1.3964,1.9335,6.0135,8.505,0.3384,1.0494,10.1778,6.3095,12.5233,9.811,1.5379,1.6957,1.4791,0.3346,1.5046,0.0454,15.5
BOKSIG,81.92,13.77,179.9,1.78,-3.5295,-1.7452,0.3891,-0.2158,1.3522,1.9372,6.0466,8.4115,0.3384,1.0589,10.1698,6.2788,12.5339,9.7982,1.5671,1.4389,1.7366,0.4087,1.4643,0.0607,15.4
KIGDOT,86.71,18.48,189.64,4.59,-4.3294,-2.7009,0.4119,-0.1356,1.3175,1.9354,5.8116,8.3544,0.3386,1.0106,10.1353,6.284,12.575,9.729,1.5631,1.5149,1.6302,0.4271,1.4249,0.086,9.3
YUDNUH,101.31,1.66,215.05,2.63,-3.0003,-1.6488,0.3238,-0.2167,1.2893,1.5209,6.0333,7.0482,0.3386,1.0573,10.1852,6.2863,12.5797,9.8102,1.7639,1.3957,1.6694,0.5034,1.4247,0.0127,22.3
XEXFIP,74.63,5.82,174.44,2.02,-4.4805,-3.1265,0.354,-0.1337,1.308,3.0632,5.7891,8.3552,0.3389,1.026,10.1229,6.2986,12.6102,9.7372,1.1516,1.3409,1.3247,0.0886,1.4826,0.0511,11.3
ROGFID,72.54,8.31,171.48,1.7,-4.4253,-2.729,0.3677,-0.1573,1.2954,2.9836,5.7941,8.4189,0.3389,1.0212,10.1345,6.2771,12.6151,9.7401,1.3331,1.3091,1.1111,0.113,1.4424,0.0786,32
VABHEN,90.86,6.46,187.04,4.19,-3.9017,-2.6226,0.4099,-0.1772,1.2968,1.7124,5.9072,8.4301,0.3389,1.0159,10.1545,6.2818,12.5897,9.7185,1.7411,1.4032,1.656,0.4423,1.4766,0.0696,22.3
UMOGUY,89.73,3.82,187.14,4.03,-3.2361,-1.5817,0.3977,-0.2157,1.2905,1.7483,5.9741,8.3537,0.3389,1.0242,10.1819,6.2822,12.5511,9.769,1.7673,1.3978,1.7051,0.4452,1.4689,0.0582,22.5
XISREW,61.44,1.28,152.25,1.91,-3.5216,-1.6547,0.351,-0.2072,1.4051,1.9664,6.0102,8.5099,0.3392,1.0628,10.179,6.3121,12.5225,9.8143,1.5359,1.6854,1.4901,0.3289,1.5179,0.0507,15.4
AQINAP,73.21,17.75,197.49,3.56,-4.5417,-3.1957,0.3728,-0.1445,1.3465,2.6661,5.7882,8.3801,0.3393,0.9826,10.1332,6.2975,12.5891,9.7406,1.2499,1.1564,1.3345,0.1149,1.4377,0.0899,23.3
WEGNON,76.58,4.03,163.37,4.79,-4.2241,-2.5808,0.347,-0.1571,1.3426,2.8888,5.8522,8.4007,0.3396,1.0039,10.1439,6.2906,12.5909,9.7714,1.1814,1.3509,1.1836,0.1241,1.5148,0.0556,27.7
ATEYII,61.51,1.6,162.7,2.35,-3.0281,-1.4709,0.3943,-0.2172,1.362,1.9358,6.0623,8.5101,0.3398,1.0319,10.1817,6.28,12.4975,9.8282,1.5548,1.6584,1.4933,0.3402,1.5381,0.058,23.9
WINVEU,78.3,17.44,176.59,1.7,-4.0291,-2.8062,0.4211,-0.1672,1.3081,1.9897,5.815,8.4181,0.3398,1.0278,10.144,6.2602,12.5889,9.7298,1.5527,1.4256,1.728,0.453,1.471,0.0625,25.8
BAHFIZ,85.26,3.07,170.06,3.09,-4.561,-2.9657,0.396,-0.1257,1.3359,1.9846,5.8926,8.3652,0.3404,0.9812,10.1246,6.2964,12.5791,9.7285,1.6561,1.471,1.5141,0.4281,1.455,0.0471,4.6
WABBUA,79.81,17.97,181.82,1.7,-3.6281,-2.5274,0.4307,-0.2039,1.3241,1.993,6.0166,8.4251,0.3405,1.0519,10.163,6.2487,12.554,9.7666,1.5722,1.4271,1.7166,0.4417,1.4813,0.0673,26.2
FOJRAX,61.67,1.09,152.4,2.31,-3.4987,-1.6135,0.3591,-0.2095,1.4007,1.8979,6.0129,8.5148,0.3408,1.0497,10.18,6.3084,12.5171,9.8155,1.5423,1.654,1.4766,0.3917,1.5142,0.0455,16.1
DUTHOR,62.57,1.38,173.59,1.88,-3.4106,-1.575,0.3548,-0.2105,1.3917,1.9039,6.0028,8.5521,0.3408,1.0996,10.182,6.3069,12.5219,9.8164,1.5592,1.6774,1.5066,0.3574,1.4773,0.0601,16.1
IGOVAC,82.52,9.12,167.93,1.92,-4.2166,-2.5443,0.3866,-0.1527,1.353,1.9834,5.8632,8.3806,0.3409,1.0031,10.1438,6.2868,12.5695,9.7571,1.4388,1.4736,1.7325,0.3532,1.4928,0.0519,12.9
PIVDOO,82.08,2.98,194.84,1.7,-3.8661,-2.932,0.2863,-0.206,1.3567,3.245,6.0034,8.4167,0.3409,1.0341,10.1671,6.311,12.622,9.7806,1.2931,1.4076,1.1715,0.0913,1.4559,0.0507,16.9
UBEPAS,76,4.16,165.28,2.07,-4.4695,-3.3337,0.3938,-0.1443,1.3227,2.0764,5.8161,8.3718,0.3411,1.0029,10.1271,6.2881,12.5874,9.7308,1.4268,1.4738,1.7224,0.3665,1.501,0.0503,3.8
KAQGAM,61.46,1.28,151.97,4.04,-3.5567,-1.6376,0.361,-0.2095,1.3857,1.9194,6.0143,8.519,0.3411,1.0623,10.1772,6.3085,12.5164,9.8141,1.5289,1.6762,1.4941,0.3519,1.5108,0.0515,14
POVSOI,81.44,4.73,176.81,4.19,-3.424,-2.2126,0.3931,-0.2078,1.3232,1.7615,5.9158,8.4536,0.3414,1.0174,10.1812,6.2834,12.5536,9.7698,1.7474,1.4616,1.6046,0.4366,1.4654,0.0587,11.6
FUSFOP,61.37,1.12,151.68,2.49,-3.5363,-1.6407,0.354,-0.2085,1.4016,1.9575,6.0241,8.5306,0.3416,1.024,10.1785,6.3104,12.5205,9.815,1.5529,1.6022,1.5585,0.3279,1.626,0.0484,16.3
FEFZAT,77.59,5.74,193.64,2.85,-3.9834,-2.5707,0.413,-0.1492,1.3897,1.9667,5.8099,8.4227,0.3417,1.0287,10.1698,6.2787,12.5669,9.7415,1.5061,1.44,1.705,0.3961,1.4902,0.0615,53.9
JODKOD,62.02,1.08,168.87,2.81,-3.4952,-1.7423,0.353,-0.2091,1.4079,1.9643,6.0188,8.4916,0.3417,1.0253,10.1803,6.3098,12.5225,9.8147,1.5568,1.6305,1.5206,0.3408,1.5745,0.0568,15.9
XINHIL,82.19,2.62,198.07,4.32,-3.4443,-2.1847,0.3459,-0.2047,1.4311,1.5879,5.9354,8.3908,0.342,1.0318,10.1817,6.2792,12.5654,9.8095,1.7252,1.4083,1.6449,0.4396,1.4502,0.0543,26.3
VOMSOF,79.24,8.75,170.89,4.07,-4.5998,-2.984,0.4054,-0.1252,1.3001,1.9203,5.7681,8.395,0.3421,1.0007,10.1153,6.2859,12.5851,9.7236,1.4807,1.4639,1.6629,0.3896,1.4298,0.0637,11.7
SADXUT,90.58,7.1,188.79,3.08,-3.702,-2.5812,0.4176,-0.1916,1.2698,1.7903,5.889,8.4016,0.3421,1.0557,10.1602,6.2796,12.5916,9.7112,1.7604,1.4126,1.6473,0.4904,1.4904,0.0639,21.7
BIJJIP,78.23,4.91,162.01,2.24,-4.2445,-2.576,0.3908,-0.1526,1.3351,2.0235,5.8951,8.4142,0.3422,1.0047,10.1401,6.2894,12.5639,9.7558,1.504,1.4839,1.6752,0.3327,1.5515,0.0471,2.8
WAFMIB,83.31,-4.3,177.33,2.45,-4.4608,-2.7814,0.3158,-0.1654,1.3322,2.0254,5.8853,7.6888,0.3422,0.9788,10.1371,6.3269,12.6276,9.7298,1.5675,1.4868,1.5982,0.4456,1.4427,0.0203,-2.7
FIYPIO,84.31,8.48,180.47,2.1,-4.0601,-2.9272,0.3797,-0.1971,1.3394,1.8576,5.8204,8.3913,0.3422,1.0432,10.1557,6.2864,12.5844,9.7494,1.715,1.4037,1.6696,0.4413,1.4419,0.0644,17.4
GAVJUJ,79.65,16.32,174.87,1.4,-3.3908,-2.4414,0.4278,-0.2208,1.3499,1.9973,6.0747,8.3817,0.3423,1.0816,10.1703,6.2437,12.5174,9.8111,1.5146,1.4508,1.7336,0.4101,1.485,0.0666,8
PUSZAF,79.14,4.93,164.27,5.23,-4.2515,-2.6818,0.3901,-0.1577,1.3466,2.0106,5.9009,8.4421,0.3424,0.9966,10.1419,6.2858,12.5618,9.7622,1.4718,1.4846,1.6843,0.3549,1.5307,0.0522,-1.7
RUJKIT,72.71,3.47,164.17,2.54,-4.4703,-2.6367,0.3169,-0.1843,1.3506,1.9323,5.8455,7.7339,0.3424,1.007,10.1433,6.3291,12.6081,9.7458,1.5005,1.4561,1.7068,0.4086,1.4495,0.0089,-5.3
NATSOT,73.23,5.53,173.43,1.82,-4.3842,-3.0199,0.2697,-0.1316,1.3042,2.8409,5.7685,7.0706,0.3425,0.9843,10.1245,6.3167,12.6575,9.7561,1.2192,1.3014,1.1221,0.1514,1.3095,0.0089,28.8
AGIDOM,77.31,4.23,164.32,1.68,-4.159,-2.4058,0.3459,-0.1694,1.353,2.9425,5.8534,8.4097,0.3426,1.0471,10.1455,6.2885,12.5847,9.7809,1.1987,1.3337,1.2129,0.1234,1.5064,0.0504,27.5
