Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
UKOXIB,75.56,7.27,200,2.25,-4.4788,-3.1686,0.3335,-0.1226,1.3076,2.7045,5.7794,8.3551,0.1247,0.9778,10.1317,6.3145,12.6243,9.7277,1.2688,1.4687,1.2013,0.0776,1.5074,0.0481,18.4
MEKPUQ,72.63,5.76,168.21,1.7,-4.603,-3.0379,0.3453,-0.1362,1.3261,2.1304,5.8235,7.0562,0.1248,1.0124,10.1222,6.3002,12.6101,9.7444,1.457,1.5185,1.6391,0.4056,1.2647,0.0139,7.6
HODXAA,70.69,9.7,190.22,2.61,-4.2934,-2.6131,0.3618,-0.1667,1.3241,2.0419,5.8167,6.9942,0.1248,1.0216,10.1425,6.2942,12.5845,9.7595,1.5268,1.5112,1.6478,0.4496,1.2284,0.0129,24.9
ZAHPEG,71.09,9.6,193.91,3.51,-4.2978,-2.6058,0.3613,-0.1611,1.3219,2.044,5.7844,7.0289,0.1253,1.0063,10.1406,6.2969,12.5844,9.7575,1.5038,1.522,1.6484,0.417,1.2083,0.0117,24.7
UWIHIT,78.38,4.79,185.12,2.16,-4.4588,-2.8153,0.3084,-0.1556,1.3288,3.2525,5.8597,8.4116,0.1253,1.002,10.1377,6.3151,12.6257,9.7508,1.2454,1.4073,1.1688,0.0924,1.4774,0.0559,25.2
APIFAH,75.69,6.65,162.76,1.7,-4.657,-3.0885,0.3569,-0.139,1.3201,2.0442,5.8,7.1293,0.1256,0.9959,10.1219,6.2955,12.6059,9.7417,1.5093,1.503,1.624,0.4399,1.2709,0.0132,9.1
WOCREL,75.9,4.71,163.99,1.7,-4.5259,-2.8481,0.3532,-0.1442,1.3282,2.096,5.775,6.9787,0.1257,1.0207,10.1265,6.2976,12.6021,9.7471,1.473,1.5127,1.616,0.3778,1.396,0.0134,24.3
TADNIW,75.24,11.94,213.85,2.24,-2.2964,-1.6353,0.365,-0.221,0.8485,2.0163,6.0482,7.1252,0.1257,1.1397,10.0663,6.3198,12.6821,9.6331,1.4224,1.6436,1.5375,0.6153,1.3999,0.0153,237.2
VEKPOR,81.42,-10.2,168.19,1.98,-4.4546,-2.7368,0.3529,-0.1501,1.3285,2.0963,5.8314,6.9674,0.1258,0.9991,10.1296,6.2983,12.5949,9.7539,1.5122,1.5268,1.6091,0.4225,1.4212,0.0127,33.3
LERBEP,72.13,7.6,168.22,1.95,-4.6429,-3.1847,0.3577,-0.1399,1.3151,2.1502,5.7407,7.1262,0.1261,1.0074,10.1225,6.2966,12.6113,9.7344,1.4835,1.5017,1.6513,0.4834,1.3341,0.0115,12.8
HUDWIO,68.46,14.11,166.83,1.7,-4.8105,-2.9516,0.3274,-0.1629,1.3473,2.7282,5.7564,7.05,0.1271,1.1317,10.1261,6.3028,12.6268,9.743,1.1635,1.2386,1.1018,0.1255,1.3456,0.0179,18.4
SEWPOA,75.74,6.63,173.66,1.9,-4.5432,-2.9166,0.3592,-0.1439,1.3137,2.0625,5.7572,7.0908,0.1278,0.9665,10.129,6.2934,12.6037,9.7437,1.4997,1.5057,1.6418,0.4027,1.2751,0.0126,28.1
NARNUR,78.59,2.8,175.44,3.41,-4.7804,-2.8744,0.3271,-0.1815,1.341,1.9054,5.8482,6.7887,0.1279,0.9865,10.1329,6.3009,12.6269,9.7451,1.6515,1.4877,1.5794,0.4228,1.3599,0.0198,10.9
CAZXAF,71.52,6.43,160.42,1.54,-4.501,-2.8649,0.3469,-0.1415,1.3294,2.1181,5.8214,7.0775,0.128,1.0086,10.1273,6.2977,12.6084,9.747,1.465,1.5132,1.6424,0.4106,1.2216,0.0135,27.5
AHESOW,80.91,4.14,179.34,3.34,-3.1862,-1.6173,0.3466,-0.2216,1.3304,1.7702,5.9117,7.0357,0.1284,1.0266,10.1945,6.3286,12.5331,9.7917,1.8079,1.4631,1.6228,0.447,1.4457,0.021,22.7
