Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,Cu-I-C,N-Cu-I,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
ZILRER,96.92,0.56,22.3,-3.2875,-2.2104,1.92,1.9,-0.02,-0.04,2.42,84.1,81.95,0.0668,-0.6183,-0.8447,2.5498,2.582,1.3955,28.8952,7.2431,25.232,8.4203,0.7345,0.2967,0.5147,1.2166,3.2182,3.5683,3.575,2.0185,2.0254,6.2829,9.7928,1.4621,0.4314,0.0588,2.7896,3.5578,-379.67,1.23,126.34,42.8
LAWJOI,88.29,8.16,22.6,-3.5274,-2.2381,2.1,2,-0.08,-0.04,2.4,82.6,82.28,0.0845,-0.6359,-0.5914,2.0246,2.6472,1.417,28.8202,7.2592,25.2213,8.5093,0.7392,0.2972,0.3183,1.3034,3.2121,3.6643,3.6137,2.0366,2.0166,6.2959,9.8804,1.5165,0.3643,0.0413,2.7837,3.546,-387.66,1.23,126.49,36.2
UGUMAM,92.88,3.58,21.7,-3.3127,-2.3033,2.04,1.99,-0.06,-0.06,2.5,83.24,85.67,-0.0135,-0.6132,-0.5639,2.1416,2.6651,1.3687,28.7962,7.2714,25.2838,8.4154,0.6891,0.2978,0.3773,1.2235,3.2171,3.5794,3.7057,2.0251,2.0176,6.2841,9.8716,1.4728,0.3518,0.0399,2.7895,3.5579,-389.08,1.23,126.47,32.9
IREXOS,62.11,0.97,20.5,-3.2552,-2.3761,2.17,2.06,-0.09,0.02,2.47,82.47,86.74,0.0312,-0.5862,-0.5593,2.0485,2.603,1.4421,28.9148,7.2438,25.2349,8.4253,0.6922,0.2979,0.3236,1.2321,3.2162,3.8956,3.6744,2.0522,2.0331,6.3416,9.8753,1.5315,0.329,0.0533,2.7891,3.5598,-389.98,1.24,126.42,42.3
SOYPEC,98.69,-0.14,14.3,-3.5755,-2.5753,1.92,1.91,-0.02,-0.05,2.43,82.44,83.4,0.0543,-0.6915,-0.6431,2.4296,2.5738,1.3864,28.8356,7.2462,25.2334,8.4185,0.7196,0.2983,0.6207,1.2121,3.2161,3.647,3.6379,2.031,2.0216,6.2726,9.8112,1.642,0.446,0.0696,2.7896,3.5576,-385.74,1.23,126.31,39.3
PAFSEU01,99.23,-3.51,16.6,-3.0779,-2.3316,2,1.93,-0.01,-0.02,2.46,77.2,81.85,-0.0218,-0.5265,-0.8484,2.1349,2.5561,1.3196,28.8038,7.24,25.2766,8.4624,0.704,0.2983,0.3983,1.256,3.2173,3.7108,3.7246,2.034,2.0246,6.2905,9.8646,1.4888,0.4275,0.0421,2.7876,3.5557,-405.91,1.23,126.15,41.5
QICWEH,84.21,0.05,13.7,-3.0876,-2.5784,1.93,2.09,0,0.01,2.56,76.55,86.8,-0.0419,-0.7776,-0.489,2.1847,2.5422,1.3657,28.9114,7.2097,25.2733,8.4314,0.613,0.2986,0.6495,1.2578,3.2182,3.7982,3.7253,2.031,2.0363,6.3193,9.8612,1.77,0.399,0.0635,2.7855,3.5516,-370.39,1.24,126.19,47
VOGNUC,98.56,-2.7,18.6,-3.1854,-2.1535,1.96,1.91,0.01,0,2.43,80.12,82.93,0.0159,-0.6116,-0.8332,2.3433,2.5602,1.3203,28.8235,7.2389,25.2804,8.4112,0.6992,0.2986,0.4598,1.2072,3.2139,3.4801,3.722,2.0237,2.0219,6.2847,9.8311,1.6423,0.442,0.0415,2.7897,3.5579,-394.81,1.23,126.5,40.8
LIGMIA,82.27,0.72,16.5,-3.2105,-2.1768,1.96,2.26,-0.02,-0.02,2.41,80.64,83.89,0.0482,-0.8137,-0.4665,2.0038,2.5473,1.3957,28.8439,7.2534,25.2516,8.4147,0.6935,0.2989,0.6333,1.1983,3.2137,3.5145,3.6298,2.0224,2.0203,6.3247,9.8725,1.6988,0.328,0.04,2.7884,3.5563,-386.66,1.23,126.74,46.5
XEVVOM,87.83,0.39,20,-3.2181,-2.2913,2.03,1.96,-0.08,0,2.46,79.55,85.85,0.0155,-0.5464,-0.8374,2.2089,2.6134,1.3749,28.8902,7.2528,25.2675,8.4177,0.6487,0.2991,0.4211,1.2391,3.2149,3.5325,3.631,2.0212,2.0197,6.3037,9.8594,1.4535,0.4622,0.0766,2.7905,3.558,-396.83,1.23,126.16,40.2
