Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu_L1,Cu_L2,D_Cu_L1,D_Cu_L2,Cu_I,Cu_I_C,I_C_Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
CORTEI01,84.25,14.42,182.66,1.7,11.59,9.2,32.1,22.6,15.8,807.05,-3.5266,-2.3063,2.05,1.97,-0.19,-0.07,2.61,53.3,73.22,0.3957,-0.2163,0.2345,-0.6612,-0.6809,2.8396,3.9431,1.3452,1.9787,1.9869,29.0602,6.0285,25.1247,8.4294,8.4581,0.5668,0.4102,0.5548,2.9209,1.0657,1.0416,1.0946,3.4693,3.7943,3.623,10.1692,2.036,2.051,2.0239,2.0332,2.0252,6.2715,12.5561,4.2304,4.184,4.1416,9.7767,1.9901,1.9832,1.9346,1.9298,1.9391,1.4933,1.4743,1.7332,0.4378,0.061,0.0646,1.6041,1.4301,1.7156,0.4132,0.0372,0.0517,-128.05,18.8
XAMKUU,80.59,2.47,186.09,4.05,8.08,10.03,30.7,25.9,20.9,772.68,-5.0314,-4.4103,2.13,1.89,-0.22,0.07,2.51,45.17,65.9,0.3875,-0.12,0.0701,-0.5833,-0.6058,3.215,3.6694,1.2966,2.0193,2.0891,29.1982,5.7167,25.1307,8.4125,8.3315,0.7975,0.3547,0.5552,2.9173,1.0041,1.0308,1.0779,3.4236,3.8384,3.7702,10.1054,2.0263,2.0306,2.013,2.026,2.0095,6.2834,12.6565,4.2634,4.2484,4.1447,9.6727,1.9955,1.9922,1.9534,1.817,1.9145,1.4308,1.4644,1.716,0.4435,0.0524,0.0616,1.4845,1.4868,1.6237,0.5179,0.0596,0.0645,-168.85,4.5
UPAXAL,83.66,14.65,183.16,1.7,11.87,7.25,32.2,22.8,15.2,722.77,-3.5991,-2.3954,2.05,1.97,-0.19,-0.07,2.6,52.65,73.45,0.4002,-0.2151,0.2325,-0.6567,-0.6746,2.8732,3.9395,1.3433,1.9773,1.9911,29.0677,6.0177,25.1232,8.4268,8.4503,0.5739,0.4081,0.5553,2.9201,1.0719,1.0423,1.0869,3.5101,3.7958,3.5826,10.1674,2.0335,2.0514,2.0255,2.0291,2.0279,6.2697,12.5577,4.2238,4.187,4.1469,9.7724,1.991,1.981,1.9336,1.9298,1.937,1.4827,1.4738,1.7401,0.4381,0.0636,0.0653,1.6077,1.4279,1.7074,0.4157,0.0402,0.0512,-119.75,19.6
BOPKAS,83.18,1.09,174.51,3.35,5.68,10.99,31.2,21.2,14,702.36,-3.329,-1.5576,2.25,2.02,-0.03,-0.08,2.65,54.34,73.89,0.3759,-0.215,0.2503,-0.4579,-0.8431,2.5135,3.9483,1.315,2.0246,1.7263,28.9785,6.0582,25.1341,8.4337,8.5209,0.4639,0.2393,0.5554,2.9219,1.0341,1.0414,1.1238,3.4652,3.6404,3.761,10.1779,2.0556,2.0364,2.029,2.0432,2.0137,6.301,12.5203,4.2216,4.1601,4.1386,9.8028,1.9361,1.9696,1.9808,1.969,1.9473,1.49,1.5272,1.6024,0.3225,0.0368,0.043,1.7618,1.3853,1.6962,0.4422,0.0479,0.0658,-117.51,21.2
FUWDEH,92.91,0.23,208.17,2.83,9.76,7.53,36.6,26.9,18.4,691.79,-3.556,-2.3569,2.18,1.95,-0.23,-0.03,2.68,49.83,77.09,0.2305,-0.2294,0.1901,-0.1266,-0.3913,2.7401,3.8501,1.3052,3.102,2.8606,28.9414,6.0082,25.1073,7.0446,7.5056,0.442,0.2826,0.5555,2.9199,1.0295,1.0422,1.1428,3.2435,3.783,3.8839,10.1741,2.0658,2.0262,2.0163,2.0555,2.0103,6.3334,12.641,4.2598,4.2043,4.1768,9.7951,2.0002,1.9874,1.9613,1.9139,1.9322,1.2937,1.1911,1.372,0.0911,0.0153,0.0175,1.4407,1.319,1.3204,0.0608,0.0096,0.0058,-80.07,21.5
XUKXEG,90.58,2.52,191.92,3.83,9.05,7.7,31,27,23.5,803.02,-3.5096,-2.207,2.14,1.98,-0.18,-0.04,2.6,56.83,71,0.3689,-0.2118,0.2756,-0.6336,-0.6913,2.6097,3.8716,1.3887,2.0003,1.9572,29.006,5.9811,25.1297,8.4601,8.5145,0.5587,0.2986,0.5555,2.9229,1.0239,1.0402,1.1322,3.2738,3.7035,3.8653,10.1843,2.0681,2.0325,2.0142,2.0567,2.0129,6.282,12.5486,4.2345,4.1806,4.1336,9.8005,1.9929,1.9696,1.9664,1.9209,1.9508,1.5306,1.4605,1.689,0.4335,0.0539,0.0627,1.6013,1.4443,1.7226,0.4086,0.027,0.0485,-141.65,15.7
MOBLUK,81.05,3,174.1,2.88,8.48,9.15,27.9,20.1,15.4,670.86,-3.1482,-1.4932,2.27,1.96,-0.16,-0.02,2.61,59.62,69.22,0.3632,-0.2124,0.2328,-0.6445,-0.8511,2.4308,3.7876,1.353,2.0055,1.783,28.8894,5.9489,25.1687,8.4984,8.5161,0.5223,0.2237,0.5556,2.9288,1.0243,1.0434,1.1252,3.3914,3.6514,3.8285,10.1946,2.0748,2.0362,2.0204,2.0494,2.0138,6.3087,12.5374,4.2282,4.1966,4.1126,9.7907,1.9789,1.974,1.9656,1.9229,1.9492,1.5283,1.4729,1.7101,0.3965,0.0343,0.0535,1.7031,1.5531,1.6152,0.4227,0.0554,0.0848,-95.08,18.7
DIBLAE,89.27,5.42,191.55,2.51,7.54,8.62,30.4,25.2,18.9,649.88,-3.5241,-2.0101,2.07,1.96,-0.19,-0.06,2.6,55.79,71.01,0.3784,-0.2005,0.2523,-0.6214,-0.6708,2.7436,3.7836,1.3688,1.986,1.9776,29.0386,5.9206,25.137,8.3926,8.4876,0.5753,0.379,0.5556,2.9247,1.016,1.0408,1.1274,3.2771,3.7228,3.862,10.1757,2.0644,2.0321,2.0126,2.0553,2.0115,6.2721,12.5678,4.2324,4.1917,4.1438,9.7816,1.993,1.9583,1.9614,1.9196,1.9494,1.496,1.4726,1.6834,0.4588,0.051,0.0644,1.5896,1.4364,1.7217,0.4132,0.0232,0.0487,-172.17,19.2
XOFYAS,80.72,2.99,177.89,1.7,6.05,8.72,28,18.6,12.3,592.49,-4.5439,-3.9495,2.15,1.92,-0.25,0.07,2.52,47.48,69.22,0.3787,-0.1511,0.1359,-0.5401,-0.5652,3.1173,3.7749,1.3474,2.0407,2.1126,29.1851,5.8084,25.1167,8.386,8.3627,0.7637,0.3381,0.5557,2.9173,1.0141,1.0377,1.09,3.4015,3.8218,3.7465,10.13,2.0364,2.0356,2.018,2.0302,2.0098,6.2832,12.6275,4.2625,4.228,4.137,9.7106,2.0053,1.984,1.9742,1.8401,1.907,1.4287,1.4558,1.7259,0.3983,0.0342,0.0561,1.5169,1.4952,1.6207,0.4266,0.0421,0.0532,-165.9,14.5
OGEGUC,88.55,0.9,187.62,2.88,7.74,7.76,36.5,28.4,19.2,659.39,-2.3047,-1.1166,2,1.99,-0.05,-0.04,2.65,59.79,70.17,0.3828,-0.2203,0.1826,-0.9064,-0.8917,2.7049,3.7166,1.2902,1.7213,1.8032,28.9702,5.9662,25.2256,8.5627,8.4724,0.4578,0.5306,0.5562,2.9315,1.0319,1.0533,1.1129,3.4617,3.7189,3.7287,10.2083,2.0643,2.0512,2.0282,2.0492,2.0154,6.2939,12.5672,4.1955,4.1961,4.1756,9.7561,1.9793,1.9718,1.9175,1.938,1.9495,1.7516,1.3947,1.6925,0.5088,0.057,0.0896,1.7409,1.5408,1.6243,0.4112,0.0511,0.0832,-160.36,18.2
