Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,N-Cu-I,Cu-I-C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
NEJTOO,76.25,5.3,14.3,-4.0144,-2.6131,1.96,2.47,0.06,-0.3,2.33,62.76,82.56,0.1504,-0.5594,-0.3541,1.936,2.7312,1.4272,28.7628,7.1702,25.1481,8.4751,0.8102,0,0.4175,1.5647,3.1945,3.6555,3.6925,2.0482,2.0247,6.3014,9.864,1.5511,0.0591,0.0114,2.7735,3.5011,-364.92,1.26,128.52,27.6
IBOHIT,79.86,0.11,11.3,-4.8109,-3.8721,1.8,2.61,0.03,-0.05,2.63,94.03,74.23,0.0159,-0.5459,-0.0796,2.3517,2.7257,1.4521,28.7615,7.2266,25.1633,8.4099,0.5969,0.4828,0.6802,1.1531,3.2043,3.6637,3.7192,2.0183,2.0185,6.3351,9.7726,1.6658,0.1147,0.0269,2.7864,3.5473,-398.21,1.23,123.49,32.6
DUQGUT,87.9,3.65,12.2,-4.2905,-2.7458,1.89,2.45,-0.01,-0.14,2.55,88.44,79.64,-0.0216,-0.1205,-0.1048,2.1902,2.7095,1.3494,28.8361,7.2585,25.2491,8.4026,0.6666,0.4204,0.6408,1.1757,3.2174,3.5609,3.6406,2.0137,2.0174,6.3987,9.8485,1.285,0.1229,0.0191,2.793,3.5562,-405.61,1.23,124.77,32.8
JAYCES02,69.78,16.43,25.6,-2.9251,-1.868,2.02,2.5,-0.05,-0.57,2.34,59.3,88.33,0.1272,-0.1197,-0.828,2.2701,2.7165,1.3249,28.8862,7.1431,25.2424,8.4394,0.7907,0,0.4585,1.5412,3.2078,3.7406,3.6057,2.0499,2.0241,6.2903,9.8655,1.3602,0.6889,0.1422,2.7786,3.5239,-353.51,1.26,127.57,43.1
SANWUA,72.38,5.73,15.7,-4.1967,-2.5121,1.94,2.48,0.05,-0.3,2.33,62.49,82.04,0.1756,-0.6712,-0.3282,2.0045,2.7442,1.4415,28.7766,7.1744,25.1319,8.4717,0.7952,0,0.4548,1.5708,3.1941,3.6843,3.7047,2.0461,2.0278,6.3059,9.8454,1.4983,0.0591,0.0107,2.7729,3.5002,-369.25,1.27,128.45,30.5
LIKYOV,80.87,0.68,11.9,-4.2361,-3.0365,1.86,2.49,0.1,-0.29,2.56,91.46,75.66,-0.0214,-0.0892,-0.1255,2.2735,2.7498,1.3369,28.849,7.2597,25.2612,8.3963,0.5994,0.4565,0.7072,1.1749,3.2074,3.5394,3.6564,2.013,2.0171,6.3964,9.8388,1.254,0.1166,0.0165,2.7927,3.5563,-410.95,1.22,124.96,26.5
LUKCIF,77.91,-5.52,10.8,-4.6334,-2.963,1.91,2.52,-0.02,0.41,2.53,88.74,74.83,0.0156,-0.0807,-0.0306,2.0119,2.7871,1.3585,28.7742,7.3022,25.2254,8.5101,0.647,0.4152,0.6241,1.2641,3.2034,3.5783,3.63,2.0143,2.016,6.3895,9.8711,1.2534,0.1166,0.0237,2.7853,3.5177,-450.84,1.24,124.54,48.9
DUBHOZ,77.88,12.91,18.6,-4.3159,-2.6915,1.76,2.39,0.16,-0.39,2.43,75.3,84.03,0.0259,-0.7308,-0.483,2.9169,2.6983,1.219,29.113,7.1088,25.2687,8.2932,0.8057,0.1692,0.6974,1.3872,3.206,3.8763,3.519,2.051,2.0268,6.2188,9.7923,1.5044,0.3534,0.042,2.7728,3.5056,-444.59,1.26,125.55,72.5
VOMXOK,83.31,-11.33,11.1,-4.0693,-2.5177,1.94,2.54,-0.02,0.54,2.48,87.43,75.04,-0.008,-0.1372,-0.6152,1.9858,2.6934,1.2879,28.8312,7.2754,25.2829,8.3959,0.6592,0.4307,0.6307,1.1549,3.2085,3.5343,3.653,2.0125,2.0182,6.3768,9.8744,1.2774,0.3458,0.0277,2.793,3.5569,-441.24,1.23,125.03,42.3
WADWIJ,73.85,4.35,17,-3.9434,-2.2123,1.97,2.39,0.06,-0.25,2.33,62.41,81.99,0.1465,-0.5979,-0.3436,1.9085,2.7369,1.4169,28.7413,7.1711,25.1506,8.4718,0.8041,0,0.3873,1.5601,3.1925,3.7344,3.7313,2.0425,2.0325,6.3039,9.8594,1.4968,0.06,0.0127,2.7728,3.5032,-368.65,1.26,128.59,28.8
XIKLOU,72.09,3.77,9.7,-4.3565,-3.1763,1.98,2.52,-0.04,-0.12,2.35,63.58,84.82,0.1299,-0.5095,-0.3202,1.9405,2.7556,1.4155,28.7331,7.1628,25.1687,8.5322,0.7557,0,0.4259,1.5532,3.1968,3.9007,3.4317,2.0552,2.0385,6.3004,9.8561,1.5843,0.078,0.0082,2.7754,3.4978,-389.2,1.27,127.48,26
TOTYAE,40.81,-0.74,19.1,-4.0178,-2.1804,2.14,2.11,0.01,0.07,2.32,63.26,80.47,0.2179,0.1943,0.165,3.1289,2.7751,1.4873,29.4307,7.1857,25.0898,8.4163,0.7756,0,0.3626,1.6051,3.1957,3.5076,3.5165,2.0255,2.0213,6.2904,9.8083,0.9916,0.2243,0.1006,2.7718,3.5047,-364.6,1.27,128.11,29.5
QOSRUN,79.62,-8.63,9.1,-5.2644,-4.8013,1.8,2.63,0.04,0.38,2.67,95.24,74.87,0.1276,-0.5085,0.1627,2.4324,2.9063,1.5584,28.6695,7.2435,25.0601,8.3912,0.5356,0.5993,0.5651,1.1148,3.1924,3.4829,3.5849,2.009,2.0154,6.3438,9.7104,1.5906,0.1249,0.0207,2.7898,3.552,-376.26,1.22,123.87,32
JINVAG,83.01,-0.81,11.7,-4.0982,-2.9758,1.89,2.47,0.48,-0.53,2.54,92.28,74.21,-0.0092,-0.605,-0.1058,2.0711,2.75,1.3253,28.7725,7.2614,25.2657,8.3939,0.5989,0.4652,0.5581,1.1657,3.2039,3.5463,3.6483,2.0132,2.0171,6.324,9.8621,1.552,0.1162,0.0172,2.7923,3.5576,-430.81,1.23,123.84,31.2
AGIREQ,73.13,5.32,22.6,-3.7603,-2.1289,1.98,2.39,0.05,-0.26,2.31,61.34,81.69,0.1547,-0.5957,-0.3486,2.0454,2.7423,1.4146,28.8351,7.1581,25.1513,8.4454,0.8252,0,0.4338,1.5571,3.19,3.8497,3.4485,2.0527,2.042,6.3038,9.8645,1.4916,0.06,0.0037,2.7703,3.503,-388.27,1.26,128.59,29.5
GAXSUV,74.25,4.32,13.8,-3.9505,-2.2417,1.97,2.38,0.06,-0.25,2.33,62.46,82.32,0.1477,-0.5789,-0.3437,1.9363,2.7344,1.4211,28.7545,7.1669,25.1494,8.4773,0.8096,0,0.4099,1.5623,3.1927,3.7753,3.6122,2.0555,2.0256,6.303,9.8599,1.5001,0.06,0.0093,2.773,3.5033,-368.35,1.26,128.57,28.4
ZULTAE,86.58,1.74,11.5,-3.7611,-2.465,1.93,2.49,0.28,-0.46,2.49,88.43,75.32,-0.0059,-0.6095,-0.1843,1.9583,2.6744,1.3145,28.7885,7.2758,25.28,8.3972,0.6491,0.4144,0.5633,1.1641,3.2085,3.5354,3.6475,2.0135,2.021,6.3285,9.8827,1.5595,0.0912,0.0162,2.7923,3.5572,-438.46,1.23,125.22,46.4
SAZTUI,76.56,1.64,15.9,-4.0204,-3.1165,1.96,2.43,0.03,-0.17,2.36,65.13,85.17,0.1384,-0.4852,-0.1687,1.9843,2.7506,1.4693,28.7925,7.1689,25.1501,8.5019,0.7727,0,0.4232,1.5796,3.1986,3.7065,3.7948,2.031,2.0314,6.2984,9.8734,1.4927,0.106,0.0174,2.7755,3.504,-368.24,1.27,128.24,36.1
MAZMIM,84.06,2.75,21.2,-4.1462,-3.3715,1.86,2.49,0.22,-0.42,2.56,91.22,77.64,0.0085,-0.5659,-0.121,2.444,2.722,1.3617,28.9047,7.2127,25.2406,8.4106,0.6269,0.3779,0.6682,1.2088,3.2127,3.5745,3.6051,2.013,2.02,6.2915,9.8389,1.4935,0.0901,0.0128,2.789,3.5553,-434.8,1.24,121.65,44
LIRMEH,57.79,-12.06,10.3,-3.7647,-2.5019,1.99,2.5,1.12,-0.6,2.48,87.9,73.59,0.0065,-0.6375,-0.5283,1.8081,2.6586,1.3257,28.7889,7.2786,25.271,8.3953,0.627,0.3978,0.5308,1.1627,3.2091,3.497,3.6679,2.0138,2.0183,6.3498,9.8844,1.5816,0.2973,0.0382,2.7924,3.5573,-441.52,1.23,125.28,42
CAGZUI,75.59,3.25,14.4,-4.0609,-2.9223,1.93,2.38,0.02,-0.19,2.34,62.63,85.02,0.1577,-0.6582,-0.3627,2.1455,2.7532,1.4925,28.7903,7.1709,25.1223,8.4808,0.7779,0,0.5135,1.5612,3.1957,3.641,3.7291,2.0236,2.0352,6.2937,9.8368,1.5182,0.0599,0.0222,2.7733,3.508,-366.35,1.26,128.12,28.6
IJOPII,85.33,-18.69,21.8,-3.0303,-2.1881,1.92,2.52,-0.07,1.12,2.45,83.82,82.76,-0.0029,-0.8994,-0.3251,2.1103,2.5985,1.3598,28.8166,7.2706,25.2768,8.4234,0.739,0.3239,0.696,1.189,3.2141,3.664,3.5382,2.0199,2.0284,6.3465,9.855,1.6845,0.0805,0.0139,2.7898,3.5576,-365.32,1.23,127,46.1
LEFYAY,74.63,3.98,11.7,-4.1659,-2.8878,1.97,2.38,0.06,-0.24,2.33,62.35,82.41,0.159,-0.5621,-0.3313,2.0125,2.7398,1.4408,28.7469,7.1672,25.1342,8.4728,0.8075,0,0.4286,1.5715,3.1936,3.7079,3.6705,2.0496,2.0253,6.3034,9.8398,1.5083,0.0599,0.0092,2.7728,3.5024,-365.14,1.26,128.49,30
AXETEE02,83.73,6.49,22.2,-4.3421,-2.5669,1.94,2.44,0,-0.19,2.48,86.42,78.63,0.0511,0.0001,-0.1566,2.1665,2.6714,1.3781,28.8524,7.2734,25.2284,8.399,0.6763,0.4075,0.6797,1.157,3.2161,3.7309,3.479,2.0158,2.0376,6.3862,9.8701,1.2737,0.1181,0.0179,2.7928,3.5562,-428.79,1.23,124.75,31
XEZLET,62.08,0.91,14,-3.9254,-2.5188,1.92,2.37,0.03,-0.08,2.5,88.66,76.57,-0.0099,-0.1633,-0.4202,2.0388,2.7095,1.3378,28.8035,7.2676,25.2658,8.3993,0.6353,0.4076,0.5576,1.1818,3.2132,3.542,3.6364,2.0143,2.0186,6.3994,9.8763,1.2631,0.0762,0.0132,2.7933,3.5558,-425.65,1.22,125.34,35.4
PEMXEL,76.35,3.56,15.3,-4.008,-2.3477,1.97,2.38,0,-0.16,2.35,63.51,84.95,0.1484,-0.6752,-0.3432,2.0864,2.759,1.5054,28.8382,7.1669,25.1315,8.4917,0.7722,0,0.4847,1.5701,3.1952,3.5323,3.6963,2.0237,2.0257,6.2968,9.868,1.5313,0.0582,0.0169,2.7737,3.512,-366.95,1.26,127.98,28.2
YEYREB,82.06,1.08,20.1,-2.588,-2.0106,1.97,2.35,-0.01,-0.09,2.43,83.57,81.33,0.0162,-0.7818,-0.727,2.1064,2.5913,1.3208,28.8095,7.2559,25.3101,8.4253,0.6903,0.2936,0.5936,1.2385,3.2119,3.5433,3.7056,2.0311,2.0321,6.2844,9.8623,1.7486,0.6143,0.1121,2.7883,3.5593,-357.54,1.24,126.79,43.5
AFAXUC,75.28,3.23,14.3,-4.1012,-3.0457,1.93,2.37,0.02,-0.19,2.34,62.54,85.03,0.1623,-0.6588,-0.3568,2.1783,2.7494,1.4966,28.7947,7.164,25.1154,8.4776,0.777,0,0.5189,1.5631,3.1961,3.5819,3.705,2.0241,2.0284,6.2959,9.8293,1.5219,0.0602,0.0222,2.7732,3.508,-367.24,1.26,128.06,30.3
WIVGIU,77.45,2.6,20.1,-3.9531,-2.1284,2,2.35,0.02,-0.18,2.35,64.2,88.65,0.1435,-0.1632,-0.3777,2.1141,2.7782,1.5129,28.849,7.1804,25.1423,8.4915,0.7681,0,0.4764,1.5566,3.1955,3.5632,3.5911,2.0244,2.0253,6.3361,9.8807,1.3284,0.0582,0.02,2.7747,3.5105,-374.29,1.26,127.4,40.8
DOWWOE,74.95,3.51,10.9,-4.1275,-2.1634,2.09,2.32,-0.02,-0.15,2.33,63.36,83.31,0.1329,-0.3745,-0.102,2.0005,2.7412,1.4604,28.7857,7.1638,25.1446,8.5069,0.7946,0,0.3712,1.5395,3.1929,3.9154,3.439,2.0566,2.0368,6.3369,9.8904,1.3603,0.1249,0.0343,2.7744,3.5065,-383.11,1.26,127.96,33.2
GUNFAY,92.48,-3.38,21,-4.7763,-2.9124,1.87,2.39,0.06,-0.14,2.55,92.01,75.44,0.0914,-0.0039,-0.5168,2.9919,2.8061,1.455,29.1436,7.2056,25.1439,8.3948,0.6246,0.5273,0.6131,1.1588,3.2002,3.5381,3.5888,2.0114,2.019,6.3405,9.7625,1.1105,0.376,0.0416,2.7914,3.5552,-425.5,1.22,123.56,26.8
THIRDN10,59.07,-5.08,15.9,-3.8371,-2.4808,1.94,2.47,-0.01,0.26,2.5,87.83,77.31,-0.0041,-0.1615,-0.6531,2.044,2.6928,1.3383,28.8436,7.2863,25.2687,8.3997,0.6324,0.406,0.5962,1.1631,3.2125,3.5591,3.6149,2.0117,2.0213,6.393,9.8582,1.3363,0.3878,0.07,2.7918,3.5566,-414.97,1.23,125.68,42.3
KENDUC,58.14,-13.13,8.3,-3.7738,-2.4928,2.01,2.47,1.13,-0.57,2.47,87.8,73.16,0.0071,-0.66,-0.5168,1.798,2.6607,1.3148,28.7948,7.2829,25.2732,8.3941,0.6338,0.409,0.5172,1.1543,3.2083,3.5197,3.6466,2.0133,2.0191,6.3472,9.8894,1.5955,0.2912,0.0383,2.7925,3.5571,-447.07,1.23,125.17,42.2
XOHFEG,73.41,-8.96,21.2,-4.5077,-2.6011,2.18,2.52,-0.29,1.5,2.47,87.74,72.86,0.1159,-0.5949,0.1894,2.2535,2.707,1.3898,28.8279,7.2682,25.2131,8.3923,0.6499,0.4449,0.2599,1.1541,3.2075,3.5949,3.6555,2.0208,2.0243,6.3364,9.8588,1.5629,0.231,0.0025,2.791,3.556,-449.67,1.22,124.33,27.9
AZOROX,76.81,4.39,10.6,-4.3635,-2.8193,1.91,2.47,0.08,-0.3,2.35,62.63,81.01,0.1434,-0.6441,-0.2441,2.1265,2.746,1.4026,28.7682,7.1722,25.1443,8.4731,0.8029,0,0.5146,1.5856,3.1931,3.569,3.6594,2.0412,2.021,6.3118,9.8064,1.5163,0.0897,0.0186,2.7725,3.4954,-364.36,1.27,128.8,29.6
JOXKOY,80.83,1.58,11,-2.9699,-2.3612,1.92,2.42,-0.03,-0.05,2.5,86.45,82.38,-0.0028,-0.8522,-0.7735,2.0176,2.6075,1.3807,28.8354,7.2519,25.2754,8.4327,0.6605,0.3157,0.6493,1.2123,3.2215,3.6323,3.618,2.0287,2.0166,6.3555,9.851,1.7389,0.4228,0.0471,2.7895,3.5588,-375.14,1.23,126.68,44.9
KEGKUC,75.79,2.2,24.5,-3.0229,-2.1394,1.94,2.4,-0.03,-0.06,2.4,81.35,82.68,0.0599,-0.8597,-0.216,1.858,2.5542,1.3841,28.7935,7.238,25.2467,8.4219,0.7,0.259,0.5965,1.226,3.2188,3.7046,3.5844,2.038,2.0284,6.3593,9.8884,1.7493,0.0824,0.015,2.7897,3.5586,-394.72,1.23,125.91,44.3
XIHXOC,73.93,4.62,15.8,-4.2809,-3.2606,1.89,2.37,0.05,-0.21,2.33,61.8,81.66,0.1872,-0.7075,-0.3208,2.2295,2.7457,1.4446,28.7603,7.1766,25.1206,8.46,0.8084,0,0.56,1.5819,3.1923,3.4278,3.7746,2.0355,2.0197,6.3006,9.7856,1.5388,0.0602,0.0084,2.7717,3.4976,-363.99,1.27,128.68,31.7
LUBRIM,73.53,4.22,12.2,-4.7447,-3.9212,1.94,2.43,0.13,-0.37,2.58,91.77,75.44,0.038,0.1543,-0.0403,2.2997,2.8211,1.384,28.8048,7.2743,25.1983,8.3894,0.6,0.5447,0.6488,1.1486,3.2031,3.6816,3.6185,2.0264,2.0147,6.3833,9.8064,1.3058,0.107,0.0175,2.7912,3.555,-413.4,1.23,122.69,28.8
UJODON,74.98,3.24,14.5,-4.2012,-3.1964,1.93,2.36,0.02,-0.18,2.34,62.52,84.79,0.172,-0.6519,-0.349,2.2302,2.7625,1.505,28.8032,7.171,25.1038,8.4755,0.772,0,0.533,1.5702,3.1958,3.5089,3.7077,2.0215,2.0241,6.2972,9.8172,1.5086,0.0604,0.0221,2.7728,3.5078,-365.98,1.27,128.02,30.8
ISODAW,77.71,2.26,23.2,-3.3497,-1.7644,1.98,2.4,-0.01,-0.1,2.37,79.12,78.66,0.086,-0.6991,-0.8097,2.9507,2.5654,1.1975,29.201,7.2617,25.3016,8.4099,0.7663,0.3438,0.6159,1.1907,3.2056,3.6417,3.6061,2.0303,2.0332,6.2276,9.789,1.6374,0.4808,0.0802,2.7872,3.5567,-392.25,1.23,126.56,60.4
NUZCOA,77.89,9.98,22.8,-4.3177,-3.0002,2.26,2.37,-0.22,-0.34,2.49,87.09,74.5,0.0278,-0.4993,-0.4862,2.4333,2.7129,1.3051,28.8908,7.267,25.2488,8.4025,0.6689,0.4886,0.2109,1.1468,3.2026,3.6971,3.7039,2.0276,2.0225,6.3221,9.8069,1.5196,0.3696,0.0479,2.7917,3.5563,-440.57,1.22,124.43,26.8
CACTIL,75.6,2.8,16.7,-3.9485,-2.2305,2,2.33,0.03,-0.2,2.33,62.67,83.93,0.1538,-0.5706,-0.3453,1.9541,2.7342,1.4606,28.7574,7.1685,25.1381,8.4812,0.7976,0,0.3903,1.5513,3.1933,3.7355,3.703,2.0499,2.0259,6.296,9.8685,1.5317,0.0603,0.0064,2.7736,3.506,-375.57,1.26,128.4,26.8
QEBDAF,77.52,13.42,17.3,-4.2786,-3.2152,1.97,2.46,0.04,-0.41,2.35,63.31,83.89,0.1472,-0.5713,0.2388,2.0287,2.7807,1.4509,28.7579,7.1703,25.1478,8.5347,0.7818,0,0.4092,1.6159,3.1953,3.8079,3.5874,2.0569,2.0229,6.3091,9.8443,1.3955,0.1551,0.0295,2.774,3.4986,-366.17,1.27,128.35,34.9
MURBAC,74.52,3.3,22.2,-4.0148,-2.6935,1.97,2.33,0,-0.2,2.33,62.81,84.65,0.1579,-0.7048,-0.3592,2.0773,2.8031,1.5047,28.8098,7.1554,25.1275,8.5064,0.7877,0,0.4669,1.5992,3.1941,3.5755,3.6945,2.0247,2.0322,6.294,9.8603,1.5101,0.0604,0.0192,2.7719,3.5097,-368.96,1.26,127.89,28.8
JUYDUF,84.74,0.75,17.3,-4.5247,-3.3552,1.82,2.41,0.21,-0.34,2.57,93.01,74.15,0.0133,-0.5787,-0.0813,2.3351,2.7882,1.3752,28.7722,7.2448,25.227,8.391,0.5846,0.4846,0.6931,1.1645,3.2013,3.532,3.6482,2.0134,2.0156,6.3213,9.8019,1.4799,0.1209,0.0217,2.7919,3.556,-416.99,1.22,124.07,20.2
SUNYOR,84.02,0.15,17.8,-2.9049,-2.0893,1.93,2.43,-0.02,-0.1,2.39,81.16,82.88,0.0717,-0.9106,-0.2053,1.9905,2.5648,1.4072,28.838,7.2489,25.2371,8.4285,0.7138,0.2594,0.645,1.2197,3.2194,3.5138,3.7318,2.0265,2.0307,6.3664,9.8778,1.7995,0.097,0.0192,2.7888,3.558,-373.56,1.23,126.6,42.9
FUTLEN,83.36,-2.3,10.6,-4.102,-2.3092,2.01,2.39,-0.1,0.79,2.34,63.35,86.13,0.1553,-0.1094,-0.3948,2.0543,2.7747,1.5085,28.8471,7.1671,25.126,8.495,0.7747,0,0.4472,1.5772,3.1944,3.7951,3.5666,2.0498,2.027,6.3405,9.8923,1.3517,0.0601,0.0149,2.7736,3.5139,-369.06,1.26,127.75,45.9
PEPJEB,76.5,2.79,15.9,-4.1208,-2.7079,2,2.34,0.04,-0.2,2.34,63.54,85.04,0.1558,-0.5594,-0.3342,2.0135,2.7379,1.4686,28.7652,7.1673,25.1322,8.4875,0.7847,0,0.3928,1.5546,3.1953,3.6791,3.7379,2.0455,2.0238,6.2942,9.8628,1.5354,0.0591,0.0061,2.7738,3.5048,-379.57,1.26,128.07,25.5
ZIBDAR,73.02,5.18,9.2,-4.3452,-3.0276,1.93,2.42,0.06,-0.16,2.34,62.89,82.77,0.1439,-0.6586,-0.3054,2.0658,2.7464,1.3972,28.7222,7.1642,25.1671,8.5066,0.7971,0,0.4823,1.5528,3.195,3.8639,3.4314,2.0563,2.0369,6.3052,9.8192,1.4806,0.0777,0.0187,2.7732,3.4911,-402.23,1.26,128.01,29.1
EPUJUW,76.88,1.5,14.3,-3.9481,-2.1766,2.01,2.36,-0.05,-0.02,2.33,63.5,81.26,0.1388,-0.4913,-0.2211,2.05,2.7797,1.4482,28.8384,7.1735,25.1604,8.5019,0.7878,0,0.4063,1.5724,3.1922,3.7999,3.5468,2.0519,2.0257,6.2873,9.8849,1.6141,0.1018,0.0261,2.7727,3.5044,-379.77,1.26,128.55,41.4
CESTAY,73.56,-3.17,14.7,-4.2865,-3.7672,1.96,2.42,0.25,-0.34,2.57,89.05,73.84,0.1474,-0.0893,-0.1163,2.4266,2.7289,1.4503,28.828,7.2209,25.196,8.3977,0.595,0.417,0.5147,1.1874,3.2026,3.5077,3.6212,2.0224,2.0163,6.3398,9.8149,1.3527,0.0879,0.0133,2.7855,3.5429,-451.94,1.23,124.97,31.7
SIHPAC,74.01,3.66,15.6,-4.3609,-3.1457,1.91,2.34,0.05,-0.21,2.33,61.88,81.68,0.1906,-0.7154,-0.3115,2.2,2.7442,1.4643,28.7574,7.1729,25.111,8.4623,0.8021,0,0.535,1.5824,3.1936,3.542,3.6475,2.0399,2.022,6.3004,9.7922,1.5578,0.0606,0.0116,2.772,3.499,-360.48,1.27,128.55,31.1
LACHUV,83.73,0.86,15.8,-4.3053,-2.7644,1.95,2.41,0,-0.08,2.47,86.35,74.63,0.0416,-0.0525,-0.4474,2.0922,2.6399,1.337,28.83,7.2615,25.2404,8.3727,0.6479,0.4335,0.6241,1.1046,3.2088,3.5333,3.6626,2.019,2.0189,6.3611,9.8637,1.2585,0.3084,0.0365,2.7916,3.5521,-438.12,1.22,125.37,28.6
BECXEO,75.68,-0.99,15.9,-3.9331,-2.7385,1.95,2.35,0.08,-0.08,2.47,86.22,75.05,0.0366,-0.0579,-0.4846,2.1955,2.6845,1.2999,28.8176,7.2747,25.2652,8.3819,0.6771,0.4641,0.5896,1.1246,3.2025,3.5864,3.6206,2.0168,2.0202,6.3301,9.8325,1.2639,0.3621,0.0378,2.79,3.551,-432.74,1.22,125.53,32.4
QUGVIA,73.42,3.46,18.5,-3.9331,-2.2975,1.93,2.48,-0.02,-0.11,2.41,81.8,84.39,0.0822,-0.2126,-0.0879,2.0458,2.6008,1.4526,28.8572,7.2501,25.1889,8.4128,0.7785,0.3005,0.6265,1.1971,3.2181,3.4157,3.7003,2.0245,2.0193,6.4034,9.8788,1.3336,0.1207,0.0229,2.7902,3.5579,-377.74,1.23,126.39,43.8
KINRII,90.43,5.88,18.6,-3.9131,-2.473,2,2.39,-0.05,-0.17,2.46,84.34,75.13,-0.0139,-0.1537,-0.5956,1.7981,2.7058,1.2296,28.7748,7.288,25.293,8.4041,0.6949,0.4599,0.5114,1.1419,3.2084,3.7299,3.6877,2.0391,2.0163,6.3794,9.8823,1.3487,0.3796,0.0389,2.7916,3.5533,-443.14,1.23,125.06,34.6
BACTIJ,83.26,0.34,15.7,-4.0551,-2.7024,1.88,2.41,0.31,-0.42,2.54,92.05,74.69,-0.0055,-0.5716,0.1652,2.1122,2.7498,1.3389,28.789,7.2566,25.262,8.394,0.6012,0.4527,0.5632,1.1772,3.2056,3.5438,3.6519,2.0147,2.0162,6.3231,9.8604,1.5326,0.1264,0.0234,2.7923,3.5577,-428.18,1.23,124,31.2
XATRUH,83.2,-8.58,20.8,-4.1216,-2.5088,2.06,2.37,-0.06,-0.03,2.45,85.29,76.91,0.0723,-0.3016,-0.6368,2.3568,2.6525,1.3564,28.8455,7.2396,25.2279,8.3907,0.709,0.4114,0.4708,1.1383,3.2029,3.5348,3.67,2.0191,2.0219,6.303,9.8274,1.2869,0.4044,0.0604,2.7908,3.5537,-433.8,1.22,125.15,27.3
DODDEF01,61.51,1.17,21.2,-4.041,-2.1622,2.15,2.39,0.17,-0.27,2.33,64.28,81,0.1534,-0.1553,-0.1678,1.9455,2.7516,1.4739,28.832,7.1556,25.139,8.4825,0.7873,0,0.3346,1.5566,3.1943,3.7358,3.6044,2.0443,2.0246,6.3161,9.9133,1.2028,0.1003,0.0297,2.7729,3.5051,-386.81,1.26,127.97,33
QAGQAT,75.31,-9.81,7.7,-3.7135,-2.2622,1.99,2.37,-0.06,0.7,2.42,82.21,78.07,-0.0094,-0.4233,-0.3656,1.7357,2.625,1.2777,28.6711,7.2974,25.2904,8.4014,0.7009,0.3655,0.4842,1.1534,3.2152,3.5353,3.6363,2.0134,2.0218,6.3941,9.9,1.4703,0.0821,0.018,2.792,3.556,-423.9,1.23,125.9,39.9
MEDWOK,77.92,1.4,11.4,-4.186,-2.6967,1.88,2.29,0.03,-0.14,2.34,63.1,82.81,0.144,-0.6005,-0.1182,2.2655,2.7459,1.4415,28.8087,7.1714,25.1457,8.4974,0.7847,0,0.5421,1.5607,3.1942,3.8505,3.4595,2.0506,2.0314,6.2866,9.8312,1.6707,0.1194,0.0248,2.7739,3.4994,-372.18,1.27,128.27,28.4
AFLATC,85.47,11.2,13.2,-3.8801,-2.8445,1.92,2.32,0.01,-0.26,2.5,87.25,76.89,-0.0008,-0.5658,-0.4736,1.9947,2.7115,1.2782,28.7822,7.258,25.277,8.3876,0.6695,0.4708,0.5436,1.1613,3.2063,3.7935,3.6958,2.0484,2.0154,6.3256,9.8406,1.489,0.3525,0.0405,2.7915,3.5529,-438.65,1.23,124.21,32.1
TEZYAB,76.28,0.5,23.1,-4.2066,-2.7121,1.97,2.41,0.04,-0.07,2.48,86.43,79.72,0.0319,-0.102,-0.0808,2.2578,2.6304,1.3804,28.8367,7.2376,25.231,8.4411,0.6944,0.3484,0.5532,1.1835,3.2119,3.4807,3.6948,2.0184,2.0171,6.3634,9.8751,1.286,0.1174,0.0202,2.788,3.5508,-416.88,1.23,125.51,35.2
IDALEE,63.16,1.87,15.1,-3.5853,-2.4452,1.93,2.3,0.13,-0.23,2.49,87.16,77.23,-0.0176,-0.1698,-0.1926,2.0292,2.7232,1.2804,28.8006,7.2543,25.2856,8.3968,0.6548,0.4428,0.5543,1.1545,3.2127,3.5781,3.6622,2.019,2.0163,6.3986,9.8706,1.2455,0.0799,0.0173,2.7916,3.5566,-431.53,1.23,124.4,43.3
DIHATO10,85.28,11.43,13.5,-3.8722,-2.7993,1.93,2.32,0.01,-0.26,2.5,87.11,76.94,-0.0023,-0.5672,-0.4774,1.9848,2.7191,1.2758,28.7828,7.2562,25.2776,8.3978,0.6691,0.4679,0.5408,1.1666,3.2063,3.7964,3.7084,2.0489,2.0156,6.3254,9.8424,1.4899,0.3541,0.042,2.7912,3.5525,-439.5,1.23,124.25,32
