Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,N-Cu-I,Cu-I-C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
AGEPEK,84.14,-0.78,15,-4.499,-3.4882,2.15,1.91,-0.01,0.03,2.52,88.25,75.24,0.0444,-0.562,-0.0525,2.4445,2.7369,1.3783,28.8386,7.2599,25.2114,8.3692,0.6142,0.4916,0.3108,1.1096,3.205,3.5865,3.6174,2.0177,2.0194,6.3424,9.7919,1.4918,0.0959,0.0145,2.7913,3.5508,-433.15,1.22,124.85,25.7
UJIRUC,86.26,-2.98,12.3,-4.7811,-4.1154,1.95,1.86,0.02,0.1,2.61,92.39,74.84,0.1146,-0.5601,-0.5631,2.903,2.8833,1.513,28.8765,7.2223,25.1087,8.3868,0.5777,0.5692,0.6048,1.1205,3.1929,3.5449,3.5572,2.0136,2.0151,6.2806,9.686,1.6163,0.4157,0.0561,2.7906,3.5537,-407.85,1.22,124.21,32.5
FEHQAM,85.83,-1.4,13.7,-4.5912,-3.7674,2.15,1.85,-0.14,0.16,2.57,92.45,73.3,0.048,-0.5249,-0.53,2.5729,2.8266,1.4171,28.8484,7.2253,25.1943,8.3869,0.5776,0.5195,0.3543,1.155,3.1957,3.5279,3.6242,2.0141,2.0151,6.2897,9.7633,1.4424,0.3996,0.038,2.7912,3.5544,-418.63,1.22,124.38,33.9
JOBDEK,86.98,-2.42,16.5,-4.6719,-3.8809,2.09,1.89,0.07,0.02,2.6,92.88,74.09,0.0364,-0.5131,-0.5039,2.6546,2.8393,1.4192,28.9009,7.2144,25.1951,8.3745,0.5709,0.5259,0.4118,1.1463,3.1979,3.5289,3.6209,2.0125,2.0165,6.2856,9.767,1.468,0.3787,0.0239,2.7907,3.5516,-411.95,1.22,124.74,22.8
HUZKIW,85.01,-0.86,16.1,-4.4693,-3.423,2.18,1.9,-0.09,0.08,2.51,89.5,73.69,0.0475,-0.5764,-0.0704,2.46,2.758,1.3807,28.8598,7.2415,25.2132,8.397,0.6153,0.4844,0.3104,1.1545,3.2007,3.5576,3.6001,2.0157,2.0174,6.3359,9.7938,1.4987,0.0949,0.0171,2.7914,3.5548,-435.79,1.22,124.64,24.3
ZEMSIW,95.96,-1.96,24.7,-3.2383,-2.1242,2.29,2.25,-0.01,0.03,2.42,82.73,75.12,-0.0379,0.2098,-0.0056,2.354,2.6107,1.2344,28.9558,7.2587,25.3114,8.4091,0.7011,0.3201,0.6181,1.1849,3.2072,3.5379,3.6489,2.0154,2.0221,6.4664,9.9285,3.6453,0.0782,0.0055,2.7902,3.5592,-421.73,1.23,126.54,37.5
PIMLIJ,85.44,-2.67,16.2,-4.7945,-4.0891,1.93,1.84,0.03,0.09,2.6,92.09,74.18,0.1262,-0.6104,-0.589,2.91,2.8727,1.5177,28.8604,7.2143,25.1033,8.3866,0.5808,0.5646,0.616,1.1241,3.1921,3.6519,3.5497,2.0244,2.0157,6.2786,9.6766,1.5467,0.4431,0.052,2.7905,3.5538,-411.78,1.22,124.27,32.6
WADSAW,84.88,-0.73,16.1,-4.4613,-3.4331,2.19,1.9,-0.1,0.09,2.51,89.35,73.63,0.0484,-0.5774,-0.0713,2.4475,2.7555,1.3776,28.8544,7.2467,25.2137,8.3971,0.6157,0.4873,0.2994,1.1514,3.2006,3.5519,3.603,2.0152,2.0175,6.3373,9.7934,1.5019,0.0948,0.0169,2.7914,3.5549,-435.52,1.22,124.6,24.7
IPAJIU,83.87,-1.26,16.8,-4.3355,-3.3361,2.07,1.9,-0.04,0.06,2.52,89.52,73.02,0.0348,-0.6543,-0.047,2.5001,2.7619,1.362,28.8627,7.2313,25.2161,8.4129,0.6246,0.4838,0.3781,1.1735,3.1987,3.5526,3.6035,2.0139,2.0177,6.3226,9.7926,1.5852,0.0974,0.0191,2.791,3.5536,-436.91,1.22,124.48,35.2
EXIFEX,86.34,-3.07,12.6,-4.8846,-4.2082,1.94,1.85,0.01,0.12,2.63,92.84,75.41,0.1344,-0.5653,-0.5731,2.9327,2.8878,1.538,28.8738,7.2179,25.0841,8.3859,0.5741,0.5786,0.6192,1.1154,3.1927,3.57,3.5388,2.0148,2.0156,6.2807,9.6726,1.6126,0.4301,0.0574,2.7905,3.5537,-400.5,1.22,124,31.8
