Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
MELTEF,-2.7146,-1.9282,-0.0907,-0.1167,0.1266,0.0514,2.0234,3.0568,2.0821,2.0234,29.1337,7.3450,8.3773,8.4773,0.9097,0.3092,0.6098,3.0374,3.8424,1.1198,1.2855,1.4371,6.4729,12.4388,4.0511,4.2123,4.1753,10.1786,2.0270,2.0165,2.0766,2.0056,2.0528,3.3671,4.4242,1.4482,1.5373,1.4388,0.0761,0.0205,0.0174,0.0078,0.0222,0.0083,3.3533,4.5161,1.4364,1.5087,1.5710,0.0740,0.0187,0.0157,0.0091,0.0206,0.0100
MIRNIN,-2.6901,-1.2440,-0.1756,-0.1209,0.1661,-0.0504,1.9812,3.0653,2.1191,1.8384,29.2409,7.3381,8.3381,8.6077,0.9408,0.2891,0.6180,3.0351,3.8475,1.3536,1.3114,1.1825,6.4935,12.4619,4.1519,4.1713,4.1387,10.2200,1.9716,2.0525,2.0423,2.0755,2.0780,3.3623,4.3872,1.4528,1.4424,1.4919,0.0782,0.0226,0.0182,0.0064,0.0236,0.0073,3.3957,4.5854,1.5068,1.6140,1.4647,0.0647,0.0085,0.0198,0.0116,0.0112,0.0136
NADVUN,-3.3682,-2.5057,-0.0715,-0.0755,0.2117,0.2118,2.4989,3.2195,3.2918,3.2691,29.3180,7.2212,7.1234,7.1309,0.9895,0.6332,0.5999,3.0231,3.8023,1.3522,1.3034,1.1467,6.4115,12.5886,4.1924,4.2057,4.1905,10.0711,2.0019,2.0314,2.0240,1.9742,2.0396,2.9643,3.5499,1.1490,1.2604,1.1406,0.2545,0.0300,0.0606,0.0641,0.0370,0.0628,2.9651,3.5496,1.1807,1.1229,1.2459,0.2541,0.0465,0.0446,0.0585,0.0384,0.0661
OLUVIC,-2.8485,-1.5748,-0.1088,-0.0977,0.0304,0.0840,2.1784,3.0904,2.0019,2.9226,29.1629,7.3173,8.5043,7.1627,0.9125,0.6570,0.3604,3.0266,3.8287,1.2572,1.4026,1.1689,6.4585,12.4574,4.1591,4.1776,4.1207,10.1926,2.0414,1.9790,2.0404,2.0444,2.0874,3.3520,4.5373,1.4063,1.5774,1.5536,0.0751,0.0182,0.0240,0.0043,0.0251,0.0034,3.0351,3.5567,1.1772,1.1111,1.2685,0.2972,0.0746,0.0866,0.0359,0.0649,0.0352
PETNIO,-2.9185,-2.2725,-0.0974,-0.0929,0.2035,0.0560,2.4011,3.1758,3.3151,2.0125,29.2639,7.2853,7.0958,8.4170,0.9716,0.6734,0.4285,3.0283,3.8207,1.3086,1.3205,1.1916,6.4327,12.5366,4.1597,4.1957,4.1813,10.1277,1.9923,2.0572,2.0412,2.0198,2.0172,2.9625,3.5606,1.1463,1.2808,1.1335,0.2537,0.0346,0.0501,0.0721,0.0326,0.0643,3.3709,4.4963,1.4483,1.4992,1.5488,0.0712,0.0211,0.0118,0.0107,0.0133,0.0144
POPJEK,-3.4785,-2.2992,-0.0272,-0.0984,0.1419,0.0781,2.1957,3.1879,2.1273,3.3817,29.2872,7.2485,8.3395,6.8636,1.0206,0.1859,0.7888,3.0224,3.8293,1.3789,1.2905,1.1598,6.4841,12.4982,4.1763,4.2147,4.1071,10.0445,1.9689,2.0375,2.0141,1.9911,2.0328,3.3819,4.4012,1.4006,1.4450,1.5556,0.0691,0.0225,0.0077,0.0119,0.0111,0.0157,3.0137,3.5433,1.2026,1.2302,1.1105,0.3330,0.0441,0.0657,0.0901,0.0471,0.0860
POXPEX,-3.0914,0.0972,-0.0848,-0.1154,0.0301,0.0737,1.8921,3.0991,2.1111,3.1144,29.4041,7.2610,8.4104,7.2466,0.9523,0.0000,0.7165,3.0298,3.8499,1.3359,1.2619,1.2521,6.5556,12.3901,4.1449,4.1078,4.1374,10.1388,2.0111,1.9967,2.0197,2.0744,2.0370,3.4039,4.4941,1.4286,1.5646,1.5010,0.0660,0.0022,0.0170,0.0187,0.0075,0.0206,2.9917,3.6913,1.2016,1.2507,1.2390,0.2261,0.0315,0.0574,0.0476,0.0414,0.0482
PUKKEM,-2.7188,-1.4638,-0.1598,-0.1040,0.1796,-0.0996,2.3879,3.0917,3.2651,1.8847,29.2619,7.3072,7.1007,8.5761,0.9258,0.5959,0.5440,3.0249,3.8351,1.2888,1.3581,1.1882,6.4408,12.5604,4.2007,4.1600,4.1997,10.1583,2.0018,2.0122,2.0381,2.0700,2.0362,2.9732,3.5651,1.2446,1.0976,1.2229,0.2623,0.0420,0.0689,0.0461,0.0606,0.0447,3.3995,4.6267,1.5021,1.6054,1.5192,0.0685,0.0107,0.0212,0.0124,0.0122,0.0120
PUTYUA,-2.4190,-1.7160,-0.1501,-0.1139,0.1463,-0.0594,2.1800,3.0756,1.8987,1.8247,29.1871,7.3238,8.5344,8.6092,0.9150,0.4351,0.5390,3.0317,3.8393,1.3240,1.3426,1.1727,6.4451,12.4717,4.1685,4.1736,4.1296,10.2331,2.0516,2.0125,2.0274,2.0684,2.0732,3.3499,4.4185,1.4138,1.5452,1.4595,0.0796,0.0149,0.0207,0.0139,0.0142,0.0158,3.4147,4.5755,1.4234,1.5462,1.6059,0.0648,0.0215,0.0119,0.0071,0.0150,0.0094
QERCEW,-3.4532,-3.0195,-0.0095,-0.0695,0.0649,0.0658,2.1876,3.2610,2.0193,2.0214,29.1589,7.2529,8.4650,8.4637,0.9966,0.4899,0.5050,3.0240,3.7887,1.2907,1.3177,1.1803,6.4629,12.4602,4.1586,4.1678,4.1339,10.0860,1.9912,2.0265,2.0551,2.0171,1.9961,3.3815,4.4784,1.4404,1.4458,1.5922,0.0696,0.0126,0.0187,0.0128,0.0135,0.0120,3.3807,4.4782,1.5145,1.4902,1.4735,0.0697,0.0044,0.0160,0.0170,0.0100,0.0223
REXDUW,-3.0991,-2.4259,-0.0768,-0.0513,0.1602,-0.0912,2.6747,3.1677,2.0511,1.8770,29.0675,7.2435,8.3656,8.5893,0.9269,0.1466,0.6990,3.0377,3.7721,1.3102,1.2910,1.1709,6.3899,12.5303,4.2044,4.2070,4.1188,10.1563,1.9339,2.0236,2.0701,2.0698,2.0589,3.3658,4.3969,1.4239,1.4786,1.4945,0.0708,0.0217,0.0072,0.0135,0.0100,0.0185,3.3892,4.6290,1.5070,1.5839,1.5381,0.0683,0.0118,0.0186,0.0109,0.0149,0.0120
SODRUA,-3.5034,-2.3185,-0.0134,-0.0989,0.0747,0.1415,2.1706,3.1864,3.3775,2.1273,29.3012,7.2490,6.8242,8.3331,1.0186,0.7883,0.1580,3.0224,3.8304,1.2875,1.2442,1.2987,6.4927,12.4881,4.1700,4.1927,4.1254,10.0322,1.9755,2.0379,1.9973,2.0060,2.0155,3.0144,3.5459,1.2192,1.1939,1.1329,0.3330,0.0807,0.0424,0.0765,0.0616,0.0719,3.3853,4.3987,1.4592,1.5039,1.4357,0.0685,0.0226,0.0080,0.0115,0.0118,0.0146
SOHRIQ01,-2.7762,-1.0744,-0.1231,-0.1150,0.1858,0.0947,2.0251,2.9905,2.0978,3.0343,29.2333,7.3704,8.3670,7.1974,0.8331,0.3121,0.6303,3.0350,3.8471,1.2506,1.4016,1.1950,6.4660,12.4486,4.1166,4.2312,4.1008,10.2083,2.0145,2.0214,2.0491,2.0578,2.0654,3.3439,4.3830,1.4455,1.5827,1.3547,0.0810,0.0210,0.0236,0.0055,0.0259,0.0050,2.9911,3.6761,1.2121,1.2969,1.1672,0.2186,0.0363,0.0393,0.0610,0.0335,0.0485
TUHXAV01,-3.1919,-2.5141,0.0108,-0.0757,0.1270,0.1364,2.2624,3.1798,2.0166,2.0518,29.0426,7.2858,8.4668,8.4112,0.9736,0.5263,0.4670,3.0317,3.7998,1.1738,1.3027,1.3233,6.4259,12.4569,4.0690,4.1911,4.1968,10.1060,2.0574,2.0074,2.0144,1.9949,2.0319,3.3410,4.4491,1.4764,1.5082,1.4645,0.0774,0.0208,0.0130,0.0130,0.0180,0.0126,3.3532,4.4221,1.5123,1.5756,1.3341,0.0825,0.0210,0.0171,0.0108,0.0195,0.0140
UBOJUS,-2.5383,-1.7149,-0.1874,-0.1081,0.1499,0.1539,2.2891,3.0689,3.0248,2.0978,29.1966,7.3591,7.2579,8.4245,0.9392,0.4591,0.4806,3.0324,3.8367,1.2027,1.1930,1.4409,6.3975,12.5237,4.1612,4.1819,4.1807,10.2659,2.0063,2.0322,2.0856,2.0611,2.0807,2.9634,3.6414,1.2113,1.1526,1.2776,0.2280,0.0436,0.0373,0.0589,0.0333,0.0549,3.3288,4.4289,1.4731,1.4270,1.5288,0.0823,0.0140,0.0134,0.0230,0.0109,0.0210
UDEGUH,-4.3759,-2.5100,0.1700,-0.0423,0.1263,0.1826,2.5489,3.3037,2.0841,2.0926,29.2231,7.1815,8.3554,8.3231,1.1365,0.8057,0.1305,3.0327,3.7544,1.2461,1.2962,1.2120,6.3580,12.5021,4.1414,4.2168,4.1438,9.9691,2.0206,2.0005,2.0577,1.9179,1.9724,3.3459,4.4263,1.4356,1.4411,1.5495,0.0941,0.0284,0.0162,0.0125,0.0228,0.0141,3.3663,4.3747,1.4700,1.3918,1.5128,0.0701,0.0129,0.0223,0.0070,0.0194,0.0085
ULUHUE,-3.3694,-2.9277,0.0666,-0.0272,0.0407,0.0949,2.5586,3.2519,2.0372,2.0233,29.0138,7.1865,8.4868,8.4603,0.9646,0.6663,0.5723,3.0348,3.7452,1.2441,1.2388,1.2622,6.3977,12.5123,4.1983,4.1567,4.1573,10.0229,2.0489,1.9573,2.0238,2.0417,1.9512,3.3544,4.5245,1.4585,1.4866,1.5795,0.0752,0.0167,0.0114,0.0167,0.0125,0.0180,3.3614,4.4578,1.4652,1.4903,1.5023,0.0805,0.0187,0.0095,0.0233,0.0093,0.0198
VANCET,-3.0076,-2.2401,-0.0218,-0.0780,0.0419,0.0868,2.2816,3.1605,2.0162,1.9315,29.0742,7.2658,8.4884,8.5416,0.9398,0.6216,0.4174,3.0280,3.8062,1.1647,1.3532,1.2884,6.4369,12.4730,4.0828,4.2072,4.1830,10.1116,2.0318,1.9775,2.0350,2.0197,2.0476,3.3573,4.5214,1.4649,1.5396,1.5168,0.0742,0.0200,0.0154,0.0099,0.0184,0.0105,3.3665,4.4614,1.4436,1.4158,1.6020,0.0799,0.0214,0.0148,0.0073,0.0241,0.0124
VEKTOW,-3.0389,-2.1581,-0.0955,-0.0626,-0.0399,0.1345,2.7699,3.1537,1.7065,1.9740,29.1720,7.2236,8.6791,8.4557,0.9474,0.6508,0.5252,3.0357,3.7867,1.2672,1.2227,1.2969,6.3799,12.5525,4.2225,4.1425,4.1876,10.1627,2.0770,1.9399,2.0448,2.0547,2.0463,3.3842,4.5818,1.5390,1.4573,1.5855,0.0694,0.0191,0.0106,0.0139,0.0125,0.0132,3.3574,4.4156,1.5010,1.4998,1.4148,0.0866,0.0195,0.0163,0.0204,0.0133,0.0172
