Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
OLUVIC,-3.9352,-1.0580,-0.1386,-0.1099,0.0165,0.0946,1.9710,3.0012,1.9831,2.9099,29.0696,7.3343,8.5246,7.1520,0.8802,0.5983,0.2934,3.0182,3.8497,1.2571,1.4268,1.1658,6.4254,12.4411,4.1559,4.1680,4.1172,10.2717,2.0539,2.0037,2.0494,2.0628,2.1019,3.3468,4.5575,1.4070,1.5840,1.5665,0.0739,0.0174,0.0235,0.0042,0.0255,0.0034,3.0314,3.5500,1.1791,1.1039,1.2671,0.2972,0.0737,0.0871,0.0356,0.0653,0.0356
PETNIO,-3.9402,-1.8310,-0.1421,-0.1168,0.2201,0.0439,2.1784,3.0633,3.3179,1.9775,29.1802,7.3158,7.0954,8.4439,0.9452,0.5960,0.3783,3.0186,3.8552,1.3266,1.3351,1.1935,6.4049,12.5096,4.1511,4.1859,4.1725,10.2273,2.0029,2.0683,2.0461,2.0411,2.0689,2.9588,3.5508,1.1375,1.2824,1.1309,0.2508,0.0333,0.0500,0.0722,0.0317,0.0636,3.3661,4.5144,1.4507,1.4990,1.5646,0.0702,0.0216,0.0114,0.0104,0.0124,0.0143
POPJEK,-4.4520,-1.6795,-0.0491,-0.1166,0.1367,0.1001,2.0490,3.0820,2.1090,3.3877,29.1734,7.2791,8.3607,6.8655,0.9935,0.1530,0.7222,3.0131,3.8577,1.4031,1.2963,1.1583,6.4530,12.4718,4.1646,4.2088,4.0984,10.1238,1.9855,2.0403,2.0255,2.0275,2.0450,3.3785,4.4108,1.4007,1.4442,1.5658,0.0682,0.0231,0.0075,0.0116,0.0102,0.0157,3.0103,3.5263,1.1908,1.2277,1.1078,0.3312,0.0438,0.0664,0.0901,0.0457,0.0852
POXPEX,-4.3162,0.8071,-0.0762,-0.1213,0.0183,0.0721,1.8632,3.0483,2.0982,3.0815,29.2807,7.2742,8.4289,7.2648,0.9517,0.0000,0.7136,3.0220,3.8638,1.3417,1.2660,1.2560,6.5150,12.3754,4.1372,4.1021,4.1361,10.1855,2.0188,2.0113,2.0316,2.0801,2.0438,3.4003,4.5096,1.4354,1.5723,1.5019,0.0661,0.0022,0.0166,0.0187,0.0076,0.0210,2.9843,3.7040,1.2044,1.2588,1.2408,0.2226,0.0315,0.0560,0.0466,0.0408,0.0477
PUKKEM,-3.8795,-0.8510,-0.1863,-0.1137,0.1916,-0.1177,2.1736,3.0109,3.2434,1.8388,29.1612,7.3243,7.1088,8.5991,0.8915,0.5230,0.4970,3.0170,3.8531,1.2937,1.3707,1.1887,6.4068,12.5343,4.1945,4.1470,4.1928,10.2450,2.0220,2.0462,2.0466,2.0763,2.0538,2.9691,3.5601,1.2458,1.0879,1.2264,0.2596,0.0415,0.0684,0.0451,0.0607,0.0439,3.3937,4.6509,1.5122,1.6158,1.5228,0.0682,0.0106,0.0214,0.0125,0.0118,0.0119
PUTYUA,-3.5731,-1.1256,-0.1912,-0.1291,0.1342,-0.0837,1.9501,2.9908,1.9093,1.8152,29.1134,7.3441,8.5433,8.6255,0.8947,0.3722,0.4872,3.0230,3.8631,1.3382,1.3538,1.1711,6.4113,12.4529,4.1634,4.1650,4.1245,10.3267,2.0819,2.0224,2.0541,2.0808,2.0876,3.3446,4.4379,1.4168,1.5626,1.4585,0.0777,0.0145,0.0213,0.0135,0.0131,0.0153,3.4066,4.6078,1.4321,1.5470,1.6287,0.0647,0.0222,0.0115,0.0070,0.0147,0.0093
QERCEW,-4.2041,-2.7316,-0.0816,-0.1148,0.0591,0.0599,1.9031,3.0860,1.9985,2.0014,29.0710,7.3217,8.4885,8.4879,0.9604,0.4000,0.4149,3.0110,3.8490,1.3142,1.3524,1.1824,6.4371,12.4415,4.1531,4.1635,4.1249,10.2026,1.9952,2.0535,2.0563,2.0546,2.0430,3.3772,4.4897,1.4392,1.4535,1.5970,0.0685,0.0127,0.0189,0.0129,0.0125,0.0116,3.3763,4.4896,1.5278,1.4920,1.4698,0.0686,0.0041,0.0153,0.0166,0.0102,0.0225
REXDUW,-3.8455,-2.1185,-0.1159,-0.0742,0.1484,-0.1117,2.4636,3.0833,2.0482,1.8563,28.9973,7.2676,8.3831,8.6164,0.8900,0.1224,0.6592,3.0278,3.8054,1.3471,1.2897,1.1686,6.3687,12.5111,4.1987,4.2036,4.1088,10.2357,1.9593,2.0385,2.0743,2.0915,2.0721,3.3617,4.4137,1.4290,1.4801,1.5046,0.0702,0.0219,0.0069,0.0132,0.0096,0.0185,3.3830,4.6561,1.5115,1.6033,1.5413,0.0680,0.0114,0.0192,0.0107,0.0148,0.0119
SODRUA,-4.4719,-1.6700,-0.0356,-0.1173,0.0964,0.1366,2.0305,3.0787,3.3848,2.1104,29.1846,7.2801,6.8382,8.3543,0.9909,0.7286,0.1282,3.0130,3.8590,1.2981,1.2437,1.3172,6.4615,12.4624,4.1621,4.1881,4.1122,10.1113,1.9902,2.0465,2.0220,2.0309,2.0218,3.0109,3.5296,1.2153,1.1950,1.1193,0.3309,0.0799,0.0422,0.0744,0.0617,0.0727,3.3820,4.4079,1.4638,1.5050,1.4391,0.0678,0.0230,0.0077,0.0111,0.0112,0.0148
SOHRIQ01,-4.0373,-0.3410,-0.1361,-0.1221,0.1815,0.0939,1.8880,2.9323,2.0802,3.0032,29.1320,7.3808,8.3808,7.2251,0.8151,0.2647,0.6001,3.0278,3.8613,1.2532,1.4127,1.1954,6.4257,12.4340,4.1099,4.2282,4.0960,10.2762,2.0286,2.0434,2.0542,2.0624,2.0876,3.3400,4.3938,1.4480,1.5892,1.3566,0.0785,0.0210,0.0215,0.0052,0.0258,0.0050,2.9856,3.6856,1.2155,1.3028,1.1672,0.2156,0.0352,0.0386,0.0612,0.0335,0.0471
