Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
OLUVIC,-3.2525,-1.3365,-0.1187,-0.1080,0.0202,0.0869,2.0693,3.0376,1.9690,2.9065,29.1094,7.3587,8.5301,7.1699,0.8934,0.6275,0.3296,3.0247,3.8420,1.2577,1.4166,1.1677,6.4435,12.4495,4.1577,4.1730,4.1189,10.2253,2.0469,1.9884,2.0436,2.0524,2.0941,3.3513,4.5489,1.4073,1.5819,1.5597,0.0743,0.0178,0.0237,0.0043,0.0252,0.0034,3.0352,3.5540,1.1783,1.1073,1.2684,0.2970,0.0742,0.0867,0.0357,0.0650,0.0353
PETNIO,-3.2813,-2.0810,-0.1161,-0.1098,0.2092,0.0470,2.2793,3.1075,3.3047,1.9842,29.2108,7.3344,7.1148,8.4418,0.9540,0.6364,0.4030,3.0257,3.8415,1.3193,1.3288,1.1934,6.4198,12.5249,4.1559,4.1913,4.1778,10.1711,1.9962,2.0629,2.0427,2.0281,2.0413,2.9625,3.5565,1.1416,1.2824,1.1325,0.2522,0.0339,0.0500,0.0722,0.0322,0.0638,3.3702,4.5067,1.4500,1.4999,1.5568,0.0706,0.0212,0.0116,0.0106,0.0129,0.0143
POPJEK,-3.8456,-2.0142,-0.0340,-0.1117,0.1369,0.0866,2.1144,3.1273,2.1071,3.3754,29.2215,7.2978,8.3563,6.8772,1.0045,0.1713,0.7584,3.0201,3.8462,1.3926,1.2940,1.1597,6.4695,12.4866,4.1713,4.2119,4.1033,10.0775,1.9754,2.0386,2.0189,2.0070,2.0376,3.3818,4.4070,1.4008,1.4450,1.5612,0.0685,0.0227,0.0076,0.0118,0.0107,0.0157,3.0138,3.5356,1.1972,1.2292,1.1092,0.3319,0.0438,0.0660,0.0901,0.0465,0.0855
POXPEX,-3.5898,0.4956,-0.0766,-0.1225,0.0217,0.0695,1.8567,3.0608,2.0859,3.0918,29.3302,7.3001,8.4299,7.2828,0.9458,0.0000,0.7072,3.0283,3.8595,1.3397,1.2650,1.2549,6.5372,12.3826,4.1411,4.1050,4.1365,10.1566,2.0138,2.0020,2.0241,2.0768,2.0398,3.4037,4.5030,1.4322,1.5692,1.5016,0.0658,0.0022,0.0168,0.0186,0.0075,0.0207,2.9901,3.6994,1.2037,1.2553,1.2404,0.2239,0.0314,0.0566,0.0470,0.0410,0.0479
PUKKEM,-3.1574,-1.1867,-0.1694,-0.1132,0.1831,-0.1122,2.2693,3.0397,3.2490,1.8448,29.2011,7.3489,7.1228,8.6033,0.9047,0.5603,0.5192,3.0233,3.8470,1.2922,1.3657,1.1891,6.4249,12.5486,4.1979,4.1541,4.1966,10.1957,2.0106,2.0270,2.0410,2.0724,2.0446,2.9730,3.5636,1.2458,1.0927,1.2250,0.2607,0.0417,0.0684,0.0457,0.0606,0.0443,3.3984,4.6407,1.5075,1.6116,1.5216,0.0682,0.0106,0.0212,0.0124,0.0120,0.0119
PUTYUA,-2.8142,-1.4640,-0.1697,-0.1266,0.1381,-0.0749,2.0396,3.0166,1.8720,1.7862,29.1405,7.3668,8.5550,8.6362,0.8955,0.4017,0.5093,3.0296,3.8548,1.3328,1.3500,1.1720,6.4301,12.4627,4.1659,4.1695,4.1273,10.2766,2.0668,2.0153,2.0407,2.0744,2.0795,3.3491,4.4287,1.4152,1.5540,1.4595,0.0785,0.0147,0.0209,0.0137,0.0137,0.0155,3.4127,4.5931,1.4278,1.5471,1.6182,0.0646,0.0217,0.0117,0.0070,0.0148,0.0093
QERCEW,-3.7023,-2.9035,-0.0360,-0.0929,0.0589,0.0597,2.0595,3.1775,1.9960,1.9984,29.1086,7.3162,8.4855,8.4845,0.9751,0.4525,0.4672,3.0203,3.8175,1.3018,1.3338,1.1819,6.4497,12.4533,4.1567,4.1667,4.1299,10.1326,1.9928,2.0382,2.0554,2.0308,2.0155,3.3810,4.4856,1.4408,1.4495,1.5953,0.0690,0.0125,0.0187,0.0128,0.0131,0.0118,3.3802,4.4854,1.5209,1.4921,1.4725,0.0691,0.0042,0.0157,0.0168,0.0101,0.0223
REXDUW,-3.3752,-2.2767,-0.0824,-0.0648,0.1519,-0.1044,2.5814,3.1214,2.0294,1.8404,29.0145,7.2843,8.3853,8.6175,0.9072,0.1363,0.6743,3.0353,3.7892,1.3268,1.2916,1.1708,6.3786,12.5213,4.2015,4.2055,4.1143,10.1821,1.9399,2.0285,2.0717,2.0787,2.0632,3.3653,4.4063,1.4266,1.4800,1.4997,0.0703,0.0217,0.0070,0.0133,0.0098,0.0185,3.3881,4.6439,1.5100,1.5929,1.5410,0.0679,0.0116,0.0187,0.0108,0.0148,0.0119
SODRUA,-3.8680,-2.0351,-0.0204,-0.1122,0.0831,0.1366,2.0930,3.1252,3.3731,2.1080,29.2346,7.2990,6.8405,8.3495,1.0027,0.7604,0.1448,3.0201,3.8475,1.2936,1.2446,1.3093,6.4781,12.4768,4.1666,4.1903,4.1199,10.0651,1.9812,2.0414,2.0078,2.0169,2.0178,3.0144,3.5386,1.2178,1.1944,1.1264,0.3319,0.0801,0.0423,0.0756,0.0617,0.0722,3.3852,4.4044,1.4616,1.5051,1.4377,0.0679,0.0227,0.0078,0.0113,0.0115,0.0146
SOHRIQ01,-3.2778,-0.7130,-0.1256,-0.1225,0.1809,0.0913,1.9376,2.9462,2.0741,3.0182,29.1690,7.4071,8.3847,7.2333,0.8178,0.2850,0.6136,3.0338,3.8567,1.2525,1.4085,1.1957,6.4472,12.4414,4.1135,4.2293,4.0985,10.2368,2.0197,2.0321,2.0508,2.0594,2.0748,3.3437,4.3896,1.4470,1.5873,1.3553,0.0796,0.0209,0.0226,0.0054,0.0258,0.0050,2.9901,3.6823,1.2144,1.3003,1.1676,0.2169,0.0358,0.0389,0.0611,0.0334,0.0477
