Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
HUKPUY,-7.0124,1.2643,-0.2301,-0.0451,0.0670,0.0712,1.2019,2.6689,1.8605,1.8971,28.6620,7.6199,8.5946,8.6025,0.7566,0.1064,0.3235,2.9921,3.8294,1.3006,1.3700,1.1588,6.3369,12.5523,4.1940,4.1694,4.1889,10.3367,2.0373,2.0792,2.0508,2.0933,2.0761,3.3599,4.5016,1.5257,1.4437,1.5322,0.0663,0.0090,0.0169,0.0167,0.0102,0.0135,3.3285,4.5229,1.4260,1.4553,1.6415,0.0719,0.0214,0.0145,0.0079,0.0202,0.0078
KEVSUB,-7.1479,2.7253,-0.1444,-0.0736,-0.0824,0.0550,1.1249,2.6136,1.5623,1.9446,28.7176,7.6403,8.8472,8.5096,0.6729,0.4670,0.0000,3.0039,3.8540,1.1708,1.2674,1.4157,6.4149,12.4520,4.1237,4.2083,4.1200,10.2737,2.0248,2.0522,2.0586,2.0678,2.0702,3.3453,4.6664,1.4554,1.6460,1.5650,0.0660,0.0132,0.0201,0.0083,0.0165,0.0079,3.3820,4.4931,1.4161,1.4626,1.6144,0.0642,0.0236,0.0065,0.0113,0.0082,0.0145
MELTEF,-6.8001,2.4530,-0.2261,-0.0684,0.0835,-0.0032,0.9893,2.5465,1.8456,1.7283,28.5777,7.6762,8.5691,8.7011,0.5986,0.1024,0.2898,3.0068,3.8481,1.0759,1.2722,1.5000,6.3293,12.5101,4.0543,4.2604,4.1954,10.3831,2.0545,2.0400,2.1009,2.0317,2.1560,3.3480,4.4961,1.4457,1.5544,1.4959,0.0672,0.0215,0.0133,0.0059,0.0194,0.0071,3.3366,4.5956,1.4454,1.5548,1.5954,0.0661,0.0178,0.0154,0.0071,0.0179,0.0079
MIRNIN,-6.9753,2.7216,-0.2269,-0.0633,0.1217,-0.1111,1.1137,2.5853,1.8888,1.5388,28.6321,7.6839,8.5406,8.8140,0.6446,0.1118,0.3271,3.0064,3.8428,1.3762,1.3070,1.1597,6.3283,12.5160,4.1752,4.1890,4.1518,10.3796,2.0427,2.0785,2.0632,2.0857,2.1095,3.3434,4.4600,1.4559,1.4686,1.5354,0.0695,0.0223,0.0142,0.0048,0.0221,0.0061,3.3764,4.6693,1.5405,1.6552,1.4736,0.0610,0.0071,0.0209,0.0106,0.0094,0.0130
NADVUN,-7.0404,1.2840,-0.2708,-0.0330,0.2509,0.2507,1.4300,2.7028,3.1257,3.1019,28.7218,7.5657,7.3816,7.3845,0.7718,0.3194,0.2970,2.9907,3.8192,1.3920,1.3275,1.0997,6.3044,12.6305,4.2136,4.2220,4.1950,10.3322,2.0391,2.0688,2.0557,2.0789,2.0897,2.9507,3.5437,1.1497,1.2661,1.1279,0.2362,0.0265,0.0577,0.0628,0.0337,0.0555,2.9514,3.5435,1.1745,1.1118,1.2572,0.2360,0.0465,0.0391,0.0535,0.0346,0.0622
OLUVIC,-6.6176,2.3393,-0.2733,-0.0462,-0.0304,0.1449,1.0299,2.5364,1.6819,2.7460,28.5745,7.6658,8.7405,7.3203,0.5936,0.3279,0.0000,2.9967,3.8314,1.2302,1.4712,1.1301,6.3254,12.5389,4.1927,4.2018,4.1444,10.4053,2.0766,2.0574,2.0681,2.0862,2.1170,3.3339,4.6240,1.4047,1.6133,1.6060,0.0676,0.0152,0.0202,0.0035,0.0257,0.0028,3.0181,3.5288,1.1700,1.1037,1.2552,0.2823,0.0681,0.0842,0.0327,0.0636,0.0337
PETNIO,-6.8841,1.4647,-0.2744,-0.0489,0.2363,-0.0020,1.3069,2.6294,3.1009,1.7193,28.6765,7.6317,7.3611,8.6492,0.7045,0.3467,0.2012,2.9972,3.8330,1.3296,1.3343,1.1690,6.3177,12.5886,4.1828,4.2133,4.1924,10.3641,2.0384,2.0810,2.0594,2.0707,2.1146,2.9488,3.5633,1.1455,1.2912,1.1265,0.2328,0.0277,0.0470,0.0714,0.0281,0.0586,3.3527,4.5801,1.4689,1.5124,1.5989,0.0641,0.0222,0.0100,0.0091,0.0099,0.0129
POPJEK,-7.2301,1.7998,-0.1786,-0.0414,0.0842,0.1622,1.3917,2.7049,1.8936,3.1980,28.7310,7.5692,8.5333,7.0718,0.8138,0.0000,0.4714,2.9910,3.8289,1.4181,1.2832,1.1277,6.3617,12.5529,4.1894,4.2527,4.1107,10.2595,2.0245,2.0469,2.0444,2.0709,2.0727,3.3675,4.4789,1.4232,1.4555,1.6001,0.0641,0.0236,0.0065,0.0104,0.0082,0.0154,3.0012,3.4859,1.1667,1.2178,1.1013,0.3187,0.0405,0.0672,0.0887,0.0419,0.0803
POXPEX,-7.2083,3.0378,-0.1414,-0.0561,-0.0464,0.0897,1.2477,2.6354,1.8854,2.7887,28.7532,7.6128,8.5969,7.5840,0.7206,0.0000,0.4848,3.0008,3.8428,1.3412,1.2578,1.2438,6.4044,12.4601,4.1563,4.1247,4.1791,10.2738,2.0335,2.0420,2.0570,2.0871,2.0541,3.3968,4.5807,1.4716,1.6029,1.5063,0.0635,0.0020,0.0149,0.0178,0.0072,0.0216,2.9682,3.7228,1.2066,1.2784,1.2377,0.2031,0.0301,0.0496,0.0408,0.0367,0.0459
PUKKEM,-6.8563,2.6166,-0.3105,-0.0414,0.2259,-0.1485,1.3435,2.6138,3.0626,1.5336,28.6940,7.6337,7.3893,8.8040,0.6723,0.2974,0.3083,2.9970,3.8248,1.2812,1.3809,1.1627,6.3145,12.6168,4.2361,4.1588,4.2218,10.3755,2.0536,2.0949,2.0641,2.0905,2.0724,2.9559,3.5599,1.2456,1.0864,1.2279,0.2395,0.0391,0.0610,0.0400,0.0600,0.0394,3.3779,4.7036,1.5324,1.6375,1.5337,0.0624,0.0095,0.0207,0.0115,0.0095,0.0112
PUTYUA,-6.7262,2.5034,-0.2912,-0.0627,0.0749,-0.1397,1.1270,2.5452,1.5892,1.5229,28.6152,7.6709,8.7830,8.8283,0.6029,0.1803,0.2974,3.0023,3.8416,1.3428,1.3573,1.1415,6.3108,12.5410,4.2037,4.1882,4.1491,10.4358,2.1117,2.0567,2.0741,2.0929,2.1003,3.3298,4.5202,1.4405,1.6028,1.4768,0.0699,0.0122,0.0219,0.0121,0.0100,0.0138,3.3887,4.6852,1.4468,1.5658,1.6725,0.0615,0.0228,0.0099,0.0062,0.0138,0.0088
QERCEW,-7.0592,0.6087,-0.1894,-0.0422,0.0065,0.0071,1.2317,2.6859,1.7619,1.7652,28.6793,7.6240,8.6756,8.6768,0.7699,0.2356,0.2435,2.9879,3.8261,1.3104,1.3607,1.1550,6.3385,12.5167,4.1856,4.1905,4.1406,10.3301,2.0284,2.0741,2.0686,2.0870,2.0721,3.3635,4.5619,1.4602,1.4896,1.6122,0.0631,0.0123,0.0186,0.0121,0.0100,0.0101,3.3627,4.5620,1.5697,1.5276,1.4647,0.0632,0.0031,0.0132,0.0151,0.0097,0.0221
REXDUW,-6.2601,0.9045,-0.4085,-0.0491,0.0973,-0.1411,1.1379,2.5472,1.8282,1.5496,28.5906,7.6636,8.5546,8.8351,0.5601,0.0000,0.3706,3.0017,3.8305,1.4533,1.2517,1.1255,6.2931,12.6173,4.2520,4.2443,4.1211,10.4937,2.0935,2.0940,2.0746,2.1287,2.1029,3.3514,4.4797,1.4492,1.4905,1.5399,0.0661,0.0219,0.0058,0.0119,0.0083,0.0181,3.3669,4.7069,1.5157,1.6460,1.5452,0.0629,0.0100,0.0200,0.0093,0.0135,0.0102
