Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
FUCKOD01,-3.2168,-2.6049,0.5120,-0.9874,-0.5448,-0.4780,2.1423,2.7966,1.8344,2.9867,28.6310,7.3750,8.4395,6.7589,0.8076,0.3034,0.5684,3.2180,4.1560,1.3455,1.3296,1.4809,6.3527,12.4868,4.1800,4.1728,4.1339,9.6486,1.9447,1.8577,1.9534,1.9709,1.9218,3.5331,4.7248,1.5052,1.6146,1.6050,0.2869,0.0706,0.0594,0.0460,0.0611,0.0498,3.1006,3.6490,1.1948,1.1648,1.2894,0.7283,0.1483,0.0871,0.1757,0.1151,0.2022
GAPNIW,-3.3518,-2.6039,0.4920,-0.9990,-0.4487,-0.5304,1.9785,2.7656,3.7072,2.0528,28.6536,7.3655,7.0514,8.5170,0.8060,0.4672,0.3215,3.2181,4.1650,1.4580,1.4292,1.2778,6.3565,12.4502,4.1365,4.1793,4.1344,9.7013,1.9077,1.9661,1.9642,1.9418,1.9216,3.0942,3.6651,1.1997,1.3528,1.1126,0.6894,0.1105,0.1465,0.1542,0.1186,0.1595,3.5128,4.6714,1.5002,1.5434,1.6277,0.3462,0.0696,0.0656,0.0621,0.0842,0.0647
GAQZAB,-3.4753,-2.7122,0.5321,-0.9860,-0.5232,-0.5050,2.0303,2.8061,2.0514,3.6063,28.5919,7.3733,8.5163,7.1168,0.8217,0.3315,0.4475,3.2134,4.1579,1.2539,1.3541,1.5499,6.3427,12.4473,4.1418,4.1825,4.1230,9.6779,1.8937,1.9464,1.9523,1.9822,1.9033,3.5123,4.6686,1.5492,1.5092,1.6102,0.3423,0.0978,0.0518,0.0624,0.0659,0.0644,3.1068,3.6912,1.1907,1.2918,1.2087,0.7070,0.1341,0.1426,0.1168,0.1726,0.1409
GUZZAD,-2.8307,-1.9071,0.4724,-1.0241,-0.6341,-0.5030,1.7641,2.6279,1.8989,1.9084,28.6395,7.4250,8.4763,8.4206,0.7518,0.3920,0.2948,3.2255,4.1986,1.4800,1.4522,1.2664,6.3879,12.4192,4.1807,4.1405,4.0979,9.7206,1.8902,1.9712,1.9683,1.9618,1.9291,3.5123,4.7910,1.5586,1.6189,1.6134,0.3309,0.0644,0.0590,0.0762,0.0588,0.0726,3.5186,4.6650,1.5320,1.5346,1.5984,0.3194,0.0565,0.0566,0.0791,0.0461,0.0812
HTCDOD,-2.7553,-1.5276,0.4741,-1.0159,-0.7940,-0.5851,1.9600,2.5986,1.6054,1.9155,28.6645,7.3697,8.5578,8.3377,0.7191,0.4885,0.3789,3.2276,4.1912,1.3034,1.4611,1.4267,6.3847,12.4575,4.0909,4.1920,4.1746,9.6837,1.9307,1.9505,1.8636,1.9542,1.9847,3.5396,4.8886,1.6266,1.6685,1.5935,0.3658,0.0529,0.0748,0.0874,0.0842,0.0665,3.5341,4.6912,1.5991,1.6107,1.4814,0.3598,0.0703,0.0770,0.0637,0.0922,0.0567
HUKPUY,-3.1924,-2.7140,0.4444,-1.0082,-0.4859,-0.5105,1.7066,2.7510,2.0348,2.0486,28.5911,7.3797,8.4485,8.4593,0.7860,0.2243,0.4149,3.2085,4.1755,1.4159,1.4904,1.2692,6.4029,12.4440,4.1534,4.1435,4.1471,9.7087,1.9230,1.9415,1.9204,1.9701,1.9537,3.5398,4.6719,1.5803,1.5079,1.5838,0.2742,0.0471,0.0624,0.0501,0.0567,0.0579,3.5029,4.6854,1.4620,1.5069,1.7165,0.3221,0.0712,0.0772,0.0449,0.0785,0.0504
KEVSUB,-2.9441,-0.5296,0.3880,-1.0532,-0.7695,-0.4163,1.3518,2.5305,1.6226,2.0952,28.6921,7.4470,8.6393,8.3660,0.6921,0.4908,0.0000,3.2217,4.2281,1.2801,1.3721,1.5759,6.5342,12.3589,4.0964,4.1621,4.1003,9.7189,1.8839,1.9616,1.9414,1.9727,1.9593,3.5273,4.8736,1.5146,1.7142,1.6448,0.3685,0.0813,0.0841,0.0665,0.0847,0.0520,3.5394,4.6549,1.4640,1.4829,1.7079,0.2220,0.0625,0.0353,0.0467,0.0340,0.0434
MELTEF,-2.7421,-1.9415,0.4696,-1.0270,-0.4854,-0.6514,1.7345,2.6181,2.0259,1.8884,28.6574,7.4387,8.3829,8.4894,0.7493,0.2730,0.4128,3.2263,4.2013,1.1844,1.3718,1.6451,6.4017,12.4059,4.0450,4.2040,4.1569,9.7228,1.9409,1.9594,1.9542,1.9403,1.9280,3.5253,4.6566,1.4828,1.6421,1.5316,0.3035,0.0658,0.0735,0.0463,0.0728,0.0451,3.5206,4.8021,1.5025,1.6022,1.6973,0.3287,0.0826,0.0607,0.0547,0.0789,0.0518
MIRNIN,-2.6940,-1.2255,0.3901,-1.0402,-0.4506,-0.7508,1.5941,2.5809,2.0402,1.5277,28.7293,7.4348,8.4080,8.6264,0.7286,0.2650,0.4237,3.2254,4.2114,1.5101,1.4266,1.2748,6.4367,12.4209,4.1400,4.1577,4.1232,9.7523,1.8711,1.9624,1.9528,1.9786,1.9875,3.5263,4.6276,1.4781,1.5483,1.6012,0.2968,0.0682,0.0700,0.0422,0.0779,0.0384,3.5578,4.8524,1.5966,1.7258,1.5300,0.3405,0.0558,0.0764,0.0734,0.0754,0.0596
NADVUN,-3.4543,-2.5744,0.4447,-0.9891,-0.6493,-0.6485,2.3484,2.9281,3.3638,3.3548,28.8009,7.3304,6.9944,6.9924,0.8947,0.5562,0.5476,3.2108,4.1489,1.5037,1.4343,1.2110,6.3487,12.5366,4.1758,4.1905,4.1703,9.6700,1.9188,1.9569,1.9482,1.8838,1.9622,3.1641,3.8707,1.2784,1.3854,1.2069,0.6145,0.0812,0.1372,0.1518,0.0956,0.1487,3.1651,3.8702,1.3142,1.2162,1.3398,0.6132,0.1080,0.1102,0.1470,0.0979,0.1500
