Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
TUHXAV01,-3.2514,-2.5674,0.5666,-0.9812,-0.6021,-0.5630,1.9654,2.7743,1.9304,1.9476,28.5119,7.4122,8.4490,8.3617,0.7734,0.3796,0.3880,3.2194,4.1503,1.2700,1.4134,1.4669,6.3434,12.4205,4.0588,4.1795,4.1822,9.6695,1.9757,1.9302,1.9144,1.9432,1.9059,3.5105,4.7380,1.5585,1.5936,1.5859,0.3536,0.0957,0.0528,0.0672,0.0732,0.0647,3.5218,4.6965,1.5936,1.6696,1.4334,0.3447,0.0773,0.0681,0.0560,0.0824,0.0608
UBOJUS,-2.5656,-1.7306,0.4339,-1.0310,-0.7028,-0.5247,2.0288,2.5943,2.9388,2.0841,28.7831,7.4066,6.9291,8.4544,0.7559,0.5230,0.3230,3.2226,4.2033,1.2798,1.2675,1.6560,6.3364,12.4831,4.1499,4.1671,4.1660,9.7466,1.9011,1.9430,1.9724,1.9586,1.9716,3.1582,3.9770,1.3617,1.2556,1.3597,0.5677,0.1155,0.0995,0.1353,0.0910,0.1263,3.4911,4.6908,1.5913,1.4845,1.6150,0.3428,0.0722,0.0508,0.0870,0.0471,0.0857
UDEGUH,-4.5025,-2.5459,0.6584,-0.9166,-0.5504,-0.4263,2.3914,2.9403,1.9269,1.9989,28.5678,7.4372,8.3537,8.3843,0.8768,0.4792,0.1039,3.2161,4.0788,1.3805,1.3782,1.3200,6.2863,12.4848,4.1272,4.2238,4.1339,9.5704,1.9427,1.9230,1.9640,1.8696,1.8710,3.5095,4.6949,1.4936,1.5266,1.6747,0.3461,0.0856,0.0605,0.0591,0.0849,0.0560,3.5301,4.6297,1.5244,1.5090,1.5964,0.2665,0.0479,0.0709,0.0380,0.0646,0.0452
ULUHUE,-3.4956,-3.0349,0.6306,-0.9160,-0.6545,-0.5983,2.1657,2.9653,1.8952,1.9354,28.4261,7.2570,8.5071,8.4168,0.7599,0.4352,0.4696,3.2253,4.0724,1.3173,1.3779,1.3772,6.3045,12.4675,4.1853,4.1426,4.1396,9.5974,1.9591,1.8674,1.9473,1.9416,1.8819,3.5176,4.8046,1.5617,1.5499,1.6931,0.3323,0.0664,0.0586,0.0754,0.0580,0.0739,3.5242,4.7259,1.5803,1.5538,1.5917,0.3483,0.0782,0.0428,0.0916,0.0463,0.0894
VANCET,-3.0839,-2.3068,0.5443,-0.9896,-0.6547,-0.6243,1.9808,2.8436,1.8890,1.8522,28.5602,7.2942,8.4733,8.5024,0.7618,0.4417,0.3563,3.2153,4.1608,1.2339,1.5288,1.3980,6.3524,12.4343,4.0753,4.1926,4.1663,9.6690,1.9611,1.9094,1.9375,1.9476,1.9134,3.5231,4.8019,1.5385,1.6368,1.6265,0.3297,0.0727,0.0746,0.0550,0.0801,0.0473,3.5320,4.7131,1.4964,1.4918,1.7249,0.3792,0.0880,0.0681,0.0560,0.0963,0.0709
VEKTOW,-3.1212,-2.2219,0.5826,-0.9653,-0.7683,-0.5800,2.5358,2.7996,1.5643,1.8247,28.7235,7.2298,8.5883,8.4094,0.7801,0.4930,0.4713,3.2293,4.1311,1.3687,1.3432,1.4192,6.2922,12.5014,4.2113,4.1246,4.1655,9.6238,1.9567,1.8287,1.9395,1.9379,1.9609,3.5431,4.8246,1.6161,1.5207,1.6878,0.4006,0.1142,0.0746,0.0743,0.0729,0.0646,3.5221,4.6826,1.6015,1.5879,1.4932,0.3753,0.0864,0.0679,0.0826,0.0605,0.0779
VILZEV,-3.1095,-1.8789,0.3811,-1.0439,-0.5966,-0.5262,1.2666,2.6018,1.8295,1.8451,28.6079,7.3847,8.5266,8.4174,0.7170,0.3620,0.0000,3.2136,4.2229,1.5781,1.4314,1.2134,6.5476,12.3535,4.1577,4.1396,4.0562,9.7178,1.8733,1.9439,1.9526,1.9771,1.9709,3.4916,4.7651,1.5476,1.5433,1.6741,0.3399,0.0800,0.0644,0.0648,0.0655,0.0652,3.5541,4.7437,1.6391,1.6261,1.4785,0.2284,0.0170,0.0603,0.0571,0.0305,0.0634
VUXRAH,-3.2399,-2.8493,0.5763,-0.9402,-0.5735,-0.8027,2.1789,2.8887,1.9649,1.6765,28.5128,7.2666,8.4136,8.6277,0.7124,0.4629,0.5087,3.2244,4.0973,1.2513,1.4384,1.4076,6.3378,12.4770,4.1223,4.1939,4.1608,9.6089,1.9643,1.8822,1.9146,1.9506,1.8972,3.5308,4.6988,1.5010,1.4846,1.7132,0.3440,0.0795,0.0701,0.0490,0.0893,0.0560,3.5691,4.8995,1.6887,1.4774,1.7333,0.3341,0.0759,0.0466,0.0822,0.0607,0.0688
WEGNON,-3.6133,-2.3277,0.4883,-0.9979,-0.4035,-0.4542,1.8396,2.9027,3.3020,1.9498,28.6109,7.2728,6.7107,8.4279,0.9169,0.4020,0.1256,3.2052,4.1735,1.4874,1.3674,1.3187,6.4149,12.4476,4.1278,4.2235,4.0963,9.6492,1.8871,1.9797,1.9130,1.9345,1.9347,3.0800,3.6039,1.1898,1.2729,1.1412,0.7195,0.1455,0.1090,0.1758,0.1143,0.1750,3.5408,4.6497,1.5124,1.5002,1.6370,0.2638,0.0605,0.0366,0.0587,0.0388,0.0692
WELSUD,-3.8027,-1.7214,0.6152,-0.9898,-0.4219,-0.5249,2.2699,2.8504,2.0527,1.8756,28.6481,7.2973,8.3770,8.4486,0.8414,0.1258,0.4955,3.2088,4.1682,1.3297,1.5969,1.2416,6.2954,12.4431,4.2121,4.1232,4.1078,9.6464,1.9889,1.8842,1.9489,1.8502,1.9743,3.5333,4.6433,1.5244,1.5159,1.6030,0.2453,0.0412,0.0305,0.0776,0.0298,0.0661,3.5032,4.6903,1.5056,1.5793,1.6053,0.3315,0.0765,0.0720,0.0483,0.0774,0.0573
WIBNAY,-3.5830,-2.3296,0.5213,-0.8185,-0.6555,-0.4530,2.1754,3.0118,3.2779,3.6250,28.7857,7.3636,7.0631,6.7829,0.4345,0.5140,0.3807,3.1682,4.0080,1.2421,1.3310,1.4349,6.2789,12.4711,4.1143,4.1909,4.1659,9.7288,1.9756,1.9454,1.8990,1.9448,1.9639,3.1763,3.8863,1.3312,1.2407,1.3143,0.5930,0.1227,0.1215,0.1166,0.1261,0.1060,3.0586,3.6249,1.3083,1.2109,1.1056,0.7695,0.1346,0.1400,0.1515,0.1419,0.2015
XIFKON01,-3.2555,-1.2333,0.4183,-1.0305,-0.6789,-0.6684,1.8008,2.7390,3.4161,2.5179,28.7804,7.3646,7.0426,7.3905,0.8393,0.6540,0.0000,3.2126,4.2137,1.5812,1.3141,1.3185,6.4893,12.4067,4.1759,4.1263,4.1044,9.6858,1.9022,1.9246,1.9501,1.9425,1.9664,3.1495,3.9258,1.3655,1.3194,1.2408,0.6037,0.0889,0.1228,0.1532,0.0995,0.1392,3.2130,3.9748,1.4276,1.3156,1.2316,0.4806,0.0620,0.0983,0.1349,0.0724,0.1130
XITCIM,-2.7274,-2.1292,0.4684,-1.0268,-0.5074,-0.4039,1.8223,2.6337,1.9908,3.2352,28.6576,7.4400,8.4984,7.2902,0.7515,0.3325,0.4212,3.2171,4.1999,1.4462,1.4555,1.2983,6.3879,12.4240,4.1467,4.1595,4.1178,9.7197,1.9171,1.9524,1.9581,1.9603,1.9317,3.5222,4.6830,1.5275,1.6545,1.5010,0.3022,0.0498,0.0538,0.0837,0.0447,0.0702,3.0906,3.6954,1.3194,1.0255,1.3505,0.6179,0.1553,0.0744,0.1445,0.0842,0.1596
YORBAL,-2.7753,-2.1077,0.4484,-1.0165,-0.6971,-0.6747,2.1769,2.7180,2.9420,3.3201,28.8288,7.3433,6.9824,7.0311,0.7582,0.4628,0.5663,3.2222,4.1857,1.3234,1.6080,1.2543,6.3592,12.4890,4.1754,4.1601,4.1535,9.7034,1.9383,1.9462,1.9568,1.9124,1.9497,3.1636,3.9733,1.4201,1.1735,1.3798,0.5603,0.1258,0.0634,0.1365,0.0867,0.1478,3.1690,3.8807,1.2174,1.4565,1.2068,0.6251,0.0815,0.1258,0.1680,0.0824,0.1674
ZZZLWW03,-2.8291,-1.8895,0.3535,-1.0173,-0.1771,-0.5447,2.0109,2.7882,1.9263,1.9371,28.6827,7.3102,16.5260,8.4485,0.7282,0.6144,0.3348,3.2115,4.1922,1.2218,1.5050,1.4654,6.4179,12.4911,4.0722,4.2528,4.1660,9.7376,1.9398,1.9274,1.9562,1.9635,1.9506,5.4679,10.4595,3.1989,3.5534,3.7072,0.2497,0.0579,0.0508,0.0276,0.0908,0.0226,3.5201,4.6999,1.4419,1.7186,1.5393,0.3247,0.0756,0.0850,0.0428,0.0913,0.0300
