Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,PC_Buried_Volume_35A,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-N,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_Cu,Atomic_Population_I,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_dyz,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,ImgFreq,Ea
SALBOZ,81.55,4.07,185.69,35.1,19.1,-2.9102,-1.5679,2.1,1.93,89.37,101.76,0.3697,-0.3255,-0.1692,0.1047,1.1994,2.052,28.8679,25.2513,0.2193,0.8579,0.6308,3.2375,1.2589,1.3021,1.4495,3.7228,3.91,4.2343,9.7984,1.4267,0.0802,1.7324,1.5499,0.4493,-102.5,14.5
XURKUS,89,0.02,180.84,31.3,12.5,-3.5031,-2.1633,2.13,1.95,89.93,98.86,0.3403,-0.312,-0.1515,0.1703,1.357,2.0621,28.8061,25.1845,0.4028,0.7995,0.6606,3.2405,1.3033,1.2649,1.4269,3.7136,3.9129,4.203,9.8533,1.5358,0.0835,1.5423,1.5721,0.3405,-150.73,14.4
AJISOD,64.82,0.52,220.84,35.4,19.8,-3.205,-1.4822,2.08,1.95,89.51,100.29,0.1645,-0.342,-0.1652,0.1326,1.2651,2.9625,28.8038,25.2043,0.2767,0.8535,0.6115,3.2389,1.3279,1.2305,1.468,3.7225,3.9089,4.23,9.8671,1.3713,0.008,1.2812,1.2344,0.0868,-93.18,14.4
CAKPUZ,89.73,6.86,183.55,31,13.9,-3.4385,-2.0797,2.1,1.95,90.08,100.61,0.3639,-0.3102,-0.1493,0.1304,1.2706,1.984,28.8063,25.2294,0.3298,0.8055,0.6585,3.2403,1.2799,1.2865,1.4267,3.7243,3.899,4.2004,9.8436,1.5052,0.0817,1.5097,1.6795,0.3882,-160.56,14.4
PAMQUS,85.53,10.32,185.29,30.5,14.1,-3.1609,-1.8053,1.95,1.95,89.01,99.97,0.371,-0.3204,-0.1557,0.1164,1.2569,1.9293,28.8572,25.2344,0.3245,0.8211,0.6336,3.2398,1.3096,1.2592,1.4356,3.725,3.9073,4.2279,9.8039,1.5735,0.0842,1.4795,1.692,0.3984,-127.63,14.4
PAVJUT,80.93,-0.58,223.8,37.5,16.9,-3.7974,-2.7225,2.05,1.97,90.17,104.16,0.2263,-0.2783,-0.1199,0.1138,1.3974,3.1945,28.9108,25.1916,0.5067,0.7702,0.5867,3.2437,1.3438,1.2303,1.3833,3.7365,3.8938,4.2371,9.8294,1.3244,0.0168,1.5235,1.6524,0.4163,-252.9,14.4
FAKNIS,84.7,11,207.8,35.2,15.9,-3.0937,-1.754,1.94,1.95,88.94,100.14,0.3793,-0.3237,-0.1595,0.1177,1.2458,1.9521,28.8335,25.2363,0.292,0.8361,0.6314,3.2393,1.3002,1.2623,1.4457,3.7237,3.9143,4.2282,9.8003,1.5601,0.0903,1.4899,1.6906,0.4029,-118.93,14.4
KOJVUC,90.84,2.79,210.37,44,24.4,-2.9211,-1.8117,2,1.98,88.31,98.97,0.2036,-0.3339,-0.1706,0.1728,1.3059,3.2381,28.8093,25.2116,0.3297,0.845,0.5732,3.243,1.2728,1.281,1.4618,3.7104,3.899,4.2499,9.836,1.2258,0.016,1.225,1.3513,0.0799,-97.05,14.4
VOBLUV,83.16,10.72,181.69,31.4,15.8,-3.2175,-1.9316,2.01,1.96,89.89,99.77,0.3814,-0.3173,-0.1561,0.1066,1.2283,2.0064,28.8444,25.241,0.2802,0.8315,0.6383,3.2408,1.2725,1.2906,1.4371,3.7289,3.9145,4.2151,9.8138,1.4888,0.0824,1.5892,1.6647,0.4549,-139.22,14.4
MIGNUM,89.16,9.85,195.3,34.3,11.6,-3.297,-1.6181,2.03,1.97,92.39,104.51,0.3351,-0.3156,-0.1586,0.0556,1.131,3.1225,28.8066,25.259,0.1323,0.8926,0.6221,3.2453,1.3097,1.2423,1.4419,3.7427,3.9081,4.2072,9.8163,1.2785,0.0194,1.5401,1.6956,0.4322,-133.89,14.4
