Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,PC_Buried_Volume_35A,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-N,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_Cu,Atomic_Population_I,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_dyz,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,ImgFreq,Ea
BARKIO10,84.25,15.74,244.94,54,27.4,-3.0659,-1.2512,2.07,2.04,98.2,103.98,0.4091,-0.2685,-0.1472,0.0252,1.03,2.6764,28.8424,25.3307,0,0.881,0.5363,3.2525,1.2024,1.3145,1.4226,3.7503,3.7231,4.1958,9.8473,1.2378,0.0174,1.4858,1.6914,0.4251,-153.01,68.8
AZECIR,81.04,-1.39,200.57,40.1,8.1,-3.2889,-1.6182,2.13,1.89,86.43,97.55,0.2836,-0.3072,-0.1298,0.1569,1.3547,2.8336,29.0329,25.2013,0.4478,0.7219,0.6554,3.2298,1.3316,1.2121,1.4558,3.7197,3.8888,4.2436,9.7882,1.2825,0.0144,1.1211,1.1378,0.3803,-171.51,66.8
RAKRAY,84.27,10.71,184.54,32.2,18.9,-3.3813,-2.6513,1.98,1.97,88.87,100.98,0.3733,-0.2893,-0.133,0.0786,1.2978,1.873,28.8369,25.25,0.3814,0.7646,0.606,3.2438,1.2856,1.2875,1.3961,3.7379,3.8866,4.2075,9.7951,1.5629,0.0957,1.5715,1.6881,0.4606,-232.94,64.5
ELATES,66.07,-4.66,205.46,45.9,16.5,-2.4378,-1.1852,2.19,1.97,87.75,84.57,0.1338,-0.3234,-0.1677,0.1279,1.2633,2.5965,29.0554,25.2306,0.3685,0.8299,0.5612,3.2355,1.3051,1.2296,1.4793,3.702,3.8618,4.2115,9.9016,1.3554,0.0129,1.4334,1.1612,0.0865,-91.13,63.5
ODUWIT,76.93,4.51,210.71,46.7,13.9,-1.6301,-1.0045,2.23,2.11,88.82,80.38,0.2635,-0.2981,-0.1611,0.1045,1.2499,1.7498,29.1743,25.3458,0.4971,0.6689,0.4323,3.2625,1.3485,1.1698,1.446,3.6923,3.5929,4.2055,9.8911,1.7159,0.0871,1.6142,1.6404,0.486,-101.79,62.2
DIYZEQ,109.75,-17.44,205.48,39.5,20.3,-3.2568,-1.7796,2.26,1.95,86.95,93.23,0.3286,-0.2968,-0.156,0.1822,1.4122,1.9191,28.8281,25.2476,0.4118,0.7468,0.5835,3.2378,1.3364,1.2214,1.4233,3.6727,3.6419,4.1634,9.8475,1.5356,0.1159,1.6811,1.5658,0.3825,-137.23,60.8
HOSMOS,85.41,3.51,192.95,43.2,25.9,-3.4043,-1.8048,2.04,1.98,89.89,101.62,0.4022,-0.3209,-0.1617,0.1699,1.2652,1.9227,28.8204,25.2119,0.2798,0.8526,0.6365,3.2457,1.263,1.2948,1.4425,3.7188,3.8885,4.1981,9.8367,1.5261,0.0812,1.6173,1.4253,0.4108,-121.29,60
FOJNAT,83.73,4.66,183.4,36.6,16.6,-3.4175,-1.968,2.06,1.97,88.16,101.42,0.434,-0.3072,-0.1601,0.1397,1.2877,2.0175,28.7745,25.2509,0.2717,0.8179,0.6191,3.2474,1.2678,1.291,1.425,3.7049,3.5273,4.1908,9.8213,1.4807,0.0871,1.6473,1.5958,0.3817,-156.16,59.6
QIJNUV,86.73,-12.94,190.85,32.2,15.1,-3.7804,-2.6374,2.01,1.95,87.16,99.1,0.132,-0.2841,-0.1066,0.1064,1.4064,2.9582,28.972,25.1946,0.5366,0.6851,0.6019,3.2413,1.3794,1.1962,1.3906,3.7351,3.7992,4.2612,9.8041,1.1662,0.0172,1.3932,1.2195,0.0667,-275.68,58.5
MUMNOZ,83.49,1.51,197.99,33.1,17.5,-3.3588,-1.7915,1.95,1.95,86.09,95.42,0.2092,-0.3171,-0.1473,0.2158,1.5174,3.1651,28.9118,25.1508,0.4682,0.7477,0.6025,3.2366,1.3375,1.2519,1.4147,3.686,3.485,4.2488,9.8341,1.094,0.025,1.5835,1.6867,0.3629,-144.43,57.6
WIKTUF,61.11,3.03,199.97,35.7,15.9,-3.4383,-1.6161,1.94,1.97,88.92,98.81,0.1979,-0.3166,-0.1654,0.1272,1.3101,3.0964,28.799,25.2296,0.2892,0.8297,0.593,3.2414,1.3291,1.2353,1.4347,3.6976,3.7088,4.2341,9.8509,1.383,0.0108,1.3659,1.2396,0.1033,-139.24,56
RIWPES,81.92,-1.27,209.49,36.9,18.4,-4.1675,-3.649,1.94,1.97,88.97,104.78,0.2731,-0.2602,-0.1065,0.142,1.462,2.1259,28.8486,25.1579,0.5216,0.7573,0.586,3.2476,1.3416,1.2159,1.3771,3.7417,3.8893,4.2449,9.798,1.5178,0.0911,1.4013,1.2096,0.1153,-301.7,52.8
GLTYCH,89.47,0.1,194.97,36.9,17.8,-3.2201,-1.4666,2.01,1.94,90.6,108.93,0.4057,-0.3263,-0.1822,0.1286,1.1865,1.9065,28.8146,25.2424,0.1165,0.9479,0.6733,3.2436,1.3187,1.2658,1.4208,3.7059,3.3255,4.2228,9.8315,1.5501,0.0812,1.5212,1.6554,0.4532,-65.6,52.4
HUKNIL01,87.27,11.79,220.84,38.4,14,-3.4882,-2.526,1.99,2,90.51,104.49,0.2826,-0.3091,-0.1419,0.0657,1.2248,1.9304,28.8375,25.2436,0.2756,0.8229,0.5963,3.2484,1.2838,1.2752,1.4257,3.7443,3.9209,4.2261,9.8261,1.5247,0.0981,1.2881,1.3705,0.0902,-174.74,52.1
XAMMOP,82.32,17.66,200.47,38.4,19.4,-3.0298,-2.1419,2.06,1.98,87.48,97.97,0.2609,-0.3373,-0.1649,0.1751,1.3755,3.1159,28.886,25.2002,0.4203,0.7789,0.6139,3.2445,1.3078,1.2467,1.4635,3.7068,3.8942,4.2222,9.838,1.3133,0.0159,1.5231,1.7771,0.419,-85.28,50.5
COYPEL,91.04,7.4,198.61,40,15,-2.2639,-1.2589,2.02,1.99,85.99,94.6,0.2111,-0.337,-0.1635,0.1425,1.3524,1.9278,28.9011,25.2632,0.4698,0.756,0.5673,3.2474,1.332,1.2214,1.4607,3.7068,3.8981,4.2251,9.8426,1.5208,0.1015,1.3612,1.2806,0.0774,-76.2,49.6
WIJNUB,91.2,22.4,231.19,44.8,19.7,-2.8172,-1.3371,1.97,1.99,87.04,102.32,0.2712,-0.3499,-0.1818,0.1708,1.3533,1.7998,28.7976,25.1993,0.3447,0.9077,0.5818,3.2467,1.2931,1.2709,1.4648,3.7053,3.9006,4.2373,9.8483,1.5021,0.1042,1.2979,1.335,0.0857,-57.6,49.5
LOSJOT,92.9,-12.82,205.37,45.2,23.4,-3.3554,-1.6564,2.13,1.92,87.13,93.93,0.2882,-0.3102,-0.1388,0.2307,1.4482,2.6805,29.1247,25.155,0.5374,0.7372,0.6198,3.2301,1.3571,1.197,1.4502,3.6995,3.8633,4.2395,9.7817,1.4212,0.0085,1.48,1.6878,0.4506,-166.08,49.2
TEPQOX,98.84,-3.32,203.69,41.2,17.5,-3.2141,-1.5472,1.83,1.92,86.37,94.1,0.3394,-0.3133,-0.1456,0.2196,1.4126,2.0457,29.2136,25.1741,0.5066,0.7388,0.6268,3.2329,1.3142,1.247,1.4434,3.6993,3.9031,4.2327,9.7661,1.6391,0.0698,1.7455,1.6455,0.3967,-139.99,49.1
YEHBOC,94.1,-8.85,199.4,39.1,20.5,-3.1968,-1.5505,1.84,1.92,87.04,93.31,0.3336,-0.3148,-0.1495,0.2281,1.4206,2.0046,29.2215,25.1671,0.5182,0.7368,0.6369,3.2321,1.2989,1.2801,1.4274,3.6937,3.9059,4.2232,9.7778,1.5826,0.0754,1.7655,1.6826,0.396,-133.13,49
WARCID,80.36,0.34,223.39,36.9,18.2,-3.6531,-2.8212,2.13,1.99,90.13,102.63,0.2408,-0.2887,-0.1229,0.13,1.3887,3.129,28.8398,25.1966,0.4661,0.7484,0.5722,3.2463,1.2336,1.3248,1.4082,3.7295,3.7253,4.2281,9.8359,1.2389,0.0209,1.532,1.6677,0.4306,-240.91,48.4
XAMMEF,95.41,4.43,232.63,39.2,19.4,-3.3316,-2.277,1.97,2.01,91.75,103.78,0.2705,-0.3082,-0.1503,0.083,1.2008,3.2224,28.8624,25.2429,0.2343,0.8413,0.5782,3.2499,1.2909,1.2745,1.4173,3.7376,3.9237,4.2134,9.8251,1.2528,0.0159,1.5513,1.7128,0.4263,-142.1,48.4
JOMCOF,77.53,0.8,207.45,32.4,15.8,-3.6437,-2.4223,2.18,1.97,89.95,103.65,0.2385,-0.3071,-0.1421,0.1317,1.3894,3.0268,28.8135,25.1748,0.4405,0.8234,0.5875,3.2444,1.2993,1.2551,1.432,3.7278,3.8784,4.2371,9.8521,1.3117,0.0186,1.5468,1.6454,0.4308,-174.5,48
LODBUD,62.73,-0.91,158.26,25.8,10.6,-3.2018,-1.5427,2.08,1.91,89.13,99.73,0.3168,-0.3115,-0.1588,0.1203,1.2685,1.9252,28.9106,25.2457,0.3423,0.7978,0.6532,3.2331,1.3646,1.2249,1.4095,3.7099,3.8869,4.2053,9.8392,1.5418,0.0544,1.5615,1.6135,0.3428,-125.48,47.8
VISSAR,84.08,3.64,208,42.9,26.5,-3.1685,-1.4653,2,1.97,87.18,98.33,0.2357,-0.3295,-0.1846,0.1948,1.3689,3.0285,28.8063,25.2123,0.2892,0.9013,0.5691,3.2384,1.3353,1.2355,1.4445,3.6761,3.7961,4.2438,9.8512,1.3504,0.0103,1.5316,1.7097,0.4255,-58.56,47.7
RUGGIK,89.04,-0.85,218.34,38.8,20.5,-4.0191,-3.2103,2.03,1.95,87.93,103.09,0.2202,-0.2638,-0.1064,0.143,1.4716,2.0047,28.9655,25.1581,0.5461,0.7094,0.589,3.2442,1.3555,1.2089,1.3774,3.7364,3.8901,4.2424,9.7867,1.5353,0.0753,1.3103,1.1518,0.1272,-275.5,47.3
COLDEN,82.51,1.54,208.62,46.9,24.9,-3.3424,-1.4804,2.33,1.96,92.89,102.64,-0.0035,-0.3208,-0.1563,0.0391,1.1666,2.0933,28.8944,25.2503,0.1313,0.887,0.5884,3.2445,1.2907,1.2626,1.4472,3.7482,3.9125,4.2879,9.867,3.5152,0.0134,2.8661,2.9194,0.2215,-150.6,47.3
ILAZAX,91.56,-2.41,236.06,38.8,19.1,-3.9457,-3.2934,2.01,1.98,89.72,104.9,0.2354,-0.2777,-0.1092,0.0748,1.3522,2.0354,28.908,25.1977,0.4397,0.7883,0.5845,3.2452,1.3134,1.2474,1.3951,3.7557,3.9097,4.2452,9.8,1.4815,0.0965,1.2303,1.2413,0.1217,-293.51,47.2
BUMHOG,89.12,0.28,188.15,33.9,15.3,-2.1785,-1.4217,1.99,1.93,84.17,91.85,0.2848,-0.3036,-0.152,-0.0169,1.2686,1.754,28.9274,25.3921,0.5293,0.5382,0.6216,3.2417,1.3037,1.2466,1.4333,3.7324,3.9113,4.2349,9.79,1.7561,0.0607,1.7783,1.6958,0.4161,-106.96,46
FUFJOI,80.33,-1.59,208.86,39.1,15.3,-3.9518,-3.2815,1.96,1.97,90.98,101.34,0.1851,-0.2829,-0.1275,0.1244,1.3824,3.2856,28.7812,25.1837,0.3889,0.7974,0.5816,3.2445,1.3418,1.2288,1.3897,3.7371,3.5633,4.2234,9.8316,1.2839,0.0178,1.1821,1.1383,0.1138,-274.06,45.3
AFABIT,83.07,10.21,224.54,39.8,23.4,-3.7064,-2.4513,2.05,1.96,91.75,100.29,0.3019,-0.2994,-0.1394,0.091,1.2323,1.9864,28.8439,25.2355,0.2505,0.8249,0.6538,3.2411,1.2634,1.2926,1.4256,3.7404,3.9107,4.2037,9.8373,1.4943,0.092,1.2669,1.3621,0.0856,-196.08,44.6
SOMFOR01,81.78,1.11,213.36,42.7,21.4,-3.8348,-2.6645,2.03,1.98,89.88,104.5,0.1442,-0.2936,-0.1239,0.1286,1.4128,3.2606,28.8546,25.1758,0.439,0.7823,0.5628,3.2465,1.3525,1.1976,1.4204,3.7352,3.8571,4.2674,9.8329,1.2185,0.0126,1.3791,1.2549,0.0923,-226.95,44.3
SILZIW,83.14,1.13,207.85,35.1,16.4,-3.1733,-1.4843,2.06,2,88.66,103.12,0.0963,-0.3168,-0.1522,0.1136,1.3941,3.1438,28.8766,25.2164,0.4564,0.7796,0.5412,3.2494,1.3211,1.2442,1.4271,3.722,3.8054,4.2676,9.8504,1.3922,0.0181,1.367,1.315,0.0603,-127.37,44.3
XUQHUM,82.91,2.56,232.29,39.7,20,-3.2732,-1.5689,1.99,1.99,92.71,108.43,0.1569,-0.3119,-0.1514,0.0427,1.1504,3.2177,28.8174,25.2574,0.1541,0.8702,0.5784,3.2475,1.3183,1.2531,1.4159,3.7474,3.9283,4.2582,9.8466,1.3066,0.0131,1.4199,1.1963,0.0768,-134.93,44.1
CUJZOZ,72.25,-1.85,183.03,30.2,8.4,-2.2556,-1.627,1.88,1.99,81.79,88.45,0.0889,-0.2776,-0.1379,-0.161,1.2192,1.9243,29.2004,25.4499,0.7144,0.2856,0.5565,3.2588,1.346,1.2194,1.3789,3.75,3.8835,4.2813,9.8089,1.6552,0.0723,1.4921,1.2114,0.0849,-144.95,44
FAFNUX,82.28,3.19,235.99,45.8,24.8,-3.3303,-1.8187,1.95,2,89.24,99.74,0.1613,-0.3072,-0.1581,0.1326,1.3378,2.8591,28.8404,25.2528,0.3365,0.7886,0.5521,3.2469,1.3431,1.2175,1.4231,3.703,3.7653,4.2562,9.8465,1.3459,0.016,1.4156,1.2309,0.0923,-149.61,43.4
IQEFUH,78.48,-0.71,198.38,39.6,15.3,-3.8501,-2.8297,1.96,1.97,89.56,103.41,0.1666,-0.2982,-0.1282,0.1328,1.4082,3.3574,28.7812,25.1808,0.4615,0.7771,0.5746,3.2432,1.3368,1.2162,1.425,3.7315,3.9059,4.2723,9.827,1.2177,0.0156,1.4408,1.1255,0.1147,-222.08,43.1
ESIMEA,72.23,-1.16,207.03,37.2,18.7,-2.4474,-1.6084,1.9,1.98,83.82,89.29,0.0178,-0.2976,-0.1356,-0.0599,1.3086,2.8485,29.1619,25.3672,0.6073,0.4743,0.5596,3.2522,1.3134,1.2615,1.3959,3.7374,3.9238,4.2805,9.8373,1.4798,0.0095,1.4106,1.2166,0.0858,-118.25,42.3
TEBRIE,98.36,-12,201.33,40.6,20.7,-3.1798,-1.5481,1.87,1.92,86.29,98.15,0.34,-0.3237,-0.1529,0.21,1.3839,2.015,29.1085,25.1741,0.4702,0.8017,0.6282,3.2332,1.3069,1.27,1.4372,3.7064,3.9056,4.2418,9.7836,1.5704,0.091,1.7294,1.5439,0.4221,-113.2,42.2
KATBOX,80.92,4.83,212.66,47.8,18.7,-3.7011,-1.8533,1.8,1.94,89.18,93.35,0.3065,-0.2716,-0.1216,0.18,1.3963,1.9904,28.9958,25.1727,0.4818,0.6847,0.6166,3.232,1.3103,1.2316,1.4222,3.7173,3.8968,4.2315,9.7763,1.4726,0.1028,1.2208,1.3362,0.0781,-223.19,41.9
COYMOS,85.54,-0.87,185.31,38.7,13.8,-2.9441,-1.3838,2.36,1.92,87.04,96.69,0.2771,-0.3544,-0.1652,0.239,1.3408,1.9965,29.0302,25.1757,0.4117,0.8595,0.6639,3.2335,1.2863,1.2756,1.4829,3.7006,3.906,4.2562,9.823,1.5315,0.0873,1.2588,1.4502,0.0665,-83.64,41.7
OQOYEA,85.91,1.23,184.23,33.2,16.3,-2.5416,-1.31,2.07,1.97,87.03,94.38,0.2972,-0.3054,-0.1528,0.0647,1.3167,1.8332,28.8899,25.3051,0.501,0.6675,0.5708,3.2444,1.2949,1.2491,1.4409,3.7175,3.9161,4.2324,9.8217,1.6784,0.0909,1.6731,1.6273,0.4076,-133.73,41.5
IRITAF,79.54,1.91,228.76,40,16.6,-3.8729,-2.7712,2.13,2.01,91.3,103.3,0.1229,-0.2979,-0.1227,0.1076,1.363,3.1758,28.8139,25.1867,0.4135,0.7995,0.5593,3.2495,1.2585,1.3026,1.4114,3.7402,3.844,4.2367,9.8588,1.2136,0.0158,1.2705,1.2401,0.0898,-227,41.4
WEBYUZ,108.9,-12.08,206.16,41.8,16.2,-3.0942,-1.6996,2.15,1.94,88.16,98.69,0.2578,-0.3283,-0.1543,0.1945,1.3288,1.9237,29.0302,25.1884,0.4202,0.8239,0.6288,3.2356,1.294,1.2604,1.4618,3.7081,3.903,4.2393,9.8369,1.6656,0.0972,1.2204,1.5042,0.0669,-110.33,41
GEKFEJ,70.9,-2.54,194.11,35.5,21.9,-2.8591,-1.4494,2.02,1.96,86.39,91.67,0.0524,-0.3151,-0.1389,0.0831,1.3637,2.87,29.0791,25.2678,0.5376,0.6706,0.577,3.2449,1.2626,1.2934,1.4381,3.7155,3.9039,4.2627,9.8962,1.4956,0.0075,1.4388,1.202,0.088,-148.94,40.9
INAKAL,78.08,1.81,222.44,39.1,14.8,-3.5743,-1.9583,2.18,1.98,93.75,106.2,0.1872,-0.3104,-0.1508,0.0636,1.1514,3.165,28.8316,25.2451,0.1501,0.8806,0.6305,3.2456,1.2869,1.2803,1.4208,3.7419,3.9225,4.2342,9.8599,1.2293,0.0228,1.4386,1.1674,0.0828,-135.86,40.6
GADROT,84.35,1.07,215.41,42.3,21.3,-3.5058,-2.2455,1.97,1.99,89.14,105.2,0.1367,-0.3081,-0.1423,0.1297,1.3692,3.2076,28.8739,25.1995,0.3819,0.8133,0.5563,3.2475,1.3635,1.1989,1.4222,3.728,3.8988,4.2676,9.8421,1.3134,0.0162,1.3991,1.2383,0.0898,-157.99,40.2
NIVJIM,98.78,0.12,192.71,37.2,16.2,-2.9785,-1.3329,2,1.95,89.19,98.38,0.3099,-0.3123,-0.1567,0.1278,1.3018,1.7938,28.8128,25.2367,0.3998,0.7889,0.6115,3.237,1.3323,1.2127,1.4535,3.7134,3.8934,4.2181,9.8415,1.6159,0.1243,1.5893,1.6116,0.4034,-122.44,39.8
QUGTAO,79.55,1.42,205.79,38.3,17.2,-3.5652,-2.5048,2.01,1.97,91.2,98.92,0.1553,-0.3059,-0.1405,0.1154,1.298,3.2483,28.7756,25.2092,0.3431,0.7992,0.5843,3.2414,1.2943,1.253,1.4403,3.7321,3.9209,4.2395,9.8408,1.283,0.0088,1.2147,1.2536,0.1264,-185.55,39.7
TUDPAJ,116.67,-32.9,213.08,42.3,17.9,-2.6989,-1.1779,2.21,1.93,87.85,99.01,0.2992,-0.365,-0.1849,0.1858,1.2546,1.884,28.9563,25.1919,0.2652,0.9299,0.6817,3.2319,1.393,1.2007,1.4634,3.702,3.5318,4.212,9.8375,1.4962,0.0906,1.5379,1.227,0.0656,-49.71,39.6
CIVVEK,80.51,0.2,222.24,37.1,16.8,-3.7608,-2.818,2.03,1.99,89.42,103.22,0.2258,-0.2905,-0.1208,0.1489,1.4483,2.0573,28.8789,25.1591,0.4921,0.7771,0.5748,3.2463,1.2277,1.3475,1.3934,3.7323,3.6357,4.2296,9.8289,1.5746,0.0925,1.1884,1.3347,0.1168,-236.98,39.5
LANJUG,88.15,2.05,229.56,40.6,11.1,-2.4178,-1.3427,1.86,1.98,86.67,98.82,0.3155,-0.2804,-0.1253,0.063,1.2643,2.9324,28.9649,25.2847,0.4412,0.7203,0.5383,3.2467,1.3149,1.2113,1.4323,3.7295,3.8898,4.2387,9.7928,1.3045,0.0317,1.5522,1.6112,0.3917,-206.02,39.1
VOQPIB,85.94,-0.09,187.41,33.3,18.5,-2.6974,-1.9883,1.95,1.98,88.42,98.68,0.3352,-0.3094,-0.1564,0.0984,1.2932,2.1149,28.8314,25.251,0.3883,0.7711,0.5725,3.2447,1.344,1.2015,1.4433,3.7193,3.869,4.2201,9.8004,1.5073,0.0752,1.7633,1.5494,0.439,-137.85,38.8
ISODAW,75.77,4.3,221.31,50.6,22.9,-2.982,-1.0802,2.06,1.98,87.88,96.83,0.4705,-0.3024,-0.1602,0.1483,1.1887,1.8718,29.1536,25.2715,0.3318,0.8499,0.5777,3.241,1.1892,1.3552,1.4422,3.7094,3.7591,4.2133,9.7486,1.6453,0.1049,1.796,1.4713,0.4545,-132.16,38.5
XIDQEH,81.18,6.09,191.66,37.1,12.6,-4.1014,-3.8034,2.14,1.95,89.14,105.78,0.2755,-0.2838,-0.1073,0.1375,1.4122,2.9605,28.7827,25.1568,0.4437,0.7449,0.6149,3.2462,1.3447,1.2035,1.4121,3.7478,3.8657,4.259,9.7731,1.292,0.019,1.4279,1.1272,0.1164,-306.25,37.6
WUHHAJ,64.03,-1.77,206.21,27.2,21.8,-3.1334,-1.6318,2.03,1.89,88.58,98.81,0.3189,-0.3092,-0.1556,0.1571,1.2909,1.8888,28.937,25.2333,0.3257,0.8112,0.6788,3.2291,1.294,1.2894,1.4161,3.7076,3.7283,4.2121,9.8404,1.563,0.1021,1.5485,1.5358,0.3579,-129.77,37.5
HOSMIM,64.07,0.64,159.71,24.5,11.7,-2.9816,-1.4961,1.98,1.96,86.88,92.54,0.2479,-0.3087,-0.141,0.117,1.4305,1.9522,29.009,25.2325,0.6198,0.6585,0.5859,3.2434,1.3997,1.1959,1.3939,3.7115,3.803,4.224,9.8539,1.5389,0.057,1.5338,1.6455,0.3466,-145.8,37.3
PORWEB,80.54,1.76,220.07,37.4,16.3,-3.6859,-2.5,2.1,1.99,91.07,102.68,0.2213,-0.2993,-0.1347,0.1224,1.3352,3.0962,28.8936,25.1951,0.4018,0.8045,0.5977,3.2454,1.2608,1.2997,1.4174,3.731,3.8534,4.2175,9.851,1.2912,0.0202,1.5469,1.6458,0.3954,-187.45,36.7
CATPIX,84.46,-0.82,182.91,29.8,11.9,-2.7536,-1.3288,2.04,1.98,88.41,93.06,0.2953,-0.3068,-0.1509,0.1168,1.354,1.7544,28.8333,25.2463,0.4804,0.7441,0.5599,3.2446,1.3298,1.248,1.4085,3.7085,3.9199,4.2012,9.8494,1.7847,0.0928,1.4551,1.5997,0.3935,-155.1,36.7
WURYIS,86.72,-0.1,187.82,32.8,13.4,-2.6276,-1.3847,2.02,1.98,86.89,91.18,0.2652,-0.3027,-0.1415,0.0906,1.3586,1.6815,28.913,25.2806,0.5524,0.6616,0.5388,3.2468,1.313,1.23,1.4372,3.7112,3.8844,4.2251,9.8453,1.7212,0.0962,1.4832,1.5743,0.3773,-160.81,36.5
GOJBUC,83.2,-1.62,177.84,34.4,9.4,-3.3677,-1.4813,1.92,1.96,89.53,97.83,0.2182,-0.305,-0.1394,0.1154,1.3154,2.8627,28.9457,25.217,0.4125,0.7653,0.6137,3.2389,1.3375,1.2092,1.4432,3.7235,3.8554,4.2391,9.8449,1.2121,0.0144,1.5288,1.6768,0.394,-169.55,36.3
TICHES,77.6,-0.59,216.64,42.3,23.6,-4.2299,-4.3773,2.11,2.02,97.33,106.04,0.2631,-0.2414,-0.1557,0.2004,1.3154,3.2399,28.7148,25.0907,0.2157,0.9555,0.5664,3.2515,1.2377,1.2665,1.4081,3.7264,3.862,4.2285,9.8441,1.26,0.0163,1.4118,1.2174,0.0904,-376.93,36.3
WONWIH,92.92,-6.93,208.1,48.2,25.6,-3.2979,-1.4862,2.09,1.96,88.41,94.19,0.4502,-0.297,-0.1549,0.2503,1.3229,1.7225,29.0988,25.2048,0.3153,0.8663,0.5824,3.2353,1.3493,1.207,1.43,3.6944,3.7821,4.2261,9.7369,1.7159,0.0885,1.5265,1.6673,0.5007,-139.69,35.9
POYLAT,79.29,1.67,226,36.9,15.5,-3.7164,-2.4049,2.1,1.99,90.92,103.14,0.2146,-0.3018,-0.1344,0.1223,1.3442,2.0223,28.8871,25.1883,0.4014,0.8169,0.5992,3.245,1.2686,1.2985,1.4136,3.7323,3.858,4.221,9.8438,1.5498,0.0798,1.2511,1.3125,0.1146,-186.7,35.8
REKCUF,82.93,-0.26,181.76,31.6,13.4,-3.151,-1.5655,2.17,1.96,87.84,96.65,0.1787,-0.3159,-0.1477,0.1379,1.3753,2.0045,28.923,25.2154,0.4879,0.7484,0.5784,3.2405,1.3106,1.2407,1.4481,3.7142,3.8999,4.2745,9.8382,1.5236,0.0755,1.3327,1.1711,0.0881,-156.94,35.8
TAHHOC,101.45,-18,244.85,42.1,16.3,-3.7093,-1.9097,1.94,1.92,89.7,102.48,0.3258,-0.2674,-0.1191,0.061,1.2129,1.6948,28.9432,25.2453,0.3146,0.7974,0.6206,3.2343,1.342,1.2128,1.401,3.7494,3.8842,4.2331,9.6785,1.8046,0.0986,1.1831,1.2347,0.2367,-242.84,35.6
BIJPOB,79.94,0.07,228.12,42.4,14.9,-3.5781,-2.6793,2.07,1.96,94.05,104.86,0.2762,-0.2808,-0.1568,0.0547,1.1404,3.1795,28.7541,25.2721,0,0.9143,0.6214,3.2457,1.3108,1.2619,1.3838,3.7371,3.3796,4.1363,9.7931,1.2667,0.0216,1.3794,1.2692,0.0593,-199.29,35.5
WITPIB,81.43,-0.4,239.43,40.1,18.6,-3.9046,-2.9127,2.16,1.96,89.67,102.91,0.1306,-0.2847,-0.1142,0.1283,1.4241,3.1133,28.8453,25.1866,0.4744,0.7312,0.5774,3.2444,1.3512,1.1999,1.4119,3.7388,3.8366,4.266,9.8319,1.319,0.0126,1.2266,1.29,0.093,-268.09,35.5
ACARBM02,68.34,-0.34,171.74,26.3,4.6,-2.2861,-1.4315,1.99,1.94,84.43,90.69,0.1481,-0.3093,-0.151,-0.0354,1.305,1.8482,28.9727,25.3767,0.6014,0.5024,0.5951,3.2445,1.3307,1.2228,1.4346,3.7337,3.8949,4.2629,9.8178,1.6394,0.0685,1.5269,1.272,0.0587,-120.48,35.5
XAPVES,91.76,5.85,213.83,37.5,18.7,-3.4402,-2.8316,1.89,1.99,87.29,103.56,0.2576,-0.2902,-0.1324,0.0979,1.3714,2.0518,28.8073,25.2243,0.4612,0.7663,0.5609,3.25,1.3549,1.198,1.4109,3.7306,3.8809,4.2521,9.8191,1.531,0.1031,1.3431,1.214,0.1136,-221.22,35.4
YUSQIO,68.03,0.61,191.39,37.1,17.3,-2.4491,-1.1759,1.95,1.98,87.71,93.16,0.1399,-0.3241,-0.1609,0.0775,1.2684,2.7814,28.898,25.2807,0.3604,0.788,0.5719,3.2445,1.2877,1.2746,1.4413,3.7163,3.9165,4.2257,9.8482,1.4336,0.0094,1.4414,1.1615,0.0815,-120.47,35.4
RABXEA,84.21,0.84,223.36,39.2,17.3,-3.3671,-2.0793,1.98,1.98,89.24,103.11,0.1136,-0.3063,-0.1405,0.1063,1.3616,3.3019,28.8532,25.2076,0.4246,0.8099,0.5479,3.2464,1.3626,1.2357,1.3853,3.7271,3.8952,4.2392,9.843,1.2222,0.0147,1.3368,1.1695,0.0846,-165.43,35.2
HEXVEL,77.51,3.32,202.35,39.2,13.5,-3.3838,-1.9089,2.2,1.97,92.4,108.15,0.1903,-0.3158,-0.1516,0.0496,1.1484,3.0122,28.8329,25.256,0.1584,0.869,0.6202,3.2473,1.28,1.2711,1.4409,3.7466,3.9244,4.2415,9.847,1.416,0.0156,1.3889,1.1153,0.1014,-145.57,35.1
KOFNIC,61.6,0.77,152.93,25.9,13.6,-3.0807,-1.4295,2.01,1.93,88.46,94.12,0.2925,-0.3279,-0.1572,0.1602,1.3667,2.0105,28.9475,25.1994,0.4758,0.7818,0.6328,3.2349,1.2724,1.3139,1.4301,3.7088,3.8811,4.2244,9.849,1.5432,0.0434,1.5218,1.5829,0.3731,-115.7,34.9
