Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
MOGLAW,78.54,5.27,170.17,2.66,-2.4639,-1.5196,0.3636,-0.2146,1.296,1.6968,5.9206,8.4265,0.2326,1.042,10.1858,6.3208,12.5352,9.7804,1.4725,0.0632,27.4
ZIPWUQ,86.53,-14.88,177.14,1.2,-2.9885,-2.1197,0.3024,-0.2191,1.3975,2.0719,5.9282,6.9151,0.2329,1.0368,10.1689,6.3192,12.5573,9.821,1.4215,0.0133,31.1
PAWSEN,86.69,1.89,185.88,3.2,-3.3342,-2.5433,0.2159,-0.2058,1.334,3.1857,5.827,7.0004,0.233,1.0031,10.1649,6.3485,12.6468,9.7888,1.4044,0.0093,25
OBESAP,87.16,-16.06,176.59,1.55,-2.7113,-1.7477,0.288,-0.2124,1.4126,2.0621,5.8769,7.0493,0.2332,1.0311,10.1788,6.3331,12.5435,9.8354,1.4246,0.0092,32.1
ILAKAJ,84.65,-1.76,177.69,1.95,-3.2499,-2.5062,0.311,-0.2106,1.358,2.1023,5.8664,6.9076,0.2332,1.0198,10.1634,6.3108,12.5926,9.7856,1.4169,0.0137,30.4
JOXZED,102.71,12.11,196.83,3.49,-3.7168,-3.2004,0.3852,-0.1655,1.3082,2.0391,5.8173,8.3622,0.2333,0.9749,10.1365,6.2939,12.6088,9.712,1.4815,0.0531,14.6
BONKOE03,86.95,-15.92,176.2,1.7,-2.7163,-1.7634,0.2925,-0.2148,1.407,2.0532,5.8881,7.0845,0.234,1.029,10.1775,6.3287,12.5453,9.8335,1.4307,0.0094,31
NAYTAJ,77.46,5.32,201.33,2.8,-3.604,-2.8029,0.2199,-0.1957,1.3421,3.2266,5.7604,7.092,0.234,0.9902,10.1611,6.3499,12.6581,9.7721,1.3455,0.0105,21.1
LAJWIE,77.39,3.78,215.55,2.18,-3.2511,-3.0215,0.2868,-0.2082,1.3364,1.9717,5.9333,6.9787,0.2341,1.0974,10.1601,6.3126,12.6439,9.7566,1.2362,0.0163,13.2
YASKEJ,90.93,4.22,179.8,2.81,-2.618,-1.6907,0.3411,-0.2069,1.3584,1.8088,5.8627,8.5923,0.2345,1.0353,10.182,6.3177,12.539,9.8023,1.4981,0.0971,23.2
YUQVEN,80.23,-0.07,197.51,2.5,-3.3831,-2.4599,0.3064,-0.1965,1.3447,2.0265,5.8633,6.8637,0.2345,1.0004,10.1538,6.3165,12.6026,9.7744,1.4031,0.0129,27.6
TAZPOZ,60.62,2.5,161.59,2.17,-3.7877,-2.4815,0.3874,-0.0629,0.7856,2.0009,5.1825,8.4882,0.2347,0.9873,10.056,6.3355,12.6475,9.6296,1.5216,0.0545,7.6
MUTXAA,99.96,6.93,197.55,1.56,-2.571,-2.3531,0.3686,-0.2197,1.3183,1.8766,5.876,8.488,0.2356,1.0754,10.1885,6.3043,12.5697,9.7574,1.5245,0.0655,14.3
QARHUN,94.27,8.68,185.19,3.12,-2.5215,-1.6815,0.3545,-0.2124,1.3844,1.5585,5.8975,8.4832,0.2366,1.0793,10.1995,6.3044,12.5561,9.785,1.5164,0.0984,8
COMHER,95.7,-3.42,185.08,2.25,-3.3835,-2.4884,0.3703,-0.1645,1.3274,1.9946,5.7995,8.4072,0.237,0.9806,10.1375,6.3155,12.574,9.7403,1.5015,0.0551,12.6
WURQAC,75.7,4.35,213.81,2.29,-3.2847,-2.8965,0.2897,-0.2178,1.3473,2.0096,5.9459,6.9924,0.2371,1.1052,10.1618,6.3134,12.6339,9.763,1.1983,0.0205,12.5
RARMII,87.38,5.31,179.81,2.79,-3.6461,-3.0124,0.3686,-0.1637,1.322,1.9793,5.875,8.4008,0.2376,0.988,10.1356,6.3001,12.5963,9.735,1.4501,0.0532,12.8
NIGMUO,88.55,7.43,199.88,3.76,-2.8212,-2.3986,0.3243,-0.218,1.346,3.0637,5.9124,8.4193,0.2378,1.022,10.1809,6.3218,12.5596,9.7942,1.4492,0.0544,15
VEWROE,61.69,1.19,182.26,2.2,-2.5032,-2.1329,0.2515,-0.2114,1.3893,3.0259,5.8802,8.4781,0.2378,1.0489,10.1918,6.3601,12.5776,9.8108,1.5496,0.0538,30.5
BICLUW,82.18,0.38,207.37,1.82,-3.097,-2.6746,0.1921,-0.2128,1.3331,3.0982,5.837,7.15,0.2378,1.0094,10.169,6.3509,12.6519,9.8051,1.4324,0.0099,20.9
DUBHUF,80.14,10.43,184.72,1.93,-3.491,-3.1838,0.355,-0.1945,1.3421,1.9857,5.9437,8.3688,0.2386,1.1024,10.1572,6.2966,12.6124,9.736,1.4429,0.0599,12.6
XALNEF,84.03,6.33,171.32,3.79,-3.4275,-3.3631,0.3692,-0.1651,1.3501,2.054,5.9256,8.3946,0.2393,1.0864,10.1494,6.3049,12.5981,9.7279,1.4828,0.068,5.2
XINJAF,87.3,-0.04,177.16,3.68,-3.7569,-3.4867,0.3768,-0.1725,1.353,1.962,5.7822,8.3191,0.2396,0.9935,10.1418,6.3028,12.5873,9.7332,1.564,0.1048,4.3
QILZEQ,86.79,-16.15,177.19,1.78,-2.9104,-1.8222,0.2575,-0.2156,1.4107,3.12,5.9727,8.4431,0.2397,1.0238,10.1736,6.3371,12.5681,9.8373,1.4933,0.0473,30.1
BECWAJ,75.26,4.15,200.74,2.35,-3.1132,-2.4331,0.2928,-0.2273,1.357,2.0129,6.0399,7.1113,0.2404,1.106,10.1703,6.3159,12.6161,9.7753,1.2097,0.0215,13
VEYLUJ,82.97,5.64,175.11,1.7,-3.3355,-2.7061,0.3679,-0.1745,1.3134,2.0167,5.857,8.4205,0.2408,0.9993,10.1415,6.3056,12.5887,9.7378,1.4578,0.0563,14
PIZSOJ,91.02,4.14,181.86,3.27,-3.0641,-2.4151,0.3687,-0.1758,1.313,2.0174,5.7431,8.3325,0.2411,0.9923,10.1501,6.3028,12.5819,9.7465,1.4906,0.0572,10.9
COKBUC,80.87,-0.18,174.7,1.75,-3.5246,-2.7667,0.3019,-0.1942,1.3456,2.0125,5.8396,6.9155,0.2415,0.9972,10.1516,6.3113,12.611,9.7758,1.3863,0.013,26.6
VOHDAZ,84.21,7.38,198.16,2.73,-3.0338,-2.4239,0.3812,-0.2067,1.3295,1.979,5.9478,8.3883,0.2416,1.055,10.1643,6.3047,12.5507,9.7634,1.526,0.0735,12.2
SIFCAM,84.91,-3.95,174.98,4.67,-2.8568,-2.0446,0.3659,-0.2123,1.3484,2.0578,5.9102,8.3939,0.2417,1.0371,10.1728,6.2985,12.5486,9.787,1.4336,0.0682,16.7
COVVIS,87.06,-16.21,175.97,1.51,-2.6578,-1.7404,0.2884,-0.2117,1.4027,2.056,5.8729,7.0665,0.2417,1.0242,10.1795,6.3326,12.5457,9.8333,1.4055,0.0092,30.8
TURACD,61.06,1.57,163.09,1.86,-2.5981,-1.765,0.2661,-0.2088,1.4103,2.9235,5.9405,8.4316,0.243,1.0247,10.1818,6.3568,12.5584,9.8187,1.558,0.0574,21.2
CIWWOX,81.63,3.6,172.94,1.79,-3.4621,-2.8131,0.3755,-0.1749,1.3714,1.797,5.7904,8.4362,0.2434,0.998,10.1534,6.3073,12.5895,9.7277,1.4513,0.062,13
XEBZUB,76.83,12.24,209.29,3.16,-3.0087,-2.041,0.31,-0.2105,1.2806,3.0734,5.8167,8.4518,0.244,1.1012,10.1624,6.3373,12.5871,9.7656,1.5003,0.128,15.9
MAYHEC,83.49,4.25,175.71,4.09,-2.9964,-2.1739,0.3767,-0.2127,1.3506,1.9721,5.9554,8.4304,0.2445,1.0261,10.1722,6.3137,12.5099,9.7997,1.4784,0.0731,13
UHAVEG01,79.9,16.62,185.79,1.92,-2.7212,-2.261,0.3186,-0.2201,1.3514,2.0223,5.831,7.06,0.2445,1.0314,10.1874,6.3138,12.5763,9.7913,1.2427,0.013,25.4
TEHWIN,79.06,4.13,200.34,3.76,-3.7092,-3.5028,0.2081,-0.1756,1.3369,3.2271,5.8007,7.1686,0.245,0.9925,10.1548,6.3474,12.6882,9.7563,1.3385,0.0101,22.7
KEVSUB,82.18,3.28,172.25,2.31,-2.51,-1.6233,0.3317,-0.2092,1.359,1.6819,5.9147,8.4086,0.2452,1.0367,10.1889,6.3179,12.5478,9.8026,1.5172,0.0467,29.8
QEDSUP,78.81,18.28,204.61,3.07,-2.6141,-2.4068,0.3363,-0.2186,1.353,1.9768,5.8023,7.0465,0.2452,1.017,10.185,6.3193,12.5615,9.7828,1.255,0.0157,26.6
UFIWOW,76.96,2.51,187.35,2.04,-3.6408,-2.9264,0.3041,-0.1812,1.336,2.0655,5.7363,6.9935,0.2456,0.9856,10.1469,6.3222,12.6143,9.7594,1.2659,0.0131,23
SAQJOL,71.4,7.17,190.16,2.76,-2.9645,-1.825,0.2973,-0.2188,1.347,3.0315,6.0294,8.4964,0.2461,1.0247,10.1755,6.3481,12.5326,9.8221,1.5298,0.0654,14.9
