Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_3-5A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,C-I,I-C-Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_C,Bond_Order_C_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFre,Ea
LOLYOC,78.39,1.37,221.84,2.15,8.88,6.85,40.4,31.4,19,641.76,-3.1958,-2.4171,2.23,2.06,-0.13,-0.07,2.67,2.07,2.24,76.34,0.2067,-0.2359,0.1673,-0.0392,-0.115,2.7756,3.7272,1.3413,3.0459,3.1818,28.9477,5.9505,25.1192,7.0251,7.0206,0.475,0.3822,0.793,0.3094,0.3948,2.926,1.1237,1.0524,1.0413,3.7376,3.8187,3.7508,3.357,10.1685,2.0167,2.042,2.0385,2.018,2.0533,6.3341,12.6738,4.2714,4.212,4.1904,9.7854,1.877,1.98,1.9781,2.0038,1.9465,1.3438,1.2103,1.198,0.1205,0.0212,0.0251,1.2208,1.4123,1.2273,0.0911,0.0191,0.0116,-95.21,13.5
EJEXAT,82.7,2.07,204.43,2.14,6.34,6.36,38,29.6,15.1,583.19,-2.7638,-1.9127,2.01,2.07,-0.04,-0.11,2.64,2.23,2.19,73.22,0.1943,-0.2234,0.1762,-0.1409,-0.1315,2.8544,3.5438,1.3202,3.0176,3.1505,29.043,5.8293,25.1375,7.0193,7.033,0.4672,0.245,0.8179,0.486,0.3948,2.9265,1.0244,1.0326,1.1474,3.716,3.2424,3.7745,3.9032,10.1878,2.0678,2.0287,2.014,2.0657,2.0116,6.3477,12.6541,4.272,4.1896,4.1925,9.8039,2.0174,2.0011,1.9836,1.8603,1.9415,1.325,1.3635,1.1941,0.0849,0.0115,0.0088,1.2204,1.3706,1.2803,0.0916,0.0149,0.0097,-142.15,30.5
KOTMOV,80.46,-0.53,178.38,1.87,10.56,8.42,32,21.5,11.1,678,-3.2733,-2.2776,2.16,2.1,-0.21,0.13,2.57,2.02,2.3,72.74,0.1996,-0.1941,0.1204,-0.1599,0.135,2.909,3.6728,1.3172,3.1352,3.138,29.0868,5.8288,25.1424,7.0674,6.9718,0.597,0.4298,0.664,0.3486,0.3951,2.9204,0.9911,1.0515,1.137,3.7463,3.259,3.8081,3.9048,10.1614,2.0575,2.0257,2.012,2.058,2.0081,6.3558,12.6642,4.2842,4.2202,4.1598,9.7804,2.0241,1.9945,1.9928,1.8481,1.9209,1.2576,1.3653,1.2589,0.0908,0.0162,0.0097,1.2315,1.3622,0.9822,0.1263,0.0291,0.0124,-103.92,19.3
GOKSAC,81.16,4.46,174.79,1.7,7.91,9.71,30,22,15.7,731.14,-3.3512,-2.8614,2.18,2,-0.19,-0.03,2.59,2.01,2.34,72.57,0.3905,-0.1711,0.1615,-0.6003,-0.6249,2.8922,3.7666,1.3106,1.9752,1.9892,29.078,5.8674,25.1571,8.4399,8.4174,0.5943,0.4789,0.6061,0.2801,0.3953,2.92,0.9954,1.0343,1.1279,3.7529,3.3946,3.6894,3.856,10.1456,2.0534,2.0237,2.0145,2.0423,2.0116,6.2961,12.5877,4.2511,4.2158,4.1208,9.7256,1.926,1.9697,1.9817,1.9186,1.9297,1.5122,1.4642,1.6844,0.4146,0.0646,0.0654,1.4839,1.4297,1.747,0.4575,0.0606,0.0972,-154.03,17
XAXLIU,75.67,4.37,212.05,2.14,10.85,9.32,34.2,25.8,16.2,735.09,-3.293,-2.8988,2.3,2.11,-0.2,-0.11,2.62,2.01,2.3,74.41,0.2898,-0.2168,0.1391,-0.0278,-0.6163,2.7921,3.6489,1.3408,3.0815,2.0056,29.0078,5.9054,25.1277,6.995,8.4458,0.583,0.439,0.6926,0.2496,0.3955,2.9258,1.0983,1.0635,1.0376,3.7497,3.7476,3.7928,3.4115,10.1594,2.0161,2.0594,2.0308,2.0178,2.0354,6.3133,12.636,4.273,4.1847,4.1783,9.7609,1.8679,2.0057,2.0124,1.9149,1.96,1.2833,1.1499,1.2996,0.1152,0.0236,0.0153,1.4904,1.5503,1.6298,0.4264,0.0767,0.0686,-122.77,11.4
HESRUS10,84.19,-5.46,183.25,3.2,7.62,8.69,38.2,29.6,17.3,671.89,-4.3221,-2.0066,2.04,2.09,0.1,-0.1,2.62,2.29,2.16,72.12,0.179,-0.2373,0.3223,-0.2112,-0.1013,2.1728,3.9127,1.4358,3.0445,2.9813,28.8171,6.099,24.9937,7.025,6.9379,0.4595,0.2481,0.8827,0.2468,0.3956,2.9221,1.0614,1.0306,1.1311,3.7037,3.6474,3.368,3.7866,10.172,2.0438,2.0287,2.0269,2.0362,2.0366,6.3152,12.581,4.2005,4.1831,4.1974,9.9248,1.9601,2.0002,1.96,2.0063,1.9982,1.2667,1.3617,1.3193,0.0822,0.0156,0.0241,1.259,1.3895,1.1519,0.1192,0.0276,0.0168,-77.33,7.4
KUTTOJ,81.19,2.3,195.45,2,8.83,8.43,35.9,27.6,16,681.55,-2.6223,-1.607,2,2.09,-0.02,-0.1,2.61,2.27,2.18,71.83,0.1744,-0.2183,0.182,-0.1495,-0.1431,2.7302,3.8088,1.3302,3.1417,2.8145,28.9937,5.9517,25.1514,7.0047,7.0578,0.4839,0.2529,0.8167,0.4214,0.3957,2.9268,1.0206,1.0574,1.1207,3.7096,3.2139,3.8209,3.8818,10.1918,2.0492,2.0337,2.0145,2.0765,2.0179,6.3516,12.6618,4.2655,4.1882,4.2082,9.8122,1.9875,1.968,1.9648,1.9301,1.9618,1.2538,1.3597,1.2771,0.0944,0.0145,0.0098,1.4276,1.3698,1.0601,0.0975,0.009,0.0123,-157.94,30.3
YORBAL,81.53,3.19,232.89,3.52,10.12,7.93,40.7,33.5,24.2,905.01,-2.7049,-1.9173,2.08,2.05,-0.07,-0.08,2.66,2.28,2.19,72.88,0.2158,-0.2223,0.172,-0.2053,-0.1244,2.7852,3.5303,1.3153,2.9184,3.229,28.9722,5.7996,25.1567,7.1995,7.0194,0.4472,0.2199,0.8055,0.3918,0.3958,2.9303,1.02,1.033,1.1478,3.7181,3.227,3.7795,3.9116,10.1918,2.0667,2.0242,2.0141,2.0739,2.013,6.3491,12.6329,4.2759,4.186,4.171,9.8022,2.0054,2.0003,1.9836,1.8621,1.9507,1.3999,1.3655,1.2058,0.0808,0.0139,0.0092,1.2053,1.3435,1.3232,0.0936,0.0152,0.0089,-160.43,21
KUFLUU01,90.46,7.23,208.31,2.39,8.87,7.98,37.4,28.7,18.7,694.13,-3.1529,-2.8956,2.02,2.08,-0.05,-0.21,2.6,2.05,2.28,73.65,0.2944,-0.1928,0.1409,-0.1404,-0.6895,2.9757,3.7578,1.3056,3.1907,1.9331,29.087,5.9259,25.1605,7.0474,8.4314,0.5711,0.4479,0.702,0.4563,0.3958,2.9219,0.9914,1.0552,1.1306,3.7383,3.2598,3.7987,3.8966,10.1656,2.0621,2.0265,2.0095,2.058,2.0095,6.3091,12.6468,4.2487,4.2235,4.1747,9.7497,2.0083,1.9603,1.9578,1.8857,1.9376,1.2899,1.3683,1.2449,0.0877,0.01,0.0085,1.5613,1.4396,1.7135,0.4595,0.0375,0.0648,-131.28,16.2
FIRKID,91.62,8.97,183,1.1,6.49,8.48,29.6,20.5,14.1,667.29,-3.4824,-3.1106,2.23,2.04,-0.25,-0.06,2.58,2.01,2.36,71.76,0.3871,-0.1685,0.1548,-0.6104,-0.5981,2.9019,3.6298,1.3071,1.9355,1.977,29.0678,5.8034,25.1579,8.4671,8.4248,0.6269,0.4765,0.568,0.2691,0.3961,2.9198,0.9923,1.03,1.1338,3.7564,3.3668,3.6891,3.8894,10.1435,2.0576,2.0221,2.0106,2.0402,2.013,6.3011,12.5954,4.2588,4.2092,4.1274,9.7164,1.9213,1.9615,1.9824,1.9139,1.9372,1.5393,1.4556,1.6923,0.3839,0.05,0.0657,1.5113,1.444,1.7189,0.4031,0.0468,0.0849,-160.16,14.7
SODRUA,81.39,-1.57,174.67,1.49,8.97,8.13,28.9,18.9,11,640.63,-3.2431,-2.3942,2.2,2.03,-0.25,0.23,2.56,2.02,2.27,73.08,0.2885,-0.2016,0.1693,-0.0523,-0.5177,2.8319,3.7219,1.3497,2.9593,2.0367,29.0858,5.8689,25.1204,6.8608,8.3859,0.6327,0.4207,0.6748,0.2912,0.3961,2.9174,1.0072,1.0557,1.1259,3.735,3.3002,3.7951,3.8417,10.1587,2.0496,2.0333,2.0153,2.0521,2.0084,6.3159,12.6095,4.272,4.1994,4.1381,9.7861,2.0157,1.9916,1.9814,1.8685,1.9289,1.1876,1.3728,1.1733,0.1227,0.0226,0.0134,1.5092,1.4917,1.6231,0.3871,0.0429,0.053,-81.33,28.1
