Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
BAGJEY10,46.92,158.47,1.63,6.22,6.39,26.6,17.8,9.3,439.23,-4.1211,-1.7083,3.11,1.9,1.87,0.3321,-0.2804,-0.6008,-0.1536,1.5989,2.9443,2.0593,3.1004,28.7979,7.3145,8.4895,7.3553,0.7054,0,0.6405,3.1661,4.0343,1.2787,1.3081,1.4475,6.5423,12.343,4.1462,4.1083,4.0885,9.7825,1.9212,1.9488,1.9586,1.9702,1.9837,3.5564,4.7741,1.6689,1.6289,1.4763,0.2702,0.0199,0.0734,0.0711,0.0353,0.0705,3.1443,3.9297,1.3717,1.341,1.2169,0.0796,0.0124,0.0175,0.0156,0.013,0.021,26.4
BAGQUY,79.2,229.46,1.85,7.67,8.74,40.4,29.7,17.5,572.98,-3.7959,-2.6525,2.14,1.99,1.89,0.2721,-0.266,-0.0969,-0.1248,1.908,2.9172,3.0787,3.161,28.7512,7.3132,7.0775,7.145,0.6844,0.3827,0.4819,3.1695,4.016,1.2523,1.3982,1.3655,6.4373,12.4753,4.1418,4.1535,4.18,9.8153,1.9587,1.9481,1.9743,1.96,1.9741,3.1771,3.8029,1.207,1.4738,1.1221,0.1168,0.0158,0.0276,0.0279,0.0192,0.0264,3.1561,3.8488,1.3575,1.1779,1.3135,0.12,0.0286,0.0137,0.0304,0.0162,0.031,37
BAGSAD,81.56,213.28,1.78,5.25,9.5,35.2,23.3,11.9,503.64,-3.9311,-2.8249,2.01,2,1.88,0.3895,-0.257,0.2129,-0.5662,1.9362,2.9574,3.2204,2.0349,28.7278,7.3024,7.091,8.4921,0.6868,0.5125,0.4052,3.1663,4.0091,1.3318,1.4181,1.2592,6.3797,12.4475,4.1546,4.1352,4.1578,9.7832,1.9304,1.9686,1.9693,1.9531,1.9618,3.1298,3.5216,1.1597,1.316,1.0459,0.1357,0.0111,0.032,0.0492,0.016,0.0274,3.5082,4.6996,1.5148,1.5213,1.6635,0.3584,0.0723,0.066,0.0772,0.0608,0.082,28.9
BAGXAJ,95.78,200.48,2.28,9.49,10.99,30.9,20.4,16.5,843.83,-3.1892,-2.4626,1.91,1.93,1.92,0.4527,-0.2454,-0.5982,-0.6792,2.0172,2.9018,2.1001,2.0577,28.6814,7.2858,8.4466,8.5679,0.6168,0.5059,0.5174,3.1686,3.9956,1.333,1.4047,1.2579,6.3296,12.4616,4.1374,4.1918,4.1323,9.7561,1.9391,1.9329,1.9498,1.9408,1.9935,3.5116,4.6884,1.4736,1.4826,1.7323,0.3981,0.1015,0.072,0.0661,0.0887,0.0698,3.5131,4.7641,1.5786,1.5747,1.6107,0.4021,0.0873,0.0804,0.0789,0.0752,0.0802,28.8
BAGYOY,87.06,193.55,2.28,6.05,9.11,29.5,19.1,13.1,568.99,-4.4187,-3.7679,1.97,1.84,1.92,0.6001,-0.176,-0.5603,-0.5555,2.8722,3.0464,2.0455,2.1646,28.8373,7.1487,8.4932,8.5011,0.5572,0.5807,0.7132,3.1569,3.9362,1.3183,1.2395,1.3784,6.2141,12.5192,4.1691,4.2011,4.149,9.6666,1.9846,1.9279,1.9718,1.8456,1.9367,3.5272,4.6688,1.4568,1.6923,1.5197,0.3643,0.0734,0.0785,0.0743,0.0747,0.0635,3.4959,4.6387,1.5549,1.5485,1.5353,0.421,0.0963,0.0844,0.0809,0.095,0.0645,3
BAHFIZ,91.48,188.75,1.88,7.8,8.05,35.6,28.2,19.4,574.42,-4.0489,-2.9042,1.88,2.24,1.93,0.4884,-0.2124,-0.5712,-0.5149,2.36,2.9891,2.1778,2.1012,28.8752,7.1431,8.4924,8.4019,0.5399,0.5978,0.2531,3.1645,3.9652,1.2962,1.3635,1.3055,6.2467,12.4708,4.147,4.1728,4.1511,9.794,1.9759,1.9816,1.9108,1.9381,1.9877,3.481,4.6487,1.4704,1.6863,1.4921,0.4415,0.0994,0.0896,0.075,0.1062,0.0714,3.5337,4.638,1.4827,1.4639,1.6914,0.3432,0.0726,0.0836,0.0541,0.0854,0.0476,4.6
BAKGOJ,80.66,175.38,1.7,3.8,11.68,27.3,15.9,9.1,519.78,-4.1407,-3.491,2.12,2.02,1.86,0.4365,-0.2596,-0.5291,-0.5184,1.6984,2.9489,2.1058,2.1562,28.7258,7.3257,8.4761,8.4656,0.7229,0.3392,0.4232,3.1657,4.0119,1.4171,1.3307,1.264,6.3821,12.3781,4.1265,4.1322,4.1195,9.8032,1.9295,1.9605,1.9696,1.9494,1.9942,3.5279,4.6579,1.4779,1.6205,1.5596,0.3433,0.0648,0.0713,0.0706,0.0654,0.0712,3.5159,4.6482,1.5025,1.4842,1.6615,0.3543,0.0787,0.0556,0.0812,0.0662,0.0727,17.8
BAKJUV,98.65,198.35,2.14,9.19,8,36.7,25.7,16.6,604.98,-3.2895,-1.2927,2.07,1.92,1.9,0.4129,-0.2427,-0.5837,-0.8399,2.017,2.921,2.0517,1.8376,28.8383,7.2673,8.3912,8.5114,0.6485,0.3691,0.6597,3.1652,3.996,1.2407,1.4263,1.329,6.3858,12.4346,4.0774,4.1519,4.2052,9.7667,1.9671,1.9298,1.9467,1.9692,1.9539,3.5323,4.6646,1.5841,1.3867,1.6938,0.3868,0.0777,0.0725,0.0609,0.095,0.0807,3.5479,4.8679,1.5357,1.651,1.6812,0.4241,0.0856,0.095,0.0584,0.0973,0.0878,24.1
BANVIY,62.5,200.2,2.55,9.12,10.25,27.4,23.9,21.3,755.61,-3.139,-0.9975,2.11,2.08,1.86,0.3902,-0.2544,-0.606,-0.5621,1.628,2.9281,1.8885,1.9712,28.8359,7.3142,8.5231,8.5103,0.6851,0.3525,0.4428,3.1599,4.0105,1.3095,1.4083,1.2927,6.4354,12.358,4.136,4.1686,4.0534,9.8164,1.9136,1.9773,1.9675,1.9922,1.9658,3.5258,4.6931,1.6507,1.468,1.5745,0.387,0.0906,0.0546,0.0746,0.0761,0.0912,3.5329,4.7172,1.4849,1.6974,1.5349,0.312,0.0769,0.0654,0.0494,0.0708,0.0495,14.2
BANVUK,62.41,201.74,2.06,9.01,7.07,28,24.3,19.7,655.07,-3.1569,-1.0011,2.06,2.14,1.86,0.393,-0.2541,-0.6103,-0.5593,1.6274,2.9336,1.903,1.9625,28.8192,7.3108,8.5308,8.5038,0.6814,0.3989,0.3785,3.1598,4.0103,1.2836,1.4113,1.3153,6.4338,12.3564,4.122,4.1654,4.0691,9.8168,1.9211,1.9695,1.9594,1.9881,1.9787,3.5212,4.6977,1.6356,1.4673,1.5948,0.3913,0.0862,0.0586,0.0829,0.069,0.0946,3.5381,4.7165,1.4964,1.7009,1.5192,0.3046,0.0664,0.0688,0.0552,0.0608,0.0535,13.7
