Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
ABABIQ,95.37,197.3,1.65,12.03,10.15,31.6,21.2,13.5,753.83,-2.9673,-2.0627,1.94,1.97,1.91,0.4225,-0.2459,-0.6447,-0.5774,1.8823,2.9129,2.0487,1.9912,28.7213,7.2933,8.532,8.4934,0.6261,0.5029,0.4238,3.1672,3.9965,1.2883,1.2732,1.4351,6.3428,12.4432,4.1692,4.1093,4.1647,9.7915,1.9377,1.9622,1.9475,1.968,1.9762,3.5095,4.7205,1.5079,1.5755,1.6372,0.4146,0.0848,0.0609,0.1067,0.0629,0.0995,3.5057,4.7186,1.4941,1.6168,1.6077,0.3531,0.0738,0.0823,0.0508,0.0793,0.0669,44.7
ABEMEA,93.6,210.49,1.67,6.83,8.71,34.8,24.9,16.6,578.61,-3.4679,-1.5291,1.94,1.99,1.92,0.3119,-0.2402,-0.7269,-0.0825,1.8819,2.9955,2.0866,3.1129,28.7824,7.2577,8.5673,7.1019,0.632,0.5527,0.444,3.1667,3.9918,1.403,1.2166,1.3721,6.3838,12.4867,4.1594,4.1773,4.15,9.8176,1.9609,1.935,1.9865,1.9797,1.9555,3.5127,4.8053,1.559,1.6068,1.6395,0.4089,0.0823,0.0861,0.0797,0.0808,0.08,3.1877,3.7759,1.1911,1.3603,1.2245,0.1188,0.0291,0.0178,0.0295,0.0231,0.0194,31.9
ABEQUW,96.08,197.44,1.52,8.22,6.06,39.9,29.4,17.6,545.57,-3.1305,-1.9612,1.96,2.02,1.91,0.4108,-0.2445,-0.5836,-0.6293,1.8724,2.9736,2.0056,1.9804,28.7883,7.2668,8.4549,8.509,0.6511,0.4682,0.4256,3.1652,3.9973,1.27,1.3569,1.3704,6.3466,12.4373,4.0597,4.1883,4.1892,9.8053,1.9733,1.9662,1.9264,1.9502,1.9893,3.4966,4.7212,1.5396,1.5347,1.6469,0.3658,0.0746,0.075,0.0762,0.0678,0.0723,3.5144,4.7124,1.5221,1.5205,1.6698,0.4025,0.0984,0.0643,0.0726,0.0943,0.073,30.2
ABEZEP,109.32,208.18,2.27,8.68,8.16,40.1,28.8,19.4,621.68,-2.3296,-0.0195,1.97,2.04,1.96,0.3843,-0.2377,-0.7666,-0.7301,1.9096,2.8683,1.9826,1.9643,28.8788,7.2663,8.5828,8.5628,0.5696,0.5685,0.501,3.1721,3.983,1.3228,1.3687,1.2915,6.3352,12.449,4.1588,4.1591,4.131,9.8315,1.931,1.9599,1.9778,1.9779,1.9849,3.5277,4.8263,1.63,1.5621,1.6342,0.4126,0.0811,0.0844,0.074,0.0897,0.0833,3.5387,4.8109,1.6198,1.7514,1.4398,0.3804,0.0337,0.1001,0.1008,0.0525,0.0935,18.7
ABIVAL,84.06,187.8,1.52,8.58,7.65,32,23.8,17.9,652.33,-3.9646,-3.0245,1.98,2,1.97,0.5931,-0.2029,-0.5471,-0.5901,2.3943,2.9355,2.0258,2.0285,28.8183,7.2237,8.4511,8.4728,0.5127,0.5329,0.455,3.1726,3.9492,1.3838,1.2512,1.3142,6.2648,12.4041,4.168,4.1441,4.0921,9.738,1.9397,1.9329,1.9633,1.9554,1.9467,3.5143,4.6646,1.5184,1.5978,1.5484,0.3681,0.0726,0.059,0.1001,0.0524,0.0841,3.5152,4.6758,1.4599,1.606,1.6099,0.399,0.0673,0.0717,0.1015,0.0764,0.0821,9.7
ABOMOW,80.77,187.18,2.83,7.85,9.79,36.5,27.9,20.3,695.94,-2.9799,-1.2428,1.92,2.23,1.88,0.3659,-0.2489,-0.8204,-0.6168,1.7463,2.9791,1.8396,2.0725,28.8768,7.285,8.5599,8.499,0.6749,0.6685,0.2592,3.1603,4.0043,1.1929,1.4035,1.4079,6.431,12.4138,4.0611,4.1811,4.1716,9.7894,1.9693,1.9717,1.9104,1.9519,1.9862,3.5498,4.8622,1.6411,1.5269,1.6942,0.4084,0.0878,0.0618,0.0994,0.0769,0.0825,3.5368,4.6985,1.5084,1.6175,1.5725,0.3815,0.072,0.0678,0.0939,0.0676,0.0802,18.1
ABUJAI01,83.84,184.64,1.52,5.68,7.95,28.7,18.8,12.4,500.59,-3.3262,-2.8672,1.96,1.99,1.88,0.4511,-0.2487,-0.5934,-0.591,1.929,2.9331,2.1114,2.0942,28.7389,7.3054,8.5025,8.5044,0.6747,0.5163,0.4742,3.1646,4.0016,1.3811,1.4245,1.1959,6.3465,12.4287,4.1492,4.1776,4.1019,9.7737,1.9275,1.9669,1.9757,1.9145,1.9891,3.5211,4.6838,1.5131,1.6809,1.4899,0.3884,0.0617,0.0727,0.0949,0.0513,0.1079,3.5255,4.684,1.5718,1.5154,1.5967,0.3815,0.0793,0.0605,0.0909,0.0521,0.0987,16.5
ACEGAR,87.61,209.53,1.52,9.22,9.46,48.2,36.9,22.9,726.47,-4.0566,-2.6613,2.08,2.1,1.91,0.5174,-0.2217,-0.4743,-0.4008,2.056,3.0548,1.9431,2.1254,28.8055,7.2381,8.4225,8.3413,0.7197,0.3547,0.3276,3.161,3.9801,1.3382,1.4165,1.2254,6.2751,12.4147,4.1856,4.1415,4.0876,9.7928,1.9339,1.9668,1.9583,1.9613,1.9726,3.4926,4.6145,1.5269,1.582,1.5056,0.3671,0.0785,0.0766,0.0704,0.0629,0.0786,3.4953,4.561,1.425,1.5546,1.5814,0.3445,0.0935,0.0786,0.0364,0.0969,0.0392,11.3
ACNAQU01,84.07,181.79,1.54,4.89,9.36,28.3,16.9,10.9,503.05,-4.4483,-4.0162,1.97,2.08,1.84,0.5234,-0.2351,-0.4954,-0.4793,2.0263,2.9917,2.1309,2.0951,28.6936,7.3159,8.4709,8.4322,0.7496,0.5589,0.43,3.1686,3.9843,1.4056,1.3841,1.1946,6.3401,12.4066,4.1397,4.1563,4.1105,9.7299,1.9456,1.9694,1.9814,1.8601,1.9733,3.5153,4.6216,1.4274,1.6846,1.5096,0.3585,0.0602,0.0695,0.0882,0.0509,0.0897,3.5305,4.6093,1.4921,1.5298,1.5874,0.3396,0.0753,0.0453,0.0809,0.0507,0.0875,12.5
ACSALA19,62.89,158.86,1.94,5.82,9.26,26.5,19.6,12.2,509.49,-3.2176,-1.6236,2.05,2.12,1.86,0.3959,-0.2578,-0.5614,-0.5567,1.6693,2.9264,1.903,1.976,28.8375,7.3221,8.5377,8.5246,0.6823,0.4412,0.4019,3.1598,4.0138,1.2403,1.3333,1.4402,6.4314,12.3594,4.1073,4.1297,4.1225,9.8133,1.9151,1.9727,1.9692,1.9746,1.9817,3.5193,4.6672,1.5965,1.6037,1.467,0.375,0.0623,0.0763,0.0852,0.0465,0.1046,3.5345,4.7008,1.5316,1.5122,1.657,0.3214,0.0622,0.07,0.0701,0.0477,0.0715,22.6
ADALAS,50.66,174.15,1.66,5.18,6.58,28.3,18.7,8.8,407.08,-4.4916,-1.7921,2.93,1.93,1.88,0.3514,-0.2611,-0.5783,-0.1804,1.5596,3.0109,2.0467,3.2136,28.7554,7.3086,8.484,7.3464,0.7143,0,0.6013,3.1631,4.0172,1.3483,1.2956,1.3733,6.5005,12.3423,4.0482,4.244,4.0501,9.8058,1.9579,1.986,1.9579,1.972,1.932,3.5528,4.7522,1.5669,1.6273,1.558,0.2733,0.0599,0.05,0.0547,0.0503,0.0584,3.1356,3.9645,1.259,1.4183,1.2872,0.0803,0.0212,0.0165,0.0183,0.0121,0.0123,17.3
ADAQEC,94.14,197.35,1.58,12.1,8,31.3,22.3,14.3,639.7,-2.9613,-1.8751,1.94,1.94,1.92,0.4228,-0.2465,-0.613,-0.6826,1.8932,2.9007,2.0695,2.0458,28.7044,7.2869,8.4752,8.5556,0.6113,0.4583,0.5141,3.1685,3.9964,1.3497,1.4223,1.2244,6.3424,12.451,4.1414,4.1919,4.1178,9.7837,1.9553,1.944,1.9495,1.9433,1.9916,3.5047,4.6807,1.4939,1.543,1.6438,0.4276,0.1139,0.0675,0.079,0.0855,0.0816,3.5135,4.77,1.5898,1.5891,1.5911,0.3991,0.0907,0.0801,0.0727,0.0785,0.0772,18.2
ADUPIY,77.78,169.86,1.86,8.97,9.51,28.7,20.9,14.2,682.01,-4.3251,-2.2504,1.93,2.43,1.88,0.3353,-0.2707,-0.0759,-0.5672,1.7424,2.951,3.1845,2.0445,28.8216,7.3183,7.0818,8.5054,0.7326,0.6549,0.1557,3.1664,4.0244,1.4278,1.3276,1.2689,6.4693,12.3905,4.1229,4.1964,4.0712,9.8048,1.9166,1.9814,1.9664,1.9694,1.9711,3.1706,3.788,1.2821,1.3707,1.1352,0.1173,0.0153,0.0307,0.0213,0.0179,0.0321,3.5417,4.6846,1.5291,1.5047,1.6508,0.3409,0.0775,0.0555,0.0676,0.0563,0.0841,32.5
AFAFIX,80.08,218.08,2.11,10.14,6.84,33.6,26.3,16.3,623.55,-4.0772,-3.5335,2.28,1.91,1.87,0.3607,-0.2595,-0.4884,-0.1037,1.8331,2.9935,2.0435,3.3066,28.7782,7.2889,8.4447,7.1212,0.7184,0.2089,0.5915,3.1648,4.0141,1.3829,1.4128,1.2183,6.4333,12.4199,4.1264,4.1932,4.1004,9.7861,1.9258,1.9921,1.9736,1.9369,1.9576,3.5284,4.6217,1.5049,1.5284,1.5884,0.3384,0.0739,0.0552,0.0703,0.0514,0.0876,3.1501,3.8572,1.2746,1.3515,1.2311,0.0964,0.0137,0.0186,0.0202,0.0147,0.0292,33.7
AFAPAB,89.94,192.36,2.83,9.19,7.14,40,31.1,20.2,634.98,-1.8631,-1.4162,1.98,1.92,1.88,0.3594,-0.24,-0.8756,-0.8175,2.0741,2.8686,1.7901,1.8626,28.883,7.2973,8.6053,8.5719,0.5994,0.5622,0.6322,3.163,3.9901,1.2867,1.3638,1.3395,6.3683,12.4933,4.137,4.1862,4.1701,9.779,1.8985,1.9558,1.9794,1.9721,1.9732,3.56,4.8597,1.6544,1.5125,1.6928,0.4558,0.1042,0.0859,0.095,0.0857,0.0851,3.5623,4.8463,1.4661,1.7103,1.6699,0.4089,0.0985,0.0987,0.063,0.0896,0.0591,21.3
AFEBOC,89.07,184.58,3.34,5.32,8.18,33.6,25.4,16.8,556.56,-3.3871,-0.8962,2.05,2.06,1.91,0.4231,-0.2395,-0.6176,-0.6177,1.6882,2.9786,2.1389,2.1344,28.7479,7.281,8.5199,8.523,0.6647,0.4038,0.397,3.1627,3.9941,1.3847,1.3284,1.281,6.3319,12.4024,4.17,4.1303,4.1022,9.8425,1.9559,1.9728,1.9789,1.937,1.9979,3.5091,4.7154,1.5896,1.5651,1.5607,0.3931,0.0702,0.0613,0.1021,0.0495,0.11,3.51,4.715,1.6231,1.5637,1.5282,0.3928,0.0665,0.077,0.1016,0.052,0.0955,9.7
AFERUY,108.8,224.03,3.45,8.13,9.38,47.8,41.3,27.2,676.93,-1.7878,-0.2511,2,2.01,1.97,0.3669,-0.2274,-0.761,-0.7788,1.907,2.9094,1.8709,1.7862,28.94,7.2377,8.5387,8.6006,0.573,0.5903,0.5586,3.1723,3.9723,1.3915,1.2342,1.3466,6.3436,12.464,4.2086,4.1154,4.1399,9.8255,1.9725,1.9701,1.9667,1.9388,1.9774,3.5318,4.8266,1.6831,1.5037,1.6398,0.4026,0.0931,0.071,0.1005,0.0574,0.0807,3.5324,4.7889,1.493,1.644,1.652,0.4575,0.0931,0.1081,0.0663,0.1105,0.0795,13.9
AFILIN,82.44,179.11,3.65,9.49,9.64,31.8,27.1,22.7,771.46,-3.081,-2.2134,2.21,1.9,1.88,0.3526,-0.2524,-0.5693,-0.8426,1.6989,2.9331,2.0348,1.8788,28.8366,7.2656,8.4403,8.5548,0.6591,0.2602,0.6142,3.1621,4.0067,1.3436,1.3014,1.3618,6.4455,12.4235,4.1599,4.1259,4.1377,9.7784,1.9424,1.9127,1.9764,1.9671,1.9798,3.5311,4.6314,1.423,1.6726,1.5358,0.4068,0.0744,0.0686,0.1083,0.0594,0.096,3.5418,4.8673,1.6917,1.4444,1.7312,0.4335,0.0975,0.0665,0.1012,0.0767,0.0915,20
AFLATC,92.92,189.2,1.52,8.83,8.89,32,20.6,13.4,612.06,-3.8597,-2.7395,1.95,2.14,1.9,0.4609,-0.227,-0.5439,-0.4659,1.7814,3.0439,2.1749,2.1184,28.793,7.2071,8.4584,8.4207,0.6964,0.5307,0.312,3.1632,3.9824,1.2348,1.3616,1.386,6.3357,12.3917,4.0371,4.2122,4.1424,9.8118,1.9691,1.9835,1.9359,1.9584,1.9649,3.5025,4.6781,1.4789,1.5924,1.6069,0.3633,0.0922,0.0767,0.0472,0.0959,0.0513,3.5075,4.6178,1.4594,1.62,1.5383,0.3406,0.0794,0.0912,0.0419,0.087,0.0411,13.7
AFUHUG,78.94,173.1,1.65,8.33,9.25,29.5,18.2,11.1,559.59,-3.8781,-2.7948,2.21,2,1.89,0.3555,-0.2486,-0.3273,-0.6507,1.5471,2.9833,2.7129,2.1017,28.7129,7.2921,7.6437,8.6406,0.6812,0.2432,0.4638,3.1622,4.0044,1.2904,1.3849,1.3291,6.4076,12.3992,4.0798,4.1744,4.1449,9.8378,1.9497,1.9815,1.9611,1.964,1.9815,3.2235,4.0231,1.3885,1.1972,1.4374,0.0807,0.025,0.0116,0.0072,0.0123,0.0245,3.4997,4.7229,1.5204,1.6485,1.554,0.4281,0.0852,0.0945,0.0919,0.0864,0.0702,6.9
AFUVEC,62.47,157.31,2.37,8.66,9.06,26,19.9,13.8,606.78,-3.1354,-1.8984,2.13,2.07,1.86,0.3804,-0.2584,-0.5699,-0.5929,1.6674,2.9262,1.9543,1.8919,28.8683,7.3277,8.5266,8.5362,0.6747,0.423,0.4594,3.1601,4.0139,1.2771,1.4117,1.3251,6.4431,12.3598,4.1224,4.1581,4.0793,9.8167,1.9209,1.9665,1.9581,1.9819,1.9892,3.5406,4.716,1.6324,1.4697,1.6139,0.3132,0.0762,0.0447,0.0695,0.0442,0.0786,3.5305,4.719,1.5158,1.6874,1.5158,0.3435,0.067,0.077,0.0686,0.0606,0.0703,15
AFUVEE,79.16,212.47,2.59,10.81,10.78,34.2,26.4,19.1,786.22,-3.8621,-2.5347,2.03,2.13,1.91,0.3496,-0.2586,-0.6251,-0.0481,1.7074,2.9569,2.0952,3.1706,28.7572,7.287,8.5593,7.1104,0.6781,0.4146,0.4039,3.168,4.0099,1.419,1.3738,1.2171,6.4033,12.417,4.1293,4.1698,4.118,9.8301,1.9311,1.9691,1.9684,1.9613,2.0002,3.5165,4.7101,1.5322,1.5151,1.6628,0.3985,0.0873,0.0694,0.0892,0.0648,0.0878,3.1574,3.7738,1.2315,1.4243,1.118,0.1169,0.0129,0.0315,0.0265,0.0169,0.0291,16.4
AFUVOM,62.79,186.91,1.87,8.78,9.25,31.7,24.8,17.7,600.44,-3.2632,-1.7221,1.99,2.18,1.86,0.4019,-0.2583,-0.6374,-0.5539,1.7514,2.9447,1.9008,2.0002,28.9102,7.3078,8.5739,8.5094,0.7039,0.5638,0.3668,3.1593,4.0147,1.2676,1.3136,1.4334,6.4308,12.3636,4.0732,4.1704,4.12,9.8036,1.9212,1.9746,1.968,1.9702,1.9697,3.5181,4.7155,1.5855,1.513,1.6171,0.4038,0.0703,0.0888,0.0881,0.0596,0.097,3.5363,4.6901,1.5411,1.644,1.505,0.3276,0.0457,0.0672,0.0786,0.0465,0.0896,14.8
AFUWED,80.33,227.47,2.47,7.79,9.74,39.4,30.8,20.1,653.98,-3.7099,-2.9436,2.06,2.01,1.89,0.3914,-0.2483,-0.0206,-0.6351,1.9029,2.9356,3.2681,2.0911,28.7185,7.2661,7.1122,8.5559,0.677,0.4544,0.4435,3.1642,4.0031,1.2753,1.3922,1.3356,6.3777,12.4328,4.1102,4.1915,4.1311,9.7981,1.9378,1.9554,1.9474,1.9773,1.9801,3.1563,3.7451,1.2433,1.3475,1.1543,0.1192,0.0148,0.0294,0.024,0.0246,0.0263,3.5166,4.7155,1.5343,1.5135,1.6677,0.4029,0.0927,0.0704,0.0931,0.0618,0.0849,18.6
AGAKIE,94.86,198.51,1.81,8.41,8.52,34.4,26.9,19.8,620.87,-3.7637,-2.4887,2.03,2.03,1.92,0.4777,-0.2313,-0.5318,-0.5542,1.8541,3.0264,2.1691,2.135,28.7648,7.2214,8.4356,8.497,0.693,0.4299,0.4172,3.1646,3.9854,1.2313,1.3514,1.4026,6.3017,12.405,4.0611,4.183,4.1608,9.8155,1.9679,1.9714,1.9135,1.9625,2.0002,3.5112,4.6546,1.4925,1.578,1.5841,0.366,0.103,0.071,0.0465,0.1014,0.0442,3.5099,4.6462,1.5058,1.6226,1.5179,0.3981,0.0964,0.087,0.0542,0.1012,0.0593,11.8
AGEMIK,78.68,177.33,1.82,8.24,9.84,33.3,24.5,15.1,629.22,-4.1729,-2.4601,2.18,2,1.9,0.415,-0.2516,-0.3241,-0.561,1.6014,3.0194,2.88,2.0386,28.6596,7.2686,7.6802,8.5201,0.6876,0.1998,0.4193,3.1651,4.0066,1.2958,1.3549,1.3558,6.3976,12.3718,4.194,4.1045,4.0732,9.8156,1.919,1.9878,1.9776,1.9586,1.9727,3.1783,4.0836,1.4618,1.3117,1.3102,0.0622,0.0097,0.0158,0.0167,0.0058,0.0142,3.4886,4.6819,1.478,1.6015,1.6023,0.3906,0.0785,0.0672,0.098,0.0643,0.0825,5
AGENOS,84.73,217.56,2.51,7.61,8.73,36.4,27,19.7,634.36,-4.5003,-3.303,2.18,1.83,1.93,0.4285,-0.2071,-0.5909,-0.0562,2.6472,3.0375,2.0687,3.3894,28.8924,7.1341,8.4783,7.2544,0.5709,0.299,0.8317,3.1633,3.9616,1.321,1.3233,1.3173,6.2851,12.5513,4.1766,4.227,4.1477,9.7351,1.9544,1.9884,1.9379,1.8845,1.9699,3.5364,4.6802,1.5148,1.5169,1.6486,0.3742,0.0829,0.0702,0.0745,0.065,0.0815,3.1268,3.8279,1.2695,1.3655,1.1929,0.1015,0.0147,0.0206,0.0257,0.0189,0.0216,9.6
AGEPEK,84.74,216.58,1.72,8.65,8.17,36.3,24.6,15.1,559.62,-4.6056,-3.3453,2.22,1.83,1.93,0.4324,-0.2069,-0.556,-0.0552,2.6324,3.0416,2.0726,3.3971,28.8777,7.1372,8.4496,7.2429,0.5759,0.2677,0.8344,3.1629,3.9617,1.3281,1.3269,1.3067,6.2899,12.546,4.1777,4.2223,4.146,9.7316,1.9595,1.9843,1.9319,1.8825,1.9734,3.542,4.6775,1.513,1.5289,1.6357,0.3364,0.0778,0.0561,0.067,0.0656,0.0699,3.1267,3.8262,1.2785,1.3525,1.1952,0.1022,0.0153,0.0208,0.0238,0.0196,0.0227,21.7
AGESOX,82.74,186.13,1.73,5.3,8.46,30.6,21.4,12.4,487.22,-4.3252,-3.8322,2.06,1.95,1.85,0.4094,-0.2482,-0.108,-0.6056,1.9861,2.9882,3.176,2.1681,28.6866,7.3245,7.033,8.5061,0.7273,0.4206,0.5033,3.1686,3.9974,1.4037,1.3452,1.2484,6.3697,12.455,4.1393,4.1617,4.154,9.7659,1.9383,1.972,1.9643,1.8906,2.0008,3.171,3.8417,1.2959,1.2117,1.3341,0.0954,0.0233,0.0125,0.0217,0.0113,0.0266,3.5174,4.6712,1.4631,1.6662,1.5419,0.417,0.0793,0.078,0.0946,0.0689,0.0962,11.6
AGIDOM,79.95,175.46,1.83,5.71,8.53,29.6,20.8,12.7,524.92,-3.9301,-2.4664,1.93,2.27,1.89,0.3367,-0.2639,-0.0545,-0.4876,1.7267,2.9464,3.2029,2.0582,28.7783,7.3098,6.964,8.4616,0.7025,0.5676,0.2129,3.1662,4.0179,1.3399,1.376,1.302,6.4433,12.4109,4.1446,4.1551,4.1112,9.8091,1.9259,1.9788,1.9729,1.9531,1.9785,3.1597,3.7658,1.2546,1.2865,1.2248,0.1289,0.0195,0.0213,0.0306,0.0165,0.0409,3.5215,4.6313,1.5042,1.581,1.546,0.3349,0.0769,0.0641,0.06,0.0594,0.0745,27.5
AGIGUU,90.03,197.28,1.52,7.92,5.27,42.5,33,18.6,537.32,-2.4541,-1.466,1.97,2.07,1.91,0.4096,-0.2351,-0.5615,-0.5835,1.9819,2.9306,2.0232,1.9562,28.8563,7.2699,8.4278,8.4455,0.6317,0.5025,0.3981,3.1675,3.9849,1.2144,1.3699,1.4006,6.3478,12.4375,4.0541,4.1945,4.1889,9.805,1.9672,1.9663,1.9559,1.9245,1.9911,3.5109,4.6904,1.4538,1.6618,1.5748,0.3602,0.0991,0.0659,0.049,0.0959,0.0503,3.5266,4.7099,1.4809,1.5708,1.6582,0.3471,0.0529,0.0931,0.0498,0.0994,0.0518,29.4
AGIHEF,84.09,193.88,1.52,8.35,5.33,42.1,32.1,18.3,539.35,-3.8865,-2.6311,2.36,1.87,1.86,0.4909,-0.2446,-0.4271,-0.5398,2.0627,3.0057,2.0931,2.0548,28.8346,7.2565,8.3804,8.3923,0.717,0.1566,0.6043,3.1595,4.0034,1.3524,1.3571,1.2939,6.3701,12.3936,4.2209,4.1009,4.0718,9.7454,1.9315,1.985,1.9698,1.8897,1.9695,3.5229,4.5857,1.5252,1.5708,1.4897,0.3184,0.038,0.07,0.0951,0.0392,0.0761,3.4953,4.6769,1.6691,1.5191,1.4887,0.3676,0.0593,0.0828,0.0774,0.0658,0.0823,21.5
AGIRAM,77.18,177.46,1.72,10.43,11.72,33.9,23.9,13.7,725.08,-3.9531,-1.9075,2.1,2.08,1.9,0.3614,-0.2603,-0.5613,-0.3453,1.5927,2.9767,1.9959,2.9332,28.7155,7.3011,8.4969,7.7073,0.6958,0.3057,0.3522,3.1678,4.0125,1.3904,1.1737,1.4484,6.4163,12.3959,4.2333,4.0898,4.0728,9.8264,1.984,1.9879,1.9791,1.8892,1.9863,3.5059,4.6593,1.5294,1.5569,1.573,0.3962,0.0824,0.0566,0.1057,0.0588,0.0928,3.2021,4.0803,1.5725,1.2413,1.2665,0.0629,0.0097,0.0136,0.017,0.0067,0.016,6.7
AGIREQ,77.03,188.74,1.72,9.87,7.36,35.5,29.3,19.6,672.62,-3.2639,-1.8169,1.93,2.26,2.01,0.4611,-0.23,-0.5792,-0.3492,1.8837,2.8829,2.0493,2.9159,28.7205,7.2374,8.5472,7.6722,0.4762,0.4547,0.191,3.1843,3.9654,1.3855,1.3352,1.2448,6.2963,12.394,4.0491,4.1623,4.1827,9.8485,1.9667,1.9869,1.9764,1.9494,1.9691,3.4844,4.6763,1.5121,1.5453,1.6189,0.4185,0.0916,0.0622,0.098,0.0891,0.0777,3.2038,4.0838,1.2426,1.2633,1.5778,0.0616,0.0163,0.0079,0.012,0.0193,0.0061,0.8
AGISAN,87.43,235.49,2.68,8.64,4.9,56.2,44.1,25.6,672.5,-4.9693,-2.5688,1.82,2.34,1.9,0.425,-0.1826,-0.1667,-0.3865,3.2628,3.0671,3.1327,2.9146,29.24,7.0622,7.1483,7.6769,0.6292,0.745,0.1457,3.1569,3.9432,1.1919,1.3989,1.3524,6.2418,12.585,4.2162,4.2027,4.1661,9.7482,1.8107,1.9627,1.9802,1.9816,2.013,3.1658,3.8983,1.2012,1.2179,1.4792,0.1025,0.0228,0.0256,0.0161,0.0254,0.0125,3.206,4.1225,1.2529,1.2883,1.5812,0.058,0.017,0.0092,0.0105,0.0176,0.0036,-7.5
AGODOR,82.01,180.54,2.46,9.98,13.53,28.3,19.8,14.5,793.53,-3.9475,-2.9688,2.22,1.85,1.94,0.4928,-0.2109,-0.4449,-0.5657,2.1819,2.974,2.0718,2.2107,28.7282,7.1585,8.4534,8.6083,0.515,0.2417,0.5063,3.1666,3.9614,1.1765,1.4056,1.3794,6.2561,12.4671,4.1635,4.1924,4.1111,9.7841,1.8735,1.979,1.9577,1.978,1.9958,3.5208,4.594,1.4505,1.4857,1.6579,0.3301,0.0537,0.0348,0.0857,0.0454,0.1106,3.4807,4.664,1.5056,1.6525,1.5059,0.421,0.0595,0.0667,0.1171,0.0585,0.1193,3.4
AGOQEU01,84.5,185.49,3.06,5.83,9.93,29.5,22.4,16.3,615.1,-2.2323,-0.9895,1.98,1.96,1.88,0.3465,-0.2446,-0.6768,-0.7843,1.7779,2.8788,2.0822,1.971,28.7726,7.285,8.5144,8.6278,0.604,0.4597,0.5014,3.162,3.9966,1.2389,1.3681,1.3897,6.394,12.4661,4.1254,4.1753,4.1654,9.7934,1.9174,1.9432,1.9682,1.9759,1.9887,3.5266,4.7274,1.5181,1.6264,1.5829,0.4228,0.0756,0.08,0.1032,0.0841,0.08,3.5364,4.8037,1.588,1.5113,1.7045,0.4442,0.097,0.0718,0.0911,0.0835,0.1009,20
AGUCEM,88.37,186.03,1.52,4.65,7.02,29.4,19.1,10,439.34,-3.5243,-2.1662,2.07,1.97,1.9,0.4387,-0.2536,-0.5687,-0.5824,1.7438,2.9231,1.7063,2.1102,28.6848,7.3109,8.412,8.4723,0.6612,0.3282,0.4557,3.1686,4.0043,1.3111,1.428,1.2653,6.3657,12.3926,4.1098,4.1711,4.1118,9.803,1.9486,1.9602,1.9503,1.9656,1.9783,3.5647,4.6255,1.4287,1.5684,1.6285,0.3784,0.1021,0.087,0.0485,0.0887,0.052,3.5068,4.6909,1.5268,1.6451,1.519,0.3847,0.1094,0.0592,0.0503,0.1015,0.0643,23.2
AGUJAO,78.54,204.88,1.91,6.02,7.83,35.4,26.5,14.2,509.76,-3.9627,-2.2898,2.29,1.95,1.89,0.2671,-0.2651,-0.0709,-0.1616,1.733,2.9551,3.0441,3.2972,28.7705,7.3029,7.0783,7.1294,0.6833,0.2182,0.5666,3.1673,4.0172,1.3549,1.2317,1.4306,6.4537,12.4468,4.1558,4.1419,4.1492,9.8324,1.9687,1.9286,1.973,1.9627,1.9994,3.1811,3.7741,1.3101,1.3361,1.1279,0.1158,0.0169,0.0233,0.0312,0.0226,0.0218,3.159,3.908,1.3301,1.2155,1.3624,0.0945,0.0234,0.012,0.0216,0.0117,0.0259,27.8
