Ligand,Bite Angle (°),Cone Angle (°),% Buried Volume (5.0A),HOMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(px),Orbital Charge Cu(d),Orbital Charge Cu(dyz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L2(px),Ea
KOSCAZ01,79.33,199.49,36.4,-4.2559,1.77,2.61,0.518,-0.1985,-0.1289,2.3598,3.0126,28.7746,7.1434,0.5297,0.7317,0.1011,3.1625,6.2745,12.4602,4.1807,9.7472,1.985,1.5582,1.5593,0.4358,0.0882,1.1675,-2.1
ZOWJUQ,79.53,199.74,36.5,-4.1352,1.78,2.6,0.5049,-0.2007,-0.1292,2.3331,3.0062,28.7921,7.1464,0.5266,0.7256,0.1017,3.1631,6.2769,12.4596,4.1783,9.7585,1.9848,1.5673,1.5511,0.4344,0.0899,1.1678,0.6
XATWUK,79.75,170.63,19.9,-3.5616,1.87,2.56,0.3576,-0.257,-0.4356,1.6333,2.9411,28.8623,7.2636,0.6833,0.7114,0.102,3.1607,6.4958,12.3777,4.1913,9.7689,1.9835,1.6927,1.6358,0.3995,0.0851,1.4856,23.6
RIZYAD,80.34,177.3,26.6,-3.677,1.88,2.57,0.4,-0.2568,-0.557,1.7124,2.9564,28.8186,7.2623,0.6903,0.6539,0.105,3.1588,6.4609,12.3666,4.0834,9.7725,1.8947,1.4071,1.7012,0.4125,0.0638,1.5882,24.3
HIVLAA01,58.26,201.03,26.8,-3.8856,1.9,2.55,0.2816,-0.2778,-0.1279,1.676,2.9668,28.8169,7.2995,0.7004,0.6032,0.1063,3.1661,6.5243,12.3931,4.0862,9.8011,1.9475,1.4272,1.1947,0.0819,0.0234,1.4094,12.5
KOJCAQ,80.45,171.41,24.3,-3.6293,1.87,2.54,0.3811,-0.2569,-0.4853,1.6094,2.9493,28.8271,7.2658,0.6915,0.6775,0.11,3.1595,6.4788,12.3658,4.0935,9.7743,1.9174,1.4272,1.6893,0.3897,0.0554,1.5404,26
TUKNAR,92.41,188.55,26.1,-3.2857,1.89,2.47,0.3632,-0.25,-0.5946,1.6684,2.9737,28.8941,7.2379,0.6938,0.696,0.1145,3.1591,6.4723,12.3854,4.2007,9.7791,1.9808,1.7071,1.6585,0.3947,0.0885,1.5401,24.9
RUPFIU,74.55,211.43,38.4,-3.5597,1.92,2.49,0.3439,-0.2641,-0.5195,1.7579,2.9758,28.8923,7.2645,0.7154,0.6365,0.1155,3.1644,6.4736,12.4013,4.1872,9.7813,1.983,1.4292,1.1262,0.0758,0.027,1.5325,26.5
AYUTOE,82.72,195.74,35.8,-4.1411,1.79,2.4,0.4676,-0.2131,-0.1715,2.3641,2.9732,28.8014,7.1501,0.5136,0.6896,0.1213,3.168,6.2696,12.4868,4.1892,9.776,1.9947,1.6181,1.5457,0.4408,0.0813,1.1645,1.2
ROXLAU,75.97,173.49,25.4,-3.7776,1.88,2.38,0.5,-0.2301,-0.3321,1.9834,2.8964,28.6965,7.2437,0.4713,0.4941,0.1226,3.1842,6.2834,12.3947,4.1417,9.822,1.9883,1.5323,1.6126,0.422,0.0573,1.2399,-1.2
GOJBUC,78.88,171.65,19.6,-3.7693,1.91,2.45,0.3163,-0.2639,-0.6344,1.7187,2.9416,28.8567,7.2984,0.6966,0.6433,0.1228,3.1662,6.4853,12.3895,4.0765,9.8088,1.9124,1.373,1.4647,0.0637,0.0107,1.5223,31.2
RAFVOM,76.58,194.29,27.1,-3.7837,1.87,2.42,0.499,-0.2334,-0.3312,1.9825,2.8848,28.7172,7.2434,0.4504,0.4916,0.1269,3.1866,6.281,12.3923,4.1536,9.8277,1.983,1.5573,1.5828,0.4276,0.0594,1.2481,-0.9
JOXKOY,81.4,174.15,19.5,-3.4141,1.87,2.46,0.3411,-0.2557,-0.766,1.6294,2.937,28.8582,7.2605,0.6667,0.6731,0.1274,3.1601,6.4933,12.3966,4.1893,9.769,1.9862,1.6988,1.6314,0.407,0.0822,1.3625,20.7
VINVOG,78.43,200.83,28,-4.1057,1.78,2.39,0.4839,-0.213,-0.2031,2.1433,2.9969,28.6591,7.1633,0.5229,0.5767,0.1289,3.1666,6.2837,12.468,4.1895,9.7644,1.9969,1.6304,1.5849,0.4662,0.065,1.1806,-9.2
UWIHIT,79.07,190.73,23.9,-4.3426,1.89,2.49,0.3532,-0.2709,-0.5702,1.7834,2.9714,28.806,7.3011,0.7439,0.6897,0.129,3.1645,6.4688,12.3924,4.0917,9.7856,1.9233,1.2341,1.2957,0.096,0.0156,1.6528,25.2
COQNAX,76.06,195.05,33.2,-3.5397,1.93,2.45,0.3224,-0.2657,-0.4762,1.7196,2.9756,28.8309,7.2799,0.6782,0.6207,0.1313,3.1657,6.4815,12.3962,4.1677,9.7999,1.9766,1.4034,1.1553,0.0784,0.0284,1.5435,25
XIKLOU,77.38,172.66,17.6,-3.9987,1.84,2.44,0.4548,-0.2222,-0.3115,2.0739,2.9416,28.7264,7.2302,0.5155,0.5648,0.1334,3.1716,6.2845,12.4471,4.1702,9.8136,1.9921,1.6636,1.5053,0.4085,0.082,1.09,-15.4
ZIKMUD,102.71,198.32,21.4,-3.9076,1.81,2.44,0.4934,-0.2092,-0.4258,2.1981,2.9726,28.8097,7.1515,0.507,0.6597,0.1349,3.1681,6.2765,12.4533,4.1807,9.7768,1.9785,1.6916,1.5098,0.3956,0.0814,1.6177,6.5
PUKDUW,61.2,220.84,33.4,-3.7524,1.92,2.38,0.2757,-0.262,-0.1168,1.8225,2.9965,28.8874,7.2689,0.735,0.5816,0.1377,3.1622,6.4886,12.4265,4.1285,9.8093,1.9338,1.3869,1.1968,0.0814,0.0276,1.3441,4.8
XILVOE,76.56,195.98,26.3,-3.7286,1.89,2.43,0.536,-0.2369,-0.44,2.3854,2.9588,28.8,7.2541,0.6812,0.6685,0.1408,3.1633,6.3309,12.4555,4.1407,9.6776,1.9625,1.7017,1.4816,0.3972,0.0943,1.4812,52.5
SANRAD,76.91,184.29,26.3,-3.9154,1.86,2.33,0.5114,-0.2242,-0.331,2.1088,2.943,28.7033,7.2328,0.5038,0.5714,0.1425,3.1761,6.2865,12.4163,4.1414,9.7859,1.9798,1.5567,1.6829,0.4577,0.0558,1.2429,-8
ROXLIC,77.13,175.17,24.2,-3.7786,1.88,2.36,0.5048,-0.2301,-0.3403,2.0143,2.8888,28.6971,7.2435,0.4578,0.4927,0.1479,3.1861,6.2821,12.3955,4.1498,9.8176,1.987,1.5333,1.5965,0.418,0.057,1.2468,-0.8
KICNES,84.37,187.13,27.8,-3.6842,1.85,2.28,0.3517,-0.2584,-0.1001,1.8076,2.9532,28.7707,7.2632,0.6892,0.6534,0.1479,3.1578,6.4572,12.4259,4.1122,9.7652,1.8817,1.4507,1.6968,0.4202,0.0735,1.3001,20.8
OMIXOX,84.27,182.99,29.4,-4.2593,1.78,2.48,0.4829,-0.2079,-0.1135,2.2859,2.9982,28.7713,7.1409,0.4992,0.6331,0.1497,3.1666,6.2737,12.4688,4.1187,9.7747,1.9583,1.4927,1.6449,0.4601,0.0838,1.3798,10.7
YOLNUK,94.21,218.7,38.8,-4.9533,1.73,2.39,0.5669,-0.1877,-0.4116,3.294,3.0594,29.2825,7.0715,0.6759,0.9435,0.151,3.1446,6.2236,12.5335,4.1938,9.6761,1.9843,1.4794,1.7183,0.4381,0.1003,1.6637,1
KUJKOS,77.67,218.57,32.6,-3.5109,1.94,2.31,0.4411,-0.2247,-0.3476,1.9283,2.9317,28.7618,7.2265,0.5417,0.4547,0.1513,3.1747,6.2972,12.4142,4.1831,9.8475,1.9774,1.5857,1.638,0.4715,0.0927,1.3593,2.4
KAMFAH,59.02,176.59,20.1,-3.9736,1.92,2.49,0.338,-0.2746,-0.6092,1.6859,2.9441,28.7972,7.3109,0.6991,0.6366,0.1519,3.1658,6.5016,12.3687,4.1273,9.7917,1.9481,1.3051,1.2628,0.0851,0.0179,1.728,28.6
MUSNET,83.02,193.87,33.3,-2.8874,1.89,2.35,0.3043,-0.2564,-0.1978,1.7375,2.9219,28.8504,7.2637,0.6473,0.6788,0.1527,3.1614,6.4594,12.4413,4.1378,9.7949,1.9032,1.5231,1.7302,0.4491,0.0743,1.5575,19.2
BEYMIE,72.58,232.22,26.8,-3.8625,2.03,2.38,0.4478,-0.2357,-0.5772,1.9869,2.9587,28.7683,7.2538,0.6945,0.476,0.1535,3.1674,6.3783,12.4043,4.2031,9.7696,1.9726,1.3149,1.1797,0.1122,0.0284,1.569,30.6
WAFMIB,77.66,174.15,24.5,-3.845,1.86,2.32,0.5061,-0.2262,-0.3401,2.104,2.9305,28.6978,7.2376,0.4941,0.5633,0.1544,3.1774,6.286,12.4196,4.1889,9.7882,1.9958,1.5983,1.5807,0.4553,0.065,1.2993,-2.7
ADUPIY,77.78,169.86,20.9,-4.3251,1.93,2.43,0.3353,-0.2707,-0.5672,1.7424,2.951,28.8216,7.3183,0.7326,0.6549,0.1557,3.1664,6.4693,12.3905,4.1964,9.8048,1.9814,1.3707,1.1352,0.1173,0.0307,1.5047,32.5
YEJNIM,77.14,173.24,28.7,-3.5482,1.9,2.36,0.375,-0.2503,-0.4686,1.6786,3.0284,28.8646,7.2351,0.6862,0.6589,0.1558,3.1605,6.4623,12.3849,4.1842,9.7778,1.9878,1.6696,1.4927,0.4251,0.0922,1.5198,17.4
HIFDOR,78.22,172.04,24.9,-3.2731,1.88,2.37,0.3623,-0.2546,-0.4621,1.6221,2.956,28.8228,7.264,0.6701,0.6337,0.1585,3.1595,6.4689,12.3925,4.1464,9.7762,1.9888,1.6791,1.5025,0.461,0.107,1.5032,18.1
TAVJUX,83.72,197.25,32,-4.0325,1.8,2.36,0.4735,-0.213,-0.1642,2.3516,2.9904,28.7847,7.1633,0.5308,0.6756,0.159,3.1668,6.2681,12.4895,4.1939,9.7689,1.9862,1.7134,1.4749,0.4304,0.0869,1.1799,3.8
MEHNIY05,83.13,186.5,21.6,-4.3605,1.88,2.25,0.4068,-0.1907,-0.3077,1.7616,3.1401,28.7183,7.2021,0.6812,0.6835,0.1607,3.1587,6.4161,12.4003,4.1914,9.7767,1.9877,1.7039,1.5098,0.3966,0.0834,1.2192,13.9
BAPRAM,76.3,187.95,27.7,-3.562,1.91,2.3,0.4768,-0.2274,-0.3399,1.9707,2.9124,28.7077,7.2413,0.4882,0.4794,0.1613,3.1804,6.2916,12.4057,4.1386,9.8259,1.9574,1.566,1.6542,0.4462,0.0558,1.2353,-7.8
KECZEZ,79.59,173.66,21.5,-3.8397,1.9,2.36,0.4947,-0.2303,-0.326,2.0131,2.8932,28.713,7.2466,0.4798,0.496,0.1614,3.1823,6.286,12.4004,4.1349,9.819,1.9794,1.5457,1.6142,0.3851,0.0595,1.2392,-5.1
SENKIH,81.95,216.06,36.7,-2.7636,1.9,2.32,0.3034,-0.2538,-0.1941,1.67,2.9255,28.8202,7.2702,0.6338,0.6445,0.1624,3.1634,6.4527,12.4415,4.1207,9.8023,1.918,1.4768,1.726,0.4935,0.0844,1.5487,24.4
ZEJDAT,77.2,221.72,38.8,-3.1486,1.93,2.38,0.3343,-0.2548,-0.6022,1.6578,2.9519,28.8575,7.2736,0.6696,0.6375,0.1629,3.1654,6.4739,12.3966,4.1269,9.7952,1.9432,1.3187,1.2854,0.0766,0.0128,1.6745,21.2
CEYGIX,81.97,199.86,33.6,-2.8259,1.89,2.24,0.2679,-0.2496,-0.2817,1.723,2.9343,28.8629,7.2361,0.6361,0.6607,0.1651,3.1616,6.4641,12.4696,4.1351,9.7984,1.9255,1.4582,1.7396,0.4536,0.0689,1.5963,20.7
SUSXUB,88.32,187.22,23,-4.0043,1.97,2.26,0.2473,-0.2606,-0.3871,1.6493,2.9932,28.7903,7.2714,0.6697,0.5639,0.1654,3.17,6.4785,12.438,4.2026,9.8362,1.9783,1.2902,1.2255,0.1236,0.0203,1.3262,13.5
JOGKEY,82.81,187.37,21.7,-4.2209,1.87,2.24,0.3919,-0.1996,-0.3126,1.7752,3.1291,28.7296,7.2097,0.6871,0.6827,0.166,3.1571,6.4218,12.4115,4.1965,9.7748,1.9918,1.7016,1.5314,0.398,0.0815,1.2223,13.8
LOSMUC,90.19,189.19,35.5,-3.1776,1.88,2.37,0.3849,-0.2486,-0.4514,1.8035,2.9517,28.9001,7.2387,0.6606,0.7097,0.1664,3.1646,6.4349,12.3986,4.229,9.7816,1.9798,1.6127,1.7707,0.4618,0.0947,1.4512,26.5
UKUFIR,80.98,174.29,24.4,-3.2757,1.89,2.37,0.3631,-0.2537,-0.4996,1.6732,2.9581,28.8468,7.2685,0.6763,0.6667,0.1682,3.1593,6.4613,12.396,4.1241,9.7796,1.9235,1.6935,1.663,0.4554,0.1118,1.6235,19.9
WEGNON,79.65,178.99,29.7,-4.131,1.91,2.33,0.346,-0.2639,-0.4885,1.7801,2.9681,28.8035,7.3015,0.718,0.6168,0.1689,3.1631,6.447,12.4102,4.208,9.7969,1.9968,1.3254,1.1908,0.1301,0.0214,1.5046,27.7
OMEMEA,79.3,173.78,20.4,-3.7522,1.9,2.37,0.3004,-0.2654,-0.5088,1.6962,2.942,28.8236,7.288,0.6876,0.6157,0.17,3.1662,6.4893,12.4112,4.1198,9.7991,1.9176,1.2079,1.2932,0.1232,0.0176,1.6616,20.5
CAGZOC,76.71,173.21,24.1,-3.7043,1.88,2.3,0.506,-0.228,-0.3377,2.0945,2.9144,28.7064,7.2441,0.4893,0.5622,0.1728,3.1785,6.2933,12.4123,4.1515,9.7885,1.9909,1.568,1.6484,0.4677,0.0581,1.2418,-3.2
LUVCOU,81.79,175.26,21.9,-3.2011,1.88,2.38,0.3486,-0.2538,-0.5093,1.6969,2.9513,28.9119,7.2726,0.683,0.7338,0.1728,3.1589,6.4771,12.4016,4.1399,9.7727,1.9478,1.6682,1.687,0.3923,0.077,1.5624,20.7
JOGKAU,82.45,186.23,22,-4.3829,1.88,2.25,0.4025,-0.2152,-0.3162,1.7571,3.1042,28.7125,7.222,0.7,0.6356,0.1735,3.1574,6.4166,12.4032,4.1975,9.7776,1.9892,1.7101,1.4998,0.4005,0.0828,1.2266,9.6
VASZEX,83.26,186.5,21.7,-4.2108,1.89,2.23,0.4067,-0.1886,-0.317,1.7558,3.1429,28.7089,7.2015,0.6743,0.6566,0.1746,3.1592,6.4095,12.4021,4.1905,9.7817,1.9896,1.6989,1.5151,0.3941,0.0825,1.2216,12.4
OJUSIW,60.58,165.31,25.7,-3.488,1.94,2.42,0.299,-0.2687,-0.6442,1.631,2.9349,28.8895,7.2964,0.6769,0.6387,0.1764,3.1665,6.5186,12.3785,4.1367,9.804,1.9362,1.2727,1.2979,0.0802,0.0174,1.7251,26.9
DUSWOE,79.08,194.31,23.1,-3.931,1.93,2.34,0.3282,-0.2655,-0.4826,1.7156,2.9573,28.8141,7.3018,0.7039,0.5987,0.1768,3.1644,6.4578,12.4067,4.2001,9.8074,1.9882,1.341,1.2468,0.0929,0.0167,1.5365,39.3
VICVOS,77.76,184.24,21.5,-3.4661,1.88,2.37,0.4284,-0.2327,-0.207,1.9629,2.9027,28.753,7.2524,0.4866,0.5382,0.1772,3.1786,6.3009,12.4251,4.1114,9.8455,1.9716,1.5506,1.6167,0.4077,0.0712,1.154,-13.8
ZOGNAK,91.25,184.6,28.1,-3.2275,1.94,2.31,0.3694,-0.246,-0.8038,1.632,2.9723,28.8432,7.2388,0.6449,0.6158,0.1783,3.1643,6.421,12.4012,4.2023,9.8084,1.9732,1.6609,1.7331,0.461,0.083,1.5061,18.7
TATFID,84,181.69,26.3,-4.2344,1.79,2.41,0.5251,-0.1991,-0.3797,2.3172,3.0041,28.7628,7.1383,0.5391,0.6307,0.1783,3.1622,6.2619,12.4594,4.1751,9.7537,1.9591,1.686,1.503,0.3934,0.0862,1.5328,-12
CACTIL,76.72,196.28,28.6,-3.5818,1.91,2.29,0.4812,-0.236,-0.3405,1.9393,2.8873,28.719,7.249,0.4828,0.4646,0.1799,3.1833,6.2909,12.3926,4.1261,9.8353,1.9645,1.605,1.5969,0.4294,0.0706,1.2689,-6.7
FOGDOW,79.12,174.15,20.2,-4.0954,1.91,2.32,0.3425,-0.2666,-0.4808,1.7439,2.9576,28.7759,7.311,0.7119,0.5939,0.1802,3.1644,6.4515,12.4076,4.1872,9.7984,1.9914,1.3068,1.1966,0.129,0.0221,1.525,27
CISSEF,77.28,178.56,26,-3.5664,1.91,2.28,0.488,-0.2327,-0.3406,1.9193,2.8836,28.6734,7.2559,0.4697,0.4355,0.1806,3.1846,6.2899,12.3928,4.1832,9.8293,1.9919,1.47,1.71,0.4386,0.0737,1.3559,2.9
GAXSUV,77.19,176.44,24.3,-3.5514,1.92,2.28,0.4807,-0.2333,-0.3416,1.9305,2.887,28.6992,7.2587,0.4768,0.4631,0.1807,3.1835,6.2936,12.3929,4.1311,9.8327,1.9629,1.5328,1.6314,0.417,0.0567,1.2373,-6.8
VOZHUN,87.87,183.67,24.4,-3.6418,1.91,2.31,0.3965,-0.2458,-0.7763,1.6245,2.9876,28.8329,7.2641,0.6757,0.5932,0.1808,3.1636,6.413,12.3844,4.0761,9.8061,1.8888,1.5871,1.6291,0.3676,0.0675,1.6414,20.4
HIRXIS,79.55,188.05,25.6,-4.0765,1.97,2.2,0.4118,-0.2542,-0.3413,1.625,2.9979,28.6554,7.261,0.6853,0.4296,0.1812,3.1659,6.4046,12.3825,4.1497,9.8011,1.9926,1.6108,1.6179,0.4314,0.0681,1.2971,6.5
IWUQAU,86.65,202.62,29.6,-4.3111,1.91,2.31,0.4958,-0.2185,-0.4111,1.953,3.0956,28.7618,7.1478,0.6942,0.5186,0.1812,3.1602,6.3305,12.3956,4.1174,9.7781,1.9792,1.5575,1.4141,0.4445,0.0799,1.5131,13.8
WADWIJ,76.88,171.82,25.7,-3.5331,1.93,2.28,0.4789,-0.2337,-0.3411,1.8938,2.8892,28.6853,7.2554,0.4849,0.4308,0.1819,3.1824,6.2957,12.3908,4.125,9.8346,1.9685,1.5237,1.6384,0.4328,0.0601,1.236,-7
KAKYED,84.99,198.56,34.7,-3.3142,1.91,2.3,0.3834,-0.2273,-0.1591,2.0198,2.9123,28.8933,7.2014,0.4976,0.5727,0.1833,3.1751,6.2816,12.4604,4.177,9.8746,1.9891,1.7095,1.4995,0.4049,0.0911,1.1764,6.6
OKOPEL,91.83,193.4,33.2,-4.4863,1.84,2.3,0.5095,-0.2023,-0.4445,2.4278,3.0028,28.8851,7.1279,0.5844,0.6524,0.186,3.16,6.2515,12.4689,4.1973,9.7701,1.9889,1.6629,1.4515,0.4169,0.0805,1.4891,10.5
VORNIZ,82.2,177.59,21.7,-3.4487,1.92,2.28,0.4458,-0.2341,-0.3605,1.949,2.8981,28.7256,7.257,0.4994,0.5051,0.1878,3.179,6.2975,12.4165,4.1348,9.8403,1.9627,1.5492,1.7026,0.4183,0.047,1.2258,3.4
PUQGOA,77.02,198.45,29.4,-3.6212,1.91,2.28,0.4882,-0.2322,-0.3387,1.9608,2.8901,28.7102,7.2488,0.4698,0.464,0.1879,3.1835,6.2872,12.3948,4.1731,9.8298,1.9902,1.5206,1.6795,0.4309,0.0798,1.3097,1.5
TEZBIJ,93.92,192.76,20.5,-4.212,1.8,2.31,0.5069,-0.2106,-0.4235,2.2856,2.9377,28.798,7.1671,0.4697,0.6116,0.188,3.1753,6.253,12.4672,4.1921,9.7729,1.9832,1.6914,1.4694,0.4253,0.0844,1.4753,9.5
CIGPOX,79.96,174.96,21.1,-4.1071,1.92,2.31,0.3417,-0.2647,-0.4716,1.7508,2.9614,28.7877,7.3081,0.7152,0.6005,0.1883,3.1644,6.4476,12.4097,4.1353,9.801,1.9394,1.2142,1.2111,0.129,0.0249,1.5705,15.4
AMXPRI10,85.89,189.56,24.4,-3.9169,1.87,2.34,0.5295,-0.2208,-0.3311,2.1841,2.9063,28.7215,7.2354,0.4679,0.5821,0.1891,3.1811,6.2798,12.4119,4.1403,9.7789,1.9627,1.6087,1.6118,0.39,0.061,1.2416,2.1
RICHAM,105.24,200.67,36.6,-3.2487,1.89,2.27,0.3976,-0.239,-0.5171,1.7842,2.9418,28.8155,7.2499,0.6649,0.6218,0.1893,3.1624,6.4135,12.405,4.1701,9.7839,1.9766,1.6824,1.7475,0.4854,0.1036,1.7229,24
QUCKEF,77.41,176.29,24.3,-3.772,1.9,2.28,0.5056,-0.2287,-0.3348,2.0342,2.8964,28.6943,7.2482,0.4777,0.4819,0.1904,3.1831,6.2852,12.4,4.1469,9.8092,1.9783,1.5382,1.5887,0.4168,0.0565,1.2427,-6.1
XOMVAZ,76.87,192.61,27.8,-3.8056,1.88,2.27,0.5077,-0.2255,-0.3297,2.0768,2.9106,28.6983,7.2403,0.4876,0.5315,0.1905,3.1802,6.2863,12.4071,4.16,9.7989,1.9782,1.5734,1.6044,0.457,0.0587,1.249,2.9
AGIREQ,77.03,188.74,29.3,-3.2639,1.93,2.26,0.4611,-0.23,-0.3492,1.8837,2.8829,28.7205,7.2374,0.4762,0.4547,0.191,3.1843,6.2963,12.394,4.1623,9.8485,1.9869,1.5453,1.6189,0.4185,0.0622,1.2633,0.8
AJONEV,79.77,176.64,24.9,-4.0253,1.98,2.24,0.3905,-0.2432,-0.1769,1.5652,3.0075,28.6706,7.267,0.6866,0.4225,0.1913,3.1615,6.3925,12.385,4.1637,9.832,1.972,1.6376,1.5273,0.3753,0.0856,1.3212,3.7
XIRHUD,77.73,172.61,21.7,-3.6169,1.94,2.26,0.4719,-0.2333,-0.3381,1.926,2.8949,28.695,7.2675,0.5039,0.4504,0.192,3.1798,6.2984,12.3979,4.1697,9.8318,1.9862,1.545,1.6515,0.3926,0.0688,1.3015,-5
USOMEV,79.44,198.63,27,-4.0179,1.91,2.32,0.3365,-0.2654,-0.459,1.7926,2.9644,28.8226,7.3084,0.7123,0.6313,0.1934,3.1628,6.4457,12.4155,4.2265,9.8023,1.9938,1.3627,1.2139,0.0927,0.0159,1.5003,17.7
MIXTET,91.28,189.24,25.3,-3.8551,1.83,2.29,0.4772,-0.2202,-0.4183,2.1641,2.9259,28.8103,7.1718,0.4886,0.581,0.1938,3.1769,6.2654,12.458,4.1946,9.7994,1.9826,1.6505,1.4935,0.4484,0.075,1.5209,9.4
ZAXVAY,79.54,174.78,21.8,-4.1463,1.92,2.3,0.3485,-0.2651,-0.4756,1.7613,2.9648,28.7732,7.3101,0.7166,0.5866,0.1938,3.1649,6.441,12.4098,4.21,9.8007,1.9975,1.3196,1.2186,0.128,0.0198,1.528,27.2
YUPQIK,79.03,201.61,28.7,-3.3895,1.96,2.29,0.3161,-0.2585,-0.4917,1.6622,2.9681,28.8095,7.2909,0.6686,0.5688,0.1939,3.1665,6.4521,12.4136,4.1882,9.8182,1.9919,1.3991,1.1567,0.0777,0.0263,1.5061,22.6
ZIBDAR,77.19,172.38,17.8,-3.9715,1.89,2.34,0.4912,-0.2224,-0.2996,2.1542,2.916,28.7216,7.2368,0.4849,0.5596,0.194,3.1771,6.2904,12.4281,4.1492,9.7903,1.9612,1.6191,1.5683,0.4147,0.0685,1.089,3.3
TAYGAC,83.84,216.91,29.8,-2.6605,1.93,2.25,0.2844,-0.2498,-0.2917,1.6371,2.9053,28.7559,7.2756,0.6194,0.5758,0.194,3.1645,6.4432,12.4562,4.1578,9.8163,1.9511,1.5292,1.6618,0.4206,0.069,1.5459,22.7
HOGZIN,82.95,176.78,18.3,-3.1435,1.89,2.35,0.352,-0.2541,-0.5819,1.6533,2.9358,28.8537,7.2668,0.6748,0.6334,0.194,3.1608,6.4681,12.3992,4.1298,9.7807,1.9011,1.5015,1.6754,0.4335,0.0751,1.6949,23.8
PABSOC,84.54,251.54,43.6,-5.0065,1.73,2.32,0.5669,-0.1558,-0.4488,3.3715,3.1703,29.4207,7.0482,0.7522,0.875,0.1945,3.1368,6.2039,12.5428,4.2061,9.6864,1.9362,1.4813,1.671,0.4128,0.0768,1.5192,-4.1
WOXCUK,82.99,182.02,24.1,-3.767,2,2.18,0.3611,-0.256,-0.3595,1.5159,2.9714,28.6681,7.2853,0.6791,0.3964,0.1953,3.1633,6.4078,12.3976,4.1355,9.8334,1.9975,1.5459,1.6782,0.4163,0.0702,1.25,8.9
KUJLUZ,98.42,192.82,28.4,-3.3636,1.9,2.3,0.3868,-0.2429,-0.4752,1.7065,2.9478,28.8374,7.267,0.6892,0.6202,0.1963,3.16,6.4328,12.3998,4.1813,9.7807,1.9743,1.6798,1.6755,0.4521,0.1009,1.6097,23.7
YEVLUJ,77.69,174.04,21.2,-4.004,1.96,2.26,0.3705,-0.2468,-0.3018,1.5778,2.9994,28.7171,7.2778,0.6874,0.5125,0.1964,3.1628,6.4147,12.3922,4.1899,9.8226,1.9836,1.6294,1.568,0.3878,0.0868,1.2378,9.6
PAWXOC,82.43,179.03,23.8,-3.8489,2.01,2.18,0.366,-0.257,-0.3563,1.5242,2.9708,28.6625,7.291,0.6823,0.3923,0.1971,3.1629,6.4044,12.3961,4.1796,9.8335,1.9806,1.6551,1.5413,0.4138,0.0677,1.2756,7.6
POVLAP,78.94,174.94,20.5,-3.7342,1.89,2.37,0.2432,-0.2735,0.1435,1.8108,2.9416,28.8557,7.2837,0.6763,0.6767,0.1971,3.1678,6.5229,12.4413,4.1054,9.7926,1.9005,1.2557,1.4139,0.0613,0.004,1.1338,33.5
ROMKAI,76.64,197.7,31.6,-3.8371,1.88,2.28,0.5106,-0.2247,-0.3093,2.1293,2.9306,28.7183,7.2377,0.4954,0.5414,0.1973,3.1792,6.2823,12.4134,4.1942,9.7938,1.9888,1.4775,1.7247,0.4649,0.083,1.3708,2.6
MOGMAW,91.28,186.47,25.5,-3.3409,1.91,2.26,0.3525,-0.2383,-0.6049,1.7535,3.022,28.9141,7.1951,0.6612,0.6607,0.1973,3.1608,6.4446,12.416,4.2118,9.7869,1.9768,1.6863,1.6668,0.4163,0.0833,1.6731,19.5
AHESOW,84.55,194.06,27.5,-2.9101,1.91,2.26,0.2837,-0.2575,-0.2274,1.689,2.9504,28.8162,7.267,0.632,0.632,0.1976,3.1651,6.4575,12.453,4.1502,9.8059,1.8885,1.5859,1.7433,0.4344,0.1008,1.5058,22.7
KAKTUN,76.01,178.18,24.5,-3.6052,1.92,2.27,0.4871,-0.2336,-0.3374,1.9663,2.881,28.7116,7.2529,0.4747,0.4699,0.1982,3.1849,6.2932,12.3927,4.1169,9.827,1.964,1.5283,1.637,0.4241,0.0595,1.2316,-6.1
HOXMAJ,83.07,179.95,23.6,-3.7888,2.01,2.17,0.36,-0.2568,-0.3591,1.5216,2.9692,28.6692,7.2905,0.6795,0.3962,0.1983,3.163,6.4067,12.3994,4.1974,9.834,1.9855,1.6214,1.5677,0.4172,0.0654,1.2792,8.4
JUPKOU,82.17,183.88,23.9,-4.0671,2,2.18,0.2763,-0.2669,-0.3726,1.6746,2.9812,28.7326,7.2913,0.6858,0.5001,0.1984,3.1688,6.4563,12.4357,4.1482,9.8316,1.9931,1.3739,1.1416,0.1185,0.0239,1.3266,12.2
SOGDEY,94.52,191.89,20.7,-3.8848,1.84,2.29,0.4686,-0.2168,-0.4265,2.1516,2.9845,28.8198,7.1633,0.569,0.5983,0.1996,3.1633,6.278,12.457,4.1648,9.7965,1.9834,1.4818,1.583,0.4011,0.0809,1.6136,9.6
