Ligand,Bite Angle (°),Cone Angle (°),% Buried Volume (5.0A),HOMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(px),Orbital Charge Cu(d),Orbital Charge Cu(dyz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L2(px),Ea
KINRAA,93,197.81,27.4,-4.0922,2.36,1.95,0.3321,-0.2463,-0.1697,1.6835,3.0135,28.8365,7.2652,0.7153,0.1827,0.5732,3.1625,6.4419,12.405,4.1866,9.821,1.9921,1.659,1.5218,0.3648,0.0768,1.3255,15.6
MOWBUX,78.04,196.49,28.1,-4.2301,2.19,1.95,0.2936,-0.2725,-0.0377,1.9387,2.9618,28.7865,7.3319,0.712,0.3491,0.5732,3.1679,6.4217,12.4647,4.1653,9.8199,1.9562,1.1569,1.1117,0.1291,0.0245,1.1063,23.2
MARRAZ,79.14,217.9,29.6,-3.207,2.21,1.93,0.1985,-0.2557,-0.4436,1.7577,2.9427,28.8398,7.2721,0.6643,0.256,0.5735,3.1638,6.4855,12.4933,4.1454,9.8228,1.9306,1.4823,1.1362,0.1239,0.0282,1.2095,28.2
YODKAE,92.36,198.71,20.5,-4.0483,1.9,1.89,0.5565,-0.2323,-0.5868,2.3097,2.9739,28.6619,7.2661,0.6852,0.5368,0.5735,3.1696,6.3155,12.4509,4.1819,9.6771,1.9118,1.5769,1.5993,0.3904,0.0818,1.4511,27.3
PHMALT,88.7,186.63,23.9,-2.2406,2.08,1.96,0.3238,-0.2442,-0.8519,1.8325,2.8754,28.8635,7.274,0.604,0.4217,0.5738,3.1627,6.4101,12.4673,4.1537,9.7988,1.9774,1.4693,1.7008,0.4587,0.0727,1.6989,23.5
ZUNYAL,87.48,207.06,27.4,-3.6414,2.03,1.96,0.3525,-0.2499,-0.1663,1.9565,2.9496,28.853,7.2789,0.6575,0.369,0.5739,3.1709,6.4205,12.4491,4.1974,9.7778,1.9735,1.6069,1.5796,0.3951,0.079,1.3886,27.4
MXSALO,97.69,216.72,21.8,-3.0645,1.95,1.92,0.292,-0.237,-0.7312,1.9817,2.9777,28.8253,7.2618,0.6125,0.5219,0.5739,3.167,6.3768,12.5247,4.213,9.8066,1.937,1.3451,1.1976,0.1319,0.0249,1.5874,35.2
TCYTDH,88.74,189.69,22,-1.9596,1.97,1.97,0.3273,-0.2446,-0.8515,1.9841,2.8585,28.8689,7.2964,0.5924,0.5389,0.574,3.1649,6.3953,12.4918,4.1758,9.7856,1.9465,1.5081,1.7101,0.4118,0.0629,1.7059,19
VUZQUD,99.66,221.9,20.9,-3.1494,1.93,1.86,0.3057,-0.2409,-0.6648,2.1269,2.9714,28.7638,7.2706,0.6129,0.5718,0.5742,3.1693,6.3726,12.554,4.2154,9.7677,1.9267,1.3323,1.2524,0.1247,0.0272,1.5026,33.4
BOSGOF,99.38,195.68,30.1,-3.0244,2.14,1.95,0.3893,-0.2367,-0.8558,1.739,2.9558,28.8329,7.257,0.6573,0.3024,0.5747,3.1642,6.3829,12.4154,4.1702,9.8124,1.9725,1.7243,1.4511,0.4134,0.0902,1.6521,10.6
