Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
HANNUF,79.65,30.8,-3.4435,-0.404,2.59,0.3637,-0.2581,-0.796,1.6173,2.949,28.8293,7.2473,0.6859,3.1589,6.4937,9.7658,1.9206,46.8
XATWUK,79.75,29,-3.5616,-0.4619,2.56,0.3576,-0.257,-0.7913,1.6333,2.9411,28.8623,7.2636,0.6833,3.1607,6.4958,9.7689,1.8876,49
FAYPAX,78.58,34,-3.4636,-1.0044,2.55,0.3956,-0.2544,-0.7378,1.6779,3.0356,28.8473,7.2333,0.6996,3.1571,6.4662,9.765,1.8777,57.7
CIMSUP,54.99,28.8,-4.0405,-2.0709,2.68,0.2967,-0.2779,-0.1439,1.7052,2.9411,28.8698,7.3024,0.6906,3.1659,6.549,9.7882,1.9172,44
RIZYAD,80.34,35,-3.677,-1.3749,2.57,0.4,-0.2568,-0.7646,1.7124,2.9564,28.8186,7.2623,0.6903,3.1588,6.4609,9.7725,1.9576,42.9
ZOWJEA,79.46,41,-4.2997,-3.2468,2.6,0.5228,-0.1963,-0.5523,2.3904,3.0249,28.7816,7.1398,0.5352,3.1615,6.2717,9.742,1.9766,20.9
ZEPFAE,80.1,28.9,-3.5879,-1.2615,2.56,0.3568,-0.2577,-0.7923,1.6249,2.939,28.8534,7.2649,0.6799,3.1606,6.4963,9.7694,1.8806,48.6
NALCYS17,75.05,44.7,-3.8493,-0.7069,2.5,0.3009,-0.2655,-0.2383,1.9549,3.0022,28.9127,7.2617,0.7237,3.1627,6.4712,9.7827,1.8829,53.4
DOPYUE,89.29,33.5,-3.1804,0.2445,2.43,0.3538,-0.2521,-0.9123,1.613,2.9396,28.8276,7.2662,0.6656,3.161,6.4827,9.7727,1.8878,44
KOJCAQ,80.45,28.9,-3.6293,-1.5299,2.54,0.3811,-0.2569,-0.6742,1.6094,2.9493,28.8271,7.2658,0.6915,3.1595,6.4788,9.7743,1.9564,46
DIYTIQ,80.71,30.7,-3.5599,-1.357,2.56,0.3725,-0.2564,-0.7861,1.6438,2.9381,28.8324,7.2597,0.6796,3.1595,6.4823,9.7712,1.9622,44
BABFUI,79.43,26.8,-4.3513,-3.2374,2.55,0.4269,-0.2667,-0.5536,1.6727,2.9838,28.6899,7.2942,0.732,3.1621,6.4419,9.7758,1.9643,42.9
ENUXAN,80.15,31.5,-3.6139,-0.6969,2.52,0.3724,-0.2573,-0.8098,1.6215,2.9454,28.8358,7.2669,0.6853,3.1605,6.482,9.7726,1.8849,44.7
ETYTAC,55.91,44.8,-3.1385,-1.2738,2.57,0.4294,-0.1564,-0.6112,1.8579,3.1446,28.8202,7.2394,0.5975,3.1577,6.3158,9.8154,1.9689,48.8
JIGDAE,81.97,29.4,-4.1752,-2.4389,2.56,0.3634,-0.2244,-0.0472,2.2052,2.9888,28.8698,7.1873,0.5691,3.1677,6.3511,9.7935,1.9525,30.1
KEVSUB,80.71,31.2,-3.6272,-0.7358,2.52,0.3712,-0.2568,-0.8093,1.6056,2.9448,28.838,7.2702,0.6896,3.1602,6.483,9.7734,1.8749,47.6
WIJQUE,77.11,33.8,-5.4852,-2.8407,2.55,0.355,-0.1734,-0.0865,1.6679,3.1851,28.7053,7.2634,0.6508,3.1566,6.454,9.8157,1.9692,51.6
XEZLET,61.1,28.6,-3.9449,-1.6354,2.43,0.2886,-0.2773,-0.1753,1.6711,2.9762,28.8101,7.3029,0.7235,3.1653,6.5144,9.8043,1.9444,35.4
RUPFIU,74.55,42.1,-3.5597,-1.1238,2.49,0.3439,-0.2641,-0.1696,1.7579,2.9758,28.8923,7.2645,0.7154,3.1644,6.4736,9.7813,1.8849,43.5
RELJOH,79.44,30.4,-3.5174,-0.4146,2.53,0.3724,-0.2576,-0.7818,1.6275,2.9426,28.8533,7.2629,0.6856,3.1605,6.4847,9.7733,1.8776,45.6
LIQHOK,79.96,29.2,-4.1747,-1.7833,2.57,0.3465,-0.2666,-0.1145,1.6849,2.9684,28.8172,7.3063,0.7316,3.1636,6.4752,9.8003,1.9213,41.9
MAYDEY,79.45,31.6,-3.3846,-0.8784,2.5,0.3639,-0.2551,-0.7833,1.6717,2.9949,28.9153,7.2705,0.7089,3.1581,6.4811,9.7713,1.8694,46.8
YEHVUE,81.38,31.6,-3.4131,0.3136,2.49,0.3534,-0.2568,-0.8283,1.6342,2.9308,28.8468,7.2615,0.6692,3.1608,6.4907,9.7699,1.903,46.1
AYUTOE,82.72,42.8,-4.1411,-3.0019,2.4,0.4676,-0.2131,-0.553,2.3641,2.9732,28.8014,7.1501,0.5136,3.168,6.2696,9.776,1.9496,21.8
KIGNIZ,56.31,26.7,-3.6538,0.3503,2.62,0.2709,-0.2747,-0.2672,1.5795,2.9226,28.8501,7.2935,0.6594,3.1682,6.5625,9.792,1.9274,45.8
VUXCOG,77.32,30.1,-3.713,-1.5051,2.51,0.3042,-0.2655,-0.1766,1.6539,2.9415,28.8617,7.2985,0.6909,3.1661,6.5076,9.8009,1.9098,44.4
NABGIJ,81.83,31.9,-3.3238,0.3601,2.48,0.3511,-0.2567,-0.8334,1.6472,2.9351,28.8482,7.2684,0.6628,3.1613,6.4891,9.7711,1.904,47.8
WOQGUH,84.87,59.9,-4.8516,-2.2787,2.4,0.55,-0.1594,-0.5057,3.2449,3.1472,29.2707,6.9918,0.6676,3.1381,6.2079,9.7165,1.992,17.2
JOXKOY,81.4,29.3,-3.4141,0.2917,2.46,0.3411,-0.2557,-0.8431,1.6294,2.937,28.8582,7.2605,0.6667,3.1601,6.4933,9.769,1.8743,44.9
ZAKMEG,80.67,27.3,-4.2514,-3.142,2.49,0.4157,-0.2665,-0.5602,1.6658,2.9786,28.7057,7.3037,0.7266,3.1618,6.4389,9.7855,1.9622,42.8
VINVOG,78.43,34.8,-4.1057,-2.8843,2.39,0.4839,-0.213,-0.579,2.1433,2.9969,28.6591,7.1633,0.5229,3.1666,6.2837,9.7644,1.9549,21.9
LUGHED,78.03,32.5,-3.3711,-0.4502,2.47,0.3594,-0.2575,-0.8374,1.666,2.9352,28.8497,7.2742,0.6668,3.1616,6.4847,9.7732,1.9215,45.4
PUTJUJ,82.09,32.1,-3.3831,0.3103,2.44,0.3584,-0.2546,-0.8518,1.6172,2.9235,28.7931,7.2589,0.6607,3.1607,6.4737,9.7756,1.921,47.8
MOGLAW,77.49,33.4,-3.358,-1.0401,2.44,0.371,-0.2563,-0.8419,1.6499,2.9451,28.8462,7.2648,0.6732,3.1603,6.4771,9.7686,1.883,44
XIKLOU,77.38,27.9,-3.9987,-2.9186,2.44,0.4548,-0.2222,-0.5176,2.0739,2.9416,28.7264,7.2302,0.5155,3.1716,6.2845,9.8136,1.9272,26
TITCUX,69.97,38.4,-4.5229,-3.6565,2.47,0.4425,-0.2246,-0.0143,1.9353,3.0526,28.6817,7.2185,0.6954,3.1601,6.347,9.803,1.9238,31.2
MEDWOK,79.72,29.6,-4.0251,-2.5917,2.29,0.4464,-0.2245,-0.6032,2.0898,2.9444,28.6685,7.1774,0.5115,3.1697,6.2912,9.7868,1.9797,28.4
PUZLED,80.32,32,-3.5281,-2.4563,2.45,0.3894,-0.2555,-0.7889,1.7472,2.9554,28.8501,7.2628,0.69,3.1596,6.4601,9.764,1.9539,65.2
JEKNAP,82.02,32,-3.2902,-0.6967,2.43,0.3524,-0.2548,-0.8594,1.6331,2.9177,28.8219,7.2662,0.6603,3.1609,6.4783,9.7726,1.9583,42
ZIKMUD,102.71,30.5,-3.9076,-2.9135,2.44,0.4934,-0.2092,-0.5315,2.1981,2.9726,28.8097,7.1515,0.507,3.1681,6.2765,9.7768,1.9217,24.1
CXHIMZ20,80.91,32,-3.6928,-0.2277,2.43,0.3134,-0.2632,-0.4218,1.7494,2.9474,28.8759,7.2921,0.697,3.1649,6.4792,9.8106,1.9783,41.4
QEZSET,82.09,29.4,-3.2201,0.297,2.39,0.3498,-0.2538,-0.8396,1.6186,2.9261,28.7991,7.2554,0.6612,3.1596,6.477,9.7744,1.8805,41.3
UNODOQ,79.75,29.7,-3.3728,-0.6603,2.42,0.351,-0.2576,-0.8098,1.6545,2.9364,28.8554,7.265,0.6695,3.1613,6.4843,9.7739,1.8715,49.1
ELATES,63.03,31.7,-3.1879,-0.698,2.34,0.179,-0.2691,-0.2985,1.7608,2.9421,28.9614,7.2751,0.6808,3.1646,6.5526,9.8011,1.8819,47.2
WANSEM,77.23,53.2,-3.5037,-0.5999,2.38,0.3046,-0.2573,-0.2208,1.7617,2.9723,28.9311,7.2635,0.685,3.1644,6.4576,9.8085,1.9652,48.7
PUKDUW,61.2,39.5,-3.7524,-1.4453,2.38,0.2757,-0.262,-0.2684,1.8225,2.9965,28.8874,7.2689,0.735,3.1622,6.4886,9.8093,1.9357,32.3
JUPCII,61.56,27.9,-3.9596,-1.9127,2.42,0.2932,-0.2758,-0.1867,1.7199,2.9685,28.817,7.3051,0.7195,3.1639,6.5042,9.8048,1.9345,36
POBQON,84.56,44.3,-2.9163,-0.6583,2.41,0.3169,-0.2532,-0.8763,1.6906,2.9282,28.8513,7.2581,0.6508,3.1598,6.4652,9.7904,1.9603,44.4
ROXLEY,76.35,34.1,-3.7798,-2.8498,2.35,0.4977,-0.2307,-0.5635,1.977,2.9,28.699,7.2477,0.4815,3.1833,6.2861,9.8223,1.9685,24.7
SOWRAY,76.97,32.9,-3.4166,-1.8485,2.41,0.3247,-0.2619,-0.2095,1.6262,2.9336,28.8223,7.2767,0.6581,3.1682,6.4953,9.7977,1.9084,45.6
SANRAD,76.91,34.4,-3.9154,-2.574,2.33,0.5114,-0.2242,-0.6513,2.1088,2.943,28.7033,7.2328,0.5038,3.1761,6.2865,9.7859,1.9464,22.7
PASNED,81.5,41.4,-2.8978,-1.4875,2.35,0.3097,-0.2546,-0.8987,1.649,2.9431,28.8177,7.2523,0.6422,3.162,6.4617,9.7955,1.944,41
YASKEJ,95.05,35.1,-3.5372,0.0628,2.35,0.3956,-0.2501,-0.6042,1.6594,2.9499,28.7484,7.2771,0.6828,3.1608,6.416,9.795,1.9101,42.7
XIFKON01,61.75,28.9,-3.7919,-1.2785,2.39,0.2719,-0.2733,-0.1966,1.6793,2.9542,28.8279,7.3054,0.7037,3.1651,6.5135,9.8136,1.9468,45.3
TIQJIO,80.31,38.3,-3.396,-1.5775,2.39,0.3627,-0.2502,-0.8309,1.7143,2.9483,28.8806,7.244,0.685,3.1597,6.4582,9.7749,1.8887,47.4
DUHTUW,94.77,46.3,-4.5483,-3.0221,2.42,0.5242,-0.2027,0.168,2.8014,3.0242,28.9303,7.1543,0.5661,3.1671,6.2385,9.745,1.9981,16.8
AGISAN,87.43,56.2,-4.9693,-2.5688,2.34,0.425,-0.1826,-0.1667,3.2628,3.0671,29.24,7.0622,0.6292,3.1569,6.2418,9.7482,1.8107,9.9
KEGKUC,80.93,41.6,-3.3638,-0.6966,2.35,0.3196,-0.2478,-0.8536,1.6815,2.9975,28.8377,7.2272,0.673,3.1606,6.4625,9.7959,1.8945,44.3
PAJBIM,81.13,28.2,-3.7587,-2.3504,2.44,0.4203,-0.2224,-0.565,2.0999,2.9618,28.8072,7.184,0.5222,3.1686,6.3001,9.8149,1.9755,26.2
KEMPIB,82.04,30.4,-3.2828,0.0398,2.44,0.3509,-0.2553,-0.8226,1.6518,2.9336,28.8807,7.252,0.671,3.1604,6.485,9.7719,1.9558,43
CERWAX02,61.99,29,-3.7832,-1.4711,2.38,0.2767,-0.2748,-0.1883,1.6896,2.9643,28.8244,7.2968,0.7063,3.1657,6.5113,9.8122,1.9476,35.9
IQEPUP,82.98,40.2,-2.896,-0.8904,2.37,0.291,-0.2587,-0.913,1.6755,2.8424,28.8018,7.4034,0.6241,3.1691,6.4687,9.7996,1.931,43.7
TENSAJ,75,44.6,-2.9165,-2.2161,2.36,0.4759,-0.2262,-0.8191,1.9896,2.9895,28.9026,7.2162,0.6846,3.1598,6.3643,9.7453,1.8976,45.7
DERMOC,75.8,33.8,-3.4583,-1.0431,2.41,0.3297,-0.2652,-0.2031,1.6177,2.929,28.8356,7.2907,0.6732,3.1667,6.4885,9.8001,1.9718,47.4
KECTET,77.91,33,-3.22,-0.3209,2.38,0.3615,-0.2534,-0.8306,1.666,2.9733,28.8628,7.2641,0.6824,3.1595,6.4693,9.775,1.908,45.9
YOLNUK,94.21,50.2,-4.9533,-1.9207,2.39,0.5669,-0.1877,-0.6034,3.294,3.0594,29.2825,7.0715,0.6759,3.1446,6.2236,9.6761,1.8938,17.7
KUJKOS,77.67,40.3,-3.5109,-2.151,2.31,0.4411,-0.2247,-0.6919,1.9283,2.9317,28.7618,7.2265,0.5417,3.1747,6.2972,9.8475,1.9678,27.8
DOCCII,77.49,46.8,-3.6313,-1.2938,2.33,0.3323,-0.2581,-0.1998,1.7526,3.0203,28.8611,7.2417,0.6801,3.1653,6.456,9.804,1.9022,43.5
PEMXEL,78.73,32.7,-3.6341,-2.2112,2.34,0.468,-0.2349,-0.6863,1.982,2.8935,28.7296,7.2551,0.4819,3.1805,6.2969,9.8249,1.9747,28.2
YERKAH,78.79,40,-3.1173,0.3635,2.31,0.3304,-0.2603,-0.9287,1.6083,2.9311,28.7803,7.2887,0.649,3.1664,6.4452,9.8122,1.9658,44.9
WASKAE,80.47,33.4,-3.2901,-1.8847,2.38,0.3608,-0.2551,-0.8105,1.7074,2.9374,28.8829,7.263,0.6696,3.1614,6.4644,9.7767,1.9569,46.6
YEJNIM,77.14,34.7,-3.5482,-1.2873,2.36,0.375,-0.2503,-0.8005,1.6786,3.0284,28.8646,7.2351,0.6862,3.1605,6.4623,9.7778,1.8906,45.6
WANSUC,77.01,49.5,-3.478,-0.7153,2.37,0.3167,-0.2594,-0.2169,1.7598,2.9592,28.8582,7.2586,0.6762,3.1673,6.4629,9.8097,1.9356,46.1
JASWOP,78.96,30.8,-3.2956,-0.6352,2.36,0.362,-0.2555,-0.8116,1.5873,2.9555,28.7918,7.2497,0.6705,3.1593,6.472,9.7735,1.964,47.7
CAGZUI,77.17,33.2,-3.8366,-2.7639,2.32,0.5122,-0.2265,-0.6853,2.1183,2.926,28.6898,7.2429,0.496,3.177,6.2885,9.7795,1.9532,28.6
ZAPHAZ,79.2,32.3,-3.2615,-0.3931,2.39,0.3607,-0.2564,-0.8204,1.661,2.9278,28.8444,7.2747,0.6627,3.1615,6.4706,9.7759,1.9349,17.7
NEJTOO,79.82,34.4,-3.5721,-2.5274,2.35,0.4828,-0.2333,-0.5536,1.9457,2.8797,28.7113,7.2491,0.4603,3.1865,6.2865,9.8385,1.9487,27.6
KEYYUJ,78.37,33.5,-3.3974,-1.2079,2.36,0.3675,-0.2556,-0.8049,1.6614,2.9782,28.8362,7.251,0.6871,3.1594,6.4681,9.7748,1.9652,45.4
BIVGAR,81.5,32.3,-3.3184,-1.5581,2.42,0.3625,-0.2534,-0.7659,1.6815,2.9675,28.8784,7.2582,0.6865,3.1583,6.4709,9.7725,1.9595,43.3
GOVQEN,79.57,27.8,-3.2125,-0.3015,2.34,0.3394,-0.2555,-0.8379,1.6347,2.9351,28.852,7.2688,0.6679,3.1606,6.4828,9.7751,1.8635,44.4
HIFDOR,78.22,32.6,-3.2731,-0.5145,2.37,0.3623,-0.2546,-0.8474,1.6221,2.956,28.8228,7.264,0.6701,3.1595,6.4689,9.7762,1.8785,43.1
COPHUL,79.17,39,-3.6317,-1.721,2.25,0.4092,-0.2341,-0.6165,2.0033,2.9079,28.781,7.2305,0.5001,3.1759,6.291,9.8499,1.9727,28.9
MUJSUF,73.11,60.5,-4.0063,-2.7666,2.41,0.3869,-0.0685,-0.0394,2.1503,3.1491,28.7844,7.0978,0.615,3.169,6.2671,9.8464,1.9696,100.3
XUNMAU,80.84,43.6,-3.3622,-1.0507,2.33,0.3967,-0.2533,-0.7956,1.7468,2.9723,28.8411,7.2657,0.6929,3.1601,6.4189,9.7855,1.9473,44.3
BAPRAM,76.3,34.5,-3.562,-2.18,2.3,0.4768,-0.2274,-0.6625,1.9707,2.9124,28.7077,7.2413,0.4882,3.1804,6.2916,9.8259,1.9405,24.6
ODUHAZ,81.13,32.9,-3.3237,-1.1196,2.37,0.3616,-0.2555,-0.8107,1.7182,2.9435,28.8803,7.2635,0.6853,3.1609,6.4621,9.7775,1.9309,50.5
MIJPUQ,79.35,28.3,-3.4314,-0.7179,2.32,0.3599,-0.2555,-0.8109,1.6123,2.9522,28.8271,7.2817,0.6864,3.1603,6.465,9.7844,1.8965,45.5
QICWOR,79.1,31.3,-3.3261,-2.0761,2.35,0.369,-0.2536,-0.7707,1.696,2.9796,28.887,7.271,0.6887,3.1591,6.458,9.7775,1.8983,46.4
CEYGIX,81.97,41.9,-2.8259,-0.7243,2.24,0.2679,-0.2496,-0.9102,1.723,2.9343,28.8629,7.2361,0.6361,3.1616,6.4641,9.7984,1.9505,42.3
QUBVIV,59.45,30,-3.6825,-1.4748,2.46,0.3135,-0.2709,-0.2112,1.6405,2.9362,28.8282,7.2988,0.6839,3.165,6.5062,9.8049,1.9317,44.1
RURYAH,79.73,28.7,-3.2208,-0.7034,2.34,0.3459,-0.2546,-0.8364,1.6471,2.9444,28.8491,7.2743,0.6762,3.1593,6.4759,9.776,1.9137,46.2
RUPFOA,76.57,42.8,-3.1656,-1.7993,2.35,0.3619,-0.2568,-0.1576,1.6722,2.9463,28.8101,7.2691,0.6547,3.1681,6.452,9.801,1.9066,42.2
QALPEA,82.41,34.2,-2.8379,-1.4045,2.33,0.3364,-0.2535,-0.8373,1.7091,2.9268,28.9376,7.2459,0.67,3.162,6.4794,9.7662,1.8853,43.9
HILMEV,78.96,29.3,-3.2388,-0.4666,2.36,0.3508,-0.2569,-0.7939,1.6775,2.933,28.8826,7.2813,0.6744,3.1604,6.4766,9.7761,1.8864,46.1
FETQEA,84.41,42.3,-2.7517,-1.3269,2.3,0.2806,-0.2549,-0.9219,1.7063,2.8865,28.8104,7.26,0.6022,3.1661,6.4538,9.814,1.9859,40.3
GIBNEL,78.89,34.1,-3.2565,-1.3198,2.37,0.355,-0.257,-0.8411,1.6599,2.9714,28.8553,7.2683,0.681,3.1611,6.4683,9.7777,1.8779,48.3
LOSMUC,90.19,40.9,-3.1776,-1.8073,2.37,0.3849,-0.2486,-0.8558,1.8035,2.9517,28.9001,7.2387,0.6606,3.1646,6.4349,9.7816,1.9533,47.3
SANWUA,76.57,36.4,-3.8402,-2.3079,2.36,0.5004,-0.2309,-0.6477,2.0276,2.8897,28.7246,7.2443,0.456,3.1857,6.2844,9.8193,1.9299,30.5
CATNUH,79.47,28.4,-3.3906,-1.1649,2.32,0.359,-0.255,-0.8103,1.6188,2.9595,28.8352,7.2724,0.6884,3.1605,6.4653,9.7839,1.9685,77.1
COSMUU,84.49,43,-2.7565,-0.7665,2.29,0.2959,-0.2511,-0.8721,1.7103,2.9354,28.801,7.2575,0.6127,3.1657,6.4405,9.8162,1.9763,41.9
PEPJEB,77.19,37.1,-3.8066,-2.5929,2.33,0.5024,-0.2329,-0.5749,2.0167,2.8892,28.7132,7.247,0.4671,3.1849,6.2815,9.8197,1.955,25.5
FOXBIE,77.68,33.9,-3.4158,-1.9527,2.34,0.3957,-0.2551,-0.6796,1.6449,2.987,28.8686,7.2716,0.6926,3.1599,6.4474,9.7758,1.8892,45.2
KAYCUK,83.57,30.3,-4.2743,-3.5933,2.23,0.3923,-0.1986,-0.6852,1.7738,3.1252,28.7383,7.2079,0.6811,3.1582,6.4206,9.7782,1.9327,37.9
AKUZAH,81.53,28.8,-3.2165,-1.1199,2.39,0.3453,-0.2549,-0.8354,1.647,2.9317,28.8478,7.2667,0.6698,3.1598,6.4808,9.7725,1.9594,42.2
OMEMEA,79.3,29.3,-3.7522,-1.731,2.37,0.3004,-0.2654,-0.0945,1.6962,2.942,28.8236,7.288,0.6876,3.1662,6.4893,9.7991,1.9559,37.9
YEYREB,84.03,40.2,-2.6053,-0.0208,2.29,0.388,-0.2473,-0.7837,1.6874,2.9077,28.8737,7.2776,0.6528,3.1654,6.4064,9.786,1.9132,43.5
UMIJAB,80.15,28.4,-3.2181,-0.8509,2.33,0.344,-0.2542,-0.8206,1.6197,2.9374,28.8374,7.2636,0.6676,3.16,6.4765,9.7755,1.8755,43.9
SEZJIR,77.01,32.9,-4.0279,-2.5543,2.3,0.5068,-0.2244,-0.648,2.1115,2.9217,28.7081,7.2423,0.5065,3.1775,6.2854,9.7933,1.9688,22.7
JOMJIH,82.83,50.9,-2.8578,-0.6616,2.29,0.3176,-0.2513,-0.9224,1.7426,2.9528,28.8437,7.2544,0.6576,3.1629,6.4264,9.8106,1.9662,43.8
GIQYEK,79.17,32.8,-3.2097,-1.854,2.34,0.3559,-0.2541,-0.8423,1.6522,2.9497,28.8487,7.2654,0.6698,3.1605,6.4696,9.7756,1.8758,44.3
CAGZOC,76.71,33.5,-3.7043,-2.586,2.3,0.506,-0.228,-0.7004,2.0945,2.9144,28.7064,7.2441,0.4893,3.1785,6.2933,9.7885,1.9626,23.7
HXESTR,81.3,28.4,-3.1425,-1.1377,2.35,0.3453,-0.2549,-0.8417,1.6763,2.9321,28.8756,7.2749,0.6718,3.1603,6.4762,9.773,1.9603,43.3
YIRBAF,91.31,37.7,-3.0256,-0.7788,2.2,0.2734,-0.2548,-0.906,1.6919,2.953,28.8196,7.2441,0.6317,3.1657,6.4647,9.8004,1.8997,40.4
CEYNUQ,81.55,32.2,-3.2621,-0.7521,2.35,0.3572,-0.2557,-0.8007,1.6862,2.9346,28.8733,7.2676,0.673,3.1618,6.4643,9.7797,1.8856,49.4
NIQSUC,80.17,30.9,-3.2518,-0.442,2.35,0.3599,-0.2544,-0.831,1.6431,2.9232,28.8258,7.2665,0.659,3.1617,6.4646,9.78,1.9286,44.6
COQSIM,84.8,43.3,-2.7035,-2.0345,2.26,0.2934,-0.2517,-0.8723,1.7232,2.9348,28.7983,7.2604,0.6118,3.1665,6.4351,9.8167,1.9671,41.3
OJUSIW,60.58,31,-3.488,-0.2411,2.42,0.299,-0.2687,-0.1527,1.631,2.9349,28.8895,7.2964,0.6769,3.1665,6.5186,9.804,1.9442,46.4
VICVOS,77.76,31.1,-3.4661,-1.7527,2.37,0.4284,-0.2327,-0.5865,1.9629,2.9027,28.753,7.2524,0.4866,3.1786,6.3009,9.8455,1.922,22.2
AJUCOY,80.6,37.5,-3.727,-1.6625,2.26,0.4135,-0.2265,-0.5018,2.0465,2.9199,28.7841,7.1842,0.4955,3.1754,6.283,9.8431,1.9425,25.8
DUPSIS,79.42,33.6,-3.2112,-1.1855,2.33,0.3754,-0.2551,-0.8268,1.6712,2.9557,28.8381,7.278,0.6861,3.1592,6.4524,9.78,1.9402,45
JASYOR,79.13,29,-3.3114,-0.5895,2.32,0.3622,-0.2545,-0.8022,1.5934,2.9477,28.7944,7.2701,0.6735,3.1595,6.4627,9.7799,1.8972,42
MEHQUM,79.91,28.5,-3.3887,-1.1242,2.29,0.3588,-0.2549,-0.8108,1.6168,2.9533,28.8342,7.2818,0.6853,3.1608,6.4607,9.7861,1.9162,43.9
CACTIL,76.72,37.7,-3.5818,-2.1007,2.29,0.4812,-0.236,-0.5848,1.9393,2.8873,28.719,7.249,0.4828,3.1833,6.2909,9.8353,1.964,26.8
AXETEE02,91.39,38.2,-4.4208,-2.3347,2.3,0.3098,-0.2596,-0.0335,1.8836,2.987,28.8046,7.2818,0.7118,3.1639,6.4453,9.8106,1.9792,31
FOGDOW,79.12,29.3,-4.0954,-2.2679,2.32,0.3425,-0.2666,-0.04,1.7439,2.9576,28.7759,7.311,0.7119,3.1644,6.4515,9.7984,1.9184,37.8
NESYAM,80.49,29.8,-3.2408,-1.2868,2.31,0.3742,-0.2527,-0.8162,1.5665,2.9306,28.7528,7.2648,0.652,3.162,6.449,9.7861,1.8879,47.6
DOWWOE,77.1,31.9,-3.8953,-1.8027,2.27,0.2795,-0.2457,-0.372,1.764,2.9433,28.79,7.2696,0.6204,3.1686,6.3929,9.8616,1.9774,33.2
GAXSUV,77.19,34.2,-3.5514,-2.0926,2.28,0.4807,-0.2333,-0.5716,1.9305,2.887,28.6992,7.2587,0.4768,3.1835,6.2936,9.8327,1.9473,28.4
JULREN,77.75,32.8,-3.5953,-1.7561,2.31,0.3156,-0.2639,-0.2117,1.6503,2.9401,28.8359,7.2903,0.6771,3.1673,6.4808,9.8059,1.9644,40.3
HUZDEL,80.29,33.6,-3.1593,-0.3865,2.33,0.3558,-0.2549,-0.8368,1.6835,2.9373,28.8538,7.2655,0.6686,3.162,6.4622,9.7783,1.8837,52.5
YOYZUK,79.54,34.5,-3.1413,-1.5333,2.32,0.3644,-0.2541,-0.7959,1.6985,2.9453,28.8478,7.277,0.6717,3.162,6.4531,9.7842,1.8903,52.9
WADWIJ,76.88,33.8,-3.5331,-2.0824,2.28,0.4789,-0.2337,-0.5899,1.8938,2.8892,28.6853,7.2554,0.4849,3.1824,6.2957,9.8346,1.9555,28.8
ICIQES,78.7,33.6,-3.2157,-0.8108,2.32,0.3628,-0.2546,-0.8482,1.6567,2.95,28.8455,7.2712,0.671,3.1599,6.4623,9.7772,1.883,46.3
KAKYED,84.99,44,-3.3142,-1.7858,2.3,0.3834,-0.2273,-0.569,2.0198,2.9123,28.8933,7.2014,0.4976,3.1751,6.2816,9.8746,1.9562,24.3
IGUXUF,79.52,38,-3.2217,-0.9057,2.34,0.3834,-0.2518,-0.8069,1.6709,2.9904,28.8693,7.2445,0.6717,3.1631,6.4455,9.7801,1.9797,52.5
FEHZIE,79.42,29.4,-3.698,-1.7133,2.33,0.2977,-0.2649,-0.0919,1.7048,2.9427,28.8221,7.2921,0.6842,3.166,6.4831,9.8011,1.9612,37.7
YOJJEP,63.89,31.8,-3.3099,-1.6877,2.28,0.2153,-0.2713,-0.226,1.7973,2.9511,28.8962,7.3053,0.6901,3.1629,6.5105,9.8133,1.8996,46.6
RELTAG,78.49,34.5,-3.1479,-0.8221,2.32,0.3784,-0.256,-0.817,1.6761,2.9719,28.8281,7.2662,0.6853,3.1594,6.4511,9.7754,1.9769,45.6
LUHKEG,84.02,39.6,-2.8913,-0.8948,2.25,0.2889,-0.258,-0.9104,1.6698,2.9689,28.8194,7.2731,0.6495,3.1604,6.4554,9.8014,1.9627,35.4
OKOPEL,91.83,39.4,-4.4863,-3.2813,2.3,0.5095,-0.2023,-0.4934,2.4278,3.0028,28.8851,7.1279,0.5844,3.16,6.2515,9.7701,1.9771,31.2
IFUYOA,78.08,38.9,-3.1985,-0.7871,2.33,0.3461,-0.2539,-0.1482,1.6389,2.9425,28.8325,7.2671,0.6726,3.1663,6.4588,9.8034,1.9384,43.2
KOTXOG,79.43,30.2,-3.2237,-0.7699,2.29,0.3551,-0.2543,-0.7876,1.6694,2.9563,28.8645,7.2616,0.6774,3.1601,6.467,9.7756,1.9628,45.8
NEMQEC,78.08,46.9,-3.2532,-1.5417,2.31,0.3506,-0.256,-0.1974,1.747,2.9269,28.7997,7.2525,0.6596,3.1662,6.4332,9.8126,1.9023,41.7
DAPWID,81.4,33.5,-4.0671,-3.7308,2.29,0.3645,-0.2195,-0.0214,2.2897,2.98,28.8691,7.1767,0.5455,3.1691,6.326,9.7956,1.9324,25.7
AKATAI,76.59,41.1,-3.8137,-2.9376,2.31,0.4325,-0.2436,-0.0574,1.8419,2.9651,28.7848,7.2692,0.6794,3.1659,6.3792,9.7947,1.9656,81.6
