Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
MISYET,96.68,32.3,-3.6964,-2.704,2.02,0.4495,-0.2253,-0.4594,1.7568,3.0074,28.7999,7.2159,0.6792,3.1628,6.3141,9.837,1.9424,27.8
ALODAH,84.26,33.5,-3.9402,-3.1282,1.97,0.4306,-0.2517,-0.0565,2.0799,2.9872,28.6998,7.2777,0.6781,3.164,6.3492,9.7587,1.9515,31
XAQNOT,62.83,24,-3.278,-2.1453,2.05,0.3944,-0.2585,-0.561,1.6703,2.9257,28.832,7.3316,0.6875,3.1603,6.4332,9.8149,1.9224,37.6
ENIHIU,79.22,37.8,-3.9054,-2.7157,1.97,0.384,-0.2525,-0.042,1.8182,2.9677,28.7237,7.2853,0.6999,3.1609,6.3913,9.8066,1.9543,35.1
GEDKEH,62.74,24,-3.2216,-1.9187,2.05,0.3893,-0.2584,-0.5751,1.6625,2.923,28.8305,7.3286,0.682,3.1601,6.4374,9.8144,1.916,38.4
MINQIM,82.46,45.9,-3.1994,-2.2417,2,0.4518,-0.2368,-0.8056,2.1086,2.9669,28.8971,7.2055,0.654,3.165,6.3438,9.7543,1.969,48.3
ZIRKOD,93.36,36.1,-3.2999,-1.8721,1.97,0.3007,-0.2349,-0.7499,1.8665,2.999,28.781,7.2461,0.6171,3.1659,6.3804,9.8201,1.9523,48.1
BEGVOZ,96.08,34.3,-3.2792,-2.2111,1.99,0.3084,-0.2387,-0.6446,1.9762,2.9933,28.7591,7.2728,0.634,3.1674,6.3853,9.7911,1.9597,57.2
PUDNEK,96.68,39.3,-3.1973,-2.3823,1.97,0.3599,-0.2407,-0.694,2.0551,2.9149,28.7292,7.2717,0.6346,3.1693,6.356,9.7838,1.9371,42.8
NEJDIS,95.9,34.3,-2.5952,-0.773,2.05,0.241,-0.249,-0.1496,1.9213,2.8881,28.9291,7.2718,0.6128,3.1687,6.4315,9.8174,1.9682,42.4
VETVUL,82.24,35.2,-4.7581,-4.3223,1.94,0.5382,-0.1958,0.0583,2.3918,3.0602,28.6201,7.2716,0.8085,3.1698,6.3412,9.6429,1.9332,34
ZUQCUM,81.39,38,-3.8386,-2.5705,2,0.3951,-0.2282,-0.042,2.2843,2.9571,28.8652,7.205,0.5552,3.172,6.2876,9.8183,1.9692,27
FURYUO,89.08,36.2,-3.1019,-2.001,1.98,0.4456,-0.2488,-0.671,1.9124,2.924,28.7583,7.2968,0.6328,3.1681,6.3519,9.7803,1.9483,44.4
LELQUQ,62.74,25,-3.1793,-1.3813,2.03,0.3877,-0.2587,-0.5712,1.6642,2.9296,28.8473,7.3263,0.6809,3.1597,6.4404,9.8105,1.9136,37.9
VEWPIW,84.88,35.9,-2.6743,-2.0938,1.98,0.3828,-0.2496,-0.8674,1.9497,2.9059,28.8236,7.2906,0.6305,3.1656,6.3823,9.7702,1.9226,38.9
GOPTAI,62.69,30.4,-3.0823,-0.172,2.06,0.3865,-0.2576,-0.5791,1.6689,2.9248,28.8659,7.3228,0.6754,3.1597,6.4356,9.8139,1.9188,37.6
UMEZAP,84.11,32.2,-3.271,-2.7934,2,0.2023,-0.2671,-0.1442,1.942,2.9096,28.7959,7.3275,0.648,3.1668,6.421,9.8421,1.9517,35
TSBNON,108.61,37.9,-3.7002,-1.828,2.04,0.4664,-0.2316,-0.5469,1.8905,3.0004,28.7804,7.2244,0.647,3.1626,6.3125,9.8036,1.9515,33.1
DOKXUW,79.28,37.9,-3.9728,-2.4794,2.06,0.342,-0.2553,-0.596,1.8101,2.9684,28.7695,7.2989,0.696,3.1663,6.4109,9.8186,1.9378,32.8
PEQBIW,62.96,25,-3.1562,-1.8557,2.05,0.389,-0.2578,-0.576,1.6786,2.9205,28.8494,7.3216,0.6781,3.1598,6.4361,9.8111,1.9112,39.1
PEYVOH,89.05,34.1,-4.0951,-2.9425,1.97,0.5007,-0.2147,-0.5421,1.9266,3.0776,28.7159,7.2309,0.6671,3.1607,6.2825,9.8003,1.9866,33.5
SASYET,62.56,26.5,-3.0793,-1.112,2.07,0.3819,-0.2575,-0.6023,1.6639,2.9198,28.8597,7.3214,0.6732,3.16,6.4407,9.8146,1.9103,36.7
IFETAO,83.38,32.8,-3.3613,-2.3157,1.98,0.361,-0.2594,-0.605,1.9196,2.9381,28.7226,7.3175,0.6636,3.1654,6.3825,9.7925,1.9548,35.4
BAPREP,85.86,29.9,-2.1924,0.2266,2.01,0.3419,-0.2421,-0.7595,1.7943,2.8825,28.8068,7.2785,0.6017,3.1611,6.3906,9.7971,1.939,43.6
LUBREI,79.13,31.2,-4.7218,-3.8358,2.11,0.4249,-0.2439,0.1694,2.1223,3.0097,28.7345,7.2545,0.7083,3.1635,6.3624,9.779,1.971,24.2
EQUPIP,62.31,25.9,-3.1996,-1.0855,2.05,0.3814,-0.2589,-0.5675,1.641,2.9216,28.8497,7.3226,0.6825,3.1604,6.4446,9.8161,1.9355,40.5
KOGWIN,62.42,27.2,-3.1098,-0.5109,2.06,0.3841,-0.2576,-0.6013,1.6578,2.9176,28.8571,7.3189,0.6715,3.1601,6.4415,9.8144,1.9187,37.5
VEGREE,91.4,33,-3.2568,-1.8418,1.96,0.4288,-0.2432,-0.5853,1.8948,2.9429,28.7746,7.2764,0.6504,3.1653,6.3534,9.7842,1.9752,36.9
QOWPIE,93.8,33.6,-2.9284,-2.0717,1.95,0.4282,-0.2466,-0.6218,1.8616,2.9063,28.6982,7.2893,0.6095,3.1684,6.3391,9.7861,1.9335,37.5
WENPAG,88.51,31.8,-3.6683,-2.7571,1.98,0.4843,-0.2437,-0.6677,2.0476,2.939,28.7587,7.2745,0.6813,3.1668,6.3532,9.7392,1.97,45.3
TOJPAJ,87.23,33.5,-4.0599,-3.1097,2.05,0.2628,-0.2694,-0.1114,1.8347,2.9439,28.7823,7.3315,0.6877,3.1666,6.4176,9.8411,1.9788,33.2
HEFYOH,63,24.1,-3.1804,-1.5841,2.05,0.39,-0.2577,-0.63,1.6852,2.92,28.8526,7.324,0.6808,3.1602,6.4325,9.8154,1.9189,39.7
NUJBEZ,101.77,38.9,-4.0983,-2.465,2.03,0.3753,-0.2352,-0.532,1.8583,3.0079,28.7426,7.2818,0.6588,3.1655,6.3516,9.824,1.9646,47.6
