Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
QIWLAM,83.4,190.03,2.13,8.87,8.66,34.9,26.6,19,686.84,-3.8921,-2.8531,1.95,2.06,1.96,0.4103,-0.2286,-0.6266,-0.0517,2.3725,2.9378,2.1264,3.1067,28.8656,7.2318,8.5572,7.073,0.557,0.5481,0.5237,3.172,1.3587,1.2963,1.32,6.2887,12.5044,4.145,4.2028,4.1566,9.7966,1.9657,1.977,1.9752,1.9827,1.8961,1.5813,1.4987,1.6235,0.4179,0.0897,0.067,0.1001,0.0631,0.098,1.2261,1.3691,1.1569,0.1196,0.0151,0.0284,0.0238,0.0229,0.0295,26
POXVAA,85.89,185.33,1.52,8.64,10.88,30.6,20.6,13.9,669.2,-3.3024,-1.5059,2.04,1.94,1.9,0.4218,-0.2505,-0.5087,-0.6896,1.7896,2.9274,2.0874,2.0561,28.7768,7.2877,8.451,8.5376,0.6639,0.3594,0.5242,3.166,1.1708,1.3939,1.4384,6.382,12.4077,4.0527,4.2134,4.1416,9.7884,1.9548,1.9749,1.9745,1.9463,1.9379,1.4871,1.6714,1.4831,0.363,0.0811,0.0764,0.0539,0.0943,0.0572,1.5413,1.568,1.6708,0.4021,0.087,0.0631,0.0825,0.0791,0.0904,40
FOSMIL02,86.73,187.68,1.67,5.93,10.91,28.9,16.9,9.5,520.39,-2.3419,-1.7037,1.99,1.95,1.89,0.3537,-0.2457,-0.7357,-0.6839,1.8639,2.8812,1.9718,2.0461,28.8127,7.2963,8.572,8.5339,0.6112,0.5166,0.5243,3.1636,1.3308,1.4024,1.2637,6.3812,12.464,4.1545,4.1917,4.1178,9.8011,1.9321,1.9454,1.9776,1.97,1.976,1.5287,1.6862,1.5967,0.3759,0.0808,0.0748,0.0694,0.0844,0.0665,1.6016,1.5119,1.6486,0.3861,0.0944,0.0597,0.0833,0.0713,0.0773,41.8
MUGYUL,84.26,186.69,2.63,6,10.95,28.8,19.2,15.3,631.92,-4.4847,-4.0305,1.94,1.96,1.84,0.5545,-0.2261,-0.5429,-0.5627,2.2094,2.9969,2.104,2.0668,28.6547,7.2863,8.4859,8.5078,0.7419,0.5736,0.5243,3.1685,1.246,1.3101,1.4198,6.3207,12.4379,4.1085,4.1781,4.1513,9.6869,1.9645,1.9498,1.8869,1.9837,1.9019,1.4748,1.5759,1.5778,0.3997,0.088,0.0776,0.0712,0.0937,0.0693,1.5034,1.4913,1.6806,0.3645,0.0821,0.0563,0.0884,0.0597,0.0781,33.2
KAQWEF,94.71,196.94,1.71,8.87,9.54,32,20.3,11.8,587.05,-2.8276,-1.3044,1.99,1.96,1.93,0.2619,-0.2551,-0.6633,-0.3813,1.8347,2.887,2.0422,2.8809,28.8257,7.2984,8.5033,7.5854,0.6088,0.4623,0.5244,3.1713,1.4038,1.3561,1.2421,6.4137,12.5048,4.1434,4.1945,4.1669,9.8197,1.964,1.918,1.9603,1.9813,1.9961,1.5017,1.5965,1.6455,0.4016,0.1035,0.0691,0.0674,0.0865,0.0752,1.4305,1.2122,1.4411,0.061,0.0086,0.0084,0.0258,0.0095,0.0089,49.6
FUDDOZ01,92.91,212.93,1.75,8.72,8.71,44,37.4,25.2,664.62,-3.0483,-2.0318,1.95,1.94,1.92,0.4574,-0.2391,-0.6234,-0.6789,1.9971,2.9528,2.0473,2.0392,28.7071,7.2736,8.4986,8.5383,0.6172,0.4472,0.5246,3.1674,1.3576,1.4169,1.2157,6.3277,12.4429,4.1359,4.1823,4.1247,9.772,1.9611,1.9436,1.953,1.931,1.9834,1.4769,1.5598,1.5983,0.4974,0.1334,0.0842,0.0906,0.0926,0.0966,1.5983,1.6042,1.5638,0.3981,0.0874,0.0823,0.0709,0.0793,0.0784,40.8
JACCUL,82.68,182.28,1.54,7.18,8.42,31.6,23.2,16.1,553.18,-4.1614,-3.6431,2,1.98,1.86,0.537,-0.2368,-0.5054,-0.53,2.0465,3.013,2.1351,2.1174,28.6879,7.2808,8.4266,8.4819,0.7156,0.4778,0.5246,3.1645,1.3708,1.3928,1.2274,6.32,12.4067,4.1659,4.1396,4.1011,9.7364,1.9632,1.9637,1.9789,1.8523,1.9783,1.4495,1.6551,1.4993,0.3834,0.0661,0.07,0.0994,0.0464,0.1016,1.5921,1.505,1.5514,0.3639,0.0895,0.0504,0.0816,0.0529,0.0894,32.3
VACXAA,84.65,188.23,1.68,8.32,9.34,36.1,27,18.6,623.48,-2.656,-1.8437,2.03,2,1.89,0.381,-0.2476,-0.6508,-0.7304,1.8623,2.9049,2.0293,1.9316,28.8253,7.3005,8.5248,8.5905,0.6369,0.4651,0.5247,3.1623,1.2825,1.4116,1.3062,6.376,12.4368,4.1052,4.1767,4.1549,9.8063,1.9365,1.9358,1.9615,1.9777,1.9948,1.525,1.6762,1.5411,0.3769,0.0678,0.0753,0.0856,0.0678,0.0804,1.608,1.5088,1.6754,0.4052,0.0828,0.0645,0.0965,0.0671,0.0943,40.2
VABZUT,83.61,186.42,1.72,9.1,9.72,29.9,21.3,14.2,654.92,-4.4228,-3.9618,1.93,1.96,1.84,0.5626,-0.2249,-0.5656,-0.5833,2.2069,3.0007,2.0821,2.0817,28.6466,7.2868,8.4912,8.5135,0.7333,0.5648,0.5247,3.1693,1.3813,1.3924,1.2002,6.3182,12.4357,4.1517,4.153,4.131,9.6836,1.9602,1.9434,1.9843,1.8543,1.9414,1.447,1.6486,1.5289,0.4287,0.0826,0.0644,0.1152,0.056,0.1105,1.5823,1.4972,1.596,0.3885,0.0864,0.0618,0.0898,0.0574,0.0931,34.6
PUCDEZ,87.91,186.8,2.13,8.72,11.23,30.8,23.7,17,749.91,-3.228,-1.5455,2.06,1.95,1.91,0.4073,-0.2511,-0.5323,-0.6925,1.7136,2.9275,2.0226,2.0457,28.77,7.2964,8.4904,8.5656,0.6546,0.3363,0.5248,3.1661,1.4031,1.4154,1.1849,6.3792,12.4113,4.1734,4.1549,4.0831,9.8021,1.9131,1.9894,1.978,1.9742,1.9474,1.4692,1.5615,1.6204,0.3812,0.0723,0.0685,0.0874,0.065,0.088,1.5532,1.5885,1.6211,0.4257,0.0923,0.0617,0.1056,0.0717,0.0944,40
