Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
PEFGUF,81.99,212.88,2.7,10.36,8.64,33.1,25,16.4,717.36,-3.8574,-2.8066,2.22,1.86,1.96,0.443,-0.2138,0.0053,-0.5317,2.2095,2.9649,3.0699,2.1766,28.7481,7.1996,7.0104,8.5446,0.5029,0.3473,0.5053,3.1716,3.96,1.3563,1.2192,1.3845,6.2714,12.4817,4.1501,4.1873,4.1443,9.8039,1.9768,1.9564,1.9621,1.9323,1.9761,3.1534,3.7158,1.2488,1.3387,1.1283,0.1255,0.0219,0.0202,0.0317,0.026,0.0257,3.4722,4.6506,1.523,1.533,1.5947,0.4089,0.0922,0.0871,0.0716,0.0863,0.0716,21.7
PEFNAQ,62.7,156.1,1.94,8.25,9.83,24,15.2,11,602.27,-3.2533,-1.5611,2.1,2.07,1.86,0.3916,-0.2575,-0.6323,-0.5875,1.6723,2.9217,1.9216,1.9951,28.8464,7.3257,8.6125,8.5434,0.6805,0.4225,0.4456,3.1599,4.0136,1.3067,1.3621,1.3448,6.4337,12.3585,4.1016,4.1567,4.1002,9.8162,1.9038,1.9843,1.9768,1.9693,1.9819,3.5378,4.7339,1.6117,1.4982,1.6239,0.3607,0.0624,0.0771,0.0824,0.0481,0.0907,3.5319,4.7134,1.5443,1.6681,1.5011,0.3423,0.0547,0.0739,0.0769,0.0503,0.0865,39.1
PEFRAU,62.59,155.57,1.69,4.72,9.17,23.9,14.1,8.6,473.64,-3.4216,-2.9867,2.18,2.02,1.86,0.405,-0.2583,-0.5444,-0.5708,1.6833,2.9401,1.9561,1.9609,28.8284,7.334,8.5134,8.5365,0.7001,0.3313,0.4954,3.1597,4.0148,1.3534,1.4201,1.2412,6.4262,12.3585,4.1149,4.1537,4.0899,9.8103,1.9294,1.9574,1.9455,1.9872,1.9907,3.5397,4.6932,1.4833,1.7043,1.5056,0.3115,0.0684,0.0673,0.0514,0.068,0.0565,3.5263,4.7054,1.6465,1.4545,1.6044,0.3392,0.0843,0.0476,0.0701,0.0595,0.0777,35.9
PEGKOC,62.45,155.16,2.73,4.35,7.47,24.2,17.1,11.5,476.63,-3.267,-0.9885,2.05,2.15,1.86,0.3934,-0.2583,-0.5669,-0.5569,1.6361,2.9271,1.9642,1.9743,28.8421,7.3302,8.5141,8.5086,0.6899,0.4574,0.3563,3.1601,4.0142,1.2567,1.3208,1.4367,6.436,12.3538,4.1211,4.1095,4.1232,9.8167,1.9253,1.9687,1.9607,1.9833,1.9787,3.5241,4.696,1.4997,1.5478,1.6485,0.3467,0.065,0.0917,0.0604,0.0639,0.0657,3.5334,4.6957,1.641,1.5731,1.4815,0.3279,0.0411,0.0771,0.0718,0.0664,0.0714,39.1
PEHXIK,100.07,205.86,1.69,5.51,5.72,34.3,21,8.7,408.8,-2.207,-0.2152,1.9,1.99,1.93,0.2268,-0.2473,-0.1997,-0.7798,1.9876,2.8656,3.2309,1.7734,28.8348,7.2808,7.1471,8.4604,0.5713,0.579,0.5045,3.1691,3.9948,1.2642,1.3092,1.4214,6.4058,12.5518,4.1478,4.1939,4.2101,9.8156,1.9515,1.9245,1.9804,1.9776,1.9816,3.1672,3.9359,1.3458,1.2241,1.366,0.0967,0.023,0.0129,0.0261,0.0141,0.0206,3.6112,4.7469,1.4994,1.5912,1.6564,0.4217,0.1042,0.0671,0.0822,0.0776,0.0907,42.3
PEKJOG,83.5,196.9,2.44,10.72,7.05,35,28.9,18.6,639.42,-2.9697,-1.3821,1.99,1.97,1.91,0.2794,-0.2579,-0.1036,-0.8999,1.8373,2.9475,3.2252,1.775,28.8099,7.2733,7.0836,8.6472,0.6281,0.4188,0.5253,3.1676,4.0074,1.4214,1.285,1.3011,6.413,12.4955,4.1638,4.1779,4.1538,9.8121,1.9371,1.943,1.9789,1.9736,1.9795,3.1482,3.8609,1.2349,1.4253,1.2007,0.0945,0.0142,0.0193,0.0274,0.0139,0.0197,3.5396,4.8549,1.6596,1.4788,1.7165,0.5054,0.1072,0.0698,0.1273,0.1041,0.0971,39.4
PEKZUC,81.09,192.29,2.46,8.61,9.35,32.7,23.9,14.3,630.83,-3.3944,-2.4805,2.11,1.99,1.9,0.3335,-0.2604,-0.529,-0.1985,1.7551,2.9291,2.0845,2.8862,28.7627,7.314,8.498,7.2234,0.6567,0.3136,0.4738,3.1681,4.0111,1.266,1.4148,1.3302,6.4133,12.4334,4.1124,4.1926,4.1284,9.8198,1.925,1.9708,1.9621,1.9726,1.9893,3.5099,4.6436,1.4961,1.5124,1.6351,0.3755,0.076,0.0689,0.0787,0.0567,0.0953,3.1489,3.9684,1.4082,1.3875,1.1728,0.0812,0.0063,0.0258,0.0193,0.01,0.0197,45.3
PELJUM,49.39,145.32,2.04,4.56,5.82,25.4,20.8,8.8,419.88,-4.0496,-0.7068,1.86,3.96,1.88,0.2542,-0.284,-0.2429,-0.4492,1.6457,2.9557,3.0604,2.1207,28.8529,7.3069,7.2305,8.4227,0.6991,0.7091,0,3.1682,4.0364,1.4183,1.3643,1.2538,6.5924,12.3713,4.0994,4.1827,4.0891,9.7822,1.9288,1.968,1.9432,1.9813,1.961,3.2035,3.9565,1.2495,1.3154,1.3916,0.0829,0.0151,0.0171,0.0158,0.0169,0.0181,3.5335,4.6624,1.4775,1.6987,1.4861,0.2534,0.0351,0.0699,0.0522,0.0419,0.0542,52.4
PEMMEZ,86.68,191.37,1.89,5.09,11.42,29.2,17.6,11,565.45,-4.0414,-3.4097,1.98,1.87,1.93,0.5575,-0.1932,-0.5868,-0.5592,2.7639,3.0152,2.0587,2.1228,28.8618,7.1714,8.4894,8.507,0.5364,0.5574,0.6781,3.1626,3.9477,1.2266,1.391,1.3301,6.2206,12.5168,4.1779,4.156,4.1828,9.7051,1.9377,1.9976,1.9348,1.8713,1.9638,3.5288,4.6821,1.5357,1.5665,1.5799,0.3758,0.0622,0.0646,0.0875,0.0678,0.0938,3.5038,4.6615,1.4563,1.4797,1.7255,0.394,0.0757,0.0535,0.1026,0.0623,0.0999,22.9
PEMSOQ,50.49,146.04,1.68,6.3,8.44,23.4,18.7,11.8,521.38,-4.1715,-0.2569,1.88,2.89,1.84,0.4069,-0.27,-0.6362,-0.4852,1.4126,2.9552,2.0402,2.0788,28.6518,7.2943,8.6212,8.4173,0.6996,0.4846,0,3.1595,4.0282,1.3258,1.4175,1.2848,6.4979,12.3199,4.104,4.1359,4.08,9.7753,1.9151,1.9611,1.9438,1.9806,1.9747,3.4806,4.7265,1.6567,1.4422,1.6277,0.429,0.1262,0.058,0.0808,0.0842,0.0799,3.5406,4.6939,1.492,1.7014,1.5005,0.2507,0.0619,0.0591,0.0308,0.0673,0.0316,49.6
