Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
ABABIQ,95.37,197.3,1.65,12.03,10.15,31.6,21.2,13.5,753.83,-2.9673,-2.0627,1.94,1.97,1.91,0.4225,-0.2459,-0.6447,-0.5774,1.8823,2.9129,2.0487,1.9912,28.7213,7.2933,8.532,8.4934,0.6261,0.5029,0.4238,3.1672,3.9965,1.2883,1.2732,1.4351,6.3428,12.4432,4.1692,4.1093,4.1647,9.7915,1.9377,1.9622,1.9475,1.968,1.9762,3.5095,4.7205,1.5079,1.5755,1.6372,0.4146,0.0848,0.0609,0.1067,0.0629,0.0995,3.5057,4.7186,1.4941,1.6168,1.6077,0.3531,0.0738,0.0823,0.0508,0.0793,0.0669,54.6
ABATOO,97.54,216.4,2.7,4.49,10.2,34.9,21.7,11.6,531.87,-3.0344,-1.3775,1.92,1.96,1.93,0.295,-0.2361,-0.7232,0.1439,1.969,2.9822,2.0723,3.1659,28.8185,7.2592,8.5811,6.9468,0.6143,0.5674,0.516,3.1669,3.9861,1.3602,1.2234,1.4026,6.3763,12.5209,4.1737,4.2245,4.1227,9.8078,1.964,1.935,1.9396,1.9798,1.9894,3.5134,4.7973,1.6146,1.5935,1.5892,0.4124,0.0951,0.0782,0.0723,0.0848,0.082,3.1361,3.5887,1.0751,1.3526,1.161,0.1312,0.0383,0.024,0.0217,0.0299,0.0173,51.4
ABAWAD,97.6,216.44,2.77,5.74,10.62,34.9,22.1,13.1,601.64,-3.0622,-1.3625,1.92,1.96,1.93,0.2913,-0.2373,-0.7245,0.1428,1.9731,2.98,2.0748,3.1677,28.8246,7.2609,8.5829,6.9428,0.6155,0.5718,0.5142,3.1665,3.9877,1.3966,1.2162,1.3749,6.3777,12.5233,4.1535,4.2253,4.1445,9.8077,1.9443,1.932,1.9595,1.9841,1.9879,3.5135,4.7982,1.5783,1.6047,1.6152,0.4129,0.0848,0.0831,0.0803,0.0796,0.0851,3.136,3.5902,1.1376,1.3446,1.108,0.1311,0.0296,0.0234,0.0307,0.0264,0.021,49.7
ABEJEX01,78.87,218.94,2.9,7.91,9.37,38.1,29,18.4,648.15,-3.9072,-2.6235,2.21,1.96,1.88,0.4099,-0.2531,-0.0805,-0.6182,1.7822,2.9628,3.0007,2.1379,28.7257,7.2825,7.2104,8.5419,0.7113,0.2882,0.4849,3.1615,4.0105,1.377,1.405,1.2285,6.3965,12.3939,4.1242,4.1429,4.1269,9.7996,1.9391,1.9383,1.9589,1.983,1.9803,3.1811,3.786,1.2499,1.2843,1.2517,0.1134,0.0135,0.0292,0.0194,0.0302,0.0213,3.5036,4.7103,1.5322,1.5145,1.6636,0.4043,0.1048,0.0802,0.0789,0.0743,0.0662,44.9
ABEMEA,93.6,210.49,1.67,6.83,8.71,34.8,24.9,16.6,578.61,-3.4679,-1.5291,1.94,1.99,1.92,0.3119,-0.2402,-0.7269,-0.0825,1.8819,2.9955,2.0866,3.1129,28.7824,7.2577,8.5673,7.1019,0.632,0.5527,0.444,3.1667,3.9918,1.403,1.2166,1.3721,6.3838,12.4867,4.1594,4.1773,4.15,9.8176,1.9609,1.935,1.9865,1.9797,1.9555,3.5127,4.8053,1.559,1.6068,1.6395,0.4089,0.0823,0.0861,0.0797,0.0808,0.08,3.1877,3.7759,1.1911,1.3603,1.2245,0.1188,0.0291,0.0178,0.0295,0.0231,0.0194,47.8
ABENEB01,93.83,194.92,1.6,4.5,8.64,30,19.4,10.5,461.47,-2.9735,-1.9256,1.98,1.95,1.93,0.4052,-0.2478,-0.5094,-0.6752,1.7493,2.8981,2.1147,2.0349,28.6978,7.2924,8.5071,8.5605,0.613,0.387,0.4988,3.1694,3.9969,1.3644,1.424,1.2086,6.35,12.4372,4.1328,4.1958,4.1086,9.8077,1.9278,1.962,1.9663,1.971,1.9806,3.493,4.6508,1.5318,1.602,1.517,0.3655,0.0838,0.0787,0.06,0.0785,0.0646,3.5113,4.7651,1.5434,1.6245,1.5972,0.3987,0.0935,0.0644,0.0732,0.0817,0.086,40.4
ABEQUW,96.08,197.44,1.52,8.22,6.06,39.9,29.4,17.6,545.57,-3.1305,-1.9612,1.96,2.02,1.91,0.4108,-0.2445,-0.5836,-0.6293,1.8724,2.9736,2.0056,1.9804,28.7883,7.2668,8.4549,8.509,0.6511,0.4682,0.4256,3.1652,3.9973,1.27,1.3569,1.3704,6.3466,12.4373,4.0597,4.1883,4.1892,9.8053,1.9733,1.9662,1.9264,1.9502,1.9893,3.4966,4.7212,1.5396,1.5347,1.6469,0.3658,0.0746,0.075,0.0762,0.0678,0.0723,3.5144,4.7124,1.5221,1.5205,1.6698,0.4025,0.0984,0.0643,0.0726,0.0943,0.073,37.7
ABIVAL,84.06,187.8,1.52,8.58,7.65,32,23.8,17.9,652.33,-3.9646,-3.0245,1.98,2,1.97,0.5931,-0.2029,-0.5471,-0.5901,2.3943,2.9355,2.0258,2.0285,28.8183,7.2237,8.4511,8.4728,0.5127,0.5329,0.455,3.1726,3.9492,1.3838,1.2512,1.3142,6.2648,12.4041,4.168,4.1441,4.0921,9.738,1.9397,1.9329,1.9633,1.9554,1.9467,3.5143,4.6646,1.5184,1.5978,1.5484,0.3681,0.0726,0.059,0.1001,0.0524,0.0841,3.5152,4.6758,1.4599,1.606,1.6099,0.399,0.0673,0.0717,0.1015,0.0764,0.0821,30.1
ABIVUD,82.83,196.96,2.16,9.46,6.28,34.9,25.5,14.5,559.31,-3.4723,-2.6227,2,1.97,1.9,0.2271,-0.2701,-0.1109,-0.2216,2.0186,2.9479,3.2205,3.008,28.8113,7.3035,7.0879,7.2523,0.6632,0.4588,0.5506,3.1701,4.0193,1.4244,1.2806,1.3143,6.4349,12.5338,4.1802,4.1728,4.1808,9.8043,1.9713,1.9428,1.9817,1.9602,1.9482,3.1726,3.845,1.183,1.4592,1.2028,0.0934,0.0156,0.0175,0.0268,0.0122,0.0213,3.1888,3.9224,1.3938,1.1154,1.4132,0.1104,0.0341,0.0106,0.022,0.0154,0.0283,37.5
ABIXAK,102.03,201.86,2.86,7.24,7.5,40.2,30.9,19.7,581.37,-1.5163,0.197,1.96,2.01,1.92,0.3285,-0.2359,-0.941,-0.9258,1.9508,2.8646,1.7933,1.8263,28.8483,7.2577,8.5683,8.4911,0.5561,0.5658,0.526,3.1678,3.982,1.2409,1.3908,1.3504,6.3681,12.4965,4.121,4.1988,4.1767,9.8069,1.9533,1.9227,1.9773,1.972,1.9816,3.5683,4.9046,1.7521,1.5057,1.6468,0.4681,0.1017,0.0664,0.1129,0.0714,0.1157,3.5661,4.9362,1.674,1.6099,1.6523,0.4235,0.0986,0.0714,0.1024,0.0707,0.0804,28.6
ABOQOA,54.26,187.42,2.01,6.98,5.96,31.9,26.3,13.8,499.35,-4.0422,-0.6736,3.81,1.89,1.89,0.3014,-0.2747,-0.4597,-0.2346,1.6176,2.9841,2.1295,3.0087,28.8316,7.2912,8.4302,7.3176,0.6898,0,0.6958,3.1686,4.0266,1.4296,1.4121,1.1848,6.5603,12.356,4.0849,4.2324,4.0386,9.7823,1.9316,1.986,1.9758,1.9744,1.9145,3.5281,4.6542,1.4557,1.6826,1.5159,0.2774,0.0401,0.0691,0.0579,0.0409,0.0694,3.1635,3.9916,1.2983,1.3732,1.3201,0.0796,0.0181,0.0146,0.0158,0.0136,0.0175,50.4
ABORUE,82.74,237.89,1.91,9.55,7.9,40.2,30.1,20.7,665.73,-3.4013,-1.8896,1.92,2.17,1.92,0.2068,-0.2768,-0.1497,-0.1465,1.8769,2.8432,3.2082,3.0964,28.828,7.4032,7.0659,7.1599,0.623,0.5929,0.3279,3.1694,4.0261,1.261,1.4119,1.3533,6.438,12.5141,4.1284,4.1744,4.2113,9.8411,1.9526,1.955,1.9727,1.9734,1.9874,3.1645,3.8622,1.3788,1.2108,1.2726,0.123,0.0261,0.0197,0.0282,0.0163,0.0328,3.1667,3.8948,1.2724,1.4271,1.1953,0.085,0.0113,0.0183,0.0257,0.0128,0.0168,43.8
ABULIT07,97.04,216.05,1.75,6.74,7.95,34.9,22.5,12.7,481.12,-3.0678,-1.3078,1.96,1.92,1.93,0.2972,-0.2371,0.1428,-0.6751,1.9115,2.9768,3.1743,2.1384,28.7753,7.2555,6.9567,8.5611,0.6086,0.5131,0.4974,3.1668,3.9874,1.4075,1.2722,1.3076,6.3758,12.5205,4.1555,4.184,4.181,9.8065,1.9342,1.9386,1.9857,1.9822,1.9658,3.1358,3.5903,1.2404,1.3105,1.0394,0.131,0.0184,0.0251,0.036,0.0255,0.026,3.501,4.7506,1.5159,1.5855,1.6491,0.4235,0.083,0.0862,0.0831,0.0845,0.0868,52.4
ACARBM02,66.36,167.5,1.59,3.11,5.56,25.8,12.2,4.6,346.72,-2.2372,0.5792,2.11,1.89,1.86,0.1651,-0.2564,-0.7295,-0.4873,1.8591,2.9198,1.8726,2.6138,28.9662,7.2778,8.5644,7.7091,0.6541,0.3976,0.6171,3.1605,4.0093,1.4163,1.3678,1.2252,6.5107,12.5199,4.2359,4.1658,4.1182,9.8043,1.9394,1.9441,1.9577,1.9783,1.9848,3.5652,4.8288,1.4758,1.6868,1.6662,0.3355,0.0825,0.0788,0.0445,0.0876,0.042,3.2331,4.1966,1.2364,1.449,1.5112,0.0576,0.0097,0.0109,0.0109,0.0195,0.0067,51.4
ACDHAL,81.34,213.96,1.77,5.29,6.36,37,24.4,10.6,429.33,-3.278,-1.9556,2.02,2.1,1.92,0.3173,-0.2562,-0.2024,-0.5093,1.7074,2.9392,2.9221,2.0817,28.8119,7.2867,7.2372,8.481,0.651,0.478,0.326,3.1688,4.0063,1.3004,1.2775,1.4283,6.4178,12.4303,4.1327,4.1985,4.0991,9.8346,1.9501,1.9663,1.9734,1.9749,1.9698,3.1477,3.977,1.3058,1.3699,1.3013,0.0777,0.0152,0.0173,0.0156,0.0123,0.0173,3.5136,4.6414,1.5028,1.5459,1.5927,0.3543,0.0693,0.0621,0.0746,0.0612,0.087,46.4
ACEGAR,87.61,209.53,1.52,9.22,9.46,48.2,36.9,22.9,726.47,-4.0566,-2.6613,2.08,2.1,1.91,0.5174,-0.2217,-0.4743,-0.4008,2.056,3.0548,1.9431,2.1254,28.8055,7.2381,8.4225,8.3413,0.7197,0.3547,0.3276,3.161,3.9801,1.3382,1.4165,1.2254,6.2751,12.4147,4.1856,4.1415,4.0876,9.7928,1.9339,1.9668,1.9583,1.9613,1.9726,3.4926,4.6145,1.5269,1.582,1.5056,0.3671,0.0785,0.0766,0.0704,0.0629,0.0786,3.4953,4.561,1.425,1.5546,1.5814,0.3445,0.0935,0.0786,0.0364,0.0969,0.0392,34.7
ACENEC,39.32,130.79,2.91,6.15,13.17,20.8,15.9,11.2,655.08,-4.0034,-0.9372,1.87,4.76,1.88,0.2448,-0.2829,-0.4126,-0.5787,1.5756,2.9342,3.0043,2.1167,28.8382,7.2998,7.637,8.4413,0.6813,0.6971,0,3.1681,4.0347,1.4043,1.4056,1.2249,6.6013,12.3709,4.1937,4.1371,4.04,9.783,1.8731,1.986,1.9861,1.9642,1.9736,3.2122,4.139,1.3766,1.3822,1.3802,0.0614,0.0088,0.0134,0.0138,0.0148,0.0106,3.5477,4.744,1.4977,1.6424,1.6039,0.2871,0.0517,0.0511,0.0661,0.0472,0.0709,53.7
ACENIG,96.42,191.61,3.08,8.73,9.67,36.7,27.3,18.5,622.72,-3.3841,-0.9565,2.31,1.92,1.91,0.2657,-0.2443,-0.6266,-0.4685,1.7435,2.9525,2.0085,2.838,28.9401,7.2723,8.5161,7.6172,0.677,0.2042,0.714,3.1626,4.0007,1.2295,1.3724,1.3987,6.4878,12.4338,4.0576,4.1364,4.2399,9.8127,1.984,1.9535,1.9866,1.9678,1.9208,3.5357,4.7084,1.5058,1.541,1.6616,0.3826,0.0836,0.0726,0.0623,0.1023,0.0618,3.2648,4.1417,1.2881,1.4302,1.4234,0.062,0.0066,0.0071,0.0138,0.0209,0.0136,44.2
ACGLUA11,88.44,210.8,2.61,5.43,8.57,42.3,31,15.8,528.7,-2.2187,0.5584,2.01,2.01,1.91,0.2692,-0.2461,-0.2292,-0.805,1.8717,2.9021,2.6803,1.9209,28.8471,7.28,7.362,8.526,0.6032,0.484,0.5074,3.1659,3.9957,1.3343,1.3165,1.3449,6.401,12.4986,4.1569,4.1847,4.157,9.8312,1.9437,1.9532,1.9844,1.9721,1.9778,3.1754,3.9746,1.2298,1.3461,1.3987,0.0792,0.0212,0.0171,0.0104,0.0143,0.0161,3.5428,4.8479,1.6641,1.5046,1.6792,0.4144,0.0871,0.0761,0.1021,0.0632,0.0858,31.9
ACLACT,87.57,223.57,2.4,8.75,8.71,40.1,32.8,20.8,685.36,-2.3522,0.5347,2,2.04,1.92,0.2643,-0.2487,-0.2141,-0.8819,1.8256,2.9139,2.7882,1.7398,28.8766,7.2845,7.1571,8.6,0.5967,0.4854,0.4645,3.1678,3.9968,1.3806,1.3542,1.262,6.4149,12.4915,4.1048,4.2339,4.1528,9.8293,1.9768,1.9675,1.9568,1.9501,1.978,3.1662,3.9688,1.4133,1.3719,1.1837,0.0791,0.0084,0.0174,0.0251,0.0102,0.018,3.5497,4.8589,1.7731,1.4439,1.6419,0.4733,0.0862,0.0715,0.1397,0.0614,0.1145,50.1
ACNAQU01,84.07,181.79,1.54,4.89,9.36,28.3,16.9,10.9,503.05,-4.4483,-4.0162,1.97,2.08,1.84,0.5234,-0.2351,-0.4954,-0.4793,2.0263,2.9917,2.1309,2.0951,28.6936,7.3159,8.4709,8.4322,0.7496,0.5589,0.43,3.1686,3.9843,1.4056,1.3841,1.1946,6.3401,12.4066,4.1397,4.1563,4.1105,9.7299,1.9456,1.9694,1.9814,1.8601,1.9733,3.5153,4.6216,1.4274,1.6846,1.5096,0.3585,0.0602,0.0695,0.0882,0.0509,0.0897,3.5305,4.6093,1.4921,1.5298,1.5874,0.3396,0.0753,0.0453,0.0809,0.0507,0.0875,33.9
ACOXAS,85.9,186.78,3.29,5.7,8.69,32.7,26.6,17,567.07,-2.9568,-2.4134,1.99,1.95,1.9,0.4091,-0.2498,-0.5357,-0.7957,1.9179,2.9009,2.1751,1.88,28.7817,7.2986,8.4916,8.5956,0.6298,0.4747,0.5687,3.1657,4.0012,1.2401,1.3818,1.3793,6.3711,12.4433,4.1395,4.1521,4.1518,9.7766,1.9374,1.9492,1.9721,1.9768,1.9412,3.515,4.63,1.4309,1.6579,1.5412,0.3907,0.0738,0.0687,0.1014,0.0575,0.0893,3.5616,4.8077,1.5904,1.5013,1.7161,0.4264,0.0928,0.0694,0.0909,0.0877,0.0856,40.4
ACPENC10,96.22,227.76,1.7,5.71,7.67,47.5,32.7,16.7,511.25,-3.5633,-2.4621,2.24,2.01,1.98,0.5615,-0.2035,-0.4698,-0.4932,2.4843,2.9118,2.0333,2.0324,28.9002,7.1262,8.4089,8.4531,0.5235,0.2476,0.4151,3.1747,3.9473,1.1638,1.3784,1.405,6.2172,12.4351,4.1749,4.1067,4.1536,9.7862,1.982,1.899,1.967,1.9765,1.9618,3.5269,4.6364,1.4883,1.5621,1.586,0.3065,0.0868,0.0574,0.0424,0.0679,0.0521,3.4927,4.6194,1.5207,1.5731,1.5256,0.3811,0.0616,0.0707,0.088,0.0739,0.087,27.3
ACUGAG,90.9,194.51,2.54,6.39,7.75,32.4,21.6,12.9,519.1,-2.0084,-0.9817,1.9,1.97,1.87,0.3257,-0.2403,-0.8796,-0.8708,2.1299,2.8719,1.8903,1.8609,28.889,7.2704,8.5621,8.5068,0.5997,0.6638,0.5261,3.1615,3.9916,1.2311,1.3865,1.3741,6.4,12.5167,4.1262,4.2093,4.1812,9.7576,1.901,1.9697,1.974,1.9703,1.9426,3.5659,4.8954,1.709,1.6674,1.5191,0.4183,0.0739,0.0834,0.1086,0.0647,0.0877,3.5833,4.869,1.5974,1.5972,1.6743,0.4185,0.0909,0.0783,0.0814,0.0886,0.0793,47.4
ADABIQ,81.1,227.66,1.9,6.66,8.67,38.7,27.8,16,551.5,-3.2228,-2.0206,2.13,1.96,1.92,0.2035,-0.2637,-0.2128,-0.4175,1.7794,2.8833,2.7272,3.0593,28.7669,7.2902,7.1561,7.681,0.6243,0.368,0.4968,3.1702,4.0123,1.3341,1.2491,1.4291,6.4445,12.5087,4.1777,4.1658,4.1651,9.8433,1.9588,1.9505,1.9859,1.9692,1.9788,3.195,3.9108,1.286,1.4315,1.1932,0.107,0.0165,0.0242,0.0229,0.0181,0.0253,3.2313,4.1219,1.444,1.2481,1.4299,0.0643,0.0161,0.0056,0.0193,0.0105,0.0127,42.6
ADAGAQ,79.22,186.03,3.36,9.13,9.96,31.7,24.2,17.6,744.19,-4.0073,-2.9409,2.07,2.05,1.89,0.3473,-0.2675,-0.0393,-0.6109,1.7892,2.9499,3.1515,2.088,28.7609,7.3118,7.0505,8.5258,0.6932,0.4481,0.4055,3.1689,4.0181,1.4081,1.3159,1.2941,6.4088,12.4304,4.1335,4.1887,4.1082,9.8134,1.9316,1.9674,1.955,1.9818,1.9776,3.1692,3.7504,1.1773,1.4183,1.1549,0.1197,0.0174,0.0278,0.0218,0.0265,0.0261,3.5164,4.6962,1.5722,1.5134,1.6106,0.3982,0.0914,0.0627,0.0905,0.0602,0.0934,37.1
ADAKEW,86.88,180.78,3.1,8.16,9.01,36.2,32.2,25.5,704.92,-3.2634,-0.4355,2.42,1.88,1.87,0.4081,-0.2489,-0.5164,-0.7314,1.7137,2.9524,2.0208,1.9602,28.8725,7.2581,8.4185,8.6277,0.6751,0.1245,0.7207,3.1601,4.0052,1.3482,1.3942,1.2628,6.4549,12.3683,4.1488,4.1466,4.0728,9.7687,1.8754,1.9759,1.9788,1.9775,1.9612,3.5301,4.6482,1.5348,1.6822,1.4312,0.3381,0.0795,0.0672,0.0437,0.0926,0.0552,3.5017,4.787,1.679,1.4904,1.6175,0.4427,0.1086,0.0515,0.1006,0.0761,0.1058,49
ADALAS,50.66,174.15,1.66,5.18,6.58,28.3,18.7,8.8,407.08,-4.4916,-1.7921,2.93,1.93,1.88,0.3514,-0.2611,-0.5783,-0.1804,1.5596,3.0109,2.0467,3.2136,28.7554,7.3086,8.484,7.3464,0.7143,0,0.6013,3.1631,4.0172,1.3483,1.2956,1.3733,6.5005,12.3423,4.0482,4.244,4.0501,9.8058,1.9579,1.986,1.9579,1.972,1.932,3.5528,4.7522,1.5669,1.6273,1.558,0.2733,0.0599,0.05,0.0547,0.0503,0.0584,3.1356,3.9645,1.259,1.4183,1.2872,0.0803,0.0212,0.0165,0.0183,0.0121,0.0123,41
ADINAD,96.26,200.67,2.11,7.47,6.9,37.6,28.9,17.9,548.84,-3.2971,-2.384,1.9,1.94,1.91,0.4687,-0.2401,-0.8752,-0.5745,2.1854,2.9125,1.8736,2.128,28.7811,7.2701,8.5738,8.4335,0.6395,0.6324,0.4938,3.1677,3.992,1.2862,1.2945,1.4114,6.3508,12.4571,4.1622,4.1371,4.1578,9.7234,1.9806,1.9159,1.9393,1.9632,1.9244,3.5508,4.8835,1.538,1.6234,1.7221,0.441,0.0957,0.1175,0.0624,0.0932,0.0721,3.5128,4.644,1.6066,1.5101,1.5273,0.4177,0.0817,0.0593,0.1172,0.0494,0.11,40.9
ADIROV,80.72,195.97,2.53,10.68,7.81,31.9,28.2,23,793.39,-4.0884,-2.6747,2.25,1.95,1.92,0.3763,-0.2317,-0.4721,-0.0379,2.0376,3.021,2.0796,3.3171,28.8647,7.2497,8.4443,7.0839,0.6753,0.2505,0.5885,3.1659,3.9844,1.3993,1.2406,1.3445,6.3469,12.4522,4.1676,4.1657,4.119,9.8246,1.9416,1.9793,1.9735,1.9627,1.9675,3.5225,4.6182,1.4916,1.5748,1.5518,0.3314,0.0605,0.0538,0.0792,0.0496,0.0884,3.1814,3.7296,1.2023,1.2527,1.2747,0.1269,0.0242,0.0159,0.0264,0.0143,0.0461,22.7
ADOXAV,81.22,221.93,1.92,7.56,6.36,38.1,26.5,14.8,518.7,-4.3799,-3.6775,2.02,1.96,1.86,0.3052,-0.2611,-0.1607,-0.0325,2.2221,3.002,3.1961,3.2223,28.7886,7.3152,7.1393,6.9753,0.7302,0.475,0.6103,3.1694,4.0104,1.3984,1.4207,1.1914,6.4082,12.5296,4.1547,4.186,4.189,9.757,1.9491,1.9859,1.9788,1.9244,1.9188,3.1929,3.875,1.3629,1.2045,1.3076,0.0928,0.0232,0.0146,0.0178,0.0121,0.0251,3.1757,3.7312,1.1641,1.4284,1.1388,0.1255,0.0178,0.0254,0.0395,0.0176,0.0252,32
ADUXON,84.85,192.08,2.08,7.95,9.31,34,24.2,15.7,662.83,-3.5808,-2.4135,1.97,1.99,1.88,0.3767,-0.2592,-0.5765,-0.0782,1.9913,2.9655,2.0594,3.2166,28.754,7.3036,8.4863,7.0794,0.6817,0.4925,0.4616,3.1641,4.0131,1.3955,1.1728,1.4448,6.3765,12.4622,4.2154,4.111,4.1358,9.7847,1.9722,1.9787,1.9699,1.9103,1.9536,3.5107,4.7115,1.5537,1.5393,1.6185,0.3543,0.0748,0.0649,0.0655,0.0725,0.0768,3.1695,3.8128,1.1533,1.4543,1.2051,0.096,0.015,0.0177,0.0291,0.012,0.0221,35
ADUYUU,79.48,223.96,2.16,7.31,12.28,38.3,28.4,17.8,651.14,-3.3422,-1.8417,2.19,1.94,1.9,0.215,-0.2566,-0.0741,-0.4274,1.8114,2.9144,3.1123,3.0446,28.8104,7.279,7.0944,7.6317,0.6489,0.3044,0.5725,3.165,4.0102,1.3021,1.4292,1.2789,6.4686,12.4921,4.139,4.1828,4.1703,9.8243,1.9608,1.9227,1.9639,1.9861,1.9908,3.1686,3.7831,1.2271,1.3913,1.1647,0.1225,0.0157,0.0295,0.0239,0.0275,0.0259,3.2324,4.1327,1.4563,1.2403,1.4362,0.0623,0.0154,0.0051,0.0189,0.0098,0.0131,42.4
AFAPAB,89.94,192.36,2.83,9.19,7.14,40,31.1,20.2,634.98,-1.8631,-1.4162,1.98,1.92,1.88,0.3594,-0.24,-0.8756,-0.8175,2.0741,2.8686,1.7901,1.8626,28.883,7.2973,8.6053,8.5719,0.5994,0.5622,0.6322,3.163,3.9901,1.2867,1.3638,1.3395,6.3683,12.4933,4.137,4.1862,4.1701,9.779,1.8985,1.9558,1.9794,1.9721,1.9732,3.56,4.8597,1.6544,1.5125,1.6928,0.4558,0.1042,0.0859,0.095,0.0857,0.0851,3.5623,4.8463,1.4661,1.7103,1.6699,0.4089,0.0985,0.0987,0.063,0.0896,0.0591,39
AFAPIH,90.55,195.16,2.14,5.18,7.11,32.9,22.9,12.5,481.15,-2.23,-1.3541,1.88,1.96,1.87,0.3441,-0.2407,-0.8575,-0.8508,2.1472,2.8887,1.913,1.8255,28.8646,7.2658,8.5564,8.4975,0.6164,0.6618,0.5026,3.1621,3.9927,1.2316,1.4007,1.3604,6.3987,12.5129,4.1245,4.2127,4.1758,9.7442,1.9043,1.9689,1.957,1.9711,1.9429,3.5609,4.8797,1.7157,1.6873,1.4766,0.4169,0.0694,0.0899,0.0987,0.0585,0.1003,3.5768,4.8505,1.5956,1.6067,1.6482,0.4236,0.0906,0.0786,0.0799,0.0886,0.0858,45.7
AFAXUC,77.14,182.08,1.73,9.79,5.99,35.3,24.7,15.1,566.86,-3.9419,-2.8306,1.88,2.22,2.01,0.54,-0.2186,-0.6975,-0.3244,2.1915,2.908,2.0737,2.9565,28.683,7.2364,8.5434,7.652,0.4726,0.5306,0.2459,3.1807,3.9579,1.3576,1.3055,1.2948,6.2814,12.4118,4.1732,4.1285,4.1101,9.7668,1.9118,1.9352,1.9676,1.9862,1.9661,3.5022,4.7351,1.5391,1.5267,1.6692,0.4602,0.0992,0.0558,0.1284,0.0663,0.1106,3.2044,4.058,1.4861,1.2375,1.3344,0.062,0.0055,0.0142,0.022,0.0088,0.0115,30.3
AFEBOC,89.07,184.58,3.34,5.32,8.18,33.6,25.4,16.8,556.56,-3.3871,-0.8962,2.05,2.06,1.91,0.4231,-0.2395,-0.6176,-0.6177,1.6882,2.9786,2.1389,2.1344,28.7479,7.281,8.5199,8.523,0.6647,0.4038,0.397,3.1627,3.9941,1.3847,1.3284,1.281,6.3319,12.4024,4.17,4.1303,4.1022,9.8425,1.9559,1.9728,1.9789,1.937,1.9979,3.5091,4.7154,1.5896,1.5651,1.5607,0.3931,0.0702,0.0613,0.1021,0.0495,0.11,3.51,4.715,1.6231,1.5637,1.5282,0.3928,0.0665,0.077,0.1016,0.052,0.0955,32.9
AFEQUZ,62.78,155.87,1.68,3.79,9.27,24,14.1,8.4,459.39,-3.2098,-1.7243,2.1,2.09,1.86,0.389,-0.2583,-0.5766,-0.5779,1.6595,2.9209,1.9349,1.9392,28.828,7.3302,8.5335,8.5328,0.6803,0.4085,0.4267,3.1604,4.0139,1.3991,1.4227,1.1921,6.4355,12.3589,4.1309,4.1658,4.0623,9.8165,1.9213,1.9654,1.9564,1.998,1.9753,3.5355,4.7135,1.6636,1.4615,1.5884,0.3276,0.0847,0.0447,0.0627,0.0632,0.0724,3.5339,4.7132,1.4786,1.6984,1.5362,0.3308,0.0814,0.066,0.0493,0.0787,0.0553,37.9
AFESUZ,82.23,192.57,3.81,8.63,8.88,41,37.3,25.2,732.68,-3.193,-0.9937,2.19,1.93,1.88,0.4003,-0.2528,-0.4711,-0.7202,1.7633,2.9618,2.0948,1.7931,28.833,7.2635,8.4919,8.6225,0.6776,0.26,0.5859,3.1615,4.0076,1.3841,1.4383,1.1851,6.3912,12.409,4.1593,4.143,4.1066,9.7995,1.935,1.9462,1.9817,1.9606,1.9759,3.5076,4.6004,1.4467,1.5699,1.5838,0.3632,0.0807,0.0718,0.0752,0.0569,0.0786,3.5318,4.7625,1.5484,1.6791,1.535,0.4258,0.0769,0.104,0.0807,0.0936,0.0707,43.8
